SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)(CO)[N+](=O)[O-],O=P(Cl)(c1ccccc1)c1ccccc1,0.246933,0.000193,17.497223,-392.349609,-2.997337,0.004660,15.283600,-664.187500,-2.410301,0.001455
CC(C)(CO)[N+](=O)[O-],CC(=O)Nc1ccc(C=O)cc1,0.248891,0.000192,17.210327,-315.371094,-3.024162,0.005084,15.191559,-647.607422,-2.392891,0.001770
CC(C)(CO)[N+](=O)[O-],Cc1cccc(CO)c1,0.251479,0.000194,16.207855,-240.943359,-2.924553,0.005379,15.353119,-495.722656,-2.409477,0.001675
CC(C)(CO)[N+](=O)[O-],COC(C)CO,0.233153,0.000160,17.864807,-571.365234,-3.035530,0.004537,16.028870,-830.654297,-2.443779,0.001310
CC(C)(CO)[N+](=O)[O-],Nc1nc(=O)c2ccccc2o1,0.242432,0.000180,17.878815,-192.464844,-3.075699,0.004440,14.379913,-664.656250,-2.326683,0.002438
CC(C)(CO)[N+](=O)[O-],CC(Cl)Br,0.275415,0.000231,13.855865,-141.921875,-2.716736,0.006643,15.621399,266.990234,-2.652298,0.001737
CC(C)(CO)[N+](=O)[O-],CCCOC(F)F,0.282291,0.000238,13.151978,105.886719,-2.585480,0.006184,14.186798,372.144531,-2.573349,0.002901
CC(C)(CO)[N+](=O)[O-],COC1CC2CCC1(C)C2(C)C,0.253997,0.000175,13.159821,47.203125,-2.224991,0.003708,12.650055,118.632812,-2.263985,0.003281
CC(C)(CO)[N+](=O)[O-],CCC(=O)C1=NCCC1,0.233397,0.000154,16.380707,-683.867188,-2.687904,0.004084,15.381653,-695.414062,-2.347198,0.000847
CC(C)(CO)[N+](=O)[O-],NC(CF)(CF)CF,0.232082,0.000156,16.995453,-636.337891,-2.919991,0.004708,14.730286,-769.267578,-2.210495,0.000796
CC(C)(CO)[N+](=O)[O-],CC(C)CCCC(C)CC=O,0.255987,0.000191,14.542664,-51.382812,-2.498505,0.004043,13.736877,-216.519531,-2.344040,0.002804
CC(C)(CO)[N+](=O)[O-],Cc1coc(C)n1,0.219407,0.000127,17.244934,-787.486328,-2.868843,0.004191,14.352844,-841.742188,-2.137337,0.000614
CC(C)(CO)[N+](=O)[O-],NC(=S)NC(N)=S,0.219807,0.000133,18.540405,-657.876953,-3.106850,0.004311,18.552551,-865.318359,-2.719322,0.001022
CC(C)(CO)[N+](=O)[O-],FC(F)C(Cl)C(F)F,0.264284,0.000212,15.050232,-382.433594,-2.818466,0.006239,16.856567,-68.457031,-2.742065,0.001287
CC(C)(CO)[N+](=O)[O-],FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.257008,0.000177,11.293060,768.462891,-2.063194,0.003827,12.290741,963.558594,-2.498268,0.004335
CC(C)(CO)[N+](=O)[O-],NNC(=O)c1ccccc1,0.243656,0.000185,18.000824,-446.833984,-3.169235,0.005316,16.190918,-746.339844,-2.482155,0.001460
CC(C)(CO)[N+](=O)[O-],ClC=CBr,0.276209,0.000226,13.224060,-113.853516,-2.595612,0.006479,15.290375,360.929688,-2.634911,0.002097
CC(C)(CO)[N+](=O)[O-],CN(C)N=O,0.231390,0.000161,18.610107,-751.589844,-3.150078,0.004688,17.145721,-860.839844,-2.557930,0.000708
CC(C)(CO)[N+](=O)[O-],c1ccc(C2CCCCC2)cc1,0.279207,0.000222,11.755951,567.031250,-2.317017,0.005277,12.177063,806.869141,-2.500290,0.004476
CC(C)(CO)[N+](=O)[O-],N#Cc1ccncc1,0.222968,0.000141,18.202850,-947.324219,-2.976761,0.004290,16.590515,-939.681641,-2.459633,0.000307
CC(C)(CO)[N+](=O)[O-],CN(C)C(=S)Nc1ccccc1,0.244599,0.000188,17.465912,-433.798828,-2.976715,0.004372,16.692444,-641.427734,-2.561470,0.001147
CC(C)(CO)[N+](=O)[O-],CCC(N)CC,0.194037,0.000063,16.111542,-809.457031,-2.786629,0.004366,11.320740,-946.037109,-1.685524,0.000816
CC(C)(CO)[N+](=O)[O-],COC(=O)CO,0.244911,0.000192,18.236298,-480.312500,-3.178207,0.004854,16.722504,-748.583984,-2.538757,0.001195
CC(C)(CO)[N+](=O)[O-],Cc1c(N)cccc1Cl,0.250608,0.000195,16.419983,-404.472656,-2.856789,0.004818,16.157501,-543.492188,-2.520363,0.001289
CC(C)(CO)[N+](=O)[O-],CC1CCC(C(C)(C)OO)CC1,0.253954,0.000193,15.143311,106.085938,-2.725731,0.004711,14.108856,-332.748047,-2.364182,0.002948
CC(C)(CO)[N+](=O)[O-],CC(F)(Cl)CF,0.277614,0.000240,14.344025,-51.742188,-2.818283,0.006631,15.508484,176.132812,-2.655258,0.001985
CC(C)(CO)[N+](=O)[O-],CCCCC1OC(C)CC(C)(C)O1,0.245175,0.000167,14.522491,-91.437500,-2.363609,0.003197,13.326172,-345.125000,-2.254227,0.002895
CC(C)(CO)[N+](=O)[O-],CC(C)(C)OCC1CO1,0.244345,0.000179,16.004608,-401.744141,-2.693550,0.004206,15.613312,-617.148438,-2.437714,0.001380
CC(C)(CO)[N+](=O)[O-],O=P(O)(O)OP(=O)(O)O,0.181732,0.000028,17.779175,-887.146484,-3.090729,0.005170,9.588745,-1051.839844,-1.441612,0.001372
CC(C)(CO)[N+](=O)[O-],CC(=O)Nc1ccc(C)cc1,0.249786,0.000191,16.467987,-345.517578,-2.860779,0.004789,14.661407,-586.953125,-2.321724,0.001587
CC(C)(CO)[N+](=O)[O-],CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.256092,0.000213,18.140564,-152.224609,-3.171608,0.004768,16.791962,-561.253906,-2.664581,0.001941
CC(C)(CO)[N+](=O)[O-],CC(C)(O)CCC1CCCCC1,0.245794,0.000170,14.427094,233.679688,-2.630547,0.004736,13.036774,-208.542969,-2.261703,0.003465
CC(C)(CO)[N+](=O)[O-],COCC(F)(F)F,0.269425,0.000221,14.073608,-81.130859,-2.641106,0.005722,15.186188,131.244141,-2.559593,0.001840
CC(C)(CO)[N+](=O)[O-],COCC(O)COC,0.221968,0.000139,18.983185,-813.417969,-3.105125,0.004037,16.574768,-998.406250,-2.496880,0.001055
CC(C)(CO)[N+](=O)[O-],CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.242567,0.000187,18.508881,-115.427734,-3.195396,0.004459,16.005005,-773.443359,-2.616631,0.002907
CC(C)(CO)[N+](=O)[O-],Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.234259,0.000171,18.729431,-520.033203,-3.169525,0.004342,16.665375,-795.568359,-2.536674,0.001205
CC(C)(CO)[N+](=O)[O-],CC(C)C(F)F,0.285033,0.000239,12.544220,188.609375,-2.528870,0.006336,13.719971,555.593750,-2.566353,0.003249
CC(C)(CO)[N+](=O)[O-],CCCCC1C=C(C)CC(C)O1,0.248089,0.000166,13.813080,-39.019531,-2.259537,0.003240,12.788055,-99.208984,-2.239540,0.003207
CC(C)(CO)[N+](=O)[O-],COc1ccc(C(C)=O)cc1,0.244856,0.000182,16.895081,-498.451172,-2.897652,0.004691,15.379700,-680.865234,-2.366676,0.001174
CC(C)(CO)[N+](=O)[O-],Oc1cc(O)ncn1,0.251745,0.000193,16.488373,15.498047,-3.053902,0.005646,15.803864,-513.496094,-2.518776,0.002742
CC(C)(CO)[N+](=O)[O-],COCCCCl,0.256037,0.000191,14.653107,-341.347656,-2.580750,0.004819,14.891388,-302.144531,-2.391685,0.001666
CC(C)(CO)[N+](=O)[O-],CCCOC,0.245757,0.000168,14.338257,-340.572266,-2.449486,0.004276,14.277863,-289.435547,-2.272324,0.001653
CC(C)(CO)[N+](=O)[O-],Fc1c(F)c(F)c(F)c(F)c1F,0.267051,0.000199,11.600372,423.304688,-2.256355,0.005257,12.560242,875.529297,-2.490608,0.003733
CC(C)(CO)[N+](=O)[O-],CCP(CC)CC,0.253022,0.000173,13.201569,-152.326172,-2.262329,0.004201,13.622253,88.488281,-2.361557,0.002706
CC(C)(CO)[N+](=O)[O-],CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.239451,0.000154,14.702576,18.458984,-2.383949,0.003110,12.920166,-462.318359,-2.242020,0.003469
CC(C)(CO)[N+](=O)[O-],Fc1cc(F)c(F)cc1F,0.279149,0.000228,12.819000,108.273438,-2.509499,0.006109,13.655365,441.541016,-2.480591,0.002925
CC(C)(CO)[N+](=O)[O-],CCCCc1ccc(C(=O)O)cc1,0.255679,0.000197,15.243591,-64.054688,-2.716370,0.004757,14.235779,-395.085938,-2.335739,0.002376
CC(C)(CO)[N+](=O)[O-],C=Cc1c(C)cc(C)cc1C,0.283250,0.000231,12.238739,448.371094,-2.408340,0.005674,12.633331,649.011719,-2.513260,0.004287
CC(C)(CO)[N+](=O)[O-],C=C(C)C(=O)OC(C)(C)C,0.258760,0.000199,14.835907,-92.234375,-2.600632,0.004476,14.384857,-180.355469,-2.437653,0.002550
