SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCc1ccccc1CC(C)(C)C#N,O=P(Cl)(c1ccccc1)c1ccccc1,0.254448,0.000218,19.405029,-476.394531,-3.375595,0.005275,16.606689,-701.796875,-2.554794,0.001175
CCc1ccccc1CC(C)(C)C#N,CC(=O)Nc1ccc(C=O)cc1,0.267950,0.000225,17.238617,270.681641,-3.176476,0.005048,14.168091,-236.937500,-2.410378,0.003200
CCc1ccccc1CC(C)(C)C#N,Cc1cccc(CO)c1,0.258601,0.000217,17.470612,-32.833984,-3.237877,0.005513,16.063263,-456.796875,-2.594795,0.002508
CCc1ccccc1CC(C)(C)C#N,COC(C)CO,0.259757,0.000217,17.087463,-130.919922,-3.228470,0.005772,17.527527,-547.804688,-2.736176,0.002283
CCc1ccccc1CC(C)(C)C#N,Nc1nc(=O)c2ccccc2o1,0.260940,0.000201,16.636169,1132.166016,-2.989754,0.002954,10.210724,433.791016,-2.068573,0.005251
CCc1ccccc1CC(C)(C)C#N,CC(Cl)Br,0.254725,0.000211,17.637451,-629.427734,-3.146378,0.005621,18.079803,-633.087891,-2.738792,0.000636
CCc1ccccc1CC(C)(C)C#N,CCCOC(F)F,0.265309,0.000228,16.942932,-449.703125,-3.064705,0.005559,17.070374,-560.423828,-2.653984,0.001298
CCc1ccccc1CC(C)(C)C#N,COC1CC2CCC1(C)C2(C)C,0.256463,0.000200,15.583893,-298.847656,-2.799721,0.005120,15.708954,-244.236328,-2.591225,0.002251
CCc1ccccc1CC(C)(C)C#N,CCC(=O)C1=NCCC1,0.256606,0.000214,17.628632,-508.769531,-3.113586,0.005323,17.131805,-682.609375,-2.611176,0.001076
CCc1ccccc1CC(C)(C)C#N,NC(CF)(CF)CF,0.256350,0.000207,16.300079,-153.228516,-3.214180,0.006507,17.296814,-351.376953,-2.559364,0.001842
CCc1ccccc1CC(C)(C)C#N,CC(C)CCCC(C)CC=O,0.260137,0.000217,16.739166,-320.775391,-3.045837,0.005609,16.502014,-504.884766,-2.642799,0.001859
CCc1ccccc1CC(C)(C)C#N,Cc1coc(C)n1,0.253188,0.000207,17.343201,-414.552734,-3.208832,0.005954,17.627167,-567.218750,-2.672104,0.001216
CCc1ccccc1CC(C)(C)C#N,NC(=S)NC(N)=S,0.217784,0.000114,18.997437,-364.714844,-3.309685,0.004937,17.802979,-625.824219,-2.577827,0.001993
CCc1ccccc1CC(C)(C)C#N,FC(F)C(Cl)C(F)F,0.235231,0.000166,19.311584,-834.121094,-3.382195,0.004951,18.858856,-823.005859,-2.709488,0.000672
CCc1ccccc1CC(C)(C)C#N,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.241394,0.000168,15.161163,27.791016,-2.607803,0.003953,14.579071,-187.230469,-2.456810,0.002356
