SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CNc1cccc2c1C(=O)NC2=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.239172,0.000177,17.528351,-534.039062,-2.985153,0.004484,16.077393,-703.255859,-2.432655,0.000912
CNc1cccc2c1C(=O)NC2=O,CC(=O)Nc1ccc(C=O)cc1,0.245029,0.000187,17.696899,-445.792969,-3.104927,0.005047,15.841583,-715.365234,-2.415871,0.001335
CNc1cccc2c1C(=O)NC2=O,Cc1cccc(CO)c1,0.249373,0.000193,16.013550,-286.833984,-2.923965,0.005474,16.626892,-496.271484,-2.578247,0.001488
CNc1cccc2c1C(=O)NC2=O,COC(C)CO,0.238655,0.000173,17.291382,-474.316406,-3.005501,0.004752,16.613739,-750.181641,-2.512299,0.001284
CNc1cccc2c1C(=O)NC2=O,Nc1nc(=O)c2ccccc2o1,0.238227,0.000173,18.252289,-347.880859,-3.105835,0.004424,15.155273,-772.488281,-2.339699,0.001864
CNc1cccc2c1C(=O)NC2=O,CC(Cl)Br,0.272968,0.000226,13.960876,-353.074219,-2.685623,0.006295,17.934845,183.492188,-2.985832,0.001631
CNc1cccc2c1C(=O)NC2=O,CCCOC(F)F,0.278831,0.000231,13.300201,-102.802734,-2.556511,0.005952,15.884888,332.519531,-2.790245,0.002538
CNc1cccc2c1C(=O)NC2=O,COC1CC2CCC1(C)C2(C)C,0.238220,0.000145,12.807159,-334.960938,-2.128891,0.003352,15.247467,84.632812,-2.473053,0.002377
CNc1cccc2c1C(=O)NC2=O,CCC(=O)C1=NCCC1,0.231490,0.000151,15.821075,-728.402344,-2.605995,0.003742,16.451385,-545.373047,-2.427162,0.000667
CNc1cccc2c1C(=O)NC2=O,NC(CF)(CF)CF,0.234553,0.000162,17.050262,-601.535156,-2.917450,0.004488,16.074951,-729.736328,-2.356247,0.000717
CNc1cccc2c1C(=O)NC2=O,CC(C)CCCC(C)CC=O,0.249081,0.000176,14.144348,-276.496094,-2.422241,0.004100,15.650085,-184.005859,-2.559181,0.002196
CNc1cccc2c1C(=O)NC2=O,Cc1coc(C)n1,0.225280,0.000142,16.705475,-730.935547,-2.760010,0.003981,15.621277,-738.636719,-2.250023,0.000303
CNc1cccc2c1C(=O)NC2=O,NC(=S)NC(N)=S,0.210617,0.000105,18.721558,-841.105469,-3.067978,0.004294,17.285339,-973.423828,-2.545097,0.001047
CNc1cccc2c1C(=O)NC2=O,FC(F)C(Cl)C(F)F,0.260319,0.000201,15.046722,-506.111328,-2.781715,0.005627,18.551178,-133.056641,-2.984146,0.001459
CNc1cccc2c1C(=O)NC2=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.252003,0.000167,9.794861,754.294922,-1.870293,0.003744,14.100739,1307.939453,-2.749619,0.004278
CNc1cccc2c1C(=O)NC2=O,NNC(=O)c1ccccc1,0.245223,0.000191,18.113953,-374.472656,-3.208878,0.005274,17.203644,-725.734375,-2.628822,0.001522
CNc1cccc2c1C(=O)NC2=O,ClC=CBr,0.270569,0.000213,13.309387,-348.880859,-2.540321,0.005909,17.662201,298.083984,-2.974693,0.002066
CNc1cccc2c1C(=O)NC2=O,CN(C)N=O,0.236435,0.000170,17.809296,-649.857422,-3.089073,0.004921,17.790466,-736.406250,-2.616806,0.000667
CNc1cccc2c1C(=O)NC2=O,c1ccc(C2CCCCC2)cc1,0.278813,0.000219,11.681915,249.933594,-2.254074,0.005324,14.422424,712.990234,-2.779243,0.004098
CNc1cccc2c1C(=O)NC2=O,N#Cc1ccncc1,0.233408,0.000164,17.320953,-741.619141,-2.908684,0.004375,17.488281,-774.740234,-2.559265,0.000307
CNc1cccc2c1C(=O)NC2=O,CN(C)C(=S)Nc1ccccc1,0.231131,0.000163,18.346497,-773.367188,-3.077087,0.004449,17.657440,-667.212891,-2.621292,0.000374
CNc1cccc2c1C(=O)NC2=O,CCC(N)CC,0.198993,0.000076,14.961273,-743.855469,-2.531319,0.004027,12.261749,-752.798828,-1.810730,0.000875
CNc1cccc2c1C(=O)NC2=O,COC(=O)CO,0.244840,0.000191,18.038849,-482.839844,-3.178513,0.005074,17.080078,-714.232422,-2.555153,0.001015
CNc1cccc2c1C(=O)NC2=O,Cc1c(N)cccc1Cl,0.243113,0.000187,17.188721,-533.328125,-2.949280,0.004588,17.793243,-666.134766,-2.680519,0.000690
CNc1cccc2c1C(=O)NC2=O,CC1CCC(C(C)(C)OO)CC1,0.245677,0.000180,15.837341,-298.333984,-2.748451,0.004579,15.295349,-618.158203,-2.386368,0.001719
CNc1cccc2c1C(=O)NC2=O,CC(F)(Cl)CF,0.275380,0.000234,14.438873,-255.650391,-2.781670,0.006306,17.279236,45.662109,-2.881744,0.001812
CNc1cccc2c1C(=O)NC2=O,CCCCC1OC(C)CC(C)(C)O1,0.227994,0.000134,14.799957,-492.410156,-2.320183,0.002963,14.470490,-482.566406,-2.232307,0.001555
CNc1cccc2c1C(=O)NC2=O,CC(C)(C)OCC1CO1,0.236922,0.000162,16.028870,-541.796875,-2.650864,0.003778,16.525909,-581.882812,-2.511391,0.001086
CNc1cccc2c1C(=O)NC2=O,O=P(O)(O)OP(=O)(O)O,0.159892,-0.000021,19.213196,-1277.671875,-3.251785,0.005215,9.056061,-1317.935547,-1.446350,0.000970
CNc1cccc2c1C(=O)NC2=O,CC(=O)Nc1ccc(C)cc1,0.244578,0.000183,16.893768,-503.353516,-2.935944,0.004857,15.568481,-662.121094,-2.362183,0.000999
CNc1cccc2c1C(=O)NC2=O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.250186,0.000204,18.442871,-314.087891,-3.217392,0.004864,17.489777,-624.193359,-2.640656,0.001204
CNc1cccc2c1C(=O)NC2=O,CC(C)(O)CCC1CCCCC1,0.241242,0.000160,13.719543,-53.193359,-2.560173,0.005344,14.243286,-277.835938,-2.334808,0.002618
CNc1cccc2c1C(=O)NC2=O,COCC(F)(F)F,0.266158,0.000213,14.014404,-259.931641,-2.562439,0.005181,16.513367,19.388672,-2.705162,0.001617
CNc1cccc2c1C(=O)NC2=O,COCC(O)COC,0.226252,0.000149,18.328613,-760.150391,-3.061035,0.004311,16.861237,-936.886719,-2.496956,0.000818
CNc1cccc2c1C(=O)NC2=O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.243474,0.000188,18.435425,-285.681641,-3.175003,0.004614,16.840332,-833.759766,-2.651726,0.002224
CNc1cccc2c1C(=O)NC2=O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.215555,0.000133,19.770813,-823.431641,-3.268654,0.004082,17.500214,-997.826172,-2.539429,0.000657
CNc1cccc2c1C(=O)NC2=O,CC(C)C(F)F,0.280110,0.000228,12.454529,29.130859,-2.467346,0.005987,15.975037,577.402344,-2.914505,0.003074
