SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=CC(C)(CCC=C(C)C)OC=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.251211,0.000210,19.861877,-463.138672,-3.399384,0.004934,16.198029,-643.695312,-2.491112,0.001018
C=CC(C)(CCC=C(C)C)OC=O,CC(=O)Nc1ccc(C=O)cc1,0.262735,0.000215,17.867493,240.005859,-3.189590,0.004495,13.442749,-198.138672,-2.286499,0.002917
C=CC(C)(CCC=C(C)C)OC=O,Cc1cccc(CO)c1,0.254697,0.000214,18.433167,-216.417969,-3.275124,0.005029,16.194733,-574.878906,-2.545731,0.001847
C=CC(C)(CCC=C(C)C)OC=O,COC(C)CO,0.257752,0.000214,17.424377,-181.048828,-3.241226,0.005533,17.300964,-534.902344,-2.656479,0.002008
C=CC(C)(CCC=C(C)C)OC=O,Nc1nc(=O)c2ccccc2o1,0.255840,0.000192,17.735779,887.066406,-3.012489,0.002777,9.609528,282.832031,-1.896164,0.004547
C=CC(C)(CCC=C(C)C)OC=O,CC(Cl)Br,0.256064,0.000214,17.635864,-623.406250,-3.144348,0.005650,18.249359,-593.425781,-2.775291,0.000675
C=CC(C)(CCC=C(C)C)OC=O,CCCOC(F)F,0.264663,0.000231,17.339142,-478.439453,-3.128036,0.005685,17.117798,-604.681641,-2.628197,0.001040
C=CC(C)(CCC=C(C)C)OC=O,COC1CC2CCC1(C)C2(C)C,0.257770,0.000212,17.086517,-412.677734,-2.990379,0.004984,16.391724,-554.285156,-2.588600,0.001547
C=CC(C)(CCC=C(C)C)OC=O,CCC(=O)C1=NCCC1,0.253933,0.000211,18.113129,-525.732422,-3.181198,0.005221,17.237427,-699.017578,-2.606270,0.001024
C=CC(C)(CCC=C(C)C)OC=O,NC(CF)(CF)CF,0.252935,0.000202,17.301361,-223.367188,-3.275345,0.006024,16.839050,-390.677734,-2.472809,0.001476
C=CC(C)(CCC=C(C)C)OC=O,CC(C)CCCC(C)CC=O,0.260563,0.000223,17.764923,-372.238281,-3.166664,0.005436,16.674591,-674.050781,-2.611130,0.001597
C=CC(C)(CCC=C(C)C)OC=O,Cc1coc(C)n1,0.252232,0.000210,18.416290,-493.681641,-3.302711,0.005510,17.880219,-674.039062,-2.679077,0.001050
C=CC(C)(CCC=C(C)C)OC=O,NC(=S)NC(N)=S,0.220432,0.000118,17.983093,-283.544922,-3.200233,0.005208,16.619080,-467.998047,-2.319626,0.001626
C=CC(C)(CCC=C(C)C)OC=O,FC(F)C(Cl)C(F)F,0.237811,0.000174,19.190643,-820.761719,-3.353729,0.005002,18.844757,-761.791016,-2.721893,0.000528
C=CC(C)(CCC=C(C)C)OC=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.245430,0.000178,15.312714,-63.632812,-2.580803,0.003956,14.564880,-277.408203,-2.401779,0.001897
C=CC(C)(CCC=C(C)C)OC=O,NNC(=O)c1ccccc1,0.268063,0.000219,16.721497,428.431641,-3.180077,0.005204,13.533997,0.580078,-2.285072,0.003323
C=CC(C)(CCC=C(C)C)OC=O,ClC=CBr,0.254089,0.000204,17.378510,-745.224609,-3.082977,0.005467,18.762665,-559.775391,-2.913193,0.000866
C=CC(C)(CCC=C(C)C)OC=O,CN(C)N=O,0.255809,0.000202,17.328400,-190.603516,-3.251450,0.005693,16.293060,-295.457031,-2.347404,0.001357
C=CC(C)(CCC=C(C)C)OC=O,c1ccc(C2CCCCC2)cc1,0.266048,0.000229,17.057281,-387.357422,-3.037476,0.005424,16.346161,-518.837891,-2.626076,0.001708
C=CC(C)(CCC=C(C)C)OC=O,N#Cc1ccncc1,0.246680,0.000199,19.035004,-553.289062,-3.298073,0.004906,17.709686,-728.025391,-2.647903,0.000965
C=CC(C)(CCC=C(C)C)OC=O,CN(C)C(=S)Nc1ccccc1,0.226164,0.000156,19.956329,-636.630859,-3.262589,0.003957,15.819550,-792.402344,-2.343674,0.000706
C=CC(C)(CCC=C(C)C)OC=O,CCC(N)CC,0.249853,0.000197,16.773682,-238.566406,-3.160828,0.006183,17.341980,-473.537109,-2.707275,0.001821
C=CC(C)(CCC=C(C)C)OC=O,COC(=O)CO,0.256642,0.000207,16.944275,-173.525391,-3.233192,0.005691,16.619568,-275.650391,-2.379623,0.001402
C=CC(C)(CCC=C(C)C)OC=O,Cc1c(N)cccc1Cl,0.233255,0.000172,19.643524,-745.740234,-3.289803,0.004514,17.927887,-858.121094,-2.683708,0.000683
C=CC(C)(CCC=C(C)C)OC=O,CC1CCC(C(C)(C)OO)CC1,0.238663,0.000184,18.938538,-532.996094,-3.200516,0.004420,16.287537,-776.636719,-2.486893,0.001095
C=CC(C)(CCC=C(C)C)OC=O,CC(F)(Cl)CF,0.258927,0.000222,17.970337,-520.525391,-3.234825,0.005708,17.710632,-624.705078,-2.667923,0.000913
C=CC(C)(CCC=C(C)C)OC=O,CCCCC1OC(C)CC(C)(C)O1,0.257518,0.000215,17.493073,-380.242188,-3.075661,0.005106,16.575073,-684.613281,-2.607307,0.001634
C=CC(C)(CCC=C(C)C)OC=O,CC(C)(C)OCC1CO1,0.258005,0.000221,18.384033,-489.666016,-3.264442,0.005458,17.555695,-718.802734,-2.680550,0.001239
C=CC(C)(CCC=C(C)C)OC=O,O=P(O)(O)OP(=O)(O)O,0.191410,0.000031,16.640259,-310.507812,-2.892860,0.005067,6.683289,-589.496094,-0.992622,0.002727
C=CC(C)(CCC=C(C)C)OC=O,CC(=O)Nc1ccc(C)cc1,0.259483,0.000218,18.482300,-131.652344,-3.237198,0.004745,15.336761,-542.679688,-2.494530,0.002161
C=CC(C)(CCC=C(C)C)OC=O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.250265,0.000182,17.883575,282.679688,-3.306931,0.005339,13.227051,194.662109,-2.062401,0.001498
C=CC(C)(CCC=C(C)C)OC=O,CC(C)(O)CCC1CCCCC1,0.263187,0.000223,17.139130,66.121094,-3.158417,0.005398,15.534058,-422.416016,-2.589142,0.002973
C=CC(C)(CCC=C(C)C)OC=O,COCC(F)(F)F,0.261808,0.000224,17.237213,-426.712891,-3.143517,0.005534,16.983398,-517.107422,-2.576508,0.001091
C=CC(C)(CCC=C(C)C)OC=O,COCC(O)COC,0.255321,0.000211,17.977020,-354.451172,-3.307838,0.005743,17.529755,-583.316406,-2.615303,0.001416
C=CC(C)(CCC=C(C)C)OC=O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.259284,0.000212,18.896606,480.679688,-3.196648,0.003395,12.659454,-150.976562,-2.325508,0.003769
C=CC(C)(CCC=C(C)C)OC=O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.217986,0.000133,20.024048,-437.337891,-3.270889,0.003447,15.436615,-777.824219,-2.317009,0.001526
C=CC(C)(CCC=C(C)C)OC=O,CC(C)C(F)F,0.269384,0.000235,16.716583,-423.498047,-3.055473,0.005853,16.990479,-505.164062,-2.674828,0.001384
C=CC(C)(CCC=C(C)C)OC=O,CCCCC1C=C(C)CC(C)O1,0.255830,0.000210,17.281128,-393.087891,-3.013710,0.004919,16.421539,-615.093750,-2.584755,0.001544
C=CC(C)(CCC=C(C)C)OC=O,COc1ccc(C(C)=O)cc1,0.259602,0.000219,18.439117,-347.734375,-3.300568,0.005596,16.419800,-571.166016,-2.525093,0.001412
C=CC(C)(CCC=C(C)C)OC=O,Oc1cc(O)ncn1,0.232949,0.000151,17.733063,113.255859,-3.119896,0.004018,13.662231,-423.591797,-2.118423,0.002830
C=CC(C)(CCC=C(C)C)OC=O,COCCCCl,0.262497,0.000223,17.093170,-447.556641,-3.091873,0.005636,16.899811,-611.728516,-2.586632,0.001183
C=CC(C)(CCC=C(C)C)OC=O,CCCOC,0.255604,0.000210,16.935242,-470.560547,-3.045563,0.005263,17.135468,-588.544922,-2.674698,0.001332
C=CC(C)(CCC=C(C)C)OC=O,Fc1c(F)c(F)c(F)c(F)c1F,0.266997,0.000222,15.667389,-263.728516,-2.832344,0.005248,15.364136,-334.714844,-2.525696,0.001980
C=CC(C)(CCC=C(C)C)OC=O,CCP(CC)CC,0.256296,0.000212,17.353546,-455.253906,-3.048447,0.005116,16.691498,-600.802734,-2.589661,0.001240
C=CC(C)(CCC=C(C)C)OC=O,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.259729,0.000219,17.656647,-271.394531,-3.116646,0.005120,16.499878,-720.318359,-2.648666,0.002179
C=CC(C)(CCC=C(C)C)OC=O,Fc1cc(F)c(F)cc1F,0.257592,0.000215,17.477814,-518.925781,-3.098335,0.005410,17.105927,-616.898438,-2.675644,0.001175
C=CC(C)(CCC=C(C)C)OC=O,CCCCc1ccc(C(=O)O)cc1,0.235078,0.000173,18.689484,-607.244141,-3.139320,0.004367,16.088959,-792.279297,-2.430740,0.000910
C=CC(C)(CCC=C(C)C)OC=O,C=Cc1c(C)cc(C)cc1C,0.267882,0.000234,17.133698,-367.322266,-3.076889,0.005607,16.439667,-544.843750,-2.631790,0.001735
C=CC(C)(CCC=C(C)C)OC=O,C=C(C)C(=O)OC(C)(C)C,0.261862,0.000227,17.924072,-401.996094,-3.202858,0.005586,16.543518,-656.132812,-2.580376,0.001442
C=CC(C)(CCC=C(C)C)OC=O,FC1CCCN1,0.252310,0.000210,18.376709,-468.779297,-3.310081,0.005411,17.882782,-597.193359,-2.635696,0.000927
C=CC(C)(CCC=C(C)C)OC=O,CCCCCCCC(=O)NC,0.266133,0.000227,17.736267,177.617188,-3.173470,0.004979,15.074280,-391.919922,-2.577904,0.003187
C=CC(C)(CCC=C(C)C)OC=O,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.261468,0.000209,15.141022,72.101562,-2.797684,0.005133,14.650177,-239.542969,-2.464104,0.002586
C=CC(C)(CCC=C(C)C)OC=O,C1=CC2C=CC1C2,0.266903,0.000228,16.526123,-446.390625,-2.996460,0.005639,17.050537,-424.613281,-2.722641,0.001553
C=CC(C)(CCC=C(C)C)OC=O,CCC(C)(O)CCC=C(C)C,0.258360,0.000217,17.652588,-115.904297,-3.199852,0.005399,15.883514,-538.611328,-2.569077,0.002354
