SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(F)(F)C(F)(F)CC(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.258620,0.000216,17.872253,-167.447266,-3.210052,0.005167,15.632507,-512.904297,-2.462990,0.002066
CCC(F)(F)C(F)(F)CC(F)F,CC(=O)Nc1ccc(C=O)cc1,0.277796,0.000232,15.370239,1129.060547,-2.911171,0.004065,11.543335,359.728516,-2.358955,0.005623
CCC(F)(F)C(F)(F)CC(F)F,Cc1cccc(CO)c1,0.280919,0.000248,15.349701,562.052734,-3.047630,0.005472,13.506805,-17.507812,-2.472176,0.004574
CCC(F)(F)C(F)(F)CC(F)F,COC(C)CO,0.266175,0.000226,16.884125,28.199219,-3.135719,0.005181,16.507507,-546.066406,-2.679535,0.003127
CCC(F)(F)C(F)(F)CC(F)F,Nc1nc(=O)c2ccccc2o1,0.262875,0.000202,13.988678,2134.195312,-2.697723,0.001767,9.288788,1207.818359,-2.293877,0.007692
CCC(F)(F)C(F)(F)CC(F)F,CC(Cl)Br,0.272151,0.000235,15.593964,-221.525391,-2.919258,0.005848,15.335114,-349.367188,-2.394478,0.001578
CCC(F)(F)C(F)(F)CC(F)F,CCCOC(F)F,0.271080,0.000241,16.888489,-378.324219,-3.080276,0.005928,16.604523,-568.843750,-2.601257,0.001424
CCC(F)(F)C(F)(F)CC(F)F,COC1CC2CCC1(C)C2(C)C,0.263520,0.000216,15.948792,-241.507812,-2.795547,0.004795,15.480682,-428.146484,-2.526009,0.002161
CCC(F)(F)C(F)(F)CC(F)F,CCC(=O)C1=NCCC1,0.259232,0.000214,16.964172,-354.570312,-3.031647,0.005187,16.810852,-633.974609,-2.605766,0.001684
CCC(F)(F)C(F)(F)CC(F)F,NC(CF)(CF)CF,0.268937,0.000229,16.292358,-97.484375,-3.093948,0.005952,16.446594,-499.070312,-2.576950,0.002424
CCC(F)(F)C(F)(F)CC(F)F,CC(C)CCCC(C)CC=O,0.265308,0.000226,16.744934,-210.486328,-3.020706,0.005375,15.912689,-580.433594,-2.552643,0.002110
CCC(F)(F)C(F)(F)CC(F)F,Cc1coc(C)n1,0.260289,0.000218,17.086731,-352.988281,-3.110413,0.005463,17.210938,-607.779297,-2.640244,0.001600
CCC(F)(F)C(F)(F)CC(F)F,NC(=S)NC(N)=S,0.233535,0.000138,14.053040,1674.576172,-3.014450,0.004978,12.004242,1267.017578,-2.192650,0.004280
CCC(F)(F)C(F)(F)CC(F)F,FC(F)C(Cl)C(F)F,0.265844,0.000233,17.627625,-459.583984,-3.213051,0.005962,17.206085,-592.597656,-2.612869,0.001132
CCC(F)(F)C(F)(F)CC(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.269210,0.000228,16.155945,-205.128906,-2.835464,0.004998,15.218018,-449.714844,-2.510414,0.002468
CCC(F)(F)C(F)(F)CC(F)F,NNC(=O)c1ccccc1,0.282337,0.000240,14.755524,885.269531,-2.986565,0.005130,12.541534,255.664062,-2.348770,0.005069
CCC(F)(F)C(F)(F)CC(F)F,ClC=CBr,0.271971,0.000233,15.276123,-233.089844,-2.846252,0.005729,15.286438,-291.095703,-2.399750,0.001522
CCC(F)(F)C(F)(F)CC(F)F,CN(C)N=O,0.259482,0.000208,16.875061,-147.296875,-3.122757,0.005423,17.021118,-524.400391,-2.554634,0.002206
CCC(F)(F)C(F)(F)CC(F)F,c1ccc(C2CCCCC2)cc1,0.277910,0.000242,15.276184,-55.017578,-2.795639,0.005371,14.397339,-271.673828,-2.451195,0.002711
CCC(F)(F)C(F)(F)CC(F)F,N#Cc1ccncc1,0.259647,0.000214,17.396912,-283.974609,-3.134392,0.005253,16.813446,-609.511719,-2.597435,0.002004
CCC(F)(F)C(F)(F)CC(F)F,CN(C)C(=S)Nc1ccccc1,0.264352,0.000214,16.583527,203.281250,-3.024071,0.004792,14.197144,-193.435547,-2.366905,0.003012
CCC(F)(F)C(F)(F)CC(F)F,CCC(N)CC,0.254965,0.000204,16.251556,-226.080078,-2.983063,0.005475,16.677948,-521.296875,-2.625671,0.001948
CCC(F)(F)C(F)(F)CC(F)F,COC(=O)CO,0.267751,0.000223,16.402649,146.404297,-3.151520,0.005178,15.136963,-244.019531,-2.406853,0.002971
CCC(F)(F)C(F)(F)CC(F)F,Cc1c(N)cccc1Cl,0.271849,0.000228,15.217133,204.402344,-2.932236,0.005470,14.492126,-203.689453,-2.430283,0.003217
CCC(F)(F)C(F)(F)CC(F)F,CC1CCC(C(C)(C)OO)CC1,0.280810,0.000251,15.706085,488.457031,-3.006348,0.005287,14.274353,-238.750000,-2.609367,0.004645
CCC(F)(F)C(F)(F)CC(F)F,CC(F)(Cl)CF,0.270646,0.000240,17.061584,-349.976562,-3.144630,0.005977,16.672699,-534.740234,-2.575974,0.001507
CCC(F)(F)C(F)(F)CC(F)F,CCCCC1OC(C)CC(C)(C)O1,0.262850,0.000220,16.641571,-252.052734,-2.910645,0.004890,16.049164,-595.482422,-2.604881,0.002206
CCC(F)(F)C(F)(F)CC(F)F,CC(C)(C)OCC1CO1,0.263272,0.000225,17.247131,-331.941406,-3.105347,0.005420,17.068604,-655.675781,-2.669930,0.001830
CCC(F)(F)C(F)(F)CC(F)F,O=P(O)(O)OP(=O)(O)O,0.182815,0.000056,11.837982,4270.156250,-2.172844,-0.000889,7.294403,3046.166016,-2.236954,0.009573
CCC(F)(F)C(F)(F)CC(F)F,CC(=O)Nc1ccc(C)cc1,0.284275,0.000250,15.486450,646.228516,-2.943268,0.004920,12.838257,1.312500,-2.422867,0.004756
CCC(F)(F)C(F)(F)CC(F)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.260542,0.000198,16.861755,541.904297,-3.189285,0.005009,12.872498,193.318359,-2.156273,0.002986
CCC(F)(F)C(F)(F)CC(F)F,CC(C)(O)CCC1CCCCC1,0.281332,0.000248,14.995575,642.587891,-2.918152,0.005295,13.206604,-46.753906,-2.491013,0.005022
CCC(F)(F)C(F)(F)CC(F)F,COCC(F)(F)F,0.266049,0.000231,17.331635,-392.642578,-3.140099,0.005717,16.974274,-599.720703,-2.616531,0.001490
CCC(F)(F)C(F)(F)CC(F)F,COCC(O)COC,0.261844,0.000220,17.510651,-256.210938,-3.177010,0.005392,17.412018,-695.472656,-2.713242,0.002289
CCC(F)(F)C(F)(F)CC(F)F,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.268629,0.000216,14.595734,1595.203125,-2.872192,0.002925,11.495392,621.117188,-2.542702,0.006983
CCC(F)(F)C(F)(F)CC(F)F,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.266545,0.000209,14.180817,1521.789062,-2.864433,0.003188,11.001434,693.087891,-2.320374,0.006448
CCC(F)(F)C(F)(F)CC(F)F,CC(C)C(F)F,0.272763,0.000242,16.790680,-378.873047,-3.073441,0.005968,16.520416,-534.509766,-2.603821,0.001564
CCC(F)(F)C(F)(F)CC(F)F,CCCCC1C=C(C)CC(C)O1,0.261124,0.000213,16.255951,-238.386719,-2.837433,0.004722,15.791382,-509.933594,-2.561310,0.002168
CCC(F)(F)C(F)(F)CC(F)F,COc1ccc(C(C)=O)cc1,0.266160,0.000227,17.063477,-187.900391,-3.141296,0.005553,16.208557,-534.650391,-2.547272,0.002189
CCC(F)(F)C(F)(F)CC(F)F,Oc1cc(O)ncn1,0.266381,0.000203,12.085724,2107.238281,-2.740730,0.003566,11.278381,1152.894531,-2.479843,0.007877
CCC(F)(F)C(F)(F)CC(F)F,COCCCCl,0.266676,0.000222,15.781769,-294.962891,-2.898651,0.005498,16.172546,-514.134766,-2.522125,0.001751
CCC(F)(F)C(F)(F)CC(F)F,CCCOC,0.259401,0.000214,16.606201,-401.621094,-2.962059,0.005204,16.952942,-608.611328,-2.634071,0.001495
CCC(F)(F)C(F)(F)CC(F)F,Fc1c(F)c(F)c(F)c(F)c1F,0.273568,0.000240,16.909973,-322.326172,-3.042656,0.005707,15.164703,-474.798828,-2.462799,0.002220
CCC(F)(F)C(F)(F)CC(F)F,CCP(CC)CC,0.261711,0.000214,16.165009,-295.179688,-2.839813,0.004846,15.995178,-476.322266,-2.576271,0.002016
