SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CNC(=O)CCC(=O)c1cccnc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.262270,0.000218,16.195160,-368.343750,-2.863960,0.005238,17.572418,-350.679688,-2.852058,0.001742
CNC(=O)CCC(=O)c1cccnc1,CC(=O)Nc1ccc(C=O)cc1,0.238168,0.000164,16.370789,-651.744141,-2.834908,0.004963,15.065002,-638.251953,-2.289215,0.000814
CNC(=O)CCC(=O)c1cccnc1,Cc1cccc(CO)c1,0.228507,0.000143,16.728912,-761.330078,-2.830170,0.004358,15.186310,-687.679688,-2.221176,0.000590
CNC(=O)CCC(=O)c1cccnc1,COC(C)CO,0.240927,0.000178,16.888245,-553.376953,-2.940361,0.004784,16.774139,-683.144531,-2.511078,0.000806
CNC(=O)CCC(=O)c1cccnc1,Nc1nc(=O)c2ccccc2o1,0.207186,0.000101,16.967255,-818.039062,-2.802780,0.004275,12.606812,-840.283203,-1.891708,0.000813
CNC(=O)CCC(=O)c1cccnc1,CC(Cl)Br,0.274267,0.000218,13.121887,-386.730469,-2.531464,0.006314,18.287384,507.458984,-3.179764,0.002026
CNC(=O)CCC(=O)c1cccnc1,CCCOC(F)F,0.283604,0.000233,12.180908,-6.242188,-2.391197,0.005816,16.586060,743.009766,-3.093170,0.003292
CNC(=O)CCC(=O)c1cccnc1,COC1CC2CCC1(C)C2(C)C,0.257273,0.000176,10.649078,371.343750,-1.917114,0.003767,15.138519,1225.250000,-2.990631,0.004342
CNC(=O)CCC(=O)c1cccnc1,CCC(=O)C1=NCCC1,0.258186,0.000195,14.033752,-406.947266,-2.429253,0.004246,18.118500,168.208984,-2.987419,0.002017
CNC(=O)CCC(=O)c1cccnc1,NC(CF)(CF)CF,0.236329,0.000172,16.827545,-642.599609,-2.860764,0.004436,17.245422,-649.880859,-2.512688,0.000151
CNC(=O)CCC(=O)c1cccnc1,CC(C)CCCC(C)CC=O,0.268206,0.000202,12.155548,187.357422,-2.226074,0.004496,14.856659,665.216797,-2.794800,0.003836
CNC(=O)CCC(=O)c1cccnc1,Cc1coc(C)n1,0.247136,0.000178,15.398773,-595.445312,-2.634743,0.004418,16.704193,-330.191406,-2.593216,0.001196
CNC(=O)CCC(=O)c1cccnc1,NC(=S)NC(N)=S,0.174234,-0.000007,17.795837,-1652.720703,-2.938110,0.004856,14.625580,-975.794922,-2.162262,0.001301
CNC(=O)CCC(=O)c1cccnc1,FC(F)C(Cl)C(F)F,0.245868,0.000149,15.658020,-819.742188,-2.864952,0.005603,19.971466,20.785156,-3.172882,0.001983
CNC(=O)CCC(=O)c1cccnc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.235204,0.000126,9.117035,584.386719,-1.690247,0.003190,15.386322,1692.566406,-3.019783,0.004177
CNC(=O)CCC(=O)c1cccnc1,NNC(=O)c1ccccc1,0.240037,0.000181,17.929932,-514.302734,-3.031448,0.004383,16.601379,-756.964844,-2.541985,0.001109
CNC(=O)CCC(=O)c1cccnc1,ClC=CBr,0.269235,0.000200,12.522034,-413.554688,-2.417038,0.005769,18.808197,584.164062,-3.206085,0.002523
CNC(=O)CCC(=O)c1cccnc1,CN(C)N=O,0.258782,0.000211,15.885681,-394.535156,-2.908463,0.005669,18.322845,-317.730469,-2.845993,0.001107
CNC(=O)CCC(=O)c1cccnc1,c1ccc(C2CCCCC2)cc1,0.270687,0.000200,10.201355,465.658203,-1.998558,0.004858,14.811523,1435.425781,-3.051216,0.004461
CNC(=O)CCC(=O)c1cccnc1,N#Cc1ccncc1,0.244458,0.000179,16.602936,-840.183594,-2.792290,0.004356,19.144379,-445.128906,-2.976692,0.000853
CNC(=O)CCC(=O)c1cccnc1,CN(C)C(=S)Nc1ccccc1,0.213636,0.000105,15.876068,-1018.626953,-2.633438,0.004452,15.911591,-572.845703,-2.382126,0.000354
CNC(=O)CCC(=O)c1cccnc1,CCC(N)CC,0.227059,0.000131,13.994141,-449.937500,-2.449585,0.004100,14.558258,-367.246094,-2.212624,0.001716
CNC(=O)CCC(=O)c1cccnc1,COC(=O)CO,0.233579,0.000165,17.268158,-804.746094,-2.980339,0.004971,16.553864,-635.232422,-2.391945,-0.000127
CNC(=O)CCC(=O)c1cccnc1,Cc1c(N)cccc1Cl,0.216697,0.000108,17.538116,-1114.460938,-2.898933,0.004030,18.626740,-588.250000,-2.720528,0.000732
CNC(=O)CCC(=O)c1cccnc1,CC1CCC(C(C)(C)OO)CC1,0.216176,0.000102,15.098450,-875.728516,-2.423409,0.003692,14.386810,-398.771484,-2.216400,0.001123
CNC(=O)CCC(=O)c1cccnc1,CC(F)(Cl)CF,0.280388,0.000237,13.531860,-236.451172,-2.663292,0.006518,17.536530,371.589844,-3.043526,0.002228
CNC(=O)CCC(=O)c1cccnc1,CCCCC1OC(C)CC(C)(C)O1,0.262586,0.000190,12.010193,251.533203,-2.103539,0.003563,14.874481,628.638672,-2.780167,0.004176
CNC(=O)CCC(=O)c1cccnc1,CC(C)(C)OCC1CO1,0.264527,0.000207,13.893585,-212.529297,-2.489594,0.004720,16.814117,183.130859,-2.840332,0.002284
CNC(=O)CCC(=O)c1cccnc1,O=P(O)(O)OP(=O)(O)O,0.120327,-0.000131,18.606781,-2512.640625,-3.992554,0.008804,4.995514,-1514.779297,-0.754875,0.002453
CNC(=O)CCC(=O)c1cccnc1,CC(=O)Nc1ccc(C)cc1,0.240591,0.000162,15.501251,-672.060547,-2.684258,0.005003,14.889557,-502.523438,-2.286812,0.000911
CNC(=O)CCC(=O)c1cccnc1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.257476,0.000213,16.972504,-235.556641,-3.015762,0.005082,17.836273,-347.314453,-2.807663,0.001428
CNC(=O)CCC(=O)c1cccnc1,CC(C)(O)CCC1CCCCC1,0.241681,0.000156,13.747772,-173.769531,-2.415939,0.004437,13.270386,-249.003906,-2.179146,0.002510
CNC(=O)CCC(=O)c1cccnc1,COCC(F)(F)F,0.275985,0.000225,13.083099,-149.681641,-2.486847,0.005701,16.596161,570.662109,-2.984055,0.002316
CNC(=O)CCC(=O)c1cccnc1,COCC(O)COC,0.243158,0.000185,17.100189,-605.412109,-2.952751,0.004716,17.437439,-709.468750,-2.592583,0.000611
CNC(=O)CCC(=O)c1cccnc1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.217320,0.000141,19.135010,-637.769531,-3.045311,0.003318,16.394592,-932.771484,-2.474442,0.001006
CNC(=O)CCC(=O)c1cccnc1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.156012,-0.000019,20.260468,-1806.328125,-3.352997,0.004726,14.182495,-1187.884766,-1.965355,-0.000259
CNC(=O)CCC(=O)c1cccnc1,CC(C)C(F)F,0.284088,0.000230,11.280762,151.935547,-2.299500,0.005848,16.370422,1072.289062,-3.136810,0.003682
CNC(=O)CCC(=O)c1cccnc1,CCCCC1C=C(C)CC(C)O1,0.258786,0.000181,11.598389,303.695312,-2.026390,0.003482,15.043304,820.367188,-2.862099,0.004325
