SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Cc1ccc(C(C)(C)C)c(O)c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.204189,0.000112,20.971924,-1032.625000,-3.350624,0.003835,15.137482,-1098.833984,-2.194542,0.000440
Cc1ccc(C(C)(C)C)c(O)c1,CC(=O)Nc1ccc(C=O)cc1,0.203919,0.000093,19.035706,-574.513672,-3.046623,0.003217,11.710693,-882.283203,-1.775917,0.001501
Cc1ccc(C(C)(C)C)c(O)c1,Cc1cccc(CO)c1,0.220658,0.000140,19.367889,-727.132812,-3.204880,0.003937,15.216949,-902.640625,-2.235008,0.000937
Cc1ccc(C(C)(C)C)c(O)c1,COC(C)CO,0.181976,0.000050,21.206879,-1156.505859,-3.331947,0.003448,14.730804,-1328.064453,-2.174057,0.001326
Cc1ccc(C(C)(C)C)c(O)c1,Nc1nc(=O)c2ccccc2o1,0.223979,0.000133,18.649506,167.935547,-3.028297,0.002801,9.470520,-409.154297,-1.658836,0.003202
Cc1ccc(C(C)(C)C)c(O)c1,CC(Cl)Br,0.268878,0.000230,15.750305,-372.203125,-2.995811,0.006573,17.168671,-163.574219,-2.730194,0.001028
Cc1ccc(C(C)(C)C)c(O)c1,CCCOC(F)F,0.261313,0.000218,16.481140,-459.220703,-2.974899,0.005739,17.283630,-304.873047,-2.733521,0.001005
Cc1ccc(C(C)(C)C)c(O)c1,COC1CC2CCC1(C)C2(C)C,0.215119,0.000121,18.304169,-1095.033203,-2.877274,0.003611,17.174103,-748.125000,-2.566444,0.000347
Cc1ccc(C(C)(C)C)c(O)c1,CCC(=O)C1=NCCC1,0.186823,0.000064,20.096771,-1297.652344,-3.023537,0.003175,15.063538,-1210.417969,-2.223335,0.000331
Cc1ccc(C(C)(C)C)c(O)c1,NC(CF)(CF)CF,0.193992,0.000076,17.932159,-894.960938,-2.907539,0.003498,12.246033,-960.902344,-1.708611,0.000443
Cc1ccc(C(C)(C)C)c(O)c1,CC(C)CCCC(C)CC=O,0.199013,0.000089,20.574524,-1312.517578,-3.238144,0.003630,17.068787,-1075.957031,-2.436333,0.000193
Cc1ccc(C(C)(C)C)c(O)c1,Cc1coc(C)n1,0.165774,0.000018,21.554321,-1460.244141,-3.343330,0.003460,14.003357,-1404.433594,-1.983192,0.000466
Cc1ccc(C(C)(C)C)c(O)c1,NC(=S)NC(N)=S,0.246076,0.000164,14.068695,1030.449219,-2.922234,0.006130,14.669403,756.697266,-2.194908,0.002892
