SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)=CCCC1(C)CCC(=O)O1,O=P(Cl)(c1ccccc1)c1ccccc1,0.246602,0.000204,19.929199,-530.623047,-3.404060,0.004984,16.956024,-791.517578,-2.604553,0.001115
CC(C)=CCCC1(C)CCC(=O)O1,CC(=O)Nc1ccc(C=O)cc1,0.242168,0.000183,18.847107,-223.267578,-3.219376,0.004334,14.598663,-686.443359,-2.306763,0.001970
CC(C)=CCCC1(C)CCC(=O)O1,Cc1cccc(CO)c1,0.232415,0.000167,19.006348,-582.183594,-3.218719,0.004452,15.799164,-778.453125,-2.391693,0.001034
CC(C)=CCCC1(C)CCC(=O)O1,COC(C)CO,0.249194,0.000197,17.474426,-303.757812,-3.181953,0.005469,16.914001,-594.863281,-2.564186,0.001487
CC(C)=CCCC1(C)CCC(=O)O1,Nc1nc(=O)c2ccccc2o1,0.227850,0.000147,19.701202,173.115234,-3.125732,0.002684,10.943054,-452.958984,-1.877731,0.002988
CC(C)=CCCC1(C)CCC(=O)O1,CC(Cl)Br,0.235304,0.000170,18.768768,-866.576172,-3.239311,0.004955,18.991394,-756.095703,-2.773071,0.000299
CC(C)=CCCC1(C)CCC(=O)O1,CCCOC(F)F,0.253220,0.000207,17.476501,-580.689453,-3.066345,0.005202,17.564758,-614.054688,-2.674629,0.000806
CC(C)=CCCC1(C)CCC(=O)O1,COC1CC2CCC1(C)C2(C)C,0.250943,0.000189,15.704895,-344.320312,-2.750877,0.004678,15.448181,-229.632812,-2.548134,0.002188
CC(C)=CCCC1(C)CCC(=O)O1,CCC(=O)C1=NCCC1,0.251379,0.000205,17.856659,-552.841797,-3.119354,0.005109,17.088745,-666.009766,-2.588623,0.000870
CC(C)=CCCC1(C)CCC(=O)O1,NC(CF)(CF)CF,0.241793,0.000185,17.708588,-381.275391,-3.260948,0.005698,17.366882,-508.513672,-2.510490,0.000993
CC(C)=CCCC1(C)CCC(=O)O1,CC(C)CCCC(C)CC=O,0.254139,0.000205,16.954285,-396.984375,-3.001274,0.005127,16.373322,-508.003906,-2.600090,0.001653
CC(C)=CCCC1(C)CCC(=O)O1,Cc1coc(C)n1,0.249492,0.000203,18.016998,-475.058594,-3.229240,0.005514,17.628845,-666.871094,-2.648148,0.001003
CC(C)=CCCC1(C)CCC(=O)O1,NC(=S)NC(N)=S,0.184897,0.000036,21.124329,-1009.388672,-3.348373,0.004027,16.033295,-1132.980469,-2.352837,0.002025
CC(C)=CCCC1(C)CCC(=O)O1,FC(F)C(Cl)C(F)F,0.211126,0.000112,21.318024,-1110.751953,-3.588127,0.004633,20.099396,-984.349609,-2.870087,0.000652
CC(C)=CCCC1(C)CCC(=O)O1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.224618,0.000134,16.527985,-367.011719,-2.610222,0.003306,15.460358,-499.783203,-2.527573,0.001667
CC(C)=CCCC1(C)CCC(=O)O1,NNC(=O)c1ccccc1,0.253158,0.000199,17.775360,105.634766,-3.213188,0.004934,15.273407,-394.478516,-2.436569,0.002521
CC(C)=CCCC1(C)CCC(=O)O1,ClC=CBr,0.230316,0.000147,18.839722,-980.064453,-3.219795,0.004772,19.489197,-673.017578,-2.940117,0.000846
CC(C)=CCCC1(C)CCC(=O)O1,CN(C)N=O,0.253058,0.000201,17.411163,-268.025391,-3.258682,0.005765,17.057434,-435.777344,-2.468590,0.001374
