SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C[N+](=O)[O-])C(=O)O,O=P(Cl)(c1ccccc1)c1ccccc1,0.220287,0.000135,17.676544,-639.458984,-2.917908,0.004141,13.862671,-895.156250,-2.172661,0.001197
CC(C[N+](=O)[O-])C(=O)O,CC(=O)Nc1ccc(C=O)cc1,0.218084,0.000128,17.979919,-635.791016,-3.028091,0.004351,13.395508,-926.302734,-2.076164,0.001299
CC(C[N+](=O)[O-])C(=O)O,Cc1cccc(CO)c1,0.236481,0.000161,16.384155,-363.324219,-2.828339,0.004589,13.579041,-687.998047,-2.132858,0.001681
CC(C[N+](=O)[O-])C(=O)O,COC(C)CO,0.212173,0.000116,18.809113,-733.318359,-2.998421,0.003802,14.978271,-1099.525391,-2.394470,0.001746
CC(C[N+](=O)[O-])C(=O)O,Nc1nc(=O)c2ccccc2o1,0.214671,0.000124,18.313416,-567.640625,-3.086159,0.004272,12.918671,-967.429688,-1.999428,0.001488
CC(C[N+](=O)[O-])C(=O)O,CC(Cl)Br,0.282749,0.000239,12.877533,-118.964844,-2.613014,0.007197,16.622406,535.937500,-2.911987,0.002125
CC(C[N+](=O)[O-])C(=O)O,CCCOC(F)F,0.279934,0.000229,12.829742,-19.210938,-2.470772,0.006093,15.560364,457.492188,-2.814514,0.002958
CC(C[N+](=O)[O-])C(=O)O,COC1CC2CCC1(C)C2(C)C,0.232957,0.000129,13.135223,-277.248047,-2.040520,0.003012,12.618744,-149.845703,-2.134247,0.002729
CC(C[N+](=O)[O-])C(=O)O,CCC(=O)C1=NCCC1,0.206036,0.000095,16.837952,-901.634766,-2.567284,0.003413,13.802856,-998.017578,-2.169823,0.001014
CC(C[N+](=O)[O-])C(=O)O,NC(CF)(CF)CF,0.202544,0.000092,17.357727,-947.787109,-2.892181,0.004364,13.072754,-1044.656250,-1.931374,0.000481
CC(C[N+](=O)[O-])C(=O)O,CC(C)CCCC(C)CC=O,0.236063,0.000148,14.899200,-419.279297,-2.398849,0.003602,13.961975,-388.248047,-2.284897,0.002096
CC(C[N+](=O)[O-])C(=O)O,Cc1coc(C)n1,0.196867,0.000079,17.531219,-950.847656,-2.807388,0.003694,13.288147,-1070.664062,-1.996864,0.000784
CC(C[N+](=O)[O-])C(=O)O,NC(=S)NC(N)=S,0.243049,0.000184,17.713989,-393.824219,-3.095154,0.005004,19.910858,-698.019531,-3.067596,0.001696
CC(C[N+](=O)[O-])C(=O)O,FC(F)C(Cl)C(F)F,0.276990,0.000230,13.381805,-181.701172,-2.626991,0.006700,16.743408,279.740234,-2.883392,0.002043
CC(C[N+](=O)[O-])C(=O)O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.246500,0.000154,8.933563,1128.896484,-1.737167,0.003209,12.812988,1765.179688,-2.788429,0.004984
CC(C[N+](=O)[O-])C(=O)O,NNC(=O)c1ccccc1,0.211005,0.000119,19.127136,-803.277344,-3.152771,0.004315,14.457520,-1088.173828,-2.245193,0.001146
CC(C[N+](=O)[O-])C(=O)O,ClC=CBr,0.283382,0.000232,12.074097,-55.791016,-2.453842,0.006956,15.870148,679.658203,-2.855835,0.002578
CC(C[N+](=O)[O-])C(=O)O,CN(C)N=O,0.202940,0.000102,20.004364,-1138.246094,-3.277199,0.004268,17.556000,-1135.162109,-2.554199,0.000373
CC(C[N+](=O)[O-])C(=O)O,c1ccc(C2CCCCC2)cc1,0.275453,0.000209,10.626099,554.505859,-2.054970,0.005104,13.225128,1232.068359,-2.818298,0.004539
CC(C[N+](=O)[O-])C(=O)O,N#Cc1ccncc1,0.199475,0.000090,18.583435,-1097.941406,-2.937782,0.003831,15.093079,-1155.882812,-2.272095,0.000486
CC(C[N+](=O)[O-])C(=O)O,CN(C)C(=S)Nc1ccccc1,0.245597,0.000190,17.841400,-571.056641,-3.044327,0.004663,18.310822,-606.013672,-2.850548,0.001120
CC(C[N+](=O)[O-])C(=O)O,CCC(N)CC,0.180060,0.000025,15.922882,-937.810547,-2.765152,0.004487,8.285095,-1053.347656,-1.345825,0.000807
CC(C[N+](=O)[O-])C(=O)O,COC(=O)CO,0.224224,0.000154,19.883881,-711.406250,-3.274422,0.004113,16.943542,-993.560547,-2.567566,0.001112
CC(C[N+](=O)[O-])C(=O)O,Cc1c(N)cccc1Cl,0.245620,0.000180,15.900940,-401.900391,-2.738953,0.004647,15.438904,-513.896484,-2.434265,0.001503
CC(C[N+](=O)[O-])C(=O)O,CC1CCC(C(C)(C)OO)CC1,0.244551,0.000175,15.734406,-39.318359,-2.717247,0.004312,14.045776,-555.080078,-2.314201,0.002750
CC(C[N+](=O)[O-])C(=O)O,CC(F)(Cl)CF,0.282738,0.000244,13.625854,-95.248047,-2.719551,0.006964,16.712280,357.583984,-2.922798,0.002313
CC(C[N+](=O)[O-])C(=O)O,CCCCC1OC(C)CC(C)(C)O1,0.216939,0.000106,14.598145,-456.835938,-2.197861,0.002730,11.582520,-652.556641,-1.914673,0.002252
CC(C[N+](=O)[O-])C(=O)O,CC(C)(C)OCC1CO1,0.216982,0.000122,17.008057,-671.505859,-2.647285,0.003285,14.895966,-893.292969,-2.321533,0.001367
CC(C[N+](=O)[O-])C(=O)O,O=P(O)(O)OP(=O)(O)O,0.211724,0.000099,17.373535,-460.667969,-2.997437,0.004939,13.414917,-886.564453,-2.047371,0.002336
CC(C[N+](=O)[O-])C(=O)O,CC(=O)Nc1ccc(C)cc1,0.224068,0.000136,16.490265,-600.337891,-2.806755,0.004475,12.708160,-789.832031,-1.951454,0.001030
CC(C[N+](=O)[O-])C(=O)O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.233330,0.000174,19.635742,-547.138672,-3.277634,0.004285,18.395111,-917.544922,-2.816643,0.001349
CC(C[N+](=O)[O-])C(=O)O,CC(C)(O)CCC1CCCCC1,0.225754,0.000126,14.168854,-0.097656,-2.474274,0.004073,10.896576,-478.697266,-1.891136,0.003040
CC(C[N+](=O)[O-])C(=O)O,COCC(F)(F)F,0.258545,0.000196,14.350372,-314.250000,-2.567657,0.005176,15.757629,-137.937500,-2.558601,0.001649
CC(C[N+](=O)[O-])C(=O)O,COCC(O)COC,0.194888,0.000082,20.154419,-1082.400391,-3.062508,0.003403,15.384949,-1320.367188,-2.430557,0.001401
CC(C[N+](=O)[O-])C(=O)O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.215064,0.000126,18.807983,-424.033203,-3.019493,0.003837,13.234497,-1099.886719,-2.245178,0.002674
CC(C[N+](=O)[O-])C(=O)O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.242572,0.000190,18.599915,-355.166016,-3.197525,0.004516,17.087189,-775.066406,-2.648880,0.001636
CC(C[N+](=O)[O-])C(=O)O,CC(C)C(F)F,0.284037,0.000233,12.062225,121.082031,-2.415726,0.006343,15.252808,734.728516,-2.889748,0.003432
CC(C[N+](=O)[O-])C(=O)O,CCCCC1C=C(C)CC(C)O1,0.222961,0.000111,13.484985,-351.570312,-2.076233,0.002931,11.668976,-334.296875,-1.973740,0.002506
CC(C[N+](=O)[O-])C(=O)O,COc1ccc(C(C)=O)cc1,0.215521,0.000120,17.568146,-800.332031,-2.867386,0.003992,14.372681,-948.167969,-2.178085,0.000879
CC(C[N+](=O)[O-])C(=O)O,Oc1cc(O)ncn1,0.246917,0.000187,17.412109,-128.359375,-3.134750,0.005594,15.927094,-669.484375,-2.507576,0.002469
CC(C[N+](=O)[O-])C(=O)O,COCCCCl,0.234035,0.000145,15.021545,-566.175781,-2.508583,0.004132,14.210022,-592.216797,-2.213829,0.001440
CC(C[N+](=O)[O-])C(=O)O,CCCOC,0.219843,0.000112,14.871429,-613.591797,-2.386551,0.003428,13.370117,-610.589844,-2.080414,0.001548
CC(C[N+](=O)[O-])C(=O)O,Fc1c(F)c(F)c(F)c(F)c1F,0.260841,0.000183,10.090118,553.740234,-1.982086,0.004949,13.757874,1389.613281,-2.855804,0.003967
CC(C[N+](=O)[O-])C(=O)O,CCP(CC)CC,0.233763,0.000129,12.705414,-460.412109,-2.072372,0.003464,13.689880,-91.562500,-2.258186,0.002574
CC(C[N+](=O)[O-])C(=O)O,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.208250,0.000084,14.718719,-407.960938,-2.218277,0.003049,10.103333,-841.593750,-1.784492,0.002780
CC(C[N+](=O)[O-])C(=O)O,Fc1cc(F)c(F)cc1F,0.289392,0.000238,11.253418,259.511719,-2.314522,0.006620,13.713287,843.251953,-2.661171,0.003692
CC(C[N+](=O)[O-])C(=O)O,CCCCc1ccc(C(=O)O)cc1,0.255946,0.000197,15.272491,97.794922,-2.702156,0.004493,14.441986,-386.685547,-2.454391,0.002967
CC(C[N+](=O)[O-])C(=O)O,C=Cc1c(C)cc(C)cc1C,0.278706,0.000216,11.283539,453.371094,-2.162552,0.005415,13.739807,1009.685547,-2.856674,0.004522
CC(C[N+](=O)[O-])C(=O)O,C=C(C)C(=O)OC(C)(C)C,0.238651,0.000156,15.199402,-406.902344,-2.488297,0.003830,14.184753,-410.185547,-2.316750,0.002077
CC(C[N+](=O)[O-])C(=O)O,FC1CCCN1,0.226995,0.000151,18.408844,-767.636719,-3.069992,0.004310,17.603271,-821.462891,-2.651558,0.000757
CC(C[N+](=O)[O-])C(=O)O,CCCCCCCC(=O)NC,0.206989,0.000096,16.333466,-621.839844,-2.663910,0.003851,11.939728,-931.902344,-1.900810,0.001485
CC(C[N+](=O)[O-])C(=O)O,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.254572,0.000172,9.531158,979.384766,-1.943398,0.004536,12.836853,1576.886719,-2.843552,0.004712
CC(C[N+](=O)[O-])C(=O)O,C1=CC2C=CC1C2,0.277094,0.000213,10.544312,295.660156,-2.098724,0.005592,14.645782,1201.794922,-2.916756,0.003870
CC(C[N+](=O)[O-])C(=O)O,CCC(C)(O)CCC=C(C)C,0.224583,0.000125,14.353973,-185.470703,-2.483154,0.004177,10.973724,-578.519531,-1.824203,0.002423
CC(C[N+](=O)[O-])C(=O)O,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.208787,0.000101,14.581024,956.316406,-1.929298,0.000447,11.567535,32.908203,-2.497498,0.005847
CC(C[N+](=O)[O-])C(=O)O,CCC(C)CCF,0.279104,0.000219,11.718201,231.570312,-2.258514,0.005464,14.600403,758.642578,-2.817284,0.004030
CC(C[N+](=O)[O-])C(=O)O,C=Cc1cccc(CC)c1,0.281177,0.000222,11.359619,404.722656,-2.212532,0.005678,13.862854,983.519531,-2.848442,0.004305
CC(C[N+](=O)[O-])C(=O)O,CC(C)(C(O)(F)F)C(F)(F)F,0.217633,0.000111,15.720398,-888.712891,-2.460876,0.003582,15.930634,-440.472656,-2.458832,0.000952
CC(C[N+](=O)[O-])C(=O)O,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.268878,0.000196,9.978424,453.406250,-1.945290,0.004735,14.570160,1378.634766,-2.972740,0.004306
CC(C[N+](=O)[O-])C(=O)O,CCN(CC)c1ccc(N)cc1,0.203139,0.000098,17.822083,-728.511719,-2.940208,0.003974,13.295654,-1053.865234,-2.053284,0.001211
CC(C[N+](=O)[O-])C(=O)O,FC(F)CC(F)(F)F,0.286614,0.000242,12.343689,85.650391,-2.513092,0.006706,15.047394,602.421875,-2.753540,0.002894
CC(C[N+](=O)[O-])C(=O)O,N#CCCOCCC#N,0.225840,0.000158,19.979370,-830.041016,-3.276955,0.004328,17.854675,-966.318359,-2.705582,0.000755
CC(C[N+](=O)[O-])C(=O)O,CCC(C)C(C)C(C)C,0.242928,0.000148,8.054047,985.708984,-1.609192,0.003457,13.499725,2224.523438,-3.083168,0.004984
CC(C[N+](=O)[O-])C(=O)O,Cn1c(=O)ccc2ccccc21,0.189190,0.000067,19.131073,-1167.328125,-3.046761,0.004031,13.509338,-1253.316406,-2.077415,0.000604
CC(C[N+](=O)[O-])C(=O)O,CCOC(=O)c1ccccc1N,0.245378,0.000179,15.995514,-336.921875,-2.719841,0.004373,14.655548,-598.283203,-2.328690,0.001730
CC(C[N+](=O)[O-])C(=O)O,ClC1CN2CCC1CC2,0.189655,0.000048,15.839172,-938.324219,-2.598915,0.003953,9.827820,-1016.486328,-1.540657,0.000806
CC(C[N+](=O)[O-])C(=O)O,CC=CCCCCCCCC#N,0.244814,0.000176,15.692322,-300.845703,-2.661118,0.004372,15.017090,-461.638672,-2.459068,0.002070
CC(C[N+](=O)[O-])C(=O)O,COCCl,0.267323,0.000225,15.085449,-396.304688,-2.849648,0.006571,18.215118,1.416016,-2.945770,0.001013
CC(C[N+](=O)[O-])C(=O)O,NCCc1cccnc1,0.172057,0.000025,20.676605,-1200.275391,-3.266312,0.004343,10.546173,-1581.701172,-1.924950,0.001790
CC(C[N+](=O)[O-])C(=O)O,Cc1cccc(C(=O)O)c1,0.252235,0.000198,16.369049,-229.330078,-2.861557,0.004769,15.284943,-575.039062,-2.436409,0.001859
CC(C[N+](=O)[O-])C(=O)O,C=CCNC,0.190273,0.000052,16.445068,-922.185547,-2.743622,0.004207,10.476959,-1103.837891,-1.685944,0.001022
CC(C[N+](=O)[O-])C(=O)O,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.207471,0.000091,7.004456,1549.507812,-1.455872,0.002210,12.910828,2642.017578,-3.036217,0.005041
CC(C[N+](=O)[O-])C(=O)O,CC(CO)C(F)(F)F,0.247959,0.000182,15.833923,-192.078125,-2.832367,0.005151,14.758850,-539.070312,-2.337898,0.002062
CC(C[N+](=O)[O-])C(=O)O,CC(C)C(=O)C(F)(F)F,0.273816,0.000215,12.855377,18.126953,-2.367805,0.005261,14.582245,358.787109,-2.641014,0.003184
CC(C[N+](=O)[O-])C(=O)O,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.248039,0.000156,9.933685,1048.679688,-1.890152,0.003320,12.765900,1334.544922,-2.729973,0.005043
CC(C[N+](=O)[O-])C(=O)O,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.241161,0.000159,14.906128,159.785156,-2.425392,0.003244,13.662018,-276.548828,-2.480453,0.003985
CC(C[N+](=O)[O-])C(=O)O,C=CCN(C)CC=C,0.216405,0.000095,13.001526,-521.117188,-2.130737,0.003687,10.515198,-604.746094,-1.683563,0.001690
CC(C[N+](=O)[O-])C(=O)O,COCC(F)C(F)(F)F,0.257274,0.000191,14.308319,-265.189453,-2.496483,0.004662,14.919342,-297.792969,-2.435730,0.002109
CC(C[N+](=O)[O-])C(=O)O,CNC(C)(C)C,0.188036,0.000039,15.510406,-873.445312,-2.572128,0.004186,8.342773,-1048.492188,-1.431480,0.001193
CC(C[N+](=O)[O-])C(=O)O,C1COCCOCCOCCO1,0.195042,0.000071,19.432495,-1064.652344,-2.838013,0.003365,14.139740,-1329.839844,-2.404770,0.002024
CC(C[N+](=O)[O-])C(=O)O,O=NF,0.248160,0.000195,16.102722,-425.218750,-3.021706,0.006396,18.372559,-64.570312,-2.807106,-0.000004
CC(C[N+](=O)[O-])C(=O)O,CCN(CC)CCN,0.178574,0.000024,17.757294,-1019.867188,-2.873634,0.004168,8.651794,-1331.724609,-1.586403,0.001721
CC(C[N+](=O)[O-])C(=O)O,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.262526,0.000185,9.902222,707.310547,-1.908943,0.004326,14.116547,1431.962891,-2.995903,0.004656
CC(C[N+](=O)[O-])C(=O)O,CC(=O)Nc1ccc(Br)cc1,0.230165,0.000150,16.633972,-518.232422,-2.836250,0.004505,12.951080,-735.615234,-2.022285,0.001206
CC(C[N+](=O)[O-])C(=O)O,c1ccc(COc2ccccc2)cc1,0.273432,0.000220,13.315399,34.126953,-2.473602,0.005492,14.502686,287.787109,-2.635712,0.003026
CC(C[N+](=O)[O-])C(=O)O,FC(F)(F)C(F)(F)C(Cl)(Cl)C(F)(F)F,0.238247,0.000140,8.229950,941.228516,-1.613060,0.003395,13.853821,2024.908203,-3.026886,0.004630
CC(C[N+](=O)[O-])C(=O)O,CC(C)(C)OCF,0.247943,0.000175,15.030792,-455.585938,-2.569366,0.004569,15.755310,-322.701172,-2.554283,0.001813
CC(C[N+](=O)[O-])C(=O)O,OCCCCOC1CCCO1,0.205869,0.000096,18.402344,-750.921875,-2.862633,0.003628,13.685486,-1161.851562,-2.267403,0.002142
CC(C[N+](=O)[O-])C(=O)O,OCCCCC(O)CO,0.225177,0.000140,17.910980,-109.224609,-3.068451,0.004403,13.711151,-889.533203,-2.238861,0.003230
CC(C[N+](=O)[O-])C(=O)O,CC(C)C(=O)C(=O)O,0.245186,0.000190,17.183868,-453.398438,-2.926109,0.004438,16.844757,-696.142578,-2.599182,0.001205
CC(C[N+](=O)[O-])C(=O)O,N#CCl,0.251812,0.000193,15.573181,-433.380859,-2.886093,0.005662,17.952972,-204.787109,-2.848763,0.000998
CC(C[N+](=O)[O-])C(=O)O,CC(C)(C)CCO,0.230413,0.000141,14.721252,-152.839844,-2.616531,0.004590,12.529846,-465.748047,-2.054825,0.002294
CC(C[N+](=O)[O-])C(=O)O,CCc1cc(C(N)=S)ccn1,0.215619,0.000124,17.662994,-587.390625,-3.005096,0.004490,13.153778,-878.753906,-2.007919,0.001188
CC(C[N+](=O)[O-])C(=O)O,CCCCCCCCCCCCC(N)=O,0.215760,0.000114,15.716003,-119.955078,-2.621910,0.003706,11.912018,-701.369141,-1.993095,0.002449
CC(C[N+](=O)[O-])C(=O)O,CCOc1ccccc1F,0.267598,0.000210,13.846222,-141.439453,-2.519569,0.005449,15.376953,175.628906,-2.699570,0.002600
CC(C[N+](=O)[O-])C(=O)O,CCCCCCCCCCCCCCCC(=O)O,0.248829,0.000174,13.754669,885.855469,-2.395424,0.003234,13.809570,54.722656,-2.648552,0.005276
CC(C[N+](=O)[O-])C(=O)O,CC=CCCCCCC,0.250510,0.000162,9.074951,799.294922,-1.735367,0.003753,13.450439,1812.998047,-2.964973,0.004731
CC(C[N+](=O)[O-])C(=O)O,FC1CCCC1F,0.272915,0.000227,14.161865,-147.076172,-2.717583,0.006315,16.733643,198.542969,-2.862122,0.002103
CC(C[N+](=O)[O-])C(=O)O,CCC(=O)OCc1ccccc1,0.237653,0.000159,15.699982,-442.621094,-2.600113,0.004042,14.195465,-564.380859,-2.259949,0.001702
CC(C[N+](=O)[O-])C(=O)O,COC(=O)CCC(C)C(=O)OC,0.222569,0.000139,17.980103,-725.212891,-2.880600,0.003718,15.962463,-918.298828,-2.465759,0.001159
CC(C[N+](=O)[O-])C(=O)O,COC(=O)C1CCCCC1,0.235601,0.000153,15.660370,-464.871094,-2.556465,0.003750,14.467743,-539.802734,-2.306595,0.001750
CC(C[N+](=O)[O-])C(=O)O,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,0.224139,0.000138,18.107391,259.312500,-2.973869,0.003346,12.688629,-787.607422,-2.352768,0.004671
CC(C[N+](=O)[O-])C(=O)O,CCOCCC(C)CCCC(C)C,0.222595,0.000107,12.968506,-72.041016,-1.957573,0.002460,10.449890,-269.583984,-1.855339,0.003288
CC(C[N+](=O)[O-])C(=O)O,CC(N)C(C)(C)C,0.180284,0.000026,15.899353,-913.273438,-2.751060,0.004409,8.061401,-1057.718750,-1.321182,0.000879
CC(C[N+](=O)[O-])C(=O)O,CCC(=O)CC(C)CC,0.222549,0.000126,15.820831,-642.882812,-2.533714,0.003615,13.880707,-627.757812,-2.174171,0.001338
CC(C[N+](=O)[O-])C(=O)O,CCC(=O)Cc1ccccc1,0.230449,0.000149,16.320190,-613.632812,-2.696106,0.004181,14.553650,-662.957031,-2.260773,0.001053
CC(C[N+](=O)[O-])C(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,0.250414,0.000179,13.954712,875.330078,-2.440468,0.003324,13.781586,1.328125,-2.643440,0.005154
CC(C[N+](=O)[O-])C(=O)O,C=CCOC(=O)COc1ccccc1,0.242262,0.000176,16.389587,-446.947266,-2.728867,0.004228,14.838928,-587.191406,-2.358910,0.001409
CC(C[N+](=O)[O-])C(=O)O,CC(C)CCN=C=S,0.287192,0.000240,12.351990,213.126953,-2.444389,0.006275,14.495483,721.951172,-2.815155,0.003910
CC(C[N+](=O)[O-])C(=O)O,CC1=CCC(C=CC(C)C(C)O)C1(C)C,0.223246,0.000121,14.246582,-106.816406,-2.421234,0.003890,11.276367,-567.843750,-1.902496,0.002714
CC(C[N+](=O)[O-])C(=O)O,CCCCCCCCCCCCCCCCC1CCCC1,0.211360,0.000097,7.829834,1814.843750,-1.244713,0.000125,12.331818,2619.121094,-3.194176,0.006669
CC(C[N+](=O)[O-])C(=O)O,CCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC,0.217615,0.000115,14.728180,797.058594,-2.062195,0.001027,11.916840,-69.435547,-2.461693,0.005580
CC(C[N+](=O)[O-])C(=O)O,FC(F)(F)C(F)(F)C(F)(F)C(F)(Cl)Cl,0.237977,0.000140,8.207123,926.250000,-1.620720,0.003467,13.924408,2039.708984,-3.039314,0.004635
CC(C[N+](=O)[O-])C(=O)O,C=CC(C)(CCC=C(C)C)OC(=O)Cc1ccccc1,0.243852,0.000165,14.807709,-37.804688,-2.396828,0.003407,13.753204,-321.332031,-2.391083,0.003050
CC(C[N+](=O)[O-])C(=O)O,CCCCC(=O)CCC,0.223294,0.000127,15.745392,-588.150391,-2.532188,0.003604,13.798218,-653.019531,-2.153641,0.001415
CC(C[N+](=O)[O-])C(=O)O,Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,0.219182,0.000143,19.705811,-504.302734,-3.201088,0.003814,15.005737,-1011.041016,-2.372398,0.001864
