SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC=C(C)C(=O)OCCc1ccccc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.250121,0.000207,19.524506,-466.599609,-3.399216,0.005077,16.624054,-659.935547,-2.528793,0.001097
CC=C(C)C(=O)OCCc1ccccc1,CC(=O)Nc1ccc(C=O)cc1,0.264580,0.000217,17.543243,292.212891,-3.152588,0.004585,13.686829,-174.001953,-2.320999,0.003025
CC=C(C)C(=O)OCCc1ccccc1,Cc1cccc(CO)c1,0.253881,0.000212,18.155609,-257.675781,-3.229599,0.005009,16.404724,-604.431641,-2.552620,0.001743
CC=C(C)C(=O)OCCc1ccccc1,COC(C)CO,0.258800,0.000215,17.092896,-135.505859,-3.224976,0.005640,17.284180,-491.205078,-2.662186,0.002131
CC=C(C)C(=O)OCCc1ccccc1,Nc1nc(=O)c2ccccc2o1,0.252449,0.000181,17.308014,876.070312,-2.966965,0.002919,9.502899,253.294922,-1.840187,0.004602
CC=C(C)C(=O)OCCc1ccccc1,CC(Cl)Br,0.251077,0.000205,17.942139,-656.476562,-3.196953,0.005534,18.445465,-652.810547,-2.761047,0.000561
CC=C(C)C(=O)OCCc1ccccc1,CCCOC(F)F,0.262626,0.000226,17.194031,-464.585938,-3.121674,0.005675,17.251709,-604.261719,-2.633690,0.001031
CC=C(C)C(=O)OCCc1ccccc1,COC1CC2CCC1(C)C2(C)C,0.257525,0.000206,16.174713,-316.873047,-2.882095,0.005022,16.060944,-399.371094,-2.608040,0.002009
CC=C(C)C(=O)OCCc1ccccc1,CCC(=O)C1=NCCC1,0.254272,0.000211,17.841309,-514.625000,-3.160149,0.005296,17.257568,-677.617188,-2.608124,0.001018
CC=C(C)C(=O)OCCc1ccccc1,NC(CF)(CF)CF,0.254255,0.000203,16.691895,-184.384766,-3.220627,0.006157,16.821228,-306.328125,-2.446022,0.001513
CC=C(C)C(=O)OCCc1ccccc1,CC(C)CCCC(C)CC=O,0.260611,0.000221,17.314209,-360.835938,-3.110374,0.005497,16.583954,-639.341797,-2.600159,0.001585
CC=C(C)C(=O)OCCc1ccccc1,Cc1coc(C)n1,0.252027,0.000207,17.953522,-465.136719,-3.268906,0.005603,17.778687,-627.830078,-2.646118,0.001070
CC=C(C)C(=O)OCCc1ccccc1,NC(=S)NC(N)=S,0.220768,0.000113,17.322418,-158.867188,-3.128128,0.005165,15.970367,-317.833984,-2.213196,0.001722
CC=C(C)C(=O)OCCc1ccccc1,FC(F)C(Cl)C(F)F,0.228156,0.000151,19.632935,-880.048828,-3.420959,0.004883,19.157349,-810.220703,-2.715714,0.000532
CC=C(C)C(=O)OCCc1ccccc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.236740,0.000157,14.760193,-22.580078,-2.544762,0.003917,14.864349,-135.554688,-2.441757,0.001998
CC=C(C)C(=O)OCCc1ccccc1,NNC(=O)c1ccccc1,0.269836,0.000220,16.177765,478.412109,-3.146965,0.005356,13.567352,44.070312,-2.267654,0.003495
CC=C(C)C(=O)OCCc1ccccc1,ClC=CBr,0.249822,0.000194,17.621094,-756.593750,-3.112427,0.005342,18.963531,-608.644531,-2.912865,0.000872
