SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CN(C)C=Nc1ccc(N(C)C)cc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.250030,0.000210,19.215210,-479.509766,-3.347656,0.005111,17.580627,-791.056641,-2.681992,0.001309
CN(C)C=Nc1ccc(N(C)C)cc1,CC(=O)Nc1ccc(C=O)cc1,0.256939,0.000203,17.400452,125.521484,-3.033104,0.004495,14.066467,-377.576172,-2.372047,0.002804
CN(C)C=Nc1ccc(N(C)C)cc1,Cc1cccc(CO)c1,0.240275,0.000174,17.064880,-463.605469,-2.895264,0.004392,14.762909,-620.205078,-2.248756,0.001054
CN(C)C=Nc1ccc(N(C)C)cc1,COC(C)CO,0.248484,0.000193,16.958038,-335.285156,-3.028419,0.005151,17.021149,-600.423828,-2.579079,0.001318
CN(C)C=Nc1ccc(N(C)C)cc1,Nc1nc(=O)c2ccccc2o1,0.229274,0.000129,17.492035,621.814453,-2.845940,0.003104,6.889526,-248.337891,-1.448700,0.004646
CN(C)C=Nc1ccc(N(C)C)cc1,CC(Cl)Br,0.253974,0.000202,16.769409,-673.906250,-2.969513,0.005248,18.698700,-518.871094,-2.900734,0.000928
CN(C)C=Nc1ccc(N(C)C)cc1,CCCOC(F)F,0.262904,0.000218,16.113892,-472.853516,-2.888885,0.005191,17.293793,-443.396484,-2.718445,0.001312
CN(C)C=Nc1ccc(N(C)C)cc1,COC1CC2CCC1(C)C2(C)C,0.256054,0.000192,14.742706,-248.388672,-2.614929,0.004699,15.192841,-161.740234,-2.528397,0.002483
CN(C)C=Nc1ccc(N(C)C)cc1,CCC(=O)C1=NCCC1,0.254052,0.000207,17.119781,-547.498047,-2.999336,0.005029,17.709930,-615.337891,-2.696327,0.000963
CN(C)C=Nc1ccc(N(C)C)cc1,NC(CF)(CF)CF,0.254418,0.000202,16.523407,-201.140625,-3.067528,0.005690,16.697540,-434.156250,-2.521568,0.001572
CN(C)C=Nc1ccc(N(C)C)cc1,CC(C)CCCC(C)CC=O,0.255814,0.000205,16.424011,-371.099609,-2.912971,0.005052,16.411041,-465.373047,-2.602150,0.001626
CN(C)C=Nc1ccc(N(C)C)cc1,Cc1coc(C)n1,0.250161,0.000202,17.478119,-520.771484,-3.119514,0.005406,18.011047,-674.255859,-2.684601,0.000801
CN(C)C=Nc1ccc(N(C)C)cc1,NC(=S)NC(N)=S,0.227810,0.000117,17.448029,-76.890625,-2.856033,0.004315,13.185944,-533.009766,-2.034775,0.002750
CN(C)C=Nc1ccc(N(C)C)cc1,FC(F)C(Cl)C(F)F,0.230822,0.000150,18.796570,-856.140625,-3.272202,0.004614,19.134613,-769.390625,-2.705589,0.000704
CN(C)C=Nc1ccc(N(C)C)cc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.238719,0.000156,14.014008,245.964844,-2.404343,0.003660,13.818146,1.746094,-2.389915,0.002762
CN(C)C=Nc1ccc(N(C)C)cc1,NNC(=O)c1ccccc1,0.263142,0.000210,17.079468,538.201172,-3.088623,0.004605,13.958252,-90.064453,-2.404243,0.003674
CN(C)C=Nc1ccc(N(C)C)cc1,ClC=CBr,0.251477,0.000187,16.600098,-758.910156,-2.931717,0.004965,19.160645,-472.484375,-2.989204,0.001380
CN(C)C=Nc1ccc(N(C)C)cc1,CN(C)N=O,0.251248,0.000198,17.063477,-348.679688,-3.160393,0.005537,17.978241,-529.091797,-2.576996,0.001188
CN(C)C=Nc1ccc(N(C)C)cc1,c1ccc(C2CCCCC2)cc1,0.263628,0.000210,15.203613,-287.373047,-2.703018,0.004907,15.571655,-262.558594,-2.570251,0.002277
CN(C)C=Nc1ccc(N(C)C)cc1,N#Cc1ccncc1,0.237653,0.000178,18.882507,-747.099609,-3.175606,0.004372,18.566650,-861.804688,-2.788139,0.000805
CN(C)C=Nc1ccc(N(C)C)cc1,CN(C)C(=S)Nc1ccccc1,0.241103,0.000178,17.310364,-346.031250,-2.956894,0.004156,16.421753,-665.253906,-2.490929,0.001540
CN(C)C=Nc1ccc(N(C)C)cc1,CCC(N)CC,0.246555,0.000182,14.889679,-138.064453,-2.890419,0.006400,17.387573,-288.189453,-2.730019,0.002019
CN(C)C=Nc1ccc(N(C)C)cc1,COC(=O)CO,0.239550,0.000175,17.220825,-511.281250,-3.059975,0.004826,16.215729,-581.888672,-2.310600,0.000685
CN(C)C=Nc1ccc(N(C)C)cc1,Cc1c(N)cccc1Cl,0.225139,0.000146,19.202545,-810.185547,-3.253227,0.004235,18.287170,-916.408203,-2.631317,0.000770
CN(C)C=Nc1ccc(N(C)C)cc1,CC1CCC(C(C)(C)OO)CC1,0.219153,0.000129,16.800476,-704.523438,-2.750046,0.003797,14.450775,-714.988281,-2.132324,0.000474
CN(C)C=Nc1ccc(N(C)C)cc1,CC(F)(Cl)CF,0.256748,0.000211,16.922333,-506.875000,-3.024788,0.005374,17.434784,-584.777344,-2.660378,0.000940
CN(C)C=Nc1ccc(N(C)C)cc1,CCCCC1OC(C)CC(C)(C)O1,0.257583,0.000201,15.680969,-299.382812,-2.765373,0.004853,15.707397,-345.296875,-2.554001,0.002172
CN(C)C=Nc1ccc(N(C)C)cc1,CC(C)(C)OCC1CO1,0.255574,0.000210,17.246521,-499.646484,-3.053726,0.005153,17.315155,-613.044922,-2.657143,0.001142
CN(C)C=Nc1ccc(N(C)C)cc1,O=P(O)(O)OP(=O)(O)O,0.149963,-0.000081,18.115112,-746.636719,-3.305183,0.007325,-2.708008,-1088.417969,0.013138,0.004283
CN(C)C=Nc1ccc(N(C)C)cc1,CC(=O)Nc1ccc(C)cc1,0.258169,0.000209,16.930023,-46.289062,-2.929947,0.004329,15.150299,-452.710938,-2.506226,0.002440
CN(C)C=Nc1ccc(N(C)C)cc1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.253531,0.000195,18.083984,-34.263672,-3.199646,0.004957,15.000610,-309.132812,-2.297447,0.001620
CN(C)C=Nc1ccc(N(C)C)cc1,CC(C)(O)CCC1CCCCC1,0.253615,0.000192,14.888367,147.462891,-2.747658,0.005022,14.103210,-128.296875,-2.409447,0.003004
CN(C)C=Nc1ccc(N(C)C)cc1,COCC(F)(F)F,0.260910,0.000216,16.214447,-357.714844,-2.927788,0.005106,16.605133,-457.814453,-2.580460,0.001319
CN(C)C=Nc1ccc(N(C)C)cc1,COCC(O)COC,0.251824,0.000204,17.568726,-436.269531,-3.152466,0.005477,17.685547,-637.873047,-2.639023,0.001018
CN(C)C=Nc1ccc(N(C)C)cc1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.243030,0.000181,19.272278,385.439453,-3.095123,0.002599,12.611938,-414.404297,-2.272957,0.003813
CN(C)C=Nc1ccc(N(C)C)cc1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.189631,0.000059,19.356689,-828.068359,-3.113640,0.003531,11.345062,-1157.089844,-1.673203,0.001767
CN(C)C=Nc1ccc(N(C)C)cc1,CC(C)C(F)F,0.268206,0.000223,15.531769,-406.146484,-2.810791,0.005238,16.853760,-338.164062,-2.721176,0.001778
CN(C)C=Nc1ccc(N(C)C)cc1,CCCCC1C=C(C)CC(C)O1,0.257023,0.000198,15.281250,-267.236328,-2.694611,0.004701,15.404816,-269.744141,-2.540596,0.002285
CN(C)C=Nc1ccc(N(C)C)cc1,COc1ccc(C(C)=O)cc1,0.257164,0.000214,17.612274,-416.410156,-3.181351,0.005645,17.552399,-667.531250,-2.670380,0.001320
CN(C)C=Nc1ccc(N(C)C)cc1,Oc1cc(O)ncn1,0.217456,0.000100,15.344482,-110.082031,-2.711678,0.004215,9.841034,-609.785156,-1.565292,0.002946
CN(C)C=Nc1ccc(N(C)C)cc1,COCCCCl,0.259877,0.000211,16.121094,-462.839844,-2.883575,0.005011,17.122711,-469.218750,-2.689941,0.001478
CN(C)C=Nc1ccc(N(C)C)cc1,CCCOC,0.250930,0.000189,15.434021,-434.960938,-2.769814,0.004673,16.607666,-333.796875,-2.677994,0.001877
CN(C)C=Nc1ccc(N(C)C)cc1,Fc1c(F)c(F)c(F)c(F)c1F,0.256573,0.000194,14.354004,-195.234375,-2.567657,0.004683,15.132507,-79.386719,-2.543900,0.002166
CN(C)C=Nc1ccc(N(C)C)cc1,CCP(CC)CC,0.252413,0.000189,15.391388,-353.587891,-2.724937,0.004650,16.133789,-301.914062,-2.614471,0.002150
CN(C)C=Nc1ccc(N(C)C)cc1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.259869,0.000207,15.970673,-232.062500,-2.796814,0.004730,15.603577,-427.580078,-2.566528,0.002479
CN(C)C=Nc1ccc(N(C)C)cc1,Fc1cc(F)c(F)cc1F,0.254234,0.000199,16.406097,-522.205078,-2.882896,0.004895,16.789337,-518.134766,-2.628784,0.001279
CN(C)C=Nc1ccc(N(C)C)cc1,CCCCc1ccc(C(=O)O)cc1,0.202526,0.000092,17.659332,-958.871094,-2.924522,0.003985,13.483398,-932.128906,-1.920570,0.000267
CN(C)C=Nc1ccc(N(C)C)cc1,C=Cc1c(C)cc(C)cc1C,0.263469,0.000211,15.370361,-259.378906,-2.761795,0.005024,15.530212,-307.865234,-2.561264,0.002351
CN(C)C=Nc1ccc(N(C)C)cc1,C=C(C)C(=O)OC(C)(C)C,0.255575,0.000207,16.815216,-438.583984,-2.974663,0.005107,16.578186,-483.855469,-2.598488,0.001383
CN(C)C=Nc1ccc(N(C)C)cc1,FC1CCCN1,0.244360,0.000189,17.703278,-536.570312,-3.106880,0.004961,17.755005,-681.513672,-2.625610,0.000746
CN(C)C=Nc1ccc(N(C)C)cc1,CCCCCCCC(=O)NC,0.257267,0.000204,16.265289,124.128906,-2.966080,0.005230,15.210693,-357.087891,-2.532669,0.003046
CN(C)C=Nc1ccc(N(C)C)cc1,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.252722,0.000184,13.701141,267.242188,-2.517838,0.004633,14.153809,68.085938,-2.504959,0.003154
CN(C)C=Nc1ccc(N(C)C)cc1,C1=CC2C=CC1C2,0.261173,0.000203,14.664246,-359.029297,-2.684410,0.005088,16.567902,-119.134766,-2.726074,0.002264
CN(C)C=Nc1ccc(N(C)C)cc1,CCC(C)(O)CCC=C(C)C,0.251354,0.000188,15.062073,80.451172,-2.736198,0.004858,13.880951,-174.818359,-2.358368,0.002805
CN(C)C=Nc1ccc(N(C)C)cc1,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.251509,0.000193,16.598724,172.437500,-2.801712,0.003729,16.334503,-428.880859,-2.898865,0.003712
CN(C)C=Nc1ccc(N(C)C)cc1,CCC(C)CCF,0.264118,0.000208,14.454010,-303.396484,-2.643951,0.005030,16.005005,-131.212891,-2.639320,0.002346
CN(C)C=Nc1ccc(N(C)C)cc1,C=Cc1cccc(CC)c1,0.263907,0.000215,15.878296,-337.173828,-2.829330,0.004989,16.120850,-405.183594,-2.606117,0.002056
CN(C)C=Nc1ccc(N(C)C)cc1,CC(C)(C(O)(F)F)C(F)(F)F,0.136475,-0.000063,20.033386,-1934.462891,-3.454002,0.004415,10.753448,-1433.630859,-1.276649,-0.000583
CN(C)C=Nc1ccc(N(C)C)cc1,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.260288,0.000196,14.163269,-264.976562,-2.547089,0.004575,15.233093,-109.310547,-2.598579,0.002786
CN(C)C=Nc1ccc(N(C)C)cc1,CCN(CC)c1ccc(N)cc1,0.251631,0.000206,18.371765,-234.423828,-3.232811,0.005046,17.561829,-699.406250,-2.740410,0.001929
CN(C)C=Nc1ccc(N(C)C)cc1,FC(F)CC(F)(F)F,0.255963,0.000202,15.972290,-361.423828,-2.852509,0.005048,16.162628,-464.910156,-2.492676,0.001256
CN(C)C=Nc1ccc(N(C)C)cc1,N#CCCOCCC#N,0.252967,0.000202,18.314453,-251.363281,-3.262810,0.005287,15.672485,-367.494141,-2.342155,0.000931
CN(C)C=Nc1ccc(N(C)C)cc1,CCC(C)C(C)C(C)C,0.255064,0.000180,12.728333,-79.671875,-2.298637,0.004396,15.210938,326.722656,-2.691040,0.003443
CN(C)C=Nc1ccc(N(C)C)cc1,Cn1c(=O)ccc2ccccc21,0.251632,0.000205,18.327606,-348.152344,-3.213875,0.004956,17.304230,-722.095703,-2.658218,0.001600
CN(C)C=Nc1ccc(N(C)C)cc1,CCOC(=O)c1ccccc1N,0.235168,0.000169,18.088745,-561.537109,-3.047195,0.004266,16.585815,-812.953125,-2.496567,0.001111
CN(C)C=Nc1ccc(N(C)C)cc1,ClC1CN2CCC1CC2,0.250100,0.000196,16.667206,-474.853516,-2.948425,0.004861,17.379669,-607.111328,-2.664856,0.001192
CN(C)C=Nc1ccc(N(C)C)cc1,CC=CCCCCCCCC#N,0.255632,0.000212,17.468994,-392.361328,-3.090012,0.005190,16.868195,-670.435547,-2.615829,0.001437
CN(C)C=Nc1ccc(N(C)C)cc1,COCCl,0.258816,0.000215,16.821014,-489.591797,-3.059967,0.005517,17.866882,-546.632812,-2.723000,0.001017
CN(C)C=Nc1ccc(N(C)C)cc1,NCCc1cccnc1,0.253351,0.000202,17.324799,-105.585938,-3.273582,0.006145,17.827515,-526.345703,-2.734711,0.002237
CN(C)C=Nc1ccc(N(C)C)cc1,Cc1cccc(C(=O)O)c1,0.195941,0.000079,18.210480,-1074.380859,-3.017685,0.003977,14.037048,-986.472656,-1.949104,0.000079
CN(C)C=Nc1ccc(N(C)C)cc1,C=CCNC,0.253757,0.000199,15.599365,-281.871094,-2.931763,0.006015,17.190125,-410.068359,-2.680977,0.001645
CN(C)C=Nc1ccc(N(C)C)cc1,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.211250,0.000104,10.907501,742.275391,-1.927704,0.002853,13.038910,1188.363281,-2.588272,0.003527
CN(C)C=Nc1ccc(N(C)C)cc1,CC(CO)C(F)(F)F,0.243515,0.000176,16.266632,-373.417969,-2.831421,0.004661,14.920990,-534.792969,-2.271912,0.001233
CN(C)C=Nc1ccc(N(C)C)cc1,CC(C)C(=O)C(F)(F)F,0.262815,0.000214,15.521576,-324.433594,-2.781715,0.005009,15.823242,-309.085938,-2.565590,0.001762
CN(C)C=Nc1ccc(N(C)C)cc1,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.240016,0.000155,14.006317,228.066406,-2.365616,0.003187,14.352417,56.185547,-2.564545,0.003139
CN(C)C=Nc1ccc(N(C)C)cc1,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.262456,0.000218,16.489532,-174.115234,-2.922478,0.005013,15.902985,-540.263672,-2.604614,0.002450
CN(C)C=Nc1ccc(N(C)C)cc1,C=CCN(C)CC=C,0.262862,0.000209,15.177307,-332.044922,-2.693481,0.004771,15.741486,-349.654297,-2.562805,0.002119
CN(C)C=Nc1ccc(N(C)C)cc1,COCC(F)C(F)(F)F,0.263601,0.000220,15.947235,-287.207031,-2.890747,0.005378,16.343323,-453.050781,-2.538422,0.001367
CN(C)C=Nc1ccc(N(C)C)cc1,CNC(C)(C)C,0.246888,0.000180,14.795532,-217.361328,-2.799751,0.005828,16.987274,-280.009766,-2.689751,0.001987
CN(C)C=Nc1ccc(N(C)C)cc1,C1COCCOCCOCCO1,0.249682,0.000194,16.941406,-438.115234,-3.025040,0.005156,17.384125,-674.394531,-2.606155,0.001178
CN(C)C=Nc1ccc(N(C)C)cc1,O=NF,0.236993,0.000170,15.639771,-33.822266,-3.055855,0.005674,16.445374,136.511719,-2.334198,0.000549
CN(C)C=Nc1ccc(N(C)C)cc1,CCN(CC)CCN,0.247239,0.000190,16.284698,-193.136719,-3.064209,0.006108,17.834412,-520.289062,-2.764908,0.001965
CN(C)C=Nc1ccc(N(C)C)cc1,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.260850,0.000196,13.961182,15.681641,-2.468254,0.004446,14.924377,-9.861328,-2.616203,0.003058
CN(C)C=Nc1ccc(N(C)C)cc1,CC(=O)Nc1ccc(Br)cc1,0.248360,0.000197,17.827881,-267.359375,-3.031242,0.004238,16.424438,-633.425781,-2.594978,0.001779
CN(C)C=Nc1ccc(N(C)C)cc1,c1ccc(COc2ccccc2)cc1,0.258688,0.000215,17.214294,-450.816406,-3.024254,0.005109,16.525330,-576.154297,-2.587807,0.001402
CN(C)C=Nc1ccc(N(C)C)cc1,FC(F)(F)C(F)(F)C(Cl)(Cl)C(F)(F)F,0.239007,0.000152,12.203308,170.250000,-2.189590,0.003842,14.221252,446.736328,-2.548088,0.003122
CN(C)C=Nc1ccc(N(C)C)cc1,CC(C)(C)OCF,0.260732,0.000217,16.575958,-414.835938,-2.976273,0.005323,16.916290,-516.828125,-2.617767,0.001222
CN(C)C=Nc1ccc(N(C)C)cc1,OCCCCOC1CCCO1,0.247442,0.000193,17.129028,-364.519531,-3.088020,0.005376,17.738770,-626.431641,-2.686035,0.001311
CN(C)C=Nc1ccc(N(C)C)cc1,OCCCCC(O)CO,0.248908,0.000170,15.976318,629.519531,-2.977646,0.004843,11.547852,-127.527344,-2.025520,0.004399
CN(C)C=Nc1ccc(N(C)C)cc1,CC(C)C(=O)C(=O)O,0.210104,0.000115,18.573029,-1043.376953,-3.057777,0.003917,17.851196,-904.529297,-2.487907,-0.000181
CN(C)C=Nc1ccc(N(C)C)cc1,N#CCl,0.241706,0.000176,16.600098,-515.007812,-2.952606,0.004557,17.914307,-613.687500,-2.697174,0.001066
CN(C)C=Nc1ccc(N(C)C)cc1,CC(C)(C)CCO,0.246197,0.000178,15.507965,-144.210938,-2.786293,0.004914,14.329041,-367.533203,-2.304993,0.002060
CN(C)C=Nc1ccc(N(C)C)cc1,CCc1cc(C(N)=S)ccn1,0.230047,0.000149,18.369904,-231.335938,-3.050407,0.004169,14.642700,-712.236328,-2.249542,0.002045
CN(C)C=Nc1ccc(N(C)C)cc1,CCCCCCCCCCCCC(N)=O,0.249646,0.000186,16.756073,402.357422,-2.983925,0.004556,14.027496,-250.748047,-2.457260,0.003790
CN(C)C=Nc1ccc(N(C)C)cc1,CCOc1ccccc1F,0.259690,0.000215,16.847931,-474.019531,-2.975975,0.005061,17.016388,-543.285156,-2.671967,0.001383
CN(C)C=Nc1ccc(N(C)C)cc1,CCCCCCCCCCCCCCCC(=O)O,0.211305,0.000109,16.542755,-697.949219,-2.714752,0.003747,13.140411,-794.308594,-1.951385,0.000773
CN(C)C=Nc1ccc(N(C)C)cc1,CC=CCCCCCC,0.259030,0.000190,13.407349,-154.003906,-2.401100,0.004496,15.173828,141.419922,-2.640991,0.003141
CN(C)C=Nc1ccc(N(C)C)cc1,FC1CCCC1F,0.264255,0.000221,16.187805,-401.339844,-2.933983,0.005283,16.895386,-478.146484,-2.655075,0.001458
CN(C)C=Nc1ccc(N(C)C)cc1,CCC(=O)OCc1ccccc1,0.257459,0.000216,17.437042,-429.851562,-3.100021,0.005347,17.037567,-643.662109,-2.620491,0.001222
CN(C)C=Nc1ccc(N(C)C)cc1,COC(=O)CCC(C)C(=O)OC,0.256083,0.000212,17.367035,-455.503906,-3.103897,0.005401,17.140991,-632.685547,-2.600128,0.001072
CN(C)C=Nc1ccc(N(C)C)cc1,COC(=O)C1CCCCC1,0.255332,0.000205,16.549866,-426.373047,-2.957550,0.005190,16.865936,-478.023438,-2.641373,0.001454
