SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CNC(=Nc1ccccc1)c1ccccc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.237353,0.000188,19.547607,-623.187500,-3.333054,0.004739,17.984863,-814.496094,-2.681992,0.000624
CNC(=Nc1ccccc1)c1ccccc1,CC(=O)Nc1ccc(C=O)cc1,0.240398,0.000180,18.281921,-351.265625,-3.160110,0.004682,15.716675,-691.693359,-2.405525,0.001525
CNC(=Nc1ccccc1)c1ccccc1,Cc1cccc(CO)c1,0.239504,0.000179,17.941528,-506.732422,-3.096680,0.004734,15.672241,-671.326172,-2.365265,0.000912
CNC(=Nc1ccccc1)c1ccccc1,COC(C)CO,0.229781,0.000162,18.931488,-681.658203,-3.220917,0.004475,18.111053,-829.781250,-2.664352,0.000718
CNC(=Nc1ccccc1)c1ccccc1,Nc1nc(=O)c2ccccc2o1,0.223377,0.000133,18.358307,65.087891,-3.114746,0.003665,11.023712,-471.734375,-1.818726,0.002946
CNC(=Nc1ccccc1)c1ccccc1,CC(Cl)Br,0.262837,0.000218,15.961578,-511.087891,-2.930458,0.005680,18.342590,-308.470703,-2.879990,0.001083
CNC(=Nc1ccccc1)c1ccccc1,CCCOC(F)F,0.266403,0.000223,15.672638,-419.599609,-2.851906,0.005414,17.506592,-299.849609,-2.791832,0.001435
CNC(=Nc1ccccc1)c1ccccc1,COC1CC2CCC1(C)C2(C)C,0.246969,0.000178,15.064819,-410.541016,-2.602501,0.004034,16.697357,-168.050781,-2.643082,0.001860
CNC(=Nc1ccccc1)c1ccccc1,CCC(=O)C1=NCCC1,0.234848,0.000169,17.973389,-842.976562,-2.980438,0.004256,18.694305,-700.957031,-2.781883,0.000272
CNC(=Nc1ccccc1)c1ccccc1,NC(CF)(CF)CF,0.239407,0.000179,17.312042,-466.162109,-3.054016,0.004819,17.506836,-566.105469,-2.534477,0.000660
CNC(=Nc1ccccc1)c1ccccc1,CC(C)CCCC(C)CC=O,0.244580,0.000186,17.016632,-559.537109,-2.889565,0.004356,17.378693,-560.042969,-2.659821,0.000972
CNC(=Nc1ccccc1)c1ccccc1,Cc1coc(C)n1,0.221053,0.000140,18.863129,-964.005859,-3.138199,0.004223,17.896820,-901.566406,-2.542305,0.000066
CNC(=Nc1ccccc1)c1ccccc1,NC(=S)NC(N)=S,0.220605,0.000115,17.561920,-270.878906,-3.017242,0.004591,14.041351,-448.085938,-1.943680,0.001721
CNC(=Nc1ccccc1)c1ccccc1,FC(F)C(Cl)C(F)F,0.244014,0.000179,17.059448,-613.794922,-3.044556,0.005131,18.314392,-520.974609,-2.703842,0.000744
CNC(=Nc1ccccc1)c1ccccc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.238888,0.000155,12.149475,597.982422,-2.305962,0.004273,12.594299,678.775391,-2.289490,0.002969
CNC(=Nc1ccccc1)c1ccccc1,NNC(=O)c1ccccc1,0.245131,0.000189,18.126434,-153.779297,-3.237167,0.004896,17.044067,-542.695312,-2.599083,0.001853
CNC(=Nc1ccccc1)c1ccccc1,ClC=CBr,0.263061,0.000211,15.549469,-546.302734,-2.835365,0.005472,18.492035,-236.419922,-2.963066,0.001521
CNC(=Nc1ccccc1)c1ccccc1,CN(C)N=O,0.229298,0.000156,18.239471,-686.187500,-3.160980,0.004635,18.618713,-750.046875,-2.630386,0.000565
CNC(=Nc1ccccc1)c1ccccc1,c1ccc(C2CCCCC2)cc1,0.267944,0.000214,14.542664,-236.625000,-2.616867,0.005098,16.024445,-33.712891,-2.734200,0.002672
CNC(=Nc1ccccc1)c1ccccc1,N#Cc1ccncc1,0.219915,0.000140,19.257233,-989.863281,-3.141373,0.004035,18.319458,-931.806641,-2.638916,0.000065
CNC(=Nc1ccccc1)c1ccccc1,CN(C)C(=S)Nc1ccccc1,0.234154,0.000172,18.131226,-510.917969,-3.063774,0.004113,17.109894,-705.353516,-2.543175,0.000864
CNC(=Nc1ccccc1)c1ccccc1,CCC(N)CC,0.215255,0.000123,17.253876,-723.896484,-2.908577,0.004137,16.423920,-744.181641,-2.411690,0.000777
CNC(=Nc1ccccc1)c1ccccc1,COC(=O)CO,0.231068,0.000164,18.145111,-637.400391,-3.206192,0.004655,17.418945,-645.089844,-2.402290,0.000394
CNC(=Nc1ccccc1)c1ccccc1,Cc1c(N)cccc1Cl,0.233865,0.000174,18.658875,-684.988281,-3.156075,0.004439,17.885498,-770.302734,-2.635048,0.000389
