SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=C(C)C1CCC(C)CC1OC(C)=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.248987,0.000203,19.956696,-446.082031,-3.408417,0.004830,15.819000,-573.527344,-2.408119,0.000857
C=C(C)C1CCC(C)CC1OC(C)=O,CC(=O)Nc1ccc(C=O)cc1,0.257536,0.000204,18.192963,237.261719,-3.165756,0.004044,12.821045,-175.185547,-2.158005,0.002719
C=C(C)C1CCC(C)CC1OC(C)=O,Cc1cccc(CO)c1,0.248616,0.000203,18.839386,-330.585938,-3.286072,0.004757,16.019836,-626.425781,-2.461746,0.001404
C=C(C)C1CCC(C)CC1OC(C)=O,COC(C)CO,0.257963,0.000213,17.309174,-128.064453,-3.238182,0.005436,16.802826,-452.238281,-2.578011,0.002026
C=C(C)C1CCC(C)CC1OC(C)=O,Nc1nc(=O)c2ccccc2o1,0.246369,0.000171,18.483246,805.023438,-2.990738,0.002334,8.167114,223.363281,-1.586540,0.004166
C=C(C)C1CCC(C)CC1OC(C)=O,CC(Cl)Br,0.248632,0.000203,18.381958,-698.546875,-3.218498,0.005419,18.423279,-680.681641,-2.736580,0.000342
C=C(C)C1CCC(C)CC1OC(C)=O,CCCOC(F)F,0.258930,0.000223,18.051941,-552.103516,-3.217850,0.005580,17.580505,-655.279297,-2.645264,0.000760
C=C(C)C1CCC(C)CC1OC(C)=O,COC1CC2CCC1(C)C2(C)C,0.258696,0.000215,17.312195,-432.714844,-3.049202,0.005145,16.610840,-569.712891,-2.613403,0.001503
C=C(C)C1CCC(C)CC1OC(C)=O,CCC(=O)C1=NCCC1,0.253504,0.000211,18.249542,-523.085938,-3.225945,0.005282,17.237335,-672.726562,-2.584473,0.001003
C=C(C)C1CCC(C)CC1OC(C)=O,NC(CF)(CF)CF,0.249961,0.000196,17.468597,-236.693359,-3.291710,0.005884,16.603851,-323.455078,-2.382103,0.001182
C=C(C)C1CCC(C)CC1OC(C)=O,CC(C)CCCC(C)CC=O,0.259971,0.000224,18.192352,-431.886719,-3.229996,0.005501,16.850616,-689.275391,-2.612938,0.001394
C=C(C)C1CCC(C)CC1OC(C)=O,Cc1coc(C)n1,0.250803,0.000208,18.610779,-491.484375,-3.345604,0.005490,17.859589,-655.074219,-2.650848,0.001011
C=C(C)C1CCC(C)CC1OC(C)=O,NC(=S)NC(N)=S,0.217052,0.000107,18.148560,-140.015625,-3.127975,0.004686,14.084290,-296.855469,-1.963196,0.001546
C=C(C)C1CCC(C)CC1OC(C)=O,FC(F)C(Cl)C(F)F,0.226969,0.000153,19.990875,-916.529297,-3.477898,0.004809,19.078583,-818.439453,-2.630539,0.000232
C=C(C)C1CCC(C)CC1OC(C)=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.239211,0.000168,15.739777,-252.158203,-2.625420,0.003940,15.002625,-383.972656,-2.366081,0.001275
C=C(C)C1CCC(C)CC1OC(C)=O,NNC(=O)c1ccccc1,0.262321,0.000208,17.234741,415.388672,-3.182045,0.004710,13.153931,15.164062,-2.191986,0.003085
C=C(C)C1CCC(C)CC1OC(C)=O,ClC=CBr,0.246312,0.000190,18.074249,-805.441406,-3.161690,0.005207,18.840729,-663.523438,-2.855072,0.000598
C=C(C)C1CCC(C)CC1OC(C)=O,CN(C)N=O,0.251937,0.000193,17.187042,-118.488281,-3.286674,0.005753,16.121246,-164.009766,-2.281555,0.001153
C=C(C)C1CCC(C)CC1OC(C)=O,c1ccc(C2CCCCC2)cc1,0.261421,0.000223,17.614471,-448.591797,-3.120079,0.005382,16.586029,-618.630859,-2.597786,0.001411
C=C(C)C1CCC(C)CC1OC(C)=O,N#Cc1ccncc1,0.242855,0.000191,19.325165,-557.029297,-3.332718,0.004774,17.526001,-713.802734,-2.608810,0.000920
C=C(C)C1CCC(C)CC1OC(C)=O,CN(C)C(=S)Nc1ccccc1,0.230495,0.000159,19.444458,-434.248047,-3.197754,0.003790,14.915771,-613.478516,-2.221924,0.000975
C=C(C)C1CCC(C)CC1OC(C)=O,CCC(N)CC,0.252185,0.000202,16.886902,-217.447266,-3.206757,0.006293,17.362518,-470.810547,-2.701508,0.001914
C=C(C)C1CCC(C)CC1OC(C)=O,COC(=O)CO,0.252426,0.000199,17.115601,-177.914062,-3.223434,0.005327,16.168976,-241.648438,-2.262131,0.001168
C=C(C)C1CCC(C)CC1OC(C)=O,Cc1c(N)cccc1Cl,0.227142,0.000160,20.060944,-785.287109,-3.344803,0.004245,18.189728,-893.830078,-2.656425,0.000631
C=C(C)C1CCC(C)CC1OC(C)=O,CC1CCC(C(C)(C)OO)CC1,0.229064,0.000166,19.308258,-687.812500,-3.185257,0.004074,16.197754,-814.875000,-2.406364,0.000575
C=C(C)C1CCC(C)CC1OC(C)=O,CC(F)(Cl)CF,0.253734,0.000213,18.390991,-574.091797,-3.297386,0.005606,17.806488,-636.691406,-2.631363,0.000704
C=C(C)C1CCC(C)CC1OC(C)=O,CCCCC1OC(C)CC(C)(C)O1,0.260202,0.000221,17.740021,-389.853516,-3.138939,0.005317,16.636658,-687.507812,-2.613197,0.001621
C=C(C)C1CCC(C)CC1OC(C)=O,CC(C)(C)OCC1CO1,0.260682,0.000226,18.307678,-467.402344,-3.286789,0.005638,17.437531,-671.693359,-2.655815,0.001258
C=C(C)C1CCC(C)CC1OC(C)=O,O=P(O)(O)OP(=O)(O)O,0.178959,0.000003,17.285065,-521.644531,-2.855392,0.005040,4.621490,-748.072266,-0.805321,0.002466
C=C(C)C1CCC(C)CC1OC(C)=O,CC(=O)Nc1ccc(C)cc1,0.258256,0.000214,18.572388,-80.416016,-3.227058,0.004534,14.902771,-491.162109,-2.424057,0.002166
