SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(=O)C=CC=C(C)CCC=C(C)C,O=P(Cl)(c1ccccc1)c1ccccc1,0.244999,0.000203,19.933350,-585.859375,-3.420898,0.005022,17.375214,-778.144531,-2.625015,0.000848
CC(=O)C=CC=C(C)CCC=C(C)C,CC(=O)Nc1ccc(C=O)cc1,0.239352,0.000175,18.616211,-286.212891,-3.174240,0.004233,14.426239,-646.640625,-2.223122,0.001657
CC(=O)C=CC=C(C)CCC=C(C)C,Cc1cccc(CO)c1,0.224606,0.000149,19.322266,-782.582031,-3.240692,0.004325,15.944916,-836.197266,-2.323730,0.000537
CC(=O)C=CC=C(C)CCC=C(C)C,COC(C)CO,0.247375,0.000193,17.459595,-362.273438,-3.201416,0.005545,17.070038,-586.271484,-2.535721,0.001249
CC(=O)C=CC=C(C)CCC=C(C)C,Nc1nc(=O)c2ccccc2o1,0.224083,0.000134,18.888428,99.425781,-3.048637,0.002982,9.955200,-444.753906,-1.643967,0.002732
CC(=O)C=CC=C(C)CCC=C(C)C,CC(Cl)Br,0.243736,0.000186,18.312103,-843.537109,-3.219170,0.005404,19.291779,-641.851562,-2.881691,0.000438
CC(=O)C=CC=C(C)CCC=C(C)C,CCCOC(F)F,0.258791,0.000217,17.177551,-568.662109,-3.086037,0.005604,17.989014,-532.976562,-2.762718,0.000899
CC(=O)C=CC=C(C)CCC=C(C)C,COC1CC2CCC1(C)C2(C)C,0.250326,0.000191,16.105804,-363.781250,-2.830498,0.004764,15.686646,-298.234375,-2.549377,0.001914
CC(=O)C=CC=C(C)CCC=C(C)C,CCC(=O)C1=NCCC1,0.248986,0.000203,18.008270,-582.783203,-3.147682,0.005150,17.218750,-675.365234,-2.569832,0.000599
CC(=O)C=CC=C(C)CCC=C(C)C,NC(CF)(CF)CF,0.241764,0.000184,17.108795,-368.503906,-3.232101,0.005937,17.631317,-385.205078,-2.500153,0.000848
CC(=O)C=CC=C(C)CCC=C(C)C,CC(C)CCCC(C)CC=O,0.254309,0.000208,17.131256,-428.261719,-3.042046,0.005241,16.534058,-516.978516,-2.598679,0.001413
CC(=O)C=CC=C(C)CCC=C(C)C,Cc1coc(C)n1,0.246498,0.000198,18.169220,-533.894531,-3.263969,0.005463,18.032043,-658.326172,-2.666710,0.000768
CC(=O)C=CC=C(C)CCC=C(C)C,NC(=S)NC(N)=S,0.193977,0.000048,18.980652,-811.617188,-3.174095,0.004677,15.218689,-891.943359,-2.130066,0.002039
CC(=O)C=CC=C(C)CCC=C(C)C,FC(F)C(Cl)C(F)F,0.214284,0.000118,21.045258,-1125.064453,-3.571701,0.004795,20.321747,-903.480469,-2.894684,0.000512
CC(=O)C=CC=C(C)CCC=C(C)C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.224420,0.000133,15.954010,-408.537109,-2.592720,0.003716,15.785370,-351.160156,-2.562149,0.001455
CC(=O)C=CC=C(C)CCC=C(C)C,NNC(=O)c1ccccc1,0.252288,0.000196,17.477112,64.158203,-3.181236,0.005039,15.717163,-366.421875,-2.438721,0.002247
CC(=O)C=CC=C(C)CCC=C(C)C,ClC=CBr,0.239697,0.000166,18.324280,-944.539062,-3.201035,0.005205,19.705200,-592.826172,-3.023994,0.000968
CC(=O)C=CC=C(C)CCC=C(C)C,CN(C)N=O,0.253560,0.000201,16.846161,-244.666016,-3.229645,0.006048,17.305084,-318.886719,-2.422714,0.001247
CC(=O)C=CC=C(C)CCC=C(C)C,c1ccc(C2CCCCC2)cc1,0.260645,0.000214,16.734009,-448.685547,-2.966377,0.005283,16.764099,-384.160156,-2.699051,0.001772
CC(=O)C=CC=C(C)CCC=C(C)C,N#Cc1ccncc1,0.235002,0.000175,19.417114,-763.189453,-3.289352,0.004386,18.482147,-844.767578,-2.753944,0.000734
CC(=O)C=CC=C(C)CCC=C(C)C,CN(C)C(=S)Nc1ccccc1,0.210936,0.000119,19.608582,-903.458984,-3.135315,0.003538,16.395966,-970.640625,-2.342789,0.000561
CC(=O)C=CC=C(C)CCC=C(C)C,CCC(N)CC,0.244157,0.000184,15.955200,-229.091797,-3.081589,0.006536,17.367462,-359.894531,-2.692513,0.001659
CC(=O)C=CC=C(C)CCC=C(C)C,COC(=O)CO,0.239335,0.000176,17.108978,-478.021484,-3.192924,0.005410,16.825043,-457.337891,-2.264053,0.000630
CC(=O)C=CC=C(C)CCC=C(C)C,Cc1c(N)cccc1Cl,0.203592,0.000100,21.211884,-1123.367188,-3.470131,0.004032,18.771484,-1070.472656,-2.687614,0.000485
CC(=O)C=CC=C(C)CCC=C(C)C,CC1CCC(C(C)(C)OO)CC1,0.204361,0.000107,19.468567,-1068.771484,-3.101074,0.003585,15.543793,-976.738281,-2.219650,-0.000027
CC(=O)C=CC=C(C)CCC=C(C)C,CC(F)(Cl)CF,0.250156,0.000202,18.273193,-683.187500,-3.236008,0.005561,18.463593,-652.654297,-2.777931,0.000638
CC(=O)C=CC=C(C)CCC=C(C)C,CCCCC1OC(C)CC(C)(C)O1,0.253805,0.000202,16.658142,-359.447266,-2.928955,0.004913,16.047729,-454.310547,-2.579681,0.001849
CC(=O)C=CC=C(C)CCC=C(C)C,CC(C)(C)OCC1CO1,0.254929,0.000212,17.597351,-464.921875,-3.170021,0.005601,17.103912,-618.373047,-2.606628,0.001074
CC(=O)C=CC=C(C)CCC=C(C)C,O=P(O)(O)OP(=O)(O)O,0.132914,-0.000095,19.429138,-1342.078125,-3.263611,0.006598,1.524323,-1397.689453,-0.536087,0.002716
CC(=O)C=CC=C(C)CCC=C(C)C,CC(=O)Nc1ccc(C)cc1,0.242414,0.000183,18.065216,-458.035156,-3.110947,0.004574,15.733490,-746.498047,-2.399940,0.001416
CC(=O)C=CC=C(C)CCC=C(C)C,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.247522,0.000182,17.768860,36.480469,-3.249756,0.005228,14.544159,-80.876953,-2.143036,0.001285
CC(=O)C=CC=C(C)CCC=C(C)C,CC(C)(O)CCC1CCCCC1,0.239144,0.000175,17.319519,-364.148438,-3.066475,0.005192,15.052979,-586.880859,-2.354408,0.001543
CC(=O)C=CC=C(C)CCC=C(C)C,COCC(F)(F)F,0.253994,0.000209,17.180359,-471.220703,-3.112885,0.005321,17.161102,-526.849609,-2.569077,0.000821
CC(=O)C=CC=C(C)CCC=C(C)C,COCC(O)COC,0.250545,0.000202,17.649719,-399.906250,-3.274498,0.005933,17.962463,-561.974609,-2.615097,0.001060
CC(=O)C=CC=C(C)CCC=C(C)C,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.231829,0.000166,20.260193,-183.146484,-3.198074,0.003174,14.777954,-715.957031,-2.416992,0.002116
CC(=O)C=CC=C(C)CCC=C(C)C,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.172818,0.000025,21.239929,-1216.277344,-3.355042,0.003530,13.570740,-1254.763672,-1.928940,0.001075
CC(=O)C=CC=C(C)CCC=C(C)C,CC(C)C(F)F,0.263963,0.000223,16.586487,-491.945312,-3.016266,0.005672,17.573669,-419.314453,-2.757469,0.001270
CC(=O)C=CC=C(C)CCC=C(C)C,CCCCC1C=C(C)CC(C)O1,0.251549,0.000197,16.558899,-375.164062,-2.889915,0.004746,15.922394,-408.562500,-2.563843,0.001798
CC(=O)C=CC=C(C)CCC=C(C)C,COc1ccc(C(C)=O)cc1,0.254007,0.000212,18.371521,-442.355469,-3.328064,0.005743,17.487305,-650.373047,-2.614609,0.001183
CC(=O)C=CC=C(C)CCC=C(C)C,Oc1cc(O)ncn1,0.192593,0.000057,18.178558,-810.478516,-3.070854,0.004092,12.335907,-1023.996094,-1.775681,0.001575
CC(=O)C=CC=C(C)CCC=C(C)C,COCCCCl,0.256572,0.000209,16.621582,-453.777344,-3.019485,0.005408,16.896423,-501.753906,-2.615341,0.001230
CC(=O)C=CC=C(C)CCC=C(C)C,CCCOC,0.251485,0.000195,15.900391,-435.871094,-2.897095,0.005013,16.689850,-384.841797,-2.672279,0.001676
CC(=O)C=CC=C(C)CCC=C(C)C,Fc1c(F)c(F)c(F)c(F)c1F,0.256100,0.000200,15.373688,-348.939453,-2.794189,0.005203,15.868958,-158.138672,-2.600975,0.001801
CC(=O)C=CC=C(C)CCC=C(C)C,CCP(CC)CC,0.251240,0.000197,16.696625,-453.054688,-2.959290,0.005014,16.334259,-421.503906,-2.579842,0.001474
CC(=O)C=CC=C(C)CCC=C(C)C,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.255983,0.000206,16.758392,-282.054688,-2.945999,0.004858,15.877228,-501.957031,-2.598930,0.002256
CC(=O)C=CC=C(C)CCC=C(C)C,Fc1cc(F)c(F)cc1F,0.241050,0.000177,18.354279,-813.537109,-3.190399,0.005045,18.336029,-695.990234,-2.773941,0.000820
CC(=O)C=CC=C(C)CCC=C(C)C,CCCCc1ccc(C(=O)O)cc1,0.193031,0.000075,19.404633,-1241.007812,-3.140221,0.003888,14.916992,-1080.738281,-2.078720,-0.000049
CC(=O)C=CC=C(C)CCC=C(C)C,C=Cc1c(C)cc(C)cc1C,0.261305,0.000216,16.800598,-453.119141,-3.004211,0.005353,16.820526,-402.921875,-2.718582,0.001846
CC(=O)C=CC=C(C)CCC=C(C)C,C=C(C)C(=O)OC(C)(C)C,0.253155,0.000207,17.371674,-476.060547,-3.089157,0.005334,16.636749,-509.501953,-2.589005,0.001174
CC(=O)C=CC=C(C)CCC=C(C)C,FC1CCCN1,0.240972,0.000189,18.537109,-604.566406,-3.270287,0.005053,18.368225,-659.171875,-2.646431,0.000406
CC(=O)C=CC=C(C)CCC=C(C)C,CCCCCCCC(=O)NC,0.253740,0.000205,17.494843,-149.304688,-3.113945,0.005264,16.067078,-612.464844,-2.561974,0.002249
CC(=O)C=CC=C(C)CCC=C(C)C,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.250768,0.000188,15.083771,-65.873047,-2.741066,0.005014,15.361938,-160.345703,-2.561493,0.002216
CC(=O)C=CC=C(C)CCC=C(C)C,C1=CC2C=CC1C2,0.260492,0.000209,15.860535,-473.525391,-2.894455,0.005455,17.182129,-235.214844,-2.793457,0.001848
CC(=O)C=CC=C(C)CCC=C(C)C,CCC(C)(O)CCC=C(C)C,0.235706,0.000171,17.891479,-473.818359,-3.126015,0.005036,15.373413,-636.359375,-2.367470,0.001217
CC(=O)C=CC=C(C)CCC=C(C)C,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.247148,0.000198,18.329926,-152.515625,-3.080658,0.004049,17.112823,-705.234375,-2.877274,0.002780
CC(=O)C=CC=C(C)CCC=C(C)C,CCC(C)CCF,0.264209,0.000214,15.495667,-383.984375,-2.849968,0.005609,16.731567,-218.025391,-2.740929,0.002033
CC(=O)C=CC=C(C)CCC=C(C)C,C=Cc1cccc(CC)c1,0.259925,0.000217,17.342590,-516.552734,-3.075996,0.005367,17.273590,-506.736328,-2.735153,0.001511
CC(=O)C=CC=C(C)CCC=C(C)C,CC(C)(C(O)(F)F)C(F)(F)F,0.129792,-0.000077,20.928070,-2051.914062,-3.467285,0.004545,11.177765,-1527.361328,-1.540680,-0.000089
CC(=O)C=CC=C(C)CCC=C(C)C,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.260949,0.000202,15.046600,-414.388672,-2.729248,0.005054,16.361420,-146.001953,-2.765434,0.002483
CC(=O)C=CC=C(C)CCC=C(C)C,CCN(CC)c1ccc(N)cc1,0.241358,0.000194,19.761414,-494.355469,-3.369743,0.004655,18.028168,-844.597656,-2.768799,0.001388
CC(=O)C=CC=C(C)CCC=C(C)C,FC(F)CC(F)(F)F,0.243206,0.000180,17.941833,-639.335938,-3.182541,0.005027,17.530060,-581.267578,-2.608940,0.000882
CC(=O)C=CC=C(C)CCC=C(C)C,N#CCCOCCC#N,0.244454,0.000185,18.377075,-196.892578,-3.339165,0.005431,15.040558,-167.468750,-2.169586,0.000641
CC(=O)C=CC=C(C)CCC=C(C)C,CCC(C)C(C)C(C)C,0.254541,0.000186,14.125244,-217.724609,-2.556396,0.004872,16.132996,191.566406,-2.831581,0.003120
CC(=O)C=CC=C(C)CCC=C(C)C,Cn1c(=O)ccc2ccccc21,0.249464,0.000201,18.665253,-359.923828,-3.322754,0.005107,17.037018,-596.675781,-2.560989,0.001318
CC(=O)C=CC=C(C)CCC=C(C)C,CCOC(=O)c1ccccc1N,0.224692,0.000152,19.422607,-865.441406,-3.214417,0.004256,17.673492,-928.529297,-2.588394,0.000429
CC(=O)C=CC=C(C)CCC=C(C)C,ClC1CN2CCC1CC2,0.251169,0.000203,17.523804,-544.695312,-3.101410,0.005120,17.266632,-659.750000,-2.602287,0.000851
CC(=O)C=CC=C(C)CCC=C(C)C,CC=CCCCCCCCC#N,0.255263,0.000215,18.094177,-440.082031,-3.203354,0.005381,16.879852,-683.005859,-2.608055,0.001318
CC(=O)C=CC=C(C)CCC=C(C)C,COCCl,0.253053,0.000209,17.670502,-546.455078,-3.220818,0.005655,17.998260,-520.667969,-2.653938,0.000625
CC(=O)C=CC=C(C)CCC=C(C)C,NCCc1cccnc1,0.250870,0.000195,16.602631,-73.494141,-3.300255,0.006601,17.324707,-307.042969,-2.595078,0.002184
CC(=O)C=CC=C(C)CCC=C(C)C,Cc1cccc(C(=O)O)c1,0.183317,0.000056,20.127563,-1324.617188,-3.246407,0.003803,15.050812,-1142.933594,-2.052185,-0.000222
CC(=O)C=CC=C(C)CCC=C(C)C,C=CCNC,0.249353,0.000197,16.709290,-378.773438,-3.109779,0.006045,17.458801,-503.929688,-2.658661,0.001210
CC(=O)C=CC=C(C)CCC=C(C)C,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.214605,0.000115,12.022156,394.425781,-2.173790,0.003747,13.930756,890.220703,-2.606087,0.002632
CC(=O)C=CC=C(C)CCC=C(C)C,CC(CO)C(F)(F)F,0.230240,0.000156,18.321136,-700.791016,-3.149673,0.004876,16.104919,-728.751953,-2.365158,0.000533
CC(=O)C=CC=C(C)CCC=C(C)C,CC(C)C(=O)C(F)(F)F,0.258749,0.000214,16.585632,-417.349609,-2.974312,0.005298,16.455719,-428.355469,-2.575684,0.001257
CC(=O)C=CC=C(C)CCC=C(C)C,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.232876,0.000147,15.386475,-206.394531,-2.543991,0.003336,15.796356,-247.712891,-2.674019,0.002238
CC(=O)C=CC=C(C)CCC=C(C)C,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.260251,0.000219,17.358429,-271.259766,-3.046082,0.005028,16.173798,-637.378906,-2.629288,0.002194
CC(=O)C=CC=C(C)CCC=C(C)C,C=CCN(C)CC=C,0.256186,0.000203,16.147003,-430.132812,-2.875992,0.004841,16.221100,-454.632812,-2.601677,0.001760
CC(=O)C=CC=C(C)CCC=C(C)C,COCC(F)C(F)(F)F,0.254435,0.000209,17.190796,-444.685547,-3.092522,0.005436,17.042175,-549.576172,-2.559021,0.000842
CC(=O)C=CC=C(C)CCC=C(C)C,CNC(C)(C)C,0.240861,0.000178,16.061218,-331.736328,-3.014496,0.006078,17.212311,-409.369141,-2.639389,0.001284
CC(=O)C=CC=C(C)CCC=C(C)C,C1COCCOCCOCCO1,0.247076,0.000189,16.623138,-291.523438,-3.115242,0.005580,16.969086,-491.853516,-2.516830,0.001544
CC(=O)C=CC=C(C)CCC=C(C)C,O=NF,0.230349,0.000160,15.417206,-117.501953,-3.180481,0.006800,16.663788,341.054688,-2.206856,-0.000269
CC(=O)C=CC=C(C)CCC=C(C)C,CCN(CC)CCN,0.247192,0.000193,16.747345,-171.474609,-3.215179,0.006484,17.426971,-416.914062,-2.701813,0.001966
CC(=O)C=CC=C(C)CCC=C(C)C,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.262681,0.000207,14.867645,-153.902344,-2.690773,0.005127,15.682465,-103.380859,-2.672913,0.002644
CC(=O)C=CC=C(C)CCC=C(C)C,CC(=O)Nc1ccc(Br)cc1,0.226997,0.000155,19.283844,-673.382812,-3.208160,0.004109,15.892731,-849.238281,-2.377136,0.000971
CC(=O)C=CC=C(C)CCC=C(C)C,c1ccc(COc2ccccc2)cc1,0.249809,0.000205,18.407593,-586.136719,-3.200798,0.005185,17.090820,-694.693359,-2.597221,0.000802
CC(=O)C=CC=C(C)CCC=C(C)C,FC(F)(F)C(F)(F)C(Cl)(Cl)C(F)(F)F,0.244146,0.000167,13.195190,-48.925781,-2.404251,0.004618,15.126556,304.107422,-2.657295,0.002717
CC(=O)C=CC=C(C)CCC=C(C)C,CC(C)(C)OCF,0.257598,0.000216,17.391479,-474.882812,-3.127190,0.005514,17.111145,-576.353516,-2.601250,0.000947
CC(=O)C=CC=C(C)CCC=C(C)C,OCCCCOC1CCCO1,0.248329,0.000194,17.467529,-349.320312,-3.177795,0.005592,16.776093,-624.744141,-2.549171,0.001477
CC(=O)C=CC=C(C)CCC=C(C)C,OCCCCC(O)CO,0.242319,0.000162,16.335693,263.279297,-3.072563,0.005249,12.815033,-206.701172,-1.980171,0.003091
CC(=O)C=CC=C(C)CCC=C(C)C,CC(C)C(=O)C(=O)O,0.211221,0.000123,19.169220,-1108.044922,-3.135620,0.004099,17.649902,-935.529297,-2.464012,-0.000503
CC(=O)C=CC=C(C)CCC=C(C)C,N#CCl,0.233417,0.000162,17.140289,-589.228516,-3.050163,0.004470,17.851074,-559.851562,-2.661285,0.000922
CC(=O)C=CC=C(C)CCC=C(C)C,CC(C)(C)CCO,0.240098,0.000177,17.558838,-474.050781,-3.071579,0.005030,15.658997,-635.808594,-2.374519,0.001037
CC(=O)C=CC=C(C)CCC=C(C)C,CCc1cc(C(N)=S)ccn1,0.210635,0.000115,18.984467,-667.185547,-3.061768,0.003484,15.243378,-949.582031,-2.243027,0.001331
CC(=O)C=CC=C(C)CCC=C(C)C,CCCCCCCCCCCCC(N)=O,0.244521,0.000185,17.669861,-69.685547,-3.049026,0.004579,15.346222,-619.333984,-2.486572,0.002572
CC(=O)C=CC=C(C)CCC=C(C)C,CCOc1ccccc1F,0.254971,0.000214,18.014130,-590.824219,-3.176857,0.005317,17.595856,-641.027344,-2.697113,0.000909
CC(=O)C=CC=C(C)CCC=C(C)C,CCCCCCCCCCCCCCCC(=O)O,0.200772,0.000094,18.976196,-1077.443359,-3.064117,0.003697,15.047394,-992.185547,-2.139954,0.000262
