SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(=O)OCC(C)C1CC=C(C)CC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.250075,0.000204,19.814789,-423.826172,-3.393463,0.004840,15.902954,-572.429688,-2.424255,0.000960
CC(=O)OCC(C)C1CC=C(C)CC1,CC(=O)Nc1ccc(C=O)cc1,0.261644,0.000211,17.906586,285.871094,-3.159065,0.004175,13.203918,-134.273438,-2.217415,0.002851
CC(=O)OCC(C)C1CC=C(C)CC1,Cc1cccc(CO)c1,0.250770,0.000207,18.707764,-309.859375,-3.279160,0.004792,16.349609,-613.136719,-2.505432,0.001439
CC(=O)OCC(C)C1CC=C(C)CC1,COC(C)CO,0.258475,0.000212,17.285217,-146.392578,-3.239403,0.005522,16.901733,-445.107422,-2.579437,0.001913
CC(=O)OCC(C)C1CC=C(C)CC1,Nc1nc(=O)c2ccccc2o1,0.247498,0.000171,18.183411,800.064453,-2.975128,0.002477,8.239105,215.494141,-1.583176,0.004221
CC(=O)OCC(C)C1CC=C(C)CC1,CC(Cl)Br,0.249961,0.000204,18.305939,-669.332031,-3.229996,0.005452,18.472992,-686.650391,-2.762871,0.000572
CC(=O)OCC(C)C1CC=C(C)CC1,CCCOC(F)F,0.260439,0.000225,17.889893,-493.650391,-3.212975,0.005649,17.595551,-644.261719,-2.660919,0.000952
CC(=O)OCC(C)C1CC=C(C)CC1,COC1CC2CCC1(C)C2(C)C,0.258663,0.000216,17.303833,-389.560547,-3.072235,0.005226,16.639221,-595.707031,-2.621620,0.001582
CC(=O)OCC(C)C1CC=C(C)CC1,CCC(=O)C1=NCCC1,0.254030,0.000211,18.204559,-492.238281,-3.234230,0.005287,17.249359,-668.017578,-2.597466,0.001134
CC(=O)OCC(C)C1CC=C(C)CC1,NC(CF)(CF)CF,0.251135,0.000198,17.426147,-222.148438,-3.280296,0.005813,16.496033,-313.230469,-2.377953,0.001246
CC(=O)OCC(C)C1CC=C(C)CC1,CC(C)CCCC(C)CC=O,0.261873,0.000226,17.986633,-387.162109,-3.213768,0.005525,16.821198,-682.021484,-2.630562,0.001577
CC(=O)OCC(C)C1CC=C(C)CC1,Cc1coc(C)n1,0.252309,0.000209,18.490967,-459.775391,-3.327293,0.005453,17.685150,-638.544922,-2.643433,0.001102
CC(=O)OCC(C)C1CC=C(C)CC1,NC(=S)NC(N)=S,0.221451,0.000116,17.773682,-100.539062,-3.118462,0.004795,14.862610,-324.207031,-2.082596,0.001860
CC(=O)OCC(C)C1CC=C(C)CC1,FC(F)C(Cl)C(F)F,0.229491,0.000156,19.850586,-856.160156,-3.468163,0.004894,18.955780,-805.935547,-2.648537,0.000516
CC(=O)OCC(C)C1CC=C(C)CC1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.240371,0.000168,15.588104,-185.304688,-2.659576,0.004059,15.083344,-347.554688,-2.398369,0.001605
CC(=O)OCC(C)C1CC=C(C)CC1,NNC(=O)c1ccccc1,0.264131,0.000210,16.959625,461.808594,-3.161659,0.004792,13.091278,32.830078,-2.185303,0.003251
CC(=O)OCC(C)C1CC=C(C)CC1,ClC=CBr,0.247975,0.000193,17.990234,-780.873047,-3.157295,0.005270,18.868011,-671.218750,-2.876129,0.000748
CC(=O)OCC(C)C1CC=C(C)CC1,CN(C)N=O,0.251932,0.000192,17.194733,-103.416016,-3.289803,0.005740,15.990448,-147.238281,-2.272270,0.001165
CC(=O)OCC(C)C1CC=C(C)CC1,c1ccc(C2CCCCC2)cc1,0.262907,0.000226,17.506500,-403.712891,-3.123299,0.005451,16.576447,-619.359375,-2.610168,0.001528
CC(=O)OCC(C)C1CC=C(C)CC1,N#Cc1ccncc1,0.244605,0.000193,19.199982,-506.949219,-3.324600,0.004846,17.372955,-692.943359,-2.594170,0.001032
CC(=O)OCC(C)C1CC=C(C)CC1,CN(C)C(=S)Nc1ccccc1,0.235914,0.000168,19.134613,-303.216797,-3.192482,0.003831,15.008881,-536.548828,-2.250824,0.001260
CC(=O)OCC(C)C1CC=C(C)CC1,CCC(N)CC,0.252741,0.000203,16.887665,-209.867188,-3.208298,0.006286,17.413605,-472.509766,-2.713684,0.001938
CC(=O)OCC(C)C1CC=C(C)CC1,COC(=O)CO,0.255567,0.000203,16.884033,-130.888672,-3.211777,0.005453,15.925537,-193.841797,-2.249786,0.001300
CC(=O)OCC(C)C1CC=C(C)CC1,Cc1c(N)cccc1Cl,0.226749,0.000157,19.990692,-798.378906,-3.326843,0.004220,18.354248,-913.472656,-2.684814,0.000685
CC(=O)OCC(C)C1CC=C(C)CC1,CC1CCC(C(C)(C)OO)CC1,0.234008,0.000175,18.983917,-620.998047,-3.169724,0.004198,16.529327,-789.044922,-2.469749,0.000765
CC(=O)OCC(C)C1CC=C(C)CC1,CC(F)(Cl)CF,0.255055,0.000214,18.211609,-529.710938,-3.273117,0.005586,17.696747,-621.517578,-2.637627,0.000854
CC(=O)OCC(C)C1CC=C(C)CC1,CCCCC1OC(C)CC(C)(C)O1,0.259262,0.000220,17.854675,-390.666016,-3.154945,0.005264,16.830170,-701.007812,-2.640877,0.001632
CC(=O)OCC(C)C1CC=C(C)CC1,CC(C)(C)OCC1CO1,0.260724,0.000225,18.171387,-448.308594,-3.273148,0.005625,17.419128,-657.048828,-2.651733,0.001311
CC(=O)OCC(C)C1CC=C(C)CC1,O=P(O)(O)OP(=O)(O)O,0.185333,0.000017,16.761780,-529.814453,-2.848213,0.004924,6.279053,-740.863281,-0.952477,0.002375
CC(=O)OCC(C)C1CC=C(C)CC1,CC(=O)Nc1ccc(C)cc1,0.260846,0.000218,18.455963,-44.011719,-3.216057,0.004554,14.988525,-442.896484,-2.434227,0.002172
CC(=O)OCC(C)C1CC=C(C)CC1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.243943,0.000167,17.844025,413.941406,-3.301819,0.005231,12.489288,389.837891,-1.920593,0.001314
CC(=O)OCC(C)C1CC=C(C)CC1,CC(C)(O)CCC1CCCCC1,0.260713,0.000222,17.941742,-59.658203,-3.244080,0.005311,15.926117,-502.699219,-2.596725,0.002441
CC(=O)OCC(C)C1CC=C(C)CC1,COCC(F)(F)F,0.259198,0.000220,17.480560,-407.806641,-3.222542,0.005568,17.249268,-492.654297,-2.576408,0.001116
CC(=O)OCC(C)C1CC=C(C)CC1,COCC(O)COC,0.258355,0.000212,17.379669,-290.156250,-3.271172,0.005897,17.070679,-452.880859,-2.515770,0.001374
CC(=O)OCC(C)C1CC=C(C)CC1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.254810,0.000200,18.962158,524.609375,-3.150948,0.002982,11.751923,-105.750000,-2.139977,0.003661
CC(=O)OCC(C)C1CC=C(C)CC1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.210970,0.000113,20.033630,-500.996094,-3.210335,0.003124,14.326477,-766.148438,-2.094429,0.001456
CC(=O)OCC(C)C1CC=C(C)CC1,CC(C)C(F)F,0.264169,0.000228,17.199768,-418.968750,-3.152008,0.005822,17.108490,-578.222656,-2.616783,0.001191
CC(=O)OCC(C)C1CC=C(C)CC1,CCCCC1C=C(C)CC(C)O1,0.258073,0.000217,17.580566,-392.875000,-3.100159,0.005175,16.655457,-662.681641,-2.612648,0.001527
CC(=O)OCC(C)C1CC=C(C)CC1,COc1ccc(C(C)=O)cc1,0.260458,0.000216,18.290009,-275.425781,-3.278549,0.005482,15.794678,-460.962891,-2.441422,0.001429
CC(=O)OCC(C)C1CC=C(C)CC1,Oc1cc(O)ncn1,0.230837,0.000146,17.778687,29.574219,-3.109688,0.004007,14.036346,-455.601562,-2.111931,0.002558
CC(=O)OCC(C)C1CC=C(C)CC1,COCCCCl,0.262108,0.000223,17.330627,-419.193359,-3.163162,0.005688,17.079803,-600.556641,-2.602264,0.001290
CC(=O)OCC(C)C1CC=C(C)CC1,CCCOC,0.257797,0.000215,17.135162,-446.240234,-3.105194,0.005396,17.180145,-618.212891,-2.675987,0.001369
CC(=O)OCC(C)C1CC=C(C)CC1,Fc1c(F)c(F)c(F)c(F)c1F,0.261455,0.000214,15.848267,-276.109375,-2.910965,0.005291,15.426636,-381.074219,-2.462082,0.001703
CC(=O)OCC(C)C1CC=C(C)CC1,CCP(CC)CC,0.257347,0.000217,17.757019,-445.373047,-3.160789,0.005439,16.949158,-662.318359,-2.607475,0.001213
CC(=O)OCC(C)C1CC=C(C)CC1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.262859,0.000227,17.999298,-288.501953,-3.208992,0.005377,16.769257,-727.062500,-2.679916,0.002145
CC(=O)OCC(C)C1CC=C(C)CC1,Fc1cc(F)c(F)cc1F,0.250201,0.000201,18.128235,-602.955078,-3.170967,0.005174,17.421692,-718.929688,-2.655289,0.000928
CC(=O)OCC(C)C1CC=C(C)CC1,CCCCc1ccc(C(=O)O)cc1,0.229420,0.000157,18.594543,-730.607422,-3.089745,0.004153,15.930542,-814.263672,-2.346176,0.000665
CC(=O)OCC(C)C1CC=C(C)CC1,C=Cc1c(C)cc(C)cc1C,0.263281,0.000228,17.666870,-400.824219,-3.173218,0.005612,16.845062,-656.671875,-2.633240,0.001498
CC(=O)OCC(C)C1CC=C(C)CC1,C=C(C)C(=O)OC(C)(C)C,0.261214,0.000227,18.297516,-424.150391,-3.274948,0.005631,16.897186,-673.564453,-2.615433,0.001381
CC(=O)OCC(C)C1CC=C(C)CC1,FC1CCCN1,0.249020,0.000202,18.438507,-433.785156,-3.308174,0.005180,17.402130,-553.140625,-2.543243,0.000872
CC(=O)OCC(C)C1CC=C(C)CC1,CCCCCCCC(=O)NC,0.265449,0.000225,18.082428,140.001953,-3.174965,0.004696,14.612030,-376.408203,-2.491379,0.002900
CC(=O)OCC(C)C1CC=C(C)CC1,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.259344,0.000208,15.522217,-17.345703,-2.895531,0.005273,15.051208,-292.638672,-2.432701,0.002246
CC(=O)OCC(C)C1CC=C(C)CC1,C1=CC2C=CC1C2,0.263366,0.000224,17.044891,-434.707031,-3.085693,0.005573,17.148773,-557.875000,-2.685066,0.001443
CC(=O)OCC(C)C1CC=C(C)CC1,CCC(C)(O)CCC=C(C)C,0.256411,0.000218,18.295776,-237.460938,-3.264931,0.005282,16.514038,-621.394531,-2.606445,0.001882
CC(=O)OCC(C)C1CC=C(C)CC1,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.255879,0.000220,18.771820,-184.384766,-3.234642,0.004620,17.912445,-802.431641,-3.000343,0.002673
CC(=O)OCC(C)C1CC=C(C)CC1,CCC(C)CCF,0.267152,0.000230,16.741180,-367.011719,-3.047050,0.005659,16.669281,-556.189453,-2.626022,0.001625
CC(=O)OCC(C)C1CC=C(C)CC1,C=Cc1cccc(CC)c1,0.261377,0.000226,17.982391,-438.623047,-3.218925,0.005617,17.172455,-686.503906,-2.654549,0.001347
CC(=O)OCC(C)C1CC=C(C)CC1,CC(C)(C(O)(F)F)C(F)(F)F,0.155749,-0.000008,20.751770,-1701.289062,-3.220688,0.003545,13.624542,-1324.746094,-1.865196,-0.000680
CC(=O)OCC(C)C1CC=C(C)CC1,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.265955,0.000222,16.120300,-387.593750,-2.910889,0.005120,16.501404,-461.927734,-2.683334,0.001979
