SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC1=CC2C(C#N)CC1CC2C(C)C,O=P(Cl)(c1ccccc1)c1ccccc1,0.252831,0.000213,19.630310,-442.390625,-3.383835,0.005059,16.189575,-657.115234,-2.502602,0.001134
CC1=CC2C(C#N)CC1CC2C(C)C,CC(=O)Nc1ccc(C=O)cc1,0.262713,0.000215,17.660797,221.425781,-3.197235,0.004798,13.932404,-217.083984,-2.333397,0.002828
CC1=CC2C(C#N)CC1CC2C(C)C,Cc1cccc(CO)c1,0.253338,0.000210,18.180145,-182.962891,-3.279160,0.005249,16.514587,-570.822266,-2.581718,0.001935
CC1=CC2C(C#N)CC1CC2C(C)C,COC(C)CO,0.258350,0.000213,16.924469,-136.253906,-3.238106,0.005917,17.653351,-507.894531,-2.710358,0.002184
CC1=CC2C(C#N)CC1CC2C(C)C,Nc1nc(=O)c2ccccc2o1,0.254246,0.000192,17.991119,863.576172,-3.063049,0.002792,10.122955,251.121094,-1.946754,0.004404
CC1=CC2C(C#N)CC1CC2C(C)C,CC(Cl)Br,0.251241,0.000204,18.084320,-676.386719,-3.196968,0.005485,18.252319,-660.097656,-2.765831,0.000674
CC1=CC2C(C#N)CC1CC2C(C)C,CCCOC(F)F,0.261752,0.000224,17.304047,-470.548828,-3.117233,0.005607,17.127960,-588.677734,-2.631950,0.001044
CC1=CC2C(C#N)CC1CC2C(C)C,COC1CC2CCC1(C)C2(C)C,0.255005,0.000202,16.153381,-340.845703,-2.894211,0.005182,16.164093,-345.986328,-2.623001,0.001903
CC1=CC2C(C#N)CC1CC2C(C)C,CCC(=O)C1=NCCC1,0.253843,0.000209,17.746918,-500.210938,-3.132156,0.005181,16.980865,-652.291016,-2.572922,0.001053
CC1=CC2C(C#N)CC1CC2C(C)C,NC(CF)(CF)CF,0.251656,0.000198,16.525024,-156.845703,-3.259796,0.006541,17.228821,-288.603516,-2.512856,0.001658
