SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(=O)Nc1ccc(Cl)c(Cl)c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.237341,0.000177,18.849182,-706.097656,-3.192612,0.004853,17.189697,-697.873047,-2.637726,0.000807
CCC(=O)Nc1ccc(Cl)c(Cl)c1,CC(=O)Nc1ccc(C=O)cc1,0.230569,0.000157,18.115631,-568.875000,-3.054466,0.004348,14.668732,-796.025391,-2.197891,0.001113
CCC(=O)Nc1ccc(Cl)c(Cl)c1,Cc1cccc(CO)c1,0.239604,0.000178,17.832977,-555.365234,-3.045204,0.004647,15.562988,-725.755859,-2.360977,0.000948
CCC(=O)Nc1ccc(Cl)c(Cl)c1,COC(C)CO,0.208811,0.000113,19.307220,-978.267578,-3.133408,0.003852,16.419495,-1046.460938,-2.384735,0.000493
CCC(=O)Nc1ccc(Cl)c(Cl)c1,Nc1nc(=O)c2ccccc2o1,0.227855,0.000143,17.886749,-243.382812,-3.006714,0.003961,12.022430,-637.033203,-1.951942,0.002238
CCC(=O)Nc1ccc(Cl)c(Cl)c1,CC(Cl)Br,0.277766,0.000238,13.876282,-301.476562,-2.775314,0.007322,17.842590,438.203125,-2.989548,0.001240
CCC(=O)Nc1ccc(Cl)c(Cl)c1,CCCOC(F)F,0.280593,0.000240,13.305481,-127.027344,-2.676704,0.006788,16.914062,497.964844,-2.909676,0.001979
CCC(=O)Nc1ccc(Cl)c(Cl)c1,COC1CC2CCC1(C)C2(C)C,0.259739,0.000197,13.736603,-312.800781,-2.485504,0.005008,17.280426,187.228516,-2.839928,0.001946
CCC(=O)Nc1ccc(Cl)c(Cl)c1,CCC(=O)C1=NCCC1,0.228790,0.000147,17.371460,-1014.263672,-2.855530,0.004491,18.318665,-679.019531,-2.760406,0.000316
CCC(=O)Nc1ccc(Cl)c(Cl)c1,NC(CF)(CF)CF,0.226035,0.000141,16.711060,-593.828125,-2.834679,0.004214,14.619843,-719.796875,-2.137718,0.000706
CCC(=O)Nc1ccc(Cl)c(Cl)c1,CC(C)CCCC(C)CC=O,0.237754,0.000160,16.600189,-832.937500,-2.800430,0.004766,17.480896,-500.445312,-2.715233,0.000883
CCC(=O)Nc1ccc(Cl)c(Cl)c1,Cc1coc(C)n1,0.198738,0.000088,19.166016,-1186.830078,-3.102890,0.003970,16.102966,-1082.533203,-2.290169,0.000003
