SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC1OCC2(CC=C(C)CC2C)CO1,O=P(Cl)(c1ccccc1)c1ccccc1,0.251308,0.000204,19.627563,-361.226562,-3.359589,0.004758,15.725647,-530.964844,-2.413902,0.001085
CCC1OCC2(CC=C(C)CC2C)CO1,CC(=O)Nc1ccc(C=O)cc1,0.263514,0.000211,17.518219,458.974609,-3.094711,0.003905,12.642883,-39.007812,-2.189636,0.003411
CCC1OCC2(CC=C(C)CC2C)CO1,Cc1cccc(CO)c1,0.246137,0.000192,18.197601,-365.218750,-3.127274,0.004464,15.643005,-579.605469,-2.386131,0.001190
CCC1OCC2(CC=C(C)CC2C)CO1,COC(C)CO,0.260345,0.000216,17.083954,-82.382812,-3.196159,0.005206,16.518829,-388.035156,-2.560333,0.002084
CCC1OCC2(CC=C(C)CC2C)CO1,Nc1nc(=O)c2ccccc2o1,0.237677,0.000148,17.976746,1022.535156,-2.868416,0.001752,6.975372,294.484375,-1.448425,0.004863
CCC1OCC2(CC=C(C)CC2C)CO1,CC(Cl)Br,0.249956,0.000204,18.070068,-668.613281,-3.180702,0.005392,18.499603,-673.859375,-2.742699,0.000439
CCC1OCC2(CC=C(C)CC2C)CO1,CCCOC(F)F,0.261212,0.000224,17.522400,-512.349609,-3.138832,0.005609,17.572815,-614.708984,-2.640289,0.000806
CCC1OCC2(CC=C(C)CC2C)CO1,COC1CC2CCC1(C)C2(C)C,0.261724,0.000220,17.015717,-448.693359,-3.018639,0.005286,16.950531,-580.878906,-2.646187,0.001388
CCC1OCC2(CC=C(C)CC2C)CO1,CCC(=O)C1=NCCC1,0.255642,0.000212,17.745605,-496.886719,-3.177223,0.005382,17.342590,-633.921875,-2.596992,0.001040
CCC1OCC2(CC=C(C)CC2C)CO1,NC(CF)(CF)CF,0.251217,0.000197,17.406067,-196.375000,-3.226944,0.005406,16.286804,-299.048828,-2.338722,0.001164
CCC1OCC2(CC=C(C)CC2C)CO1,CC(C)CCCC(C)CC=O,0.261538,0.000225,17.771698,-418.814453,-3.172722,0.005500,17.035370,-673.509766,-2.641350,0.001421
CCC1OCC2(CC=C(C)CC2C)CO1,Cc1coc(C)n1,0.255594,0.000214,18.024597,-442.808594,-3.265671,0.005472,17.846466,-643.738281,-2.670044,0.001226
CCC1OCC2(CC=C(C)CC2C)CO1,NC(=S)NC(N)=S,0.226976,0.000114,17.026337,74.751953,-2.716103,0.003518,10.832855,-244.021484,-1.579124,0.002207
CCC1OCC2(CC=C(C)CC2C)CO1,FC(F)C(Cl)C(F)F,0.229559,0.000153,19.308411,-799.322266,-3.374283,0.004688,18.325775,-736.183594,-2.516113,0.000418
CCC1OCC2(CC=C(C)CC2C)CO1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.238032,0.000163,15.226135,-99.617188,-2.569504,0.003778,14.939850,-260.205078,-2.382484,0.001598
CCC1OCC2(CC=C(C)CC2C)CO1,NNC(=O)c1ccccc1,0.266991,0.000211,16.606812,766.771484,-3.067215,0.004161,11.582611,216.525391,-2.054314,0.004118
CCC1OCC2(CC=C(C)CC2C)CO1,ClC=CBr,0.246772,0.000191,18.020721,-812.033203,-3.164650,0.005185,19.222809,-668.591797,-2.873657,0.000541
CCC1OCC2(CC=C(C)CC2C)CO1,CN(C)N=O,0.254950,0.000196,16.650818,-57.363281,-3.212494,0.005734,15.962555,-119.078125,-2.250824,0.001320
CCC1OCC2(CC=C(C)CC2C)CO1,c1ccc(C2CCCCC2)cc1,0.263836,0.000226,17.195831,-431.574219,-3.073929,0.005511,16.741028,-628.363281,-2.608780,0.001361
CCC1OCC2(CC=C(C)CC2C)CO1,N#Cc1ccncc1,0.243577,0.000189,18.897858,-527.013672,-3.281685,0.004856,17.378296,-675.607422,-2.571259,0.000911
CCC1OCC2(CC=C(C)CC2C)CO1,CN(C)C(=S)Nc1ccccc1,0.239005,0.000165,17.753632,-210.843750,-2.939537,0.003600,14.358643,-408.011719,-2.154091,0.001283
CCC1OCC2(CC=C(C)CC2C)CO1,CCC(N)CC,0.257525,0.000212,16.874207,-229.154297,-3.188164,0.006103,17.446747,-511.927734,-2.713264,0.001896
CCC1OCC2(CC=C(C)CC2C)CO1,COC(=O)CO,0.251293,0.000192,16.748322,-126.144531,-3.136406,0.004995,15.140411,-194.222656,-2.145393,0.001352
CCC1OCC2(CC=C(C)CC2C)CO1,Cc1c(N)cccc1Cl,0.227610,0.000154,19.349731,-771.740234,-3.235649,0.004118,18.191071,-877.980469,-2.622818,0.000735
CCC1OCC2(CC=C(C)CC2C)CO1,CC1CCC(C(C)(C)OO)CC1,0.226505,0.000155,18.199982,-720.412109,-2.962074,0.003766,16.117401,-760.037109,-2.356750,0.000321
