SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCC1C(=O)CCC1C(=O)OC,O=P(Cl)(c1ccccc1)c1ccccc1,0.249135,0.000206,19.776123,-495.673828,-3.396049,0.004965,16.841705,-666.373047,-2.551598,0.000843
CCCCCCC1C(=O)CCC1C(=O)OC,CC(=O)Nc1ccc(C=O)cc1,0.259013,0.000208,17.867493,117.925781,-3.149078,0.004422,14.167664,-311.380859,-2.323326,0.002512
CCCCCCC1C(=O)CCC1C(=O)OC,Cc1cccc(CO)c1,0.244874,0.000193,18.331696,-465.941406,-3.176140,0.004796,16.420868,-658.792969,-2.475975,0.000976
CCCCCCC1C(=O)CCC1C(=O)OC,COC(C)CO,0.258381,0.000214,16.889954,-211.714844,-3.177620,0.005703,17.605225,-498.712891,-2.668640,0.001718
CCCCCCC1C(=O)CCC1C(=O)OC,Nc1nc(=O)c2ccccc2o1,0.243505,0.000167,18.523254,510.380859,-3.019806,0.002885,9.761108,-55.068359,-1.770851,0.003511
CCCCCCC1C(=O)CCC1C(=O)OC,CC(Cl)Br,0.250285,0.000198,17.521942,-770.472656,-3.092613,0.005354,19.146759,-603.619141,-2.913025,0.000577
CCCCCCC1C(=O)CCC1C(=O)OC,CCCOC(F)F,0.262142,0.000223,16.989105,-549.017578,-3.058441,0.005497,17.949768,-557.427734,-2.752457,0.000959
CCCCCCC1C(=O)CCC1C(=O)OC,COC1CC2CCC1(C)C2(C)C,0.258562,0.000207,15.975128,-336.488281,-2.858521,0.005055,16.264496,-343.957031,-2.658569,0.002051
CCCCCCC1C(=O)CCC1C(=O)OC,CCC(=O)C1=NCCC1,0.253856,0.000210,17.775421,-552.835938,-3.146210,0.005309,17.654572,-686.212891,-2.644310,0.000839
CCCCCCC1C(=O)CCC1C(=O)OC,NC(CF)(CF)CF,0.248638,0.000199,17.692383,-357.949219,-3.278870,0.005707,17.549927,-449.373047,-2.514961,0.000910
CCCCCCC1C(=O)CCC1C(=O)OC,CC(C)CCCC(C)CC=O,0.259871,0.000218,17.038544,-380.353516,-3.077827,0.005507,16.771332,-563.009766,-2.646729,0.001594
CCCCCCC1C(=O)CCC1C(=O)OC,Cc1coc(C)n1,0.251396,0.000208,18.186981,-511.884766,-3.266167,0.005422,18.088318,-670.234375,-2.691788,0.000904
CCCCCCC1C(=O)CCC1C(=O)OC,NC(=S)NC(N)=S,0.208658,0.000081,18.454102,-620.916016,-3.040955,0.003912,14.740204,-718.599609,-2.074409,0.001703
CCCCCCC1C(=O)CCC1C(=O)OC,FC(F)C(Cl)C(F)F,0.225991,0.000141,19.759796,-1025.035156,-3.427757,0.004857,20.283386,-815.093750,-2.916107,0.000641
CCCCCCC1C(=O)CCC1C(=O)OC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.235893,0.000150,14.163177,-245.816406,-2.380096,0.003581,16.294952,-38.025391,-2.628479,0.001891
CCCCCCC1C(=O)CCC1C(=O)OC,NNC(=O)c1ccccc1,0.262169,0.000210,17.128265,261.382812,-3.155998,0.004977,14.360657,-136.443359,-2.328857,0.002671
CCCCCCC1C(=O)CCC1C(=O)OC,ClC=CBr,0.245343,0.000179,17.597229,-905.175781,-3.102280,0.005052,19.939606,-549.960938,-3.043518,0.000895
CCCCCCC1C(=O)CCC1C(=O)OC,CN(C)N=O,0.255117,0.000200,16.811890,-178.890625,-3.229980,0.005907,16.661438,-216.041016,-2.373985,0.001200
CCCCCCC1C(=O)CCC1C(=O)OC,c1ccc(C2CCCCC2)cc1,0.266537,0.000225,16.483368,-424.005859,-2.932030,0.005287,16.897949,-428.058594,-2.732071,0.001836
CCCCCCC1C(=O)CCC1C(=O)OC,N#Cc1ccncc1,0.241412,0.000185,18.942383,-645.515625,-3.267426,0.004566,18.199097,-786.046875,-2.726868,0.001011
CCCCCCC1C(=O)CCC1C(=O)OC,CN(C)C(=S)Nc1ccccc1,0.231449,0.000157,18.521515,-535.125000,-3.060356,0.003951,16.069061,-709.757812,-2.376076,0.000929
CCCCCCC1C(=O)CCC1C(=O)OC,CCC(N)CC,0.252133,0.000199,15.945679,-200.054688,-3.090538,0.006515,17.467804,-388.087891,-2.736351,0.001844
CCCCCCC1C(=O)CCC1C(=O)OC,COC(=O)CO,0.253439,0.000204,16.924377,-266.896484,-3.196899,0.005498,17.153931,-326.599609,-2.405807,0.000978
CCCCCCC1C(=O)CCC1C(=O)OC,Cc1c(N)cccc1Cl,0.218678,0.000136,19.955353,-969.857422,-3.318626,0.004091,19.222809,-946.521484,-2.732239,0.000324
CCCCCCC1C(=O)CCC1C(=O)OC,CC1CCC(C(C)(C)OO)CC1,0.226953,0.000156,18.437103,-767.664062,-3.048279,0.004041,16.797882,-803.701172,-2.455460,0.000311
CCCCCCC1C(=O)CCC1C(=O)OC,CC(F)(Cl)CF,0.256772,0.000215,17.651062,-601.062500,-3.166397,0.005527,18.356934,-637.666016,-2.780785,0.000828
CCCCCCC1C(=O)CCC1C(=O)OC,CCCCC1OC(C)CC(C)(C)O1,0.261605,0.000218,16.843933,-357.337891,-2.986595,0.005141,16.620331,-565.898438,-2.656570,0.001879
CCCCCCC1C(=O)CCC1C(=O)OC,CC(C)(C)OCC1CO1,0.261639,0.000226,17.703674,-467.017578,-3.201714,0.005696,17.569641,-656.962891,-2.678604,0.001161
CCCCCCC1C(=O)CCC1C(=O)OC,O=P(O)(O)OP(=O)(O)O,0.159902,-0.000043,16.858398,-1103.431641,-2.948639,0.005034,5.772919,-1043.490234,-0.792999,0.001645
CCCCCCC1C(=O)CCC1C(=O)OC,CC(=O)Nc1ccc(C)cc1,0.257089,0.000211,17.785919,-247.943359,-3.090706,0.004780,15.855286,-577.396484,-2.501282,0.001715
CCCCCCC1C(=O)CCC1C(=O)OC,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.249468,0.000181,17.655457,151.242188,-3.254410,0.005347,13.822784,92.751953,-2.050232,0.001165
CCCCCCC1C(=O)CCC1C(=O)OC,CC(C)(O)CCC1CCCCC1,0.257059,0.000210,16.727051,-63.005859,-3.069855,0.005441,15.807037,-414.189453,-2.580070,0.002368
CCCCCCC1C(=O)CCC1C(=O)OC,COCC(F)(F)F,0.259203,0.000217,16.880981,-458.880859,-3.087791,0.005315,17.451202,-517.433594,-2.636925,0.001013
CCCCCCC1C(=O)CCC1C(=O)OC,COCC(O)COC,0.259451,0.000216,17.070068,-319.873047,-3.231339,0.006060,17.758453,-517.013672,-2.624413,0.001408
CCCCCCC1C(=O)CCC1C(=O)OC,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.251127,0.000197,19.328979,297.792969,-3.173996,0.003246,13.413452,-321.583984,-2.341705,0.003041
CCCCCCC1C(=O)CCC1C(=O)OC,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.199219,0.000087,20.310516,-895.501953,-3.222252,0.003202,15.438538,-987.701172,-2.152603,0.000894
