SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCNC(=O)C1CCC(C)CC1C(C)C,O=P(Cl)(c1ccccc1)c1ccccc1,0.247063,0.000204,19.044891,-498.988281,-3.285683,0.004933,17.574280,-627.939453,-2.657661,0.000746
CCNC(=O)C1CCC(C)CC1C(C)C,CC(=O)Nc1ccc(C=O)cc1,0.236875,0.000170,17.805817,-414.238281,-3.058693,0.004292,15.329102,-676.402344,-2.294830,0.001364
CCNC(=O)C1CCC(C)CC1C(C)C,Cc1cccc(CO)c1,0.224132,0.000151,19.301697,-858.753906,-3.226303,0.004343,16.477173,-839.919922,-2.365768,0.000138
CCNC(=O)C1CCC(C)CC1C(C)C,COC(C)CO,0.239685,0.000181,17.879669,-548.939453,-3.148125,0.004847,17.182190,-688.982422,-2.501259,0.000703
CCNC(=O)C1CCC(C)CC1C(C)C,Nc1nc(=O)c2ccccc2o1,0.209517,0.000106,18.558380,-380.205078,-3.010139,0.003519,10.333069,-764.837891,-1.572075,0.001684
CCNC(=O)C1CCC(C)CC1C(C)C,CC(Cl)Br,0.259136,0.000209,15.964478,-640.529297,-2.967247,0.006511,19.007202,-32.195312,-2.996384,0.000451
CCNC(=O)C1CCC(C)CC1C(C)C,CCCOC(F)F,0.270977,0.000233,15.442841,-483.648438,-2.894836,0.006443,18.461273,-3.527344,-2.968140,0.000998
CCNC(=O)C1CCC(C)CC1C(C)C,COC1CC2CCC1(C)C2(C)C,0.263760,0.000212,15.254181,-458.552734,-2.748230,0.005362,17.537872,-10.599609,-2.851227,0.001626
CCNC(=O)C1CCC(C)CC1C(C)C,CCC(=O)C1=NCCC1,0.250917,0.000199,16.839050,-664.757812,-2.923889,0.005025,18.434937,-426.164062,-2.804985,0.000577
CCNC(=O)C1CCC(C)CC1C(C)C,NC(CF)(CF)CF,0.231938,0.000166,17.598541,-559.966797,-3.078972,0.004478,17.184143,-564.414062,-2.381561,0.000308
CCNC(=O)C1CCC(C)CC1C(C)C,CC(C)CCCC(C)CC=O,0.260781,0.000216,16.475128,-538.103516,-2.905167,0.005304,17.946289,-331.650391,-2.838783,0.001172
CCNC(=O)C1CCC(C)CC1C(C)C,Cc1coc(C)n1,0.237474,0.000179,18.198547,-722.941406,-3.125854,0.004829,17.474915,-707.191406,-2.532974,0.000143
CCNC(=O)C1CCC(C)CC1C(C)C,NC(=S)NC(N)=S,0.198285,0.000058,18.201843,-685.066406,-2.890114,0.003810,12.374756,-784.386719,-1.822876,0.001840
CCNC(=O)C1CCC(C)CC1C(C)C,FC(F)C(Cl)C(F)F,0.233307,0.000152,18.542999,-884.164062,-3.293785,0.005531,19.984894,-481.154297,-2.920921,0.000608
CCNC(=O)C1CCC(C)CC1C(C)C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.243014,0.000163,14.330780,-197.521484,-2.522064,0.004951,15.110291,221.457031,-2.544662,0.001424
CCNC(=O)C1CCC(C)CC1C(C)C,NNC(=O)c1ccccc1,0.236735,0.000174,18.587372,-244.484375,-3.207062,0.004189,16.417267,-591.988281,-2.471848,0.001634
CCNC(=O)C1CCC(C)CC1C(C)C,ClC=CBr,0.254873,0.000193,16.270905,-816.593750,-2.979347,0.006057,20.100983,-106.947266,-3.168694,0.000868
CCNC(=O)C1CCC(C)CC1C(C)C,CN(C)N=O,0.248419,0.000191,16.409241,-264.640625,-3.054375,0.005282,17.137634,-308.074219,-2.396126,0.000888
CCNC(=O)C1CCC(C)CC1C(C)C,c1ccc(C2CCCCC2)cc1,0.276743,0.000235,14.489716,-366.705078,-2.736313,0.006408,17.484131,253.152344,-2.954041,0.001859
CCNC(=O)C1CCC(C)CC1C(C)C,N#Cc1ccncc1,0.228489,0.000159,18.596985,-827.054688,-3.087013,0.004201,18.373657,-781.468750,-2.677795,0.000165
CCNC(=O)C1CCC(C)CC1C(C)C,CN(C)C(=S)Nc1ccccc1,0.223651,0.000144,17.637146,-547.296875,-2.848778,0.003376,15.293304,-622.615234,-2.213295,0.000570
CCNC(=O)C1CCC(C)CC1C(C)C,CCC(N)CC,0.229687,0.000158,17.722717,-724.464844,-3.014877,0.004547,16.688171,-797.486328,-2.427620,0.000396
CCNC(=O)C1CCC(C)CC1C(C)C,COC(=O)CO,0.233925,0.000165,17.056366,-542.689453,-3.087906,0.004840,16.526764,-497.253906,-2.215767,0.000415
CCNC(=O)C1CCC(C)CC1C(C)C,Cc1c(N)cccc1Cl,0.204406,0.000104,20.610535,-1173.544922,-3.352997,0.003963,19.003815,-985.152344,-2.703644,0.000064
CCNC(=O)C1CCC(C)CC1C(C)C,CC1CCC(C(C)(C)OO)CC1,0.206496,0.000112,19.110107,-1116.958984,-3.080017,0.003859,16.474182,-877.748047,-2.356544,-0.000296
CCNC(=O)C1CCC(C)CC1C(C)C,CC(F)(Cl)CF,0.264831,0.000224,15.900391,-471.083984,-3.009315,0.006806,18.086517,-44.035156,-2.837074,0.000546
CCNC(=O)C1CCC(C)CC1C(C)C,CCCCC1OC(C)CC(C)(C)O1,0.259664,0.000211,16.239014,-493.304688,-2.830032,0.004975,17.535095,-321.121094,-2.792999,0.001352
CCNC(=O)C1CCC(C)CC1C(C)C,CC(C)(C)OCC1CO1,0.256203,0.000213,17.164001,-590.041016,-3.036827,0.005421,18.240509,-460.386719,-2.765511,0.000585
CCNC(=O)C1CCC(C)CC1C(C)C,O=P(O)(O)OP(=O)(O)O,0.129115,-0.000101,20.223389,-1404.296875,-3.387123,0.007017,0.660370,-1452.902344,-0.590408,0.002894
CCNC(=O)C1CCC(C)CC1C(C)C,CC(=O)Nc1ccc(C)cc1,0.239199,0.000179,18.089844,-557.851562,-3.079376,0.004484,16.134705,-737.417969,-2.426567,0.000927
CCNC(=O)C1CCC(C)CC1C(C)C,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.248366,0.000184,17.521027,302.119141,-3.143517,0.004228,13.283386,132.845703,-2.032776,0.001896
CCNC(=O)C1CCC(C)CC1C(C)C,CC(C)(O)CCC1CCCCC1,0.241604,0.000184,17.870544,-560.414062,-3.062233,0.004740,15.977875,-713.974609,-2.429253,0.000855
CCNC(=O)C1CCC(C)CC1C(C)C,COCC(F)(F)F,0.264034,0.000221,15.432098,-402.791016,-2.935020,0.006402,17.329193,53.046875,-2.713409,0.000542
CCNC(=O)C1CCC(C)CC1C(C)C,COCC(O)COC,0.241990,0.000185,17.731720,-559.630859,-3.146454,0.005027,17.317200,-643.320312,-2.485641,0.000579
CCNC(=O)C1CCC(C)CC1C(C)C,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.218350,0.000146,20.747528,-405.648438,-3.265915,0.003081,15.471497,-907.232422,-2.397743,0.001689
CCNC(=O)C1CCC(C)CC1C(C)C,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.162658,0.000002,20.690338,-1365.857422,-3.252342,0.003652,11.736084,-1291.599609,-1.657959,0.000595
CCNC(=O)C1CCC(C)CC1C(C)C,CC(C)C(F)F,0.276277,0.000238,14.486938,-364.408203,-2.825279,0.006832,17.832947,254.644531,-2.937737,0.001298
CCNC(=O)C1CCC(C)CC1C(C)C,CCCCC1C=C(C)CC(C)O1,0.260939,0.000210,15.753937,-476.958984,-2.764198,0.005060,17.389557,-190.125000,-2.805534,0.001497
CCNC(=O)C1CCC(C)CC1C(C)C,COc1ccc(C(C)=O)cc1,0.251624,0.000204,17.446045,-462.285156,-3.069847,0.005043,17.393250,-570.310547,-2.606293,0.000887
CCNC(=O)C1CCC(C)CC1C(C)C,Oc1cc(O)ncn1,0.184889,0.000048,18.915375,-982.689453,-3.147087,0.003851,12.000488,-1110.648438,-1.710083,0.000973
CCNC(=O)C1CCC(C)CC1C(C)C,COCCCCl,0.265088,0.000219,15.274994,-445.261719,-2.853790,0.005931,17.809998,-91.544922,-2.801476,0.001047
CCNC(=O)C1CCC(C)CC1C(C)C,CCCOC,0.258682,0.000207,15.570343,-568.105469,-2.814560,0.004853,18.237976,-271.572266,-2.836151,0.001319
CCNC(=O)C1CCC(C)CC1C(C)C,Fc1c(F)c(F)c(F)c(F)c1F,0.273308,0.000224,13.497620,-266.666016,-2.594620,0.006240,16.475708,388.287109,-2.776138,0.001719
CCNC(=O)C1CCC(C)CC1C(C)C,CCP(CC)CC,0.263479,0.000213,15.360596,-497.533203,-2.790382,0.005719,17.898499,15.902344,-2.910439,0.001366
CCNC(=O)C1CCC(C)CC1C(C)C,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.256782,0.000209,16.707458,-475.376953,-2.893845,0.004848,17.627319,-461.037109,-2.796822,0.001420
CCNC(=O)C1CCC(C)CC1C(C)C,Fc1cc(F)c(F)cc1F,0.259418,0.000206,16.103546,-659.373047,-2.923965,0.006007,18.724792,-147.464844,-3.007164,0.001044
CCNC(=O)C1CCC(C)CC1C(C)C,CCCCc1ccc(C(=O)O)cc1,0.190007,0.000068,19.408173,-1333.089844,-3.146324,0.004109,15.503265,-1042.394531,-2.209679,-0.000131
CCNC(=O)C1CCC(C)CC1C(C)C,C=Cc1c(C)cc(C)cc1C,0.276792,0.000236,14.673859,-329.873047,-2.791252,0.006441,17.601410,204.511719,-2.969620,0.001958
CCNC(=O)C1CCC(C)CC1C(C)C,C=C(C)C(=O)OC(C)(C)C,0.265777,0.000226,16.471008,-521.488281,-2.960571,0.005719,18.159821,-268.496094,-2.891571,0.001229
CCNC(=O)C1CCC(C)CC1C(C)C,FC1CCCN1,0.238134,0.000182,18.400177,-709.298828,-3.212379,0.004989,18.554901,-634.806641,-2.668182,0.000170
CCNC(=O)C1CCC(C)CC1C(C)C,CCCCCCCC(=O)NC,0.243055,0.000191,18.572327,-516.466797,-3.164787,0.004603,17.096344,-785.998047,-2.617729,0.001163
CCNC(=O)C1CCC(C)CC1C(C)C,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.270663,0.000218,13.556610,110.818359,-2.619919,0.005986,15.192474,441.681641,-2.671173,0.002492
CCNC(=O)C1CCC(C)CC1C(C)C,C1=CC2C=CC1C2,0.274023,0.000228,14.023956,-383.013672,-2.710152,0.006438,18.446930,387.955078,-3.088669,0.001773
CCNC(=O)C1CCC(C)CC1C(C)C,CCC(C)(O)CCC=C(C)C,0.238481,0.000181,18.237671,-639.369141,-3.111992,0.004752,16.088623,-733.652344,-2.415871,0.000559
CCNC(=O)C1CCC(C)CC1C(C)C,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.248397,0.000199,17.696838,-303.746094,-2.947083,0.004018,17.867096,-578.712891,-2.932121,0.001945
CCNC(=O)C1CCC(C)CC1C(C)C,CCC(C)CCF,0.276024,0.000232,14.042908,-340.873047,-2.702385,0.006364,17.942627,294.853516,-2.997223,0.001839
CCNC(=O)C1CCC(C)CC1C(C)C,C=Cc1cccc(CC)c1,0.274710,0.000235,15.131714,-384.625000,-2.848648,0.006502,17.842560,124.220703,-2.978867,0.001689
CCNC(=O)C1CCC(C)CC1C(C)C,CC(C)(C(O)(F)F)C(F)(F)F,0.130907,-0.000077,20.530975,-2073.955078,-3.476570,0.005047,10.674164,-1437.337891,-1.541023,-0.000195
CCNC(=O)C1CCC(C)CC1C(C)C,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.275227,0.000224,13.538757,-332.271484,-2.582008,0.005812,17.966919,377.767578,-3.080162,0.002531
CCNC(=O)C1CCC(C)CC1C(C)C,CCN(CC)c1ccc(N)cc1,0.233193,0.000182,19.987671,-651.625000,-3.348885,0.004382,18.269562,-857.166016,-2.709106,0.000585
CCNC(=O)C1CCC(C)CC1C(C)C,FC(F)CC(F)(F)F,0.257749,0.000205,15.910797,-476.070312,-2.969978,0.006282,17.376984,-52.134766,-2.709839,0.000674
CCNC(=O)C1CCC(C)CC1C(C)C,N#CCCOCCC#N,0.243051,0.000181,17.895721,-72.957031,-3.133858,0.004298,13.924957,-61.189453,-2.030716,0.000823
CCNC(=O)C1CCC(C)CC1C(C)C,CCC(C)C(C)C(C)C,0.274180,0.000217,12.354889,-55.341797,-2.428116,0.005905,17.228668,896.824219,-3.128662,0.003124
