SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(=O)CCC1=C(C)C=CCC1(C)C,O=P(Cl)(c1ccccc1)c1ccccc1,0.248903,0.000206,19.961700,-499.640625,-3.407928,0.004885,16.425415,-661.390625,-2.499748,0.000899
CC(=O)CCC1=C(C)C=CCC1(C)C,CC(=O)Nc1ccc(C=O)cc1,0.251710,0.000197,18.680267,16.138672,-3.200722,0.004039,13.690430,-401.716797,-2.229950,0.002350
CC(=O)CCC1=C(C)C=CCC1(C)C,Cc1cccc(CO)c1,0.241039,0.000188,18.848328,-477.076172,-3.224281,0.004498,15.972473,-721.513672,-2.417656,0.001155
CC(=O)CCC1=C(C)C=CCC1(C)C,COC(C)CO,0.255479,0.000210,17.362274,-213.279297,-3.249443,0.005672,17.347626,-522.347656,-2.624802,0.001824
CC(=O)CCC1=C(C)C=CCC1(C)C,Nc1nc(=O)c2ccccc2o1,0.236652,0.000155,19.014038,571.867188,-3.008804,0.002210,8.572021,-54.777344,-1.600601,0.003915
CC(=O)CCC1=C(C)C=CCC1(C)C,CC(Cl)Br,0.248372,0.000200,18.293427,-746.287109,-3.198776,0.005471,18.582581,-657.234375,-2.785446,0.000356
CC(=O)CCC1=C(C)C=CCC1(C)C,CCCOC(F)F,0.260187,0.000222,17.490356,-530.892578,-3.127213,0.005597,17.416565,-603.347656,-2.645851,0.000826
CC(=O)CCC1=C(C)C=CCC1(C)C,COC1CC2CCC1(C)C2(C)C,0.256914,0.000210,17.008362,-392.373047,-2.989998,0.005026,16.260284,-504.455078,-2.603340,0.001719
CC(=O)CCC1=C(C)C=CCC1(C)C,CCC(=O)C1=NCCC1,0.252776,0.000211,18.411774,-545.345703,-3.229698,0.005241,17.227905,-694.183594,-2.594887,0.000920
CC(=O)CCC1=C(C)C=CCC1(C)C,NC(CF)(CF)CF,0.248098,0.000195,17.423676,-248.625000,-3.288773,0.005879,17.036255,-364.011719,-2.447952,0.001312
