SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCCC=CCCCCCCCC(=O)OC,O=P(Cl)(c1ccccc1)c1ccccc1,0.244199,0.000186,19.188965,-261.251953,-3.417221,0.005157,15.334137,-238.847656,-2.254532,0.000489
CCCCCCCCC=CCCCCCCCC(=O)OC,CC(=O)Nc1ccc(C=O)cc1,0.256454,0.000192,16.563049,650.773438,-3.174553,0.004683,12.665436,419.326172,-2.045799,0.002876
CCCCCCCCC=CCCCCCCCC(=O)OC,Cc1cccc(CO)c1,0.252000,0.000202,17.802765,-108.572266,-3.267807,0.004984,15.812927,-275.361328,-2.382591,0.001553
CCCCCCCCC=CCCCCCCCC(=O)OC,COC(C)CO,0.258171,0.000205,16.174225,54.308594,-3.204315,0.005700,16.575562,-102.539062,-2.420647,0.002067
CCCCCCCCC=CCCCCCCCC(=O)OC,Nc1nc(=O)c2ccccc2o1,0.214866,0.000109,16.432800,1679.269531,-2.935661,0.001957,8.847107,1330.902344,-1.761833,0.004178
CCCCCCCCC=CCCCCCCCC(=O)OC,CC(Cl)Br,0.252093,0.000205,17.234955,-576.830078,-3.172409,0.005541,18.196716,-466.732422,-2.678246,0.000575
CCCCCCCCC=CCCCCCCCC(=O)OC,CCCOC(F)F,0.260304,0.000222,17.131104,-459.531250,-3.180786,0.005667,17.449585,-469.730469,-2.591255,0.000828
CCCCCCCCC=CCCCCCCCC(=O)OC,COC1CC2CCC1(C)C2(C)C,0.257723,0.000216,17.404144,-469.619141,-3.116493,0.005318,17.126068,-608.353516,-2.634979,0.001170
CCCCCCCCC=CCCCCCCCC(=O)OC,CCC(=O)C1=NCCC1,0.251726,0.000203,17.472351,-446.150391,-3.216202,0.005455,17.315918,-473.066406,-2.485504,0.000838
CCCCCCCCC=CCCCCCCCC(=O)OC,NC(CF)(CF)CF,0.238862,0.000170,16.056580,-37.591797,-3.314568,0.006683,16.858490,200.011719,-2.221352,0.000397
CCCCCCCCC=CCCCCCCCC(=O)OC,CC(C)CCCC(C)CC=O,0.259014,0.000222,18.010803,-437.658203,-3.270149,0.005706,17.166992,-611.589844,-2.601501,0.001155
CCCCCCCCC=CCCCCCCCC(=O)OC,Cc1coc(C)n1,0.250880,0.000201,17.604767,-397.933594,-3.302444,0.005789,17.769989,-412.511719,-2.529724,0.000863
CCCCCCCCC=CCCCCCCCC(=O)OC,NC(=S)NC(N)=S,0.200987,0.000078,14.136993,846.414062,-3.036423,0.006792,16.300598,1246.335938,-1.999565,0.000535
CCCCCCCCC=CCCCCCCCC(=O)OC,FC(F)C(Cl)C(F)F,0.232502,0.000160,18.376099,-677.525391,-3.348068,0.005177,18.178619,-415.234375,-2.414017,0.000144
