SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,O=P(Cl)(c1ccccc1)c1ccccc1,0.237537,0.000180,18.493469,-579.294922,-3.174469,0.004652,17.529541,-724.474609,-2.587128,0.000615
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CC(=O)Nc1ccc(C=O)cc1,0.242279,0.000178,17.283203,-225.779297,-3.035858,0.004550,15.571533,-592.126953,-2.407143,0.001909
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,Cc1cccc(CO)c1,0.240484,0.000179,17.286591,-453.261719,-3.000854,0.004706,15.733734,-600.695312,-2.399086,0.000972
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,COC(C)CO,0.225474,0.000152,18.301666,-698.626953,-3.078911,0.004215,17.095764,-839.781250,-2.480476,0.000486
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,Nc1nc(=O)c2ccccc2o1,0.228517,0.000147,18.416687,32.085938,-3.080986,0.003411,12.302765,-465.708984,-2.012680,0.002747
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CC(Cl)Br,0.269420,0.000227,15.015625,-470.138672,-2.859924,0.006389,19.027771,-49.332031,-3.060577,0.001186
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CCCOC(F)F,0.275970,0.000235,14.520508,-272.814453,-2.745964,0.005858,17.768066,10.230469,-2.981552,0.002123
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,COC1CC2CCC1(C)C2(C)C,0.247148,0.000172,14.182495,-477.669922,-2.413239,0.003891,17.958130,15.029297,-2.849823,0.001893
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CCC(=O)C1=NCCC1,0.237889,0.000167,16.399902,-814.597656,-2.770828,0.004498,18.809052,-439.005859,-2.839928,0.000567
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,NC(CF)(CF)CF,0.228098,0.000152,17.147461,-565.564453,-2.911652,0.004138,16.232727,-669.126953,-2.327957,0.000569
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CC(C)CCCC(C)CC=O,0.249708,0.000191,16.075348,-535.755859,-2.774414,0.004663,18.075104,-341.355469,-2.825027,0.001125
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,Cc1coc(C)n1,0.220647,0.000138,17.772003,-926.115234,-2.959747,0.004306,16.941742,-794.730469,-2.398506,-0.000150
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,NC(=S)NC(N)=S,0.220560,0.000114,17.436890,-379.261719,-3.033417,0.004808,15.090332,-522.845703,-2.073601,0.001590
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,FC(F)C(Cl)C(F)F,0.253023,0.000190,16.205414,-584.455078,-2.989304,0.005568,18.941040,-326.289062,-2.890915,0.001171
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.251881,0.000175,12.162109,424.587891,-2.296722,0.004724,13.961487,724.445312,-2.571381,0.003000
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,NNC(=O)c1ccccc1,0.237613,0.000178,18.284485,-297.281250,-3.199265,0.004486,17.627838,-711.513672,-2.651756,0.001777
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,ClC=CBr,0.270463,0.000223,14.582916,-505.740234,-2.755974,0.006167,18.936615,25.500000,-3.104469,0.001553
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CN(C)N=O,0.232262,0.000162,17.464630,-567.392578,-3.086723,0.004800,18.212158,-642.658203,-2.536217,0.000592
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,c1ccc(C2CCCCC2)cc1,0.278789,0.000228,13.340424,-96.921875,-2.535828,0.005766,16.643097,321.574219,-2.937553,0.003086
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,N#Cc1ccncc1,0.223878,0.000146,18.038849,-853.958984,-2.975883,0.004118,17.531433,-800.076172,-2.522675,0.000090
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CN(C)C(=S)Nc1ccccc1,0.240194,0.000177,16.761139,-369.892578,-2.884254,0.004155,16.975189,-540.644531,-2.516602,0.001004
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CCC(N)CC,0.201281,0.000088,16.670746,-979.341797,-2.750565,0.004005,14.083984,-925.099609,-2.011436,0.000258
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,COC(=O)CO,0.232312,0.000165,17.645355,-585.015625,-3.136139,0.004763,17.091705,-617.054688,-2.358955,0.000423
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,Cc1c(N)cccc1Cl,0.232934,0.000172,18.285248,-728.917969,-3.085312,0.004435,18.643524,-734.560547,-2.728600,0.000115
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CC1CCC(C(C)(C)OO)CC1,0.232234,0.000160,16.960907,-679.380859,-2.848167,0.004433,16.604828,-579.888672,-2.518555,0.000598
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CC(F)(Cl)CF,0.271685,0.000231,15.078705,-301.230469,-2.899147,0.006407,17.784912,-29.324219,-2.882271,0.001501
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CCCCC1OC(C)CC(C)(C)O1,0.240152,0.000165,15.451569,-589.392578,-2.579529,0.003933,17.861633,-330.935547,-2.779266,0.001336
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CC(C)(C)OCC1CO1,0.239922,0.000176,16.885712,-660.621094,-2.886726,0.004593,18.554321,-531.041016,-2.795998,0.000602
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,O=P(O)(O)OP(=O)(O)O,0.145056,-0.000071,18.963745,-1121.603516,-3.561272,0.007153,4.209900,-1264.880859,-0.624451,0.002270
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CC(=O)Nc1ccc(C)cc1,0.243998,0.000185,17.154205,-442.261719,-2.974922,0.004677,16.739441,-632.857422,-2.547127,0.001098
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.248857,0.000188,17.753815,37.013672,-3.164047,0.004530,15.050964,-146.619141,-2.239349,0.001545
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CC(C)(O)CCC1CCCCC1,0.243532,0.000177,15.752930,-309.058594,-2.782417,0.004754,15.911682,-428.167969,-2.529213,0.001691
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,COCC(F)(F)F,0.266421,0.000216,14.348846,-242.384766,-2.709671,0.005592,16.778320,142.183594,-2.751175,0.001520
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,COCC(O)COC,0.215828,0.000135,19.058044,-938.677734,-3.152161,0.004102,17.838196,-935.812500,-2.496231,-0.000114
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.225873,0.000159,19.688293,-304.968750,-3.234085,0.003438,16.423187,-873.343750,-2.553658,0.002082
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.197136,0.000087,19.416351,-882.517578,-3.218544,0.004111,13.951447,-1064.468750,-1.975647,0.000706
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CC(C)C(F)F,0.282087,0.000240,13.473999,-126.722656,-2.672768,0.006212,17.181488,292.277344,-2.964684,0.002642
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CCCCC1C=C(C)CC(C)O1,0.244999,0.000169,14.545471,-540.726562,-2.467041,0.003954,17.481873,-141.070312,-2.724495,0.001590
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,COc1ccc(C(C)=O)cc1,0.236780,0.000171,17.335968,-639.244141,-2.965263,0.004546,17.359436,-664.136719,-2.538475,0.000483
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,Oc1cc(O)ncn1,0.227145,0.000138,16.198883,-173.720703,-3.001892,0.005243,14.485291,-611.447266,-2.121872,0.002107
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,COCCCCl,0.254374,0.000194,15.044037,-578.421875,-2.715370,0.004959,18.683044,-242.255859,-2.851578,0.001203
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CCCOC,0.240114,0.000164,15.139221,-696.617188,-2.623871,0.003981,18.028290,-291.855469,-2.725189,0.001204
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,Fc1c(F)c(F)c(F)c(F)c1F,0.271037,0.000209,11.986572,147.517578,-2.392387,0.005665,15.362030,676.400391,-2.810211,0.003202
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CCP(CC)CC,0.243882,0.000164,14.362762,-616.121094,-2.486435,0.004442,18.095490,-6.292969,-2.845512,0.001623
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.229060,0.000141,15.830597,-659.080078,-2.557869,0.003631,16.834106,-485.054688,-2.622467,0.001353
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,Fc1cc(F)c(F)cc1F,0.274216,0.000226,13.732025,-196.949219,-2.643288,0.006007,16.754456,180.193359,-2.843666,0.002175
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CCCCc1ccc(C(=O)O)cc1,0.220809,0.000135,17.397675,-845.859375,-2.960930,0.004608,15.699493,-744.714844,-2.298508,0.000206
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,C=Cc1c(C)cc(C)cc1C,0.278818,0.000231,13.595551,-65.828125,-2.616379,0.005898,16.653717,249.652344,-2.911415,0.003069
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,C=C(C)C(=O)OC(C)(C)C,0.255858,0.000203,16.175720,-530.494141,-2.830994,0.005003,18.429535,-298.820312,-2.918915,0.001285
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,FC1CCCN1,0.239824,0.000185,18.065277,-631.787109,-3.137985,0.004830,19.180084,-664.740234,-2.859039,0.000595
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CCCCCCCC(=O)NC,0.230544,0.000159,17.530518,-579.048828,-2.942314,0.004220,16.877106,-729.113281,-2.561882,0.000993
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.268033,0.000203,11.651978,524.962891,-2.378113,0.005518,14.371704,842.304688,-2.785202,0.003953
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,C1=CC2C=CC1C2,0.274028,0.000219,12.666992,-124.271484,-2.494896,0.005952,17.466125,543.697266,-3.057991,0.002884
