SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCCCCCCCCCCCCC(=O)OCC,O=P(Cl)(c1ccccc1)c1ccccc1,0.236701,0.000171,19.310883,-214.296875,-3.450623,0.005147,15.371735,-127.380859,-2.205582,0.000081
CCCCCCCCCCCCCCCCCCC(=O)OCC,CC(=O)Nc1ccc(C=O)cc1,0.241763,0.000164,16.893616,744.511719,-3.221718,0.004460,12.488037,605.785156,-1.955482,0.002279
CCCCCCCCCCCCCCCCCCC(=O)OCC,Cc1cccc(CO)c1,0.247495,0.000193,17.894745,-138.683594,-3.258995,0.004727,15.754150,-257.214844,-2.300926,0.001315
CCCCCCCCCCCCCCCCCCC(=O)OCC,COC(C)CO,0.254871,0.000198,16.194580,77.533203,-3.201767,0.005488,16.617645,-32.246094,-2.375961,0.001917
CCCCCCCCCCCCCCCCCCC(=O)OCC,Nc1nc(=O)c2ccccc2o1,0.200122,0.000082,16.500793,1750.296875,-2.951614,0.001887,8.427643,1542.603516,-1.626945,0.003568
CCCCCCCCCCCCCCCCCCC(=O)OCC,CC(Cl)Br,0.249051,0.000198,17.191956,-588.597656,-3.178223,0.005513,18.238037,-428.828125,-2.640221,0.000458
CCCCCCCCCCCCCCCCCCC(=O)OCC,CCCOC(F)F,0.258869,0.000218,17.027954,-426.851562,-3.177170,0.005605,17.345062,-398.626953,-2.537918,0.000785
CCCCCCCCCCCCCCCCCCC(=O)OCC,COC1CC2CCC1(C)C2(C)C,0.255939,0.000214,17.585571,-513.447266,-3.156807,0.005294,17.436554,-637.353516,-2.647087,0.000974
CCCCCCCCCCCCCCCCCCC(=O)OCC,CCC(=O)C1=NCCC1,0.250482,0.000199,17.448914,-427.644531,-3.241005,0.005447,17.489777,-416.140625,-2.458389,0.000746
CCCCCCCCCCCCCCCCCCC(=O)OCC,NC(CF)(CF)CF,0.227678,0.000148,16.036011,99.708984,-3.340576,0.006600,16.789642,435.705078,-2.184906,0.000019
CCCCCCCCCCCCCCCCCCC(=O)OCC,CC(C)CCCC(C)CC=O,0.256416,0.000217,18.201538,-459.222656,-3.294724,0.005598,17.274994,-578.980469,-2.585976,0.000932
CCCCCCCCCCCCCCCCCCC(=O)OCC,Cc1coc(C)n1,0.249240,0.000196,17.522522,-386.886719,-3.291824,0.005567,17.691956,-357.287109,-2.479912,0.000787
CCCCCCCCCCCCCCCCCCC(=O)OCC,NC(=S)NC(N)=S,0.189243,0.000058,13.000580,1143.501953,-2.941109,0.006714,16.233704,1739.503906,-1.951637,0.000311
CCCCCCCCCCCCCCCCCCC(=O)OCC,FC(F)C(Cl)C(F)F,0.226954,0.000148,18.103485,-570.042969,-3.411041,0.005384,17.890259,-225.876953,-2.330872,-0.000111
CCCCCCCCCCCCCCCCCCC(=O)OCC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.236234,0.000157,13.049683,164.437500,-2.594254,0.005375,12.988159,549.949219,-2.019859,0.001056
CCCCCCCCCCCCCCCCCCC(=O)OCC,NNC(=O)c1ccccc1,0.232635,0.000144,16.168823,889.001953,-3.264015,0.005193,13.447327,863.281250,-2.058945,0.002000
CCCCCCCCCCCCCCCCCCC(=O)OCC,ClC=CBr,0.244007,0.000183,17.570892,-791.353516,-3.187775,0.005155,19.312500,-526.908203,-2.832184,0.000583
CCCCCCCCCCCCCCCCCCC(=O)OCC,CN(C)N=O,0.206484,0.000102,15.601532,469.330078,-3.318398,0.006271,17.140808,1030.054688,-2.278214,-0.000144
