SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCOC(C(F)F)C(F)(F)C(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.247428,0.000196,17.984314,-204.419922,-3.222679,0.004805,16.663940,-536.486328,-2.504120,0.001921
CCOC(C(F)F)C(F)(F)C(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.268327,0.000219,16.502991,732.951172,-3.004616,0.004146,12.757294,95.117188,-2.332146,0.004449
CCOC(C(F)F)C(F)(F)C(F)(F)F,Cc1cccc(CO)c1,0.269800,0.000230,15.920532,385.603516,-3.038933,0.005113,14.497375,-109.908203,-2.511902,0.003794
CCOC(C(F)F)C(F)(F)C(F)(F)F,COC(C)CO,0.252432,0.000203,17.697266,-155.761719,-3.173615,0.004749,17.413605,-610.728516,-2.722321,0.002342
CCOC(C(F)F)C(F)(F)C(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.249084,0.000177,14.906921,1710.912109,-2.788116,0.001996,10.115845,944.431641,-2.197144,0.006495
CCOC(C(F)F)C(F)(F)C(F)(F)F,CC(Cl)Br,0.263882,0.000218,15.567505,-231.085938,-2.892525,0.005491,16.007355,-354.248047,-2.422775,0.001418
CCOC(C(F)F)C(F)(F)C(F)(F)F,CCCOC(F)F,0.261907,0.000224,17.411407,-422.802734,-3.124603,0.005540,17.153381,-613.931641,-2.620941,0.001271
CCOC(C(F)F)C(F)(F)C(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.257295,0.000202,15.522644,-214.523438,-2.731888,0.004407,16.058044,-357.058594,-2.582787,0.002283
CCOC(C(F)F)C(F)(F)C(F)(F)F,CCC(=O)C1=NCCC1,0.248544,0.000195,17.195129,-450.050781,-3.013977,0.004802,17.441589,-654.777344,-2.633171,0.001203
CCOC(C(F)F)C(F)(F)C(F)(F)F,NC(CF)(CF)CF,0.255609,0.000207,17.160339,-224.648438,-3.132111,0.005349,17.123993,-557.578125,-2.591621,0.001898
CCOC(C(F)F)C(F)(F)C(F)(F)F,CC(C)CCCC(C)CC=O,0.256213,0.000210,16.978485,-281.865234,-3.017052,0.004996,16.585114,-595.685547,-2.587097,0.001695
CCOC(C(F)F)C(F)(F)C(F)(F)F,Cc1coc(C)n1,0.249499,0.000197,17.505981,-466.671875,-3.133667,0.005080,18.170105,-656.855469,-2.694908,0.001299
CCOC(C(F)F)C(F)(F)C(F)(F)F,NC(=S)NC(N)=S,0.230310,0.000137,15.169678,1028.097656,-3.061966,0.005349,13.912750,742.507812,-2.090714,0.002718
CCOC(C(F)F)C(F)(F)C(F)(F)F,FC(F)C(Cl)C(F)F,0.251371,0.000209,18.192047,-584.017578,-3.224152,0.005343,18.100647,-645.658203,-2.638977,0.000511
CCOC(C(F)F)C(F)(F)C(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.259076,0.000211,16.769806,-382.789062,-2.912018,0.004825,16.564850,-549.169922,-2.601036,0.001884
CCOC(C(F)F)C(F)(F)C(F)(F)F,NNC(=O)c1ccccc1,0.270132,0.000220,15.373108,721.683594,-3.025414,0.005089,13.773071,218.044922,-2.393806,0.004310
CCOC(C(F)F)C(F)(F)C(F)(F)F,ClC=CBr,0.262502,0.000214,15.243652,-253.593750,-2.814850,0.005352,16.004761,-296.810547,-2.453461,0.001356
CCOC(C(F)F)C(F)(F)C(F)(F)F,CN(C)N=O,0.242158,0.000180,17.812653,-319.462891,-3.198868,0.004863,18.274048,-582.361328,-2.610565,0.001536
CCOC(C(F)F)C(F)(F)C(F)(F)F,c1ccc(C2CCCCC2)cc1,0.271976,0.000229,15.160675,22.156250,-2.775116,0.005010,14.542664,-232.222656,-2.457275,0.002828
CCOC(C(F)F)C(F)(F)C(F)(F)F,N#Cc1ccncc1,0.246988,0.000191,17.661011,-418.960938,-3.138252,0.004867,17.976746,-661.107422,-2.672768,0.001551
CCOC(C(F)F)C(F)(F)C(F)(F)F,CN(C)C(=S)Nc1ccccc1,0.254168,0.000196,16.510864,52.966797,-2.980774,0.004493,15.304932,-269.498047,-2.379539,0.002501
CCOC(C(F)F)C(F)(F)C(F)(F)F,CCC(N)CC,0.246087,0.000188,16.533386,-289.015625,-2.982239,0.005013,17.057739,-545.839844,-2.640579,0.001686
CCOC(C(F)F)C(F)(F)C(F)(F)F,COC(=O)CO,0.251594,0.000199,17.384735,-55.460938,-3.188477,0.004727,16.602570,-339.675781,-2.473717,0.002006
CCOC(C(F)F)C(F)(F)C(F)(F)F,Cc1c(N)cccc1Cl,0.261961,0.000213,15.648254,48.380859,-2.927437,0.005058,15.224121,-269.791016,-2.415314,0.002559
