SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
COCCOCCOCCOCCOCCOCCOCCOCCO,O=P(Cl)(c1ccccc1)c1ccccc1,0.236681,0.000176,18.686798,-683.328125,-3.175270,0.004707,18.965210,-839.781250,-2.872902,0.000891
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(=O)Nc1ccc(C=O)cc1,0.236499,0.000159,16.802826,-583.417969,-2.845795,0.003976,17.351013,-726.912109,-2.664429,0.001494
COCCOCCOCCOCCOCCOCCOCCOCCO,Cc1cccc(CO)c1,0.223056,0.000129,16.508087,-846.158203,-2.816925,0.003763,17.702118,-429.953125,-2.558365,0.000711
COCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)CO,0.240410,0.000176,16.373688,-517.451172,-2.875534,0.004266,18.234558,-581.562500,-2.742126,0.000949
COCCOCCOCCOCCOCCOCCOCCOCCO,Nc1nc(=O)c2ccccc2o1,0.217088,0.000101,16.711884,-686.638672,-2.777496,0.004321,13.092590,-617.615234,-2.027443,0.001756
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(Cl)Br,0.243803,0.000158,16.875366,-920.609375,-3.016846,0.004501,20.809784,-412.998047,-3.250847,0.002068
COCCOCCOCCOCCOCCOCCOCCOCCO,CCCOC(F)F,0.256473,0.000192,15.080109,-611.525391,-2.654663,0.004316,19.831757,-93.554688,-3.277573,0.002116
COCCOCCOCCOCCOCCOCCOCCOCCO,COC1CC2CCC1(C)C2(C)C,0.232422,0.000140,11.685211,-6.398438,-1.972961,0.002703,17.936432,803.736328,-3.214203,0.003737
COCCOCCOCCOCCOCCOCCOCCOCCO,CCC(=O)C1=NCCC1,0.234632,0.000158,15.897064,-718.220703,-2.675781,0.003514,20.284576,-290.207031,-3.088776,0.001221
COCCOCCOCCOCCOCCOCCOCCOCCO,NC(CF)(CF)CF,0.220894,0.000143,18.390533,-870.730469,-3.167633,0.004038,19.643005,-720.613281,-2.694466,-0.000142
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)CCCC(C)CC=O,0.243844,0.000167,13.847931,-244.566406,-2.396790,0.003744,17.456024,193.748047,-2.983200,0.002938
COCCOCCOCCOCCOCCOCCOCCOCCO,Cc1coc(C)n1,0.223565,0.000134,17.417145,-919.662109,-2.952835,0.004012,18.828094,-689.167969,-2.758118,0.000737
COCCOCCOCCOCCOCCOCCOCCOCCO,NC(=S)NC(N)=S,0.182831,-0.000009,16.349945,-1736.746094,-2.692101,0.003859,15.809387,-939.167969,-2.260963,0.003002
COCCOCCOCCOCCOCCOCCOCCOCCO,FC(F)C(Cl)C(F)F,0.210902,0.000082,18.554474,-1414.603516,-3.234444,0.004473,22.551147,-669.291016,-3.300461,0.001919
