SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Cc1ccc([N+](=O)[O-])c(F)c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.251152,0.000212,19.207031,-441.992188,-3.317085,0.004997,16.930023,-773.855469,-2.637825,0.001488
Cc1ccc([N+](=O)[O-])c(F)c1,CC(=O)Nc1ccc(C=O)cc1,0.272155,0.000235,17.141785,351.007812,-3.130592,0.005221,14.088470,-224.396484,-2.500542,0.003617
Cc1ccc([N+](=O)[O-])c(F)c1,Cc1cccc(CO)c1,0.265900,0.000225,16.067444,167.066406,-3.075836,0.005981,15.103546,-211.781250,-2.600594,0.003173
Cc1ccc([N+](=O)[O-])c(F)c1,COC(C)CO,0.259310,0.000215,16.897247,-70.339844,-3.123024,0.005665,16.833344,-502.660156,-2.729073,0.002515
Cc1ccc([N+](=O)[O-])c(F)c1,Nc1nc(=O)c2ccccc2o1,0.261473,0.000207,16.842987,1096.947266,-3.004044,0.003473,11.301025,297.429688,-2.325302,0.005316
Cc1ccc([N+](=O)[O-])c(F)c1,CC(Cl)Br,0.256354,0.000213,17.410248,-587.769531,-3.077248,0.005404,17.483734,-554.277344,-2.658989,0.000775
Cc1ccc([N+](=O)[O-])c(F)c1,CCCOC(F)F,0.265467,0.000225,16.735748,-403.544922,-2.984390,0.005392,16.205994,-496.259766,-2.574112,0.001668
Cc1ccc([N+](=O)[O-])c(F)c1,COC1CC2CCC1(C)C2(C)C,0.252311,0.000187,14.821350,-191.414062,-2.608665,0.004509,15.091949,-189.363281,-2.560814,0.002746
Cc1ccc([N+](=O)[O-])c(F)c1,CCC(=O)C1=NCCC1,0.253253,0.000207,17.413055,-528.265625,-3.013870,0.004884,17.222595,-667.000000,-2.662926,0.001167
Cc1ccc([N+](=O)[O-])c(F)c1,NC(CF)(CF)CF,0.256596,0.000209,16.566010,-209.517578,-3.145752,0.006425,16.992035,-436.906250,-2.644638,0.001770
Cc1ccc([N+](=O)[O-])c(F)c1,CC(C)CCCC(C)CC=O,0.256815,0.000206,16.261414,-266.363281,-2.921944,0.005205,16.052887,-451.386719,-2.620918,0.002183
Cc1ccc([N+](=O)[O-])c(F)c1,Cc1coc(C)n1,0.252813,0.000206,17.181488,-401.705078,-3.114929,0.005673,17.206787,-590.818359,-2.661598,0.001342
Cc1ccc([N+](=O)[O-])c(F)c1,NC(=S)NC(N)=S,0.225675,0.000142,18.571075,-333.083984,-3.253639,0.005004,18.881622,-660.351562,-2.785408,0.001708
Cc1ccc([N+](=O)[O-])c(F)c1,FC(F)C(Cl)C(F)F,0.241795,0.000183,18.767395,-782.005859,-3.235779,0.004944,18.346741,-806.484375,-2.724876,0.000640
Cc1ccc([N+](=O)[O-])c(F)c1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.246672,0.000176,14.800446,41.607422,-2.463493,0.003642,14.512421,-170.222656,-2.508652,0.002681
