SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Cc1ccc2c(c1O)C(C(C)C)CCC2C,O=P(Cl)(c1ccccc1)c1ccccc1,0.231672,0.000172,19.983521,-657.466797,-3.339890,0.004465,16.224487,-830.666016,-2.401215,0.000681
Cc1ccc2c(c1O)C(C(C)C)CCC2C,CC(=O)Nc1ccc(C=O)cc1,0.230885,0.000152,18.285187,-190.712891,-3.076057,0.003758,12.850616,-580.818359,-2.016609,0.001989
Cc1ccc2c(c1O)C(C(C)C)CCC2C,Cc1cccc(CO)c1,0.239523,0.000181,18.421722,-425.302734,-3.176476,0.004533,15.691010,-706.291016,-2.388046,0.001315
Cc1ccc2c(c1O)C(C(C)C)CCC2C,COC(C)CO,0.211706,0.000122,20.039795,-840.402344,-3.271133,0.003715,16.724182,-1041.966797,-2.431976,0.000958
Cc1ccc2c(c1O)C(C(C)C)CCC2C,Nc1nc(=O)c2ccccc2o1,0.241596,0.000168,17.735992,441.335938,-3.048058,0.003348,11.123169,-117.462891,-1.952660,0.003746
Cc1ccc2c(c1O)C(C(C)C)CCC2C,CC(Cl)Br,0.268165,0.000232,15.956207,-417.554688,-3.061142,0.006904,17.836365,-97.863281,-2.815727,0.000674
Cc1ccc2c(c1O)C(C(C)C)CCC2C,CCCOC(F)F,0.267607,0.000231,16.031433,-365.101562,-3.002403,0.006400,16.990784,-157.291016,-2.713158,0.000922
Cc1ccc2c(c1O)C(C(C)C)CCC2C,COC1CC2CCC1(C)C2(C)C,0.240824,0.000179,17.396240,-732.759766,-2.903519,0.004364,18.135834,-547.580078,-2.792320,0.000736
Cc1ccc2c(c1O)C(C(C)C)CCC2C,CCC(=O)C1=NCCC1,0.218640,0.000135,18.728088,-920.800781,-3.006920,0.003785,16.809265,-885.484375,-2.447998,0.000273
Cc1ccc2c(c1O)C(C(C)C)CCC2C,NC(CF)(CF)CF,0.216549,0.000126,17.336456,-601.412109,-2.930389,0.004043,13.856689,-700.724609,-1.976379,0.000595
Cc1ccc2c(c1O)C(C(C)C)CCC2C,CC(C)CCCC(C)CC=O,0.222852,0.000148,19.390686,-1031.910156,-3.168068,0.004294,17.739655,-860.626953,-2.606201,0.000035
Cc1ccc2c(c1O)C(C(C)C)CCC2C,Cc1coc(C)n1,0.190833,0.000077,20.580322,-1222.253906,-3.293076,0.003671,15.905792,-1182.078125,-2.226051,0.000115
Cc1ccc2c(c1O)C(C(C)C)CCC2C,NC(=S)NC(N)=S,0.239707,0.000152,13.594757,885.880859,-2.893196,0.006601,14.930634,863.568359,-2.083954,0.001824
Cc1ccc2c(c1O)C(C(C)C)CCC2C,FC(F)C(Cl)C(F)F,0.260093,0.000215,15.894501,-325.781250,-3.060356,0.006491,16.965332,-92.345703,-2.529106,0.000619
Cc1ccc2c(c1O)C(C(C)C)CCC2C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.257865,0.000196,13.171967,436.001953,-2.583916,0.005455,12.284637,523.458984,-2.150986,0.002252
Cc1ccc2c(c1O)C(C(C)C)CCC2C,NNC(=O)c1ccccc1,0.231739,0.000155,17.777130,-263.492188,-3.065941,0.004201,14.734192,-658.845703,-2.218437,0.001860
Cc1ccc2c(c1O)C(C(C)C)CCC2C,ClC=CBr,0.270891,0.000233,15.391022,-438.783203,-2.969978,0.006801,17.977417,-42.062500,-2.889847,0.000914
Cc1ccc2c(c1O)C(C(C)C)CCC2C,CN(C)N=O,0.214203,0.000122,19.036987,-703.705078,-3.196159,0.004151,15.992523,-840.736328,-2.238457,0.000731
Cc1ccc2c(c1O)C(C(C)C)CCC2C,c1ccc(C2CCCCC2)cc1,0.274172,0.000239,15.778381,-324.445312,-2.958923,0.006402,16.873474,-106.470703,-2.824646,0.001713
