SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC1CCC(C(C)(C)O)CC2=C1CCC2C,O=P(Cl)(c1ccccc1)c1ccccc1,0.245659,0.000192,19.341675,-356.015625,-3.275856,0.004649,14.915771,-521.583984,-2.304146,0.001021
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CC(=O)Nc1ccc(C=O)cc1,0.251843,0.000189,17.276794,106.994141,-3.104111,0.004547,13.201111,-277.125000,-2.126465,0.002597
CC1CCC(C(C)(C)O)CC2=C1CCC2C,Cc1cccc(CO)c1,0.243047,0.000187,18.190582,-470.158203,-3.182045,0.004843,15.706757,-686.822266,-2.346611,0.001088
CC1CCC(C(C)(C)O)CC2=C1CCC2C,COC(C)CO,0.241913,0.000183,17.821899,-400.365234,-3.206421,0.005055,17.107788,-676.291016,-2.507088,0.001308
CC1CCC(C(C)(C)O)CC2=C1CCC2C,Nc1nc(=O)c2ccccc2o1,0.231932,0.000141,17.663544,276.457031,-2.995262,0.003441,10.152374,-233.011719,-1.673630,0.003075
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CC(Cl)Br,0.269853,0.000232,15.306549,-284.507812,-3.024925,0.007259,17.086761,187.591797,-2.754105,0.000752
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CCCOC(F)F,0.277966,0.000244,14.723206,-124.695312,-2.932480,0.006991,16.363007,211.914062,-2.740623,0.001583
CC1CCC(C(C)(C)O)CC2=C1CCC2C,COC1CC2CCC1(C)C2(C)C,0.262717,0.000216,15.790649,-453.734375,-2.844994,0.005699,17.581482,-104.267578,-2.867538,0.001280
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CCC(=O)C1=NCCC1,0.246827,0.000190,17.098907,-522.091797,-2.980301,0.004950,16.755737,-497.781250,-2.546463,0.000808
CC1CCC(C(C)(C)O)CC2=C1CCC2C,NC(CF)(CF)CF,0.238700,0.000168,16.513916,-303.433594,-3.011604,0.004904,15.792023,-405.347656,-2.204163,0.001080
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CC(C)CCCC(C)CC=O,0.257512,0.000214,17.312164,-494.339844,-3.055901,0.005382,17.250275,-481.357422,-2.712212,0.001162
CC1CCC(C(C)(C)O)CC2=C1CCC2C,Cc1coc(C)n1,0.226612,0.000154,19.026337,-770.917969,-3.198982,0.004345,16.431305,-832.201172,-2.357201,0.000425
CC1CCC(C(C)(C)O)CC2=C1CCC2C,NC(=S)NC(N)=S,0.235531,0.000130,14.850555,490.753906,-2.696960,0.005228,10.600830,281.373047,-1.472778,0.002229
CC1CCC(C(C)(C)O)CC2=C1CCC2C,FC(F)C(Cl)C(F)F,0.255881,0.000199,16.190460,-334.478516,-3.079330,0.006376,16.652039,85.945312,-2.592064,0.000791
CC1CCC(C(C)(C)O)CC2=C1CCC2C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.258886,0.000197,13.682373,231.603516,-2.644020,0.005767,13.180115,523.675781,-2.310516,0.001980
CC1CCC(C(C)(C)O)CC2=C1CCC2C,NNC(=O)c1ccccc1,0.248327,0.000185,17.140106,29.476562,-3.155998,0.005107,15.616028,-333.279297,-2.329552,0.002169
CC1CCC(C(C)(C)O)CC2=C1CCC2C,ClC=CBr,0.267608,0.000224,15.303619,-477.630859,-2.981499,0.007132,18.190277,77.533203,-2.911331,0.000706
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CN(C)N=O,0.247779,0.000185,16.749939,-75.152344,-3.120438,0.005177,15.337036,-135.625000,-2.213753,0.001246
CC1CCC(C(C)(C)O)CC2=C1CCC2C,c1ccc(C2CCCCC2)cc1,0.281955,0.000249,14.696014,-116.419922,-2.913742,0.006999,16.199158,234.984375,-2.820030,0.002166
CC1CCC(C(C)(C)O)CC2=C1CCC2C,N#Cc1ccncc1,0.229477,0.000156,18.225525,-638.462891,-3.036896,0.004108,16.307648,-746.179688,-2.375328,0.000714
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CN(C)C(=S)Nc1ccccc1,0.241294,0.000168,16.980469,55.804688,-2.839180,0.003396,12.830811,-120.537109,-2.056366,0.001922
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CCC(N)CC,0.209974,0.000118,18.936951,-912.228516,-3.101295,0.003887,15.506134,-983.250000,-2.241913,0.000344
CC1CCC(C(C)(C)O)CC2=C1CCC2C,COC(=O)CO,0.244540,0.000177,16.316254,-125.154297,-3.094826,0.005209,15.321472,-174.830078,-2.133133,0.001266
CC1CCC(C(C)(C)O)CC2=C1CCC2C,Cc1c(N)cccc1Cl,0.236769,0.000173,18.109558,-578.117188,-3.071762,0.004406,16.788635,-635.060547,-2.504387,0.000770
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CC1CCC(C(C)(C)OO)CC1,0.228099,0.000156,18.386688,-693.255859,-3.078857,0.004111,15.962372,-781.902344,-2.346153,0.000597
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CC(F)(Cl)CF,0.273748,0.000236,15.150146,-81.054688,-3.047180,0.007152,15.953339,280.775391,-2.623680,0.001308
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CCCCC1OC(C)CC(C)(C)O1,0.258369,0.000212,16.582672,-434.595703,-2.900795,0.005095,17.338348,-405.535156,-2.764915,0.001347
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CC(C)(C)OCC1CO1,0.256226,0.000212,17.033051,-442.267578,-3.049126,0.005478,17.360901,-401.224609,-2.678223,0.000862
CC1CCC(C(C)(C)O)CC2=C1CCC2C,O=P(O)(O)OP(=O)(O)O,0.158445,-0.000048,17.264893,-748.832031,-3.021042,0.007374,0.069794,-908.238281,-0.323357,0.002297
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CC(=O)Nc1ccc(C)cc1,0.251601,0.000196,17.560303,-215.179688,-3.084412,0.004643,14.732239,-552.183594,-2.319885,0.001930
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.238180,0.000155,15.472534,1286.423828,-3.019135,0.004144,10.617340,1208.558594,-1.905251,0.002798
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CC(C)(O)CCC1CCCCC1,0.251999,0.000206,18.080750,-406.792969,-3.193977,0.005228,16.656067,-690.156250,-2.574165,0.001420
CC1CCC(C(C)(C)O)CC2=C1CCC2C,COCC(F)(F)F,0.270550,0.000229,14.424835,-19.873047,-2.931854,0.006897,15.303284,380.828125,-2.499550,0.001234
CC1CCC(C(C)(C)O)CC2=C1CCC2C,COCC(O)COC,0.240893,0.000181,17.988037,-416.494141,-3.211037,0.004865,16.845886,-661.017578,-2.446030,0.001194
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.236516,0.000169,19.351532,8.689453,-3.155708,0.003442,13.945343,-573.216797,-2.271042,0.002555
CC1CCC(C(C)(C)O)CC2=C1CCC2C,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.204988,0.000089,17.888031,-501.050781,-2.958130,0.003604,10.771057,-718.992188,-1.528381,0.001345
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CC(C)C(F)F,0.281128,0.000248,14.349182,-59.146484,-2.935493,0.007253,16.059906,290.433594,-2.738205,0.001818
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CCCCC1C=C(C)CC(C)O1,0.258404,0.000209,16.181122,-490.523438,-2.850800,0.005286,17.147705,-253.634766,-2.761139,0.001191
CC1CCC(C(C)(C)O)CC2=C1CCC2C,COc1ccc(C(C)=O)cc1,0.249189,0.000193,17.718170,-285.406250,-3.086700,0.004669,15.329529,-467.017578,-2.331352,0.001173
CC1CCC(C(C)(C)O)CC2=C1CCC2C,Oc1cc(O)ncn1,0.214484,0.000111,17.120758,-399.654297,-3.067192,0.004725,13.698700,-726.898438,-1.906097,0.001723
CC1CCC(C(C)(C)O)CC2=C1CCC2C,COCCCCl,0.264077,0.000215,15.291809,-327.332031,-2.898056,0.006229,16.535217,-111.816406,-2.633308,0.001161
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CCCOC,0.254320,0.000201,16.225220,-545.669922,-2.925491,0.005546,17.141418,-351.164062,-2.677971,0.000830
CC1CCC(C(C)(C)O)CC2=C1CCC2C,Fc1c(F)c(F)c(F)c(F)c1F,0.279420,0.000238,13.508575,56.708984,-2.734711,0.006805,14.644104,429.216797,-2.589104,0.002177
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CCP(CC)CC,0.254507,0.000201,16.277405,-552.173828,-2.914848,0.005765,17.203583,-168.546875,-2.745667,0.000843
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.253945,0.000202,16.896362,-424.769531,-2.917183,0.004835,16.893005,-540.978516,-2.691284,0.001642
CC1CCC(C(C)(C)O)CC2=C1CCC2C,Fc1cc(F)c(F)cc1F,0.272661,0.000234,15.018738,-259.048828,-2.940399,0.007053,16.692139,128.353516,-2.742157,0.001187
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CCCCc1ccc(C(=O)O)cc1,0.221221,0.000134,18.049622,-830.236328,-3.066429,0.004511,14.877289,-767.541016,-2.173080,0.000473
CC1CCC(C(C)(C)O)CC2=C1CCC2C,C=Cc1c(C)cc(C)cc1C,0.282328,0.000251,14.776123,-111.416016,-2.955154,0.007125,16.399017,201.888672,-2.832870,0.002124
CC1CCC(C(C)(C)O)CC2=C1CCC2C,C=C(C)C(=O)OC(C)(C)C,0.263879,0.000226,16.851837,-405.935547,-3.072105,0.005904,17.514893,-312.751953,-2.788094,0.001198
CC1CCC(C(C)(C)O)CC2=C1CCC2C,FC1CCCN1,0.250800,0.000202,17.452667,-385.173828,-3.178375,0.005328,17.554993,-453.345703,-2.610855,0.001072
CC1CCC(C(C)(C)O)CC2=C1CCC2C,CCCCCCCC(=O)NC,0.247155,0.000195,18.332184,-412.730469,-3.156769,0.004677,16.423615,-746.582031,-2.530785,0.001579
