SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC1COC(=O)CCCCCCCCCCC(=O)C1,O=P(Cl)(c1ccccc1)c1ccccc1,0.247491,0.000202,19.798920,-506.710938,-3.392372,0.004942,16.736206,-634.927734,-2.518394,0.000680
CC1COC(=O)CCCCCCCCCCC(=O)C1,CC(=O)Nc1ccc(C=O)cc1,0.259611,0.000208,17.679016,206.412109,-3.146431,0.004344,13.736206,-163.914062,-2.253799,0.002522
CC1COC(=O)CCCCCCCCCCC(=O)C1,Cc1cccc(CO)c1,0.246311,0.000198,18.315491,-451.207031,-3.199562,0.004878,16.600281,-640.630859,-2.486336,0.000908
CC1COC(=O)CCCCCCCCCCC(=O)C1,COC(C)CO,0.255471,0.000210,17.093781,-228.208984,-3.221222,0.005645,17.881439,-475.386719,-2.665169,0.001542
CC1COC(=O)CCCCCCCCCCC(=O)C1,Nc1nc(=O)c2ccccc2o1,0.244799,0.000167,17.998566,671.500000,-2.977455,0.002755,8.730560,155.962891,-1.612488,0.003774
CC1COC(=O)CCCCCCCCCCC(=O)C1,CC(Cl)Br,0.249537,0.000200,18.018341,-774.626953,-3.184647,0.005385,19.244324,-631.683594,-2.919632,0.000519
CC1COC(=O)CCCCCCCCCCC(=O)C1,CCCOC(F)F,0.263167,0.000227,17.156494,-524.236328,-3.111305,0.005648,17.744110,-556.087891,-2.712715,0.000894
CC1COC(=O)CCCCCCCCCCC(=O)C1,COC1CC2CCC1(C)C2(C)C,0.256621,0.000207,16.457489,-400.529297,-2.925400,0.005081,16.499542,-418.638672,-2.634445,0.001615
CC1COC(=O)CCCCCCCCCCC(=O)C1,CCC(=O)C1=NCCC1,0.252479,0.000208,17.794037,-561.148438,-3.154411,0.005278,17.693634,-660.929688,-2.631363,0.000724
CC1COC(=O)CCCCCCCCCCC(=O)C1,NC(CF)(CF)CF,0.248999,0.000197,17.265503,-290.330078,-3.260468,0.005923,17.178711,-290.609375,-2.389389,0.000761
CC1COC(=O)CCCCCCCCCCC(=O)C1,CC(C)CCCC(C)CC=O,0.259358,0.000221,17.625702,-436.781250,-3.156128,0.005528,16.940979,-644.490234,-2.607628,0.001195
CC1COC(=O)CCCCCCCCCCC(=O)C1,Cc1coc(C)n1,0.250558,0.000207,18.284088,-516.974609,-3.293259,0.005470,18.127777,-640.750000,-2.671989,0.000771
