SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCCCCCCCCCCCC(=O)OCCCC,O=P(Cl)(c1ccccc1)c1ccccc1,0.235685,0.000168,19.265564,-187.806641,-3.446999,0.005150,15.383179,-102.310547,-2.209206,0.000082
CCCCCCCCCCCCCCCCCC(=O)OCCCC,CC(=O)Nc1ccc(C=O)cc1,0.240302,0.000161,16.761536,783.359375,-3.214485,0.004471,12.485748,663.892578,-1.952339,0.002264
CCCCCCCCCCCCCCCCCC(=O)OCCCC,Cc1cccc(CO)c1,0.246823,0.000192,17.780670,-145.673828,-3.259743,0.004774,15.980438,-249.572266,-2.312424,0.001281
CCCCCCCCCCCCCCCCCC(=O)OCCCC,COC(C)CO,0.253432,0.000195,16.106598,95.781250,-3.208366,0.005593,16.744476,10.574219,-2.377625,0.001833
CCCCCCCCCCCCCCCCCC(=O)OCCCC,Nc1nc(=O)c2ccccc2o1,0.196200,0.000075,16.315643,1849.548828,-2.941086,0.001815,8.758667,1659.519531,-1.692276,0.003550
CCCCCCCCCCCCCCCCCC(=O)OCCCC,CC(Cl)Br,0.248019,0.000196,17.168549,-579.947266,-3.183838,0.005559,18.107574,-413.462891,-2.605072,0.000376
CCCCCCCCCCCCCCCCCC(=O)OCCCC,CCCOC(F)F,0.258507,0.000217,16.975952,-419.156250,-3.173546,0.005576,17.326569,-386.111328,-2.532089,0.000783
CCCCCCCCCCCCCCCCCC(=O)OCCCC,COC1CC2CCC1(C)C2(C)C,0.256086,0.000214,17.526764,-504.544922,-3.156807,0.005284,17.457214,-623.558594,-2.648956,0.001005
CCCCCCCCCCCCCCCCCC(=O)OCCCC,CCC(=O)C1=NCCC1,0.250463,0.000198,17.288879,-392.916016,-3.227058,0.005439,17.425446,-380.275391,-2.439598,0.000784
CCCCCCCCCCCCCCCCCC(=O)OCCCC,NC(CF)(CF)CF,0.224836,0.000142,15.961487,151.080078,-3.339050,0.006632,16.726990,524.302734,-2.185600,-0.000018
CCCCCCCCCCCCCCCCCC(=O)OCCCC,CC(C)CCCC(C)CC=O,0.256730,0.000217,18.072174,-447.277344,-3.287659,0.005627,17.289642,-564.730469,-2.586975,0.000946
CCCCCCCCCCCCCCCCCC(=O)OCCCC,Cc1coc(C)n1,0.249175,0.000195,17.344574,-364.248047,-3.291664,0.005623,17.751038,-324.398438,-2.483536,0.000804
CCCCCCCCCCCCCCCCCC(=O)OCCCC,NC(=S)NC(N)=S,0.185677,0.000052,12.513977,1244.001953,-2.917946,0.006934,16.627869,1912.494141,-1.995186,0.000216
CCCCCCCCCCCCCCCCCC(=O)OCCCC,FC(F)C(Cl)C(F)F,0.224889,0.000144,18.092224,-539.951172,-3.441223,0.005583,17.847809,-148.449219,-2.307625,-0.000305
CCCCCCCCCCCCCCCCCC(=O)OCCCC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.234827,0.000154,12.995239,189.929688,-2.603142,0.005498,12.860626,631.404297,-1.998581,0.000949
CCCCCCCCCCCCCCCCCC(=O)OCCCC,NNC(=O)c1ccccc1,0.231207,0.000141,15.937714,953.029297,-3.243622,0.005157,13.549622,934.005859,-2.080605,0.002047
CCCCCCCCCCCCCCCCCC(=O)OCCCC,ClC=CBr,0.243633,0.000182,17.549469,-777.835938,-3.199814,0.005227,19.222107,-516.439453,-2.808891,0.000548
CCCCCCCCCCCCCCCCCC(=O)OCCCC,CN(C)N=O,0.203671,0.000096,15.384125,540.058594,-3.310097,0.006352,17.071869,1147.158203,-2.268120,-0.000200
CCCCCCCCCCCCCCCCCC(=O)OCCCC,c1ccc(C2CCCCC2)cc1,0.258588,0.000220,17.660034,-486.367188,-3.193672,0.005423,17.203827,-597.808594,-2.622116,0.001046
CCCCCCCCCCCCCCCCCC(=O)OCCCC,N#Cc1ccncc1,0.240119,0.000173,17.532806,-253.416016,-3.267303,0.004977,16.862579,-244.980469,-2.360771,0.000865
CCCCCCCCCCCCCCCCCC(=O)OCCCC,CN(C)C(=S)Nc1ccccc1,0.224788,0.000139,18.031372,77.376953,-3.196594,0.003990,14.269440,36.160156,-1.977898,0.000741
CCCCCCCCCCCCCCCCCC(=O)OCCCC,CCC(N)CC,0.249321,0.000195,16.520416,-253.623047,-3.246742,0.006365,18.425934,-362.621094,-2.719360,0.001555
CCCCCCCCCCCCCCCCCC(=O)OCCCC,COC(=O)CO,0.217903,0.000124,15.569611,538.076172,-3.302864,0.006031,15.648163,983.937500,-2.053093,0.000068
CCCCCCCCCCCCCCCCCC(=O)OCCCC,Cc1c(N)cccc1Cl,0.228032,0.000155,18.586670,-609.275391,-3.242432,0.004452,17.949677,-585.074219,-2.509514,0.000517
CCCCCCCCCCCCCCCCCC(=O)OCCCC,CC1CCC(C(C)(C)OO)CC1,0.228494,0.000164,19.007904,-628.357422,-3.214371,0.004155,17.038696,-752.589844,-2.451607,0.000456
CCCCCCCCCCCCCCCCCC(=O)OCCCC,CC(F)(Cl)CF,0.252962,0.000201,16.728210,-324.884766,-3.214684,0.005817,16.433868,-142.570312,-2.322365,0.000394
