SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)COC(=O)CCCCC(=O)OCC(C)C,O=P(Cl)(c1ccccc1)c1ccccc1,0.246842,0.000200,19.674805,-481.515625,-3.397339,0.004929,16.897491,-617.523438,-2.533211,0.000734
CC(C)COC(=O)CCCCC(=O)OCC(C)C,CC(=O)Nc1ccc(C=O)cc1,0.258835,0.000207,17.580627,200.517578,-3.153648,0.004334,14.436157,-194.398438,-2.344391,0.002578
CC(C)COC(=O)CCCCC(=O)OCC(C)C,Cc1cccc(CO)c1,0.245303,0.000196,18.438721,-445.873047,-3.227440,0.004793,17.072540,-660.882812,-2.557030,0.001022
CC(C)COC(=O)CCCCC(=O)OCC(C)C,COC(C)CO,0.256383,0.000211,16.947083,-186.767578,-3.228195,0.005661,17.987335,-455.843750,-2.688507,0.001754
CC(C)COC(=O)CCCCC(=O)OCC(C)C,Nc1nc(=O)c2ccccc2o1,0.239755,0.000158,18.088318,634.488281,-2.990967,0.002646,9.292694,107.357422,-1.663208,0.003677
CC(C)COC(=O)CCCCC(=O)OCC(C)C,CC(Cl)Br,0.248680,0.000195,17.813263,-775.843750,-3.169044,0.005248,19.249939,-632.650391,-2.902908,0.000669
CC(C)COC(=O)CCCCC(=O)OCC(C)C,CCCOC(F)F,0.260372,0.000223,17.313629,-563.644531,-3.126518,0.005514,18.039917,-597.048828,-2.738503,0.000785
CC(C)COC(=O)CCCCC(=O)OCC(C)C,COC1CC2CCC1(C)C2(C)C,0.256785,0.000208,16.573547,-401.082031,-2.952721,0.005127,16.769257,-464.275391,-2.654518,0.001568
CC(C)COC(=O)CCCCC(=O)OCC(C)C,CCC(=O)C1=NCCC1,0.252113,0.000206,17.649872,-534.839844,-3.156754,0.005290,17.825562,-641.867188,-2.642746,0.000828
CC(C)COC(=O)CCCCC(=O)OCC(C)C,NC(CF)(CF)CF,0.246630,0.000193,17.352478,-324.339844,-3.284309,0.005880,17.740784,-357.609375,-2.471992,0.000839
CC(C)COC(=O)CCCCC(=O)OCC(C)C,CC(C)CCCC(C)CC=O,0.259081,0.000220,17.606750,-425.230469,-3.156219,0.005523,17.091370,-649.998047,-2.635559,0.001260
CC(C)COC(=O)CCCCC(=O)OCC(C)C,Cc1coc(C)n1,0.250802,0.000207,18.108521,-514.810547,-3.281281,0.005422,18.363770,-646.837891,-2.710930,0.000891
CC(C)COC(=O)CCCCC(=O)OCC(C)C,NC(=S)NC(N)=S,0.211833,0.000082,17.512726,-490.087891,-3.047714,0.004368,15.493164,-554.833984,-2.050255,0.002003
CC(C)COC(=O)CCCCC(=O)OCC(C)C,FC(F)C(Cl)C(F)F,0.221239,0.000131,20.208588,-1033.033203,-3.552193,0.004862,20.431580,-797.439453,-2.860855,0.000610
CC(C)COC(=O)CCCCC(=O)OCC(C)C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.238757,0.000156,14.022980,-261.142578,-2.431793,0.004054,16.277191,90.708984,-2.641579,0.001702
CC(C)COC(=O)CCCCC(=O)OCC(C)C,NNC(=O)c1ccccc1,0.259866,0.000204,16.894287,317.089844,-3.159241,0.004871,14.592377,-39.537109,-2.316681,0.002696
CC(C)COC(=O)CCCCC(=O)OCC(C)C,ClC=CBr,0.242678,0.000173,18.081085,-921.054688,-3.211243,0.005075,20.101837,-601.476562,-3.039963,0.000960
CC(C)COC(=O)CCCCC(=O)OCC(C)C,CN(C)N=O,0.248966,0.000187,16.671021,-95.755859,-3.273476,0.005961,16.859955,-72.501953,-2.351608,0.000899
CC(C)COC(=O)CCCCC(=O)OCC(C)C,c1ccc(C2CCCCC2)cc1,0.262469,0.000221,16.931580,-465.097656,-3.013512,0.005293,17.221008,-494.191406,-2.730713,0.001485
CC(C)COC(=O)CCCCC(=O)OCC(C)C,N#Cc1ccncc1,0.239067,0.000179,18.774200,-649.019531,-3.260216,0.004508,18.508484,-777.857422,-2.749794,0.001058
CC(C)COC(=O)CCCCC(=O)OCC(C)C,CN(C)C(=S)Nc1ccccc1,0.227902,0.000151,18.572327,-496.173828,-3.078835,0.003755,16.546936,-635.695312,-2.414200,0.000827
CC(C)COC(=O)CCCCC(=O)OCC(C)C,CCC(N)CC,0.252302,0.000201,16.360779,-231.705078,-3.132828,0.006296,17.838348,-452.771484,-2.765717,0.001772
CC(C)COC(=O)CCCCC(=O)OCC(C)C,COC(=O)CO,0.252901,0.000199,16.466095,-164.212891,-3.196808,0.005550,17.081940,-185.525391,-2.345459,0.001121
