SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,O=P(Cl)(c1ccccc1)c1ccccc1,0.250342,0.000203,18.834381,-356.949219,-3.308594,0.005010,16.492432,-520.226562,-2.482834,0.000934
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,CC(=O)Nc1ccc(C=O)cc1,0.245322,0.000176,17.090576,-35.652344,-3.116714,0.004858,14.447540,-265.894531,-2.140991,0.001837
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,Cc1cccc(CO)c1,0.234246,0.000169,18.386230,-629.449219,-3.195915,0.004715,16.597473,-697.220703,-2.381065,0.000503
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,COC(C)CO,0.248663,0.000196,16.909973,-277.919922,-3.220467,0.005750,18.613647,-450.056641,-2.656944,0.001264
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,Nc1nc(=O)c2ccccc2o1,0.234003,0.000143,17.298309,265.015625,-2.992645,0.003785,10.682281,-88.410156,-1.632843,0.002720
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,CC(Cl)Br,0.255453,0.000201,16.341064,-651.183594,-3.044334,0.005922,18.907623,-314.796875,-2.940880,0.000785
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,CCCOC(F)F,0.268198,0.000230,15.996857,-449.173828,-3.008621,0.005957,17.632385,-300.722656,-2.799423,0.001254
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,COC1CC2CCC1(C)C2(C)C,0.263811,0.000217,16.028870,-407.382812,-2.882156,0.005112,17.441010,-392.378906,-2.825302,0.001912
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,CCC(=O)C1=NCCC1,0.250669,0.000200,17.104187,-489.382812,-3.065598,0.005097,17.588623,-590.253906,-2.608688,0.000884
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,NC(CF)(CF)CF,0.240259,0.000177,16.281036,-260.207031,-3.174019,0.005987,17.812561,-146.505859,-2.394806,0.000777
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,CC(C)CCCC(C)CC=O,0.258881,0.000219,17.348236,-449.322266,-3.109222,0.005474,17.234863,-597.052734,-2.652084,0.001081
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,Cc1coc(C)n1,0.246789,0.000197,17.874512,-492.283203,-3.249413,0.005311,18.438660,-602.507812,-2.682770,0.000895
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,NC(=S)NC(N)=S,0.207638,0.000065,14.319580,-162.623047,-2.738205,0.005972,12.849945,204.658203,-1.480804,0.000638
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,FC(F)C(Cl)C(F)F,0.229965,0.000140,17.942322,-861.562500,-3.302727,0.005699,19.967163,-354.964844,-2.845535,0.000585
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.237320,0.000146,12.474426,-100.001953,-2.417603,0.005351,14.989044,698.281250,-2.509102,0.001508
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,NNC(=O)c1ccccc1,0.250934,0.000186,16.715546,212.505859,-3.180969,0.005306,15.621429,-16.736328,-2.283005,0.002044
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,ClC=CBr,0.247999,0.000178,16.934082,-852.460938,-3.101074,0.005569,20.080170,-371.564453,-3.122620,0.001131
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,CN(C)N=O,0.238521,0.000165,15.933136,3.728516,-3.256050,0.006394,17.168213,195.308594,-2.345291,0.000564
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,c1ccc(C2CCCCC2)cc1,0.272024,0.000233,15.797516,-383.457031,-2.934929,0.005803,17.438385,-254.445312,-2.891380,0.002000
CCCCCCC(O)CC=CCCCCCCCC(=O)OC,N#Cc1ccncc1,0.239231,0.000176,18.021271,-544.687500,-3.174545,0.004448,17.886414,-612.095703,-2.615685,0.000981
