SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=C(CC(C)(C)c1ccccc1)c1ccccc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.253187,0.000206,19.159149,-300.187500,-3.341660,0.005001,15.056091,-489.474609,-2.323624,0.001282
C=C(CC(C)(C)c1ccccc1)c1ccccc1,CC(=O)Nc1ccc(C=O)cc1,0.275474,0.000222,15.259064,1312.781250,-2.903137,0.003555,10.094208,591.458984,-2.129402,0.005617
C=C(CC(C)(C)c1ccccc1)c1ccccc1,Cc1cccc(CO)c1,0.278944,0.000241,15.752563,579.744141,-3.114212,0.005179,12.799957,36.824219,-2.330551,0.004305
C=C(CC(C)(C)c1ccccc1)c1ccccc1,COC(C)CO,0.266819,0.000222,16.164856,151.673828,-3.157028,0.005434,15.969849,-299.232422,-2.548363,0.003031
C=C(CC(C)(C)c1ccccc1)c1ccccc1,Nc1nc(=O)c2ccccc2o1,0.230084,0.000138,14.263245,2745.208984,-2.678009,0.000529,7.753265,1921.960938,-2.135674,0.007445
C=C(CC(C)(C)c1ccccc1)c1ccccc1,CC(Cl)Br,0.265700,0.000231,16.880707,-466.384766,-3.149796,0.005902,16.998901,-476.853516,-2.556808,0.000917
C=C(CC(C)(C)c1ccccc1)c1ccccc1,CCCOC(F)F,0.271308,0.000240,16.677155,-377.753906,-3.102364,0.005939,16.361206,-483.449219,-2.546387,0.001300
C=C(CC(C)(C)c1ccccc1)c1ccccc1,COC1CC2CCC1(C)C2(C)C,0.256895,0.000211,17.008881,-441.535156,-3.015213,0.005202,16.498962,-577.289062,-2.561691,0.001280
C=C(CC(C)(C)c1ccccc1)c1ccccc1,CCC(=O)C1=NCCC1,0.257488,0.000214,17.497589,-413.943359,-3.183273,0.005446,17.120209,-638.468750,-2.594505,0.001400
C=C(CC(C)(C)c1ccccc1)c1ccccc1,NC(CF)(CF)CF,0.266733,0.000215,15.148743,227.505859,-3.127594,0.006318,14.842743,72.417969,-2.254692,0.002452
