SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.245959,0.000195,19.448273,-341.572266,-3.282661,0.004566,15.137421,-529.582031,-2.335716,0.000974
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,CC(=O)Nc1ccc(C=O)cc1,0.249726,0.000185,17.233582,48.457031,-3.110382,0.004719,13.510132,-296.324219,-2.142372,0.002385
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,Cc1cccc(CO)c1,0.241929,0.000185,18.141418,-487.029297,-3.175941,0.004900,15.698212,-663.859375,-2.333397,0.000919
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,COC(C)CO,0.240415,0.000181,17.900879,-423.564453,-3.231262,0.005193,17.135773,-649.013672,-2.487251,0.001139
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,Nc1nc(=O)c2ccccc2o1,0.230390,0.000138,17.451233,197.138672,-2.978104,0.003666,10.480377,-250.345703,-1.693611,0.002822
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,CC(Cl)Br,0.270041,0.000233,15.454498,-297.615234,-3.051369,0.007250,17.194092,149.408203,-2.766678,0.000787
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,CCCOC(F)F,0.278035,0.000245,14.863647,-113.240234,-2.961334,0.007003,16.268036,191.287109,-2.722267,0.001617
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,COC1CC2CCC1(C)C2(C)C,0.266707,0.000223,15.686005,-380.175781,-2.866524,0.005890,17.228149,-63.603516,-2.850433,0.001510
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,CCC(=O)C1=NCCC1,0.248755,0.000194,17.124207,-510.578125,-2.986229,0.004908,16.886108,-521.318359,-2.571014,0.000914
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,NC(CF)(CF)CF,0.238741,0.000171,16.578033,-286.480469,-3.043571,0.005057,16.295288,-354.927734,-2.271828,0.000983
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,CC(C)CCCC(C)CC=O,0.257944,0.000216,17.373749,-479.486328,-3.071800,0.005424,17.203430,-472.597656,-2.707047,0.001185
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,Cc1coc(C)n1,0.226613,0.000154,19.097534,-767.310547,-3.214615,0.004394,16.312836,-822.017578,-2.339073,0.000423
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,NC(=S)NC(N)=S,0.231671,0.000125,15.175720,329.664062,-2.770386,0.005442,11.566681,207.609375,-1.547203,0.001841
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,FC(F)C(Cl)C(F)F,0.251539,0.000191,16.755737,-470.626953,-3.139511,0.006235,17.431244,-46.789062,-2.644905,0.000682
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.255968,0.000192,13.733307,228.597656,-2.647163,0.005695,13.137604,542.984375,-2.299110,0.001960
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,NNC(=O)c1ccccc1,0.245715,0.000182,17.257080,-34.218750,-3.186638,0.005273,16.203339,-346.437500,-2.371529,0.001881
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,ClC=CBr,0.267406,0.000224,15.543427,-487.875000,-3.015930,0.007086,18.242004,35.642578,-2.915138,0.000757
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,CN(C)N=O,0.246295,0.000183,16.825653,-143.835938,-3.129608,0.005264,15.718506,-197.603516,-2.200653,0.001060
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,c1ccc(C2CCCCC2)cc1,0.282515,0.000251,14.896698,-92.845703,-2.956787,0.007036,16.114563,195.195312,-2.809540,0.002273
