SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C#C,O=P(Cl)(c1ccccc1)c1ccccc1,0.226767,0.000160,20.790466,-611.490234,-3.320786,0.003802,17.426056,-1106.400391,-2.829102,0.002186
C#C,CC(=O)Nc1ccc(C=O)cc1,0.253005,0.000200,18.515747,407.570312,-3.072891,0.003556,14.522400,-546.291016,-2.739647,0.004733
C#C,Cc1cccc(CO)c1,0.260339,0.000219,17.772247,219.312500,-3.096764,0.004234,15.296112,-587.812500,-2.703163,0.004086
C#C,COC(C)CO,0.234093,0.000166,19.725464,-461.576172,-3.183296,0.003902,16.691925,-1106.740234,-2.762070,0.002926
C#C,Nc1nc(=O)c2ccccc2o1,0.255304,0.000198,18.117035,973.119141,-3.008438,0.002731,12.361633,-106.908203,-2.546547,0.005803
C#C,CC(Cl)Br,0.270660,0.000233,16.202057,-174.730469,-2.889160,0.005198,15.562103,-530.298828,-2.578560,0.002401
C#C,CCCOC(F)F,0.261222,0.000220,17.100281,-321.376953,-2.965263,0.004887,16.677856,-674.404297,-2.726387,0.002154
C#C,COC1CC2CCC1(C)C2(C)C,0.232559,0.000154,17.504059,-462.880859,-2.817001,0.003514,15.841187,-824.996094,-2.584908,0.002370
C#C,CCC(=O)C1=NCCC1,0.225885,0.000150,19.555664,-759.277344,-3.074539,0.003647,17.264008,-1102.468750,-2.770676,0.001848
C#C,NC(CF)(CF)CF,0.247030,0.000193,18.151154,-353.136719,-3.055672,0.004346,17.080444,-859.933594,-2.759842,0.002286
C#C,CC(C)CCCC(C)CC=O,0.239735,0.000177,18.033539,-300.439453,-2.965569,0.003931,17.100983,-854.796875,-2.823929,0.002504
C#C,Cc1coc(C)n1,0.229079,0.000154,19.089233,-727.326172,-3.087982,0.003935,16.880341,-1020.769531,-2.636086,0.001610
C#C,NC(=S)NC(N)=S,0.267115,0.000208,15.670654,867.478516,-3.027672,0.005299,14.256531,-13.982422,-2.540672,0.004870
C#C,FC(F)C(Cl)C(F)F,0.270531,0.000240,17.221191,-287.240234,-3.074158,0.005514,16.461823,-649.275391,-2.662094,0.002074
C#C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.267926,0.000215,14.746429,420.638672,-2.600723,0.004006,14.236847,-204.894531,-2.671196,0.004613
C#C,NNC(=O)c1ccccc1,0.256112,0.000209,18.209015,282.636719,-3.091423,0.003896,15.336365,-613.929688,-2.764946,0.004373
C#C,ClC=CBr,0.276489,0.000239,15.447815,-119.183594,-2.785751,0.005284,15.461182,-358.802734,-2.637650,0.002824
C#C,CN(C)N=O,0.230180,0.000159,19.953674,-645.917969,-3.255646,0.004104,17.801361,-1104.962891,-2.801773,0.002079
C#C,c1ccc(C2CCCCC2)cc1,0.267671,0.000220,15.670135,183.332031,-2.730400,0.004234,15.010071,-330.685547,-2.732925,0.004061
C#C,N#Cc1ccncc1,0.237559,0.000172,18.727631,-450.060547,-3.040276,0.003942,16.956085,-957.025391,-2.749954,0.002314
C#C,CN(C)C(=S)Nc1ccccc1,0.245365,0.000196,19.303101,-298.054688,-3.203110,0.004228,17.898041,-920.609375,-2.958130,0.002635
C#C,CCC(N)CC,0.207532,0.000102,18.576996,-772.712891,-2.945480,0.003337,14.862701,-1111.345703,-2.295425,0.001780
C#C,COC(=O)CO,0.240154,0.000184,19.837555,-412.296875,-3.244514,0.004101,16.726929,-1016.488281,-2.737450,0.002626
C#C,Cc1c(N)cccc1Cl,0.259717,0.000213,17.026154,137.773438,-2.980957,0.004570,15.735748,-579.996094,-2.721718,0.003452
C#C,CC1CCC(C(C)(C)OO)CC1,0.260016,0.000219,17.574097,335.646484,-3.049309,0.004130,15.985626,-601.919922,-2.889404,0.004529
C#C,CC(F)(Cl)CF,0.265555,0.000231,17.467407,-312.583984,-3.090843,0.005309,16.803955,-694.474609,-2.707878,0.002024
C#C,CCCCC1OC(C)CC(C)(C)O1,0.220960,0.000135,18.777740,-615.099609,-2.888298,0.003186,16.285767,-1121.662109,-2.687141,0.002526
C#C,CC(C)(C)OCC1CO1,0.228621,0.000156,19.692261,-672.753906,-3.140839,0.003801,17.576721,-1133.214844,-2.846939,0.002240
C#C,O=P(O)(O)OP(=O)(O)O,0.224196,0.000129,13.804413,3719.650391,-2.150146,-0.000608,9.655518,1750.314453,-2.719933,0.010653
C#C,CC(=O)Nc1ccc(C)cc1,0.255291,0.000207,17.912384,175.216797,-3.033600,0.003980,15.227692,-630.724609,-2.751854,0.004135
C#C,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.242809,0.000184,19.773010,-108.380859,-3.180405,0.003794,16.681091,-826.933594,-2.827682,0.002833
C#C,CC(C)(O)CCC1CCCCC1,0.250261,0.000194,17.310699,292.421875,-2.912193,0.003483,14.344269,-564.757812,-2.642860,0.004565
C#C,COCC(F)(F)F,0.254466,0.000208,17.491547,-390.250000,-2.997200,0.004703,17.229004,-778.072266,-2.752617,0.001908
C#C,COCC(O)COC,0.214136,0.000125,21.609833,-820.089844,-3.329895,0.003649,17.513031,-1348.462891,-2.899559,0.002677
C#C,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.249919,0.000194,18.172943,635.035156,-3.056702,0.003143,15.527374,-526.630859,-3.004402,0.005570
C#C,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.263911,0.000215,17.254913,960.433594,-3.069275,0.003518,13.330139,-155.644531,-2.660988,0.005862
C#C,CC(C)C(F)F,0.268282,0.000231,16.723022,-246.652344,-2.967171,0.005183,16.365631,-569.937500,-2.710732,0.002419
C#C,CCCCC1C=C(C)CC(C)O1,0.225500,0.000141,17.913330,-501.369141,-2.813866,0.003244,16.024628,-925.308594,-2.641144,0.002451
C#C,COc1ccc(C(C)=O)cc1,0.238717,0.000179,19.494019,-548.115234,-3.200607,0.004225,17.576416,-1030.914062,-2.843300,0.002244
C#C,Oc1cc(O)ncn1,0.268194,0.000215,15.346954,1603.005859,-2.893791,0.003322,12.379028,274.767578,-2.692329,0.007599
C#C,COCCCCl,0.246295,0.000187,17.378601,-484.763672,-2.920349,0.004412,16.642944,-845.310547,-2.663353,0.001892
C#C,CCCOC,0.226264,0.000145,18.409546,-736.562500,-2.979568,0.003863,16.715759,-992.091797,-2.595421,0.001490
C#C,Fc1c(F)c(F)c(F)c(F)c1F,0.270314,0.000225,15.560089,-2.173828,-2.736870,0.004693,14.925781,-382.105469,-2.611626,0.003357
C#C,CCP(CC)CC,0.237101,0.000163,17.046814,-498.380859,-2.746185,0.003528,16.442688,-719.171875,-2.668556,0.002177
C#C,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.207012,0.000104,19.949066,-761.796875,-2.967690,0.002922,16.153992,-1298.302734,-2.730469,0.002867
C#C,Fc1cc(F)c(F)cc1F,0.273690,0.000238,16.136780,-89.455078,-2.881104,0.005189,15.170105,-487.822266,-2.589455,0.002931
C#C,CCCCc1ccc(C(=O)O)cc1,0.262713,0.000222,17.183136,631.876953,-3.045929,0.003981,15.003540,-405.716797,-2.856239,0.005334
C#C,C=Cc1c(C)cc(C)cc1C,0.268318,0.000226,16.057129,27.591797,-2.821381,0.004626,15.164185,-469.363281,-2.650345,0.003452
C#C,C=C(C)C(=O)OC(C)(C)C,0.238237,0.000176,18.659180,-500.958984,-3.072388,0.004120,17.007782,-926.511719,-2.759331,0.002117
C#C,FC1CCCN1,0.234876,0.000172,19.591187,-605.304688,-3.218536,0.004086,18.310760,-997.580078,-2.893288,0.001860
C#C,CCCCCCCC(=O)NC,0.230631,0.000154,18.875702,-207.044922,-2.995232,0.003155,15.551422,-937.398438,-2.687248,0.003615
C#C,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.270070,0.000220,15.095795,275.773438,-2.657776,0.004367,14.686188,-309.058594,-2.685593,0.004271
C#C,C1=CC2C=CC1C2,0.268025,0.000223,15.880707,-149.111328,-2.802231,0.004867,15.777405,-393.791016,-2.700302,0.002944
C#C,CCC(C)(O)CCC=C(C)C,0.244591,0.000184,17.886505,42.947266,-2.960983,0.003597,14.797852,-714.847656,-2.635117,0.003913
C#C,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.215836,0.000133,20.689697,113.771484,-3.048309,0.002228,19.876495,-1171.402344,-3.647949,0.004967
C#C,CCC(C)CCF,0.266056,0.000221,16.109741,-143.537109,-2.835495,0.004797,15.943451,-506.433594,-2.704781,0.002887
C#C,C=Cc1cccc(CC)c1,0.268886,0.000226,15.953766,14.470703,-2.797646,0.004609,15.063416,-465.310547,-2.629601,0.003417
C#C,CC(C)(C(O)(F)F)C(F)(F)F,0.263074,0.000225,17.090240,-98.527344,-3.024765,0.005175,16.768127,-665.675781,-2.781143,0.002772
C#C,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.273684,0.000224,14.702850,85.132812,-2.596199,0.004536,14.914856,-235.974609,-2.701790,0.003942
C#C,CCN(CC)c1ccc(N)cc1,0.238948,0.000176,18.595490,-243.912109,-3.071114,0.004053,16.863892,-956.769531,-2.818138,0.002963
C#C,FC(F)CC(F)(F)F,0.273838,0.000244,16.767639,-171.591797,-3.012344,0.005518,15.814209,-596.857422,-2.613815,0.002449
C#C,N#CCCOCCC#N,0.245830,0.000194,19.854095,-209.634766,-3.201256,0.003933,16.743317,-838.197266,-2.796471,0.002550
C#C,CCC(C)C(C)C(C)C,0.274105,0.000219,14.236450,389.677734,-2.515709,0.004089,14.067322,26.435547,-2.743462,0.005228
C#C,Cn1c(=O)ccc2ccccc21,0.208278,0.000111,21.566833,-903.240234,-3.301575,0.003409,17.100281,-1321.933594,-2.776375,0.002315
C#C,CCOC(=O)c1ccccc1N,0.256132,0.000215,18.326233,13.781250,-3.110641,0.004349,16.570251,-737.501953,-2.878967,0.003435
C#C,ClC1CN2CCC1CC2,0.211604,0.000111,18.529999,-857.232422,-2.913437,0.003416,15.042023,-1098.806641,-2.341103,0.001513
C#C,CC=CCCCCCCCC#N,0.243836,0.000190,19.072937,-290.746094,-3.158745,0.004207,17.494537,-903.876953,-2.928131,0.002714
C#C,COCCl,0.253989,0.000211,18.131989,-440.134766,-3.127304,0.004917,17.247742,-767.046875,-2.713707,0.001610
C#C,NCCc1cccnc1,0.231201,0.000158,19.706757,-407.136719,-3.184685,0.003704,16.785583,-1126.339844,-2.744202,0.003151
C#C,Cc1cccc(C(=O)O)c1,0.265833,0.000229,17.531036,409.726562,-3.133743,0.004330,14.944946,-469.794922,-2.734253,0.004604
C#C,C=CCNC,0.215926,0.000125,19.151886,-840.386719,-3.068779,0.003680,16.081543,-1091.884766,-2.461212,0.001432
C#C,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.260103,0.000194,14.141510,544.638672,-2.441254,0.003405,14.045868,11.152344,-2.716568,0.004964
C#C,CC(CO)C(F)(F)F,0.270909,0.000237,16.978516,312.281250,-3.072159,0.004781,15.364197,-474.804688,-2.749390,0.004384
C#C,CC(C)C(=O)C(F)(F)F,0.260563,0.000220,17.327942,-308.236328,-2.993515,0.004914,16.746002,-734.716797,-2.761551,0.002319
