SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,O=P(Cl)(c1ccccc1)c1ccccc1,0.252981,0.000211,19.411163,-419.091797,-3.363686,0.005114,16.212097,-642.458984,-2.494080,0.001095
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(=O)Nc1ccc(C=O)cc1,0.277937,0.000233,16.339386,786.955078,-3.042046,0.004468,11.195343,228.828125,-2.160568,0.004297
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,Cc1cccc(CO)c1,0.271659,0.000234,16.789948,267.720703,-3.171425,0.005342,13.969849,-179.064453,-2.417130,0.003197
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,COC(C)CO,0.261022,0.000217,17.058838,-21.472656,-3.212303,0.005458,16.442139,-429.496094,-2.613297,0.002452
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,Nc1nc(=O)c2ccccc2o1,0.257147,0.000192,15.576996,1912.421875,-2.768700,0.001547,8.512695,1143.949219,-2.043053,0.006399
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(Cl)Br,0.257706,0.000220,17.721497,-602.593750,-3.183495,0.005634,17.691833,-624.082031,-2.674881,0.000565
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCCOC(F)F,0.266846,0.000235,17.154907,-466.982422,-3.126373,0.005815,16.596344,-540.314453,-2.561256,0.000992
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,COC1CC2CCC1(C)C2(C)C,0.257185,0.000209,16.413300,-370.052734,-2.935570,0.005181,16.158783,-508.107422,-2.566597,0.001583
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCC(=O)C1=NCCC1,0.257201,0.000217,17.907227,-499.326172,-3.189644,0.005429,17.285431,-687.699219,-2.639099,0.001101
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,NC(CF)(CF)CF,0.265720,0.000220,16.028290,-71.871094,-3.164909,0.006579,15.896759,-242.363281,-2.411095,0.001755
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(C)CCCC(C)CC=O,0.260399,0.000222,17.579803,-333.585938,-3.164581,0.005499,16.541595,-654.169922,-2.600670,0.001670
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,Cc1coc(C)n1,0.257615,0.000218,17.926056,-399.605469,-3.276978,0.005769,17.484711,-622.191406,-2.660904,0.001309
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,NC(=S)NC(N)=S,0.229004,0.000136,16.262146,465.875000,-3.200119,0.006283,15.955078,312.976562,-2.228561,0.001059
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,FC(F)C(Cl)C(F)F,0.244070,0.000187,18.978882,-702.351562,-3.392639,0.005357,18.099243,-671.996094,-2.605614,0.000540
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.252405,0.000191,14.999847,209.244141,-2.677605,0.004403,12.886017,4.232422,-2.207458,0.002593
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,NNC(=O)c1ccccc1,0.281647,0.000237,15.090454,715.343750,-3.085617,0.005683,12.329285,186.695312,-2.206146,0.004301
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,ClC=CBr,0.254756,0.000209,17.477814,-660.123047,-3.134125,0.005533,17.744904,-616.970703,-2.698067,0.000677
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CN(C)N=O,0.255319,0.000201,17.423187,-196.166016,-3.263702,0.005565,16.181213,-300.833984,-2.344635,0.001135
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,c1ccc(C2CCCCC2)cc1,0.269289,0.000235,16.615967,-301.939453,-3.042137,0.005849,15.657196,-492.835938,-2.507462,0.001651
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,N#Cc1ccncc1,0.256895,0.000214,18.301758,-363.482422,-3.261658,0.005276,16.991791,-609.152344,-2.601555,0.001346
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CN(C)C(=S)Nc1ccccc1,0.247766,0.000195,19.074982,-309.410156,-3.260445,0.004581,15.569427,-515.638672,-2.374100,0.001013
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCC(N)CC,0.254990,0.000202,16.013458,-108.427734,-3.093262,0.006337,16.609741,-433.615234,-2.648422,0.002274
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,COC(=O)CO,0.263394,0.000215,16.414703,102.541016,-3.202354,0.005493,15.014648,-30.779297,-2.285156,0.002063
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,Cc1c(N)cccc1Cl,0.253053,0.000208,17.982544,-412.361328,-3.197502,0.005295,16.969482,-672.253906,-2.612839,0.001329
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC1CCC(C(C)(C)OO)CC1,0.263214,0.000224,16.951263,57.466797,-3.147568,0.005275,16.041351,-457.601562,-2.670448,0.002946
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(F)(Cl)CF,0.261973,0.000228,17.855835,-521.402344,-3.244980,0.005817,17.253082,-580.412109,-2.601608,0.000790
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCCCC1OC(C)CC(C)(C)O1,0.258945,0.000216,16.999786,-369.390625,-3.025398,0.005223,16.558228,-662.507812,-2.614838,0.001644
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(C)(C)OCC1CO1,0.258849,0.000222,18.147949,-473.910156,-3.248634,0.005562,17.361664,-706.771484,-2.666595,0.001255
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,O=P(O)(O)OP(=O)(O)O,0.215254,0.000101,13.165070,2545.167969,-2.613159,0.002658,8.564392,1920.250000,-1.775284,0.006270
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(=O)Nc1ccc(C)cc1,0.276901,0.000240,16.725861,426.072266,-3.104904,0.004866,13.137512,-131.580078,-2.391724,0.003740
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.253800,0.000188,17.359985,315.095703,-3.319565,0.005624,13.100403,264.908203,-2.036003,0.001421
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(C)(O)CCC1CCCCC1,0.269767,0.000231,16.073273,344.642578,-3.112335,0.005635,14.419189,-192.068359,-2.552681,0.003832
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,COCC(F)(F)F,0.262058,0.000223,17.032440,-403.417969,-3.136566,0.005713,16.681396,-483.527344,-2.537445,0.001132
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,COCC(O)COC,0.258754,0.000214,17.595612,-288.732422,-3.274574,0.005838,17.078186,-528.884766,-2.591743,0.001543
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.269474,0.000220,16.285858,1193.652344,-3.053459,0.003350,10.663879,422.199219,-2.282356,0.005599
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.261428,0.000207,16.750885,506.294922,-3.100456,0.004340,12.987366,-21.365234,-2.209381,0.003473
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(C)C(F)F,0.270006,0.000238,16.620087,-382.404297,-3.074768,0.005973,16.274841,-513.140625,-2.545891,0.001271
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCCCC1C=C(C)CC(C)O1,0.256303,0.000209,16.735168,-343.207031,-2.964554,0.005046,16.164948,-607.519531,-2.550735,0.001593
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,COc1ccc(C(C)=O)cc1,0.262468,0.000223,18.085663,-308.525391,-3.252815,0.005546,16.067780,-532.912109,-2.503654,0.001436
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,Oc1cc(O)ncn1,0.270846,0.000212,13.385223,1375.390625,-2.892677,0.004601,12.176086,641.529297,-2.274986,0.005802
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,COCCCCl,0.262737,0.000223,16.996185,-449.253906,-3.092880,0.005687,17.066406,-620.396484,-2.619743,0.001179
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCCOC,0.257388,0.000212,16.627686,-420.021484,-3.047447,0.005591,16.978943,-576.478516,-2.659698,0.001420
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,Fc1c(F)c(F)c(F)c(F)c1F,0.266746,0.000220,14.772400,-121.693359,-2.769119,0.005580,14.255615,-187.646484,-2.389854,0.002093
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCP(CC)CC,0.257073,0.000212,16.853668,-423.833984,-3.018791,0.005363,16.514893,-605.085938,-2.556374,0.001241
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.261637,0.000220,17.080078,-264.724609,-3.054337,0.005227,16.263641,-688.080078,-2.626968,0.002196
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,Fc1cc(F)c(F)cc1F,0.261420,0.000221,16.936127,-401.750000,-3.062050,0.005571,16.042297,-541.375000,-2.490181,0.001161
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCCCc1ccc(C(=O)O)cc1,0.269646,0.000234,16.656982,189.181641,-3.114029,0.005087,14.793579,-309.763672,-2.541702,0.003196
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,C=Cc1c(C)cc(C)cc1C,0.269399,0.000236,16.820709,-324.769531,-3.077316,0.005891,15.895782,-537.736328,-2.529427,0.001632
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,C=C(C)C(=O)OC(C)(C)C,0.262726,0.000227,17.553192,-377.125000,-3.177559,0.005701,16.434204,-619.658203,-2.568031,0.001432
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,FC1CCCN1,0.262331,0.000221,17.251251,-241.566406,-3.218185,0.005758,16.228699,-418.199219,-2.485756,0.001398
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCCCCCCC(=O)NC,0.271280,0.000232,16.978790,417.333984,-3.119873,0.004922,13.787384,-191.677734,-2.478027,0.003781
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.263851,0.000212,14.437286,233.894531,-2.836571,0.005913,13.763519,-4.673828,-2.375999,0.002955
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,C1=CC2C=CC1C2,0.267460,0.000229,16.066223,-326.683594,-2.995155,0.005951,15.954987,-396.130859,-2.553162,0.001606
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCC(C)(O)CCC=C(C)C,0.266091,0.000226,16.205597,213.572266,-3.115334,0.005717,14.864807,-259.060547,-2.561279,0.003388
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.254930,0.000217,18.345093,30.304688,-3.244308,0.004629,16.631378,-673.460938,-2.871002,0.003165
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCC(C)CCF,0.267913,0.000230,16.359070,-346.896484,-3.008652,0.005853,15.961884,-461.558594,-2.533119,0.001627
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,C=Cc1cccc(CC)c1,0.268903,0.000238,17.128113,-359.773438,-3.137009,0.005994,16.228455,-568.009766,-2.553162,0.001430
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(C)(C(O)(F)F)C(F)(F)F,0.204046,0.000105,19.896973,-1076.318359,-3.265778,0.003529,17.714722,-890.664062,-2.381462,-0.000241
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.265846,0.000220,15.981750,-332.205078,-2.919945,0.005413,15.134064,-399.011719,-2.456978,0.002044
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCN(CC)c1ccc(N)cc1,0.258336,0.000216,18.096466,-234.222656,-3.240105,0.005233,16.484650,-612.166016,-2.594170,0.001897
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,FC(F)CC(F)(F)F,0.263026,0.000223,17.084900,-356.900391,-3.147141,0.005746,15.829712,-394.605469,-2.425385,0.001194
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,N#CCCOCCC#N,0.251506,0.000188,17.673309,117.273438,-3.317619,0.005856,13.670532,149.199219,-2.070702,0.000667
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCC(C)C(C)C(C)C,0.262688,0.000206,14.594696,-119.933594,-2.731697,0.005567,14.460144,-54.906250,-2.489754,0.002874
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,Cn1c(=O)ccc2ccccc21,0.258109,0.000211,18.411469,-211.826172,-3.238663,0.004994,15.523346,-449.751953,-2.418533,0.001489
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCOC(=O)c1ccccc1N,0.266221,0.000229,17.172302,-130.894531,-3.138695,0.005480,16.055969,-535.421875,-2.591179,0.002228
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,ClC1CN2CCC1CC2,0.250136,0.000203,17.919769,-500.068359,-3.175385,0.005153,17.684692,-705.416016,-2.667114,0.000991
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC=CCCCCCCCC#N,0.262441,0.000228,18.052612,-332.912109,-3.253487,0.005629,16.544342,-662.429688,-2.603012,0.001706
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,COCCl,0.260329,0.000223,17.727173,-464.365234,-3.252319,0.005916,17.120941,-496.683594,-2.550201,0.000666
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,NCCc1cccnc1,0.266398,0.000213,15.838837,325.578125,-3.196655,0.006065,14.866608,-153.798828,-2.460167,0.003441
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,Cc1cccc(C(=O)O)c1,0.266203,0.000227,16.940063,129.882812,-3.176292,0.005188,15.282013,-330.572266,-2.542725,0.002815
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,C=CCNC,0.262410,0.000220,16.599609,-211.017578,-3.148773,0.006299,16.828003,-506.666016,-2.645874,0.001926
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.227114,0.000137,11.286530,782.212891,-2.276527,0.004016,11.725739,1114.376953,-2.402534,0.003636
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(CO)C(F)(F)F,0.273207,0.000239,16.108582,243.072266,-3.156670,0.006015,15.020233,-143.158203,-2.529976,0.003106
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(C)C(=O)C(F)(F)F,0.268634,0.000233,16.612030,-316.914062,-3.082878,0.006182,15.620789,-451.794922,-2.447723,0.001475
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.253821,0.000190,15.144623,268.369141,-2.704659,0.003981,12.922913,59.820312,-2.355919,0.003489
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.265106,0.000232,17.805084,-177.789062,-3.198357,0.005439,16.331238,-691.468750,-2.665924,0.002460
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,C=CCN(C)CC=C,0.262404,0.000218,16.197235,-390.431641,-2.932587,0.005440,16.383575,-586.386719,-2.564003,0.001404
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,COCC(F)C(F)(F)F,0.264978,0.000226,16.739868,-327.027344,-3.096375,0.006004,16.391724,-467.843750,-2.504959,0.001251
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CNC(C)(C)C,0.253564,0.000199,15.987549,-216.716797,-3.000610,0.005887,16.663086,-485.400391,-2.639397,0.001961
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,C1COCCOCCOCCO1,0.255810,0.000205,17.545471,-245.050781,-3.219063,0.005270,16.557068,-556.816406,-2.519844,0.001766
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,O=NF,0.243002,0.000178,16.596466,89.498047,-3.350746,0.006828,15.335205,502.632812,-2.135963,0.000018
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCN(CC)CCN,0.257506,0.000208,16.409668,-18.703125,-3.198654,0.006215,16.772827,-482.978516,-2.673195,0.002817
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.270376,0.000225,14.924469,-6.564453,-2.810547,0.005820,14.283997,-169.308594,-2.428574,0.002660
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(=O)Nc1ccc(Br)cc1,0.270857,0.000232,17.361572,380.113281,-3.155396,0.004572,13.093536,-113.179688,-2.361748,0.003392
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,c1ccc(COc2ccccc2)cc1,0.266366,0.000236,17.849335,-369.441406,-3.229866,0.005853,16.147186,-597.093750,-2.545128,0.001451
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,FC(F)(F)C(F)(F)C(Cl)(Cl)C(F)(F)F,0.252052,0.000186,13.668884,106.361328,-2.546799,0.004895,13.357880,140.035156,-2.358208,0.002710
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(C)(C)OCF,0.260903,0.000225,17.742401,-487.773438,-3.198448,0.005719,17.110870,-606.875000,-2.599777,0.000876
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,OCCCCOC1CCCO1,0.261911,0.000218,17.175781,-85.882812,-3.195877,0.005375,16.193726,-553.666016,-2.588943,0.002480
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,OCCCCC(O)CO,0.263069,0.000194,13.463623,1823.873047,-2.960152,0.004267,10.940460,1008.662109,-2.285545,0.006677
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(C)C(=O)C(=O)O,0.257407,0.000214,16.918884,-281.585938,-3.080124,0.005225,17.058838,-578.205078,-2.632111,0.001465
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,N#CCl,0.254935,0.000205,17.123993,-296.574219,-3.175316,0.005187,16.425964,-393.419922,-2.507950,0.001423
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(C)(C)CCO,0.275122,0.000239,15.853180,523.361328,-3.123611,0.005661,13.755920,-24.363281,-2.503822,0.004151
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCc1cc(C(N)=S)ccn1,0.262238,0.000211,17.208923,329.083984,-3.126968,0.004837,14.227112,-209.224609,-2.398598,0.003064
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCCCCCCCCCCCC(N)=O,0.270728,0.000225,16.238647,801.416016,-3.122513,0.005045,13.102936,0.312500,-2.478889,0.004820
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCOc1ccccc1F,0.264437,0.000233,17.804749,-435.027344,-3.213043,0.005810,16.614777,-602.443359,-2.578247,0.001155
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCCCCCCCCCCCCCCC(=O)O,0.268982,0.000231,16.000519,316.462891,-3.026314,0.004964,14.517151,-277.439453,-2.582130,0.003825
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC=CCCCCCC,0.264237,0.000214,15.204468,-197.708984,-2.807564,0.005532,14.725159,-226.560547,-2.464195,0.002379
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,FC1CCCC1F,0.265262,0.000233,17.514801,-417.507812,-3.218903,0.005855,16.695801,-530.599609,-2.562622,0.001151
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCC(=O)OCc1ccccc1,0.265149,0.000233,17.845764,-364.898438,-3.243729,0.005831,16.578796,-619.681641,-2.590736,0.001497
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,COC(=O)CCC(C)C(=O)OC,0.262709,0.000227,17.972137,-349.503906,-3.248497,0.005649,16.464539,-625.150391,-2.567688,0.001591
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,COC(=O)C1CCCCC1,0.262948,0.000228,17.594177,-386.525391,-3.199760,0.005770,16.939880,-652.113281,-2.636238,0.001453
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,0.262282,0.000210,16.017670,1461.179688,-2.981964,0.002507,10.864227,499.835938,-2.439659,0.006484
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCOCCC(C)CCCC(C)C,0.259482,0.000212,16.150726,-234.599609,-2.884766,0.005033,15.781525,-520.310547,-2.580231,0.002153
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(N)C(C)(C)C,0.254057,0.000201,15.974396,-89.812500,-3.068893,0.006189,16.408142,-423.482422,-2.630577,0.002300
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCC(=O)CC(C)CC,0.258563,0.000220,17.892883,-409.265625,-3.207199,0.005506,16.933075,-680.289062,-2.628014,0.001417
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCC(=O)Cc1ccccc1,0.263274,0.000228,18.116913,-352.888672,-3.263222,0.005646,16.088409,-572.115234,-2.520096,0.001428
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCCCCC=CCC=CCCCCCCCC(=O)O,0.269131,0.000236,16.762909,245.412109,-3.111931,0.004915,14.937897,-348.070312,-2.637688,0.003650
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,C=CCOC(=O)COc1ccccc1,0.263479,0.000228,18.231262,-339.580078,-3.270317,0.005577,15.677124,-517.787109,-2.456573,0.001368
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC(C)CCN=C=S,0.268404,0.000240,17.594177,-409.574219,-3.209213,0.005962,16.561584,-594.244141,-2.596550,0.001333
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CC1=CCC(C=CC(C)C(C)O)C1(C)C,0.267960,0.000230,16.401093,48.787109,-3.104767,0.005923,15.483704,-377.654297,-2.624825,0.002946
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,CCCCCCCCCCCCCCCCC1CCCC1,0.256550,0.000198,15.467773,160.960938,-2.718529,0.004284,13.546783,-69.615234,-2.489456,0.003776
