SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.250202,0.000191,18.207733,131.873047,-3.262695,0.004779,13.814026,-133.310547,-2.229294,0.001847
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.257207,0.000186,15.062744,1763.279297,-2.854942,0.002720,10.022675,1024.601562,-2.210793,0.005831
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,Cc1cccc(CO)c1,0.276841,0.000234,15.167908,727.296875,-3.057404,0.005067,12.039001,249.822266,-2.230469,0.004456
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,COC(C)CO,0.267992,0.000220,15.878693,261.595703,-3.107475,0.005195,15.232971,-208.492188,-2.436134,0.003245
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.223613,0.000127,14.392883,2793.296875,-2.673996,0.000246,7.960785,1955.755859,-2.171707,0.007242
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(Cl)Br,0.265860,0.000225,16.248474,-203.937500,-3.047630,0.005690,15.175720,-245.792969,-2.294106,0.001239
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCOC(F)F,0.269554,0.000239,17.448364,-335.443359,-3.202164,0.005957,16.295990,-509.517578,-2.510193,0.001456
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.263379,0.000221,16.334869,-194.566406,-2.986343,0.005423,15.605072,-467.574219,-2.462509,0.001837
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(=O)C1=NCCC1,0.261709,0.000215,16.760071,-144.070312,-3.116348,0.005372,16.109650,-452.453125,-2.478569,0.002033
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,NC(CF)(CF)CF,0.267122,0.000217,15.855225,110.064453,-3.112007,0.005970,15.037140,-169.269531,-2.319244,0.002355
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)CCCC(C)CC=O,0.266679,0.000229,17.050232,-120.560547,-3.135719,0.005577,15.447937,-466.009766,-2.456139,0.002133
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,Cc1coc(C)n1,0.260476,0.000214,16.784424,-171.746094,-3.177658,0.005738,16.588135,-379.810547,-2.496094,0.001734
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,NC(=S)NC(N)=S,0.185563,0.000054,14.249237,2476.255859,-2.951958,0.003256,11.354340,2143.441406,-2.166412,0.003983
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)C(Cl)C(F)F,0.261540,0.000222,17.746582,-387.619141,-3.269150,0.005923,16.409668,-405.689453,-2.411606,0.000823
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.263179,0.000228,17.866791,-371.683594,-3.145645,0.005406,16.151367,-592.511719,-2.522789,0.001650
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,NNC(=O)c1ccccc1,0.258897,0.000187,13.789612,1594.033203,-2.989662,0.004356,11.091309,1024.400391,-2.218040,0.005385
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,ClC=CBr,0.265688,0.000224,15.730499,-243.376953,-2.947548,0.005706,15.299072,-271.824219,-2.311378,0.001174
CCC(C)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(C)N=O,0.248077,0.000177,16.400787,248.507812,-3.182312,0.005425,15.245117,57.232422,-2.247246,0.001669
