SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.242123,0.000172,18.301147,392.376953,-3.285858,0.004558,13.063507,142.257812,-2.163925,0.001843
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.244546,0.000161,15.088776,2041.869141,-2.832436,0.002148,9.674500,1294.800781,-2.248772,0.005925
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,Cc1cccc(CO)c1,0.271191,0.000221,14.753845,936.816406,-3.012901,0.004744,11.621368,471.894531,-2.235870,0.004746
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,COC(C)CO,0.268440,0.000218,15.765839,373.708984,-3.079399,0.004903,14.244659,-95.880859,-2.317741,0.003427
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.210907,0.000104,14.526031,3086.529297,-2.609322,-0.000382,7.676941,2195.097656,-2.217102,0.007300
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,CC(Cl)Br,0.269295,0.000227,15.830292,-5.417969,-3.002922,0.005517,13.957306,-59.259766,-2.175079,0.001717
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,CCCOC(F)F,0.270634,0.000238,17.131805,-242.080078,-3.163277,0.005842,15.647430,-419.283203,-2.436562,0.001571
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.260405,0.000213,15.971924,-114.148438,-2.943489,0.005327,15.136841,-362.750000,-2.403175,0.001959
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,CCC(=O)C1=NCCC1,0.261215,0.000211,16.590546,-11.923828,-3.104820,0.005161,15.227509,-309.367188,-2.362556,0.002201
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,NC(CF)(CF)CF,0.267670,0.000216,15.683319,217.689453,-3.094131,0.005728,14.326538,-85.097656,-2.261078,0.002647
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,CC(C)CCCC(C)CC=O,0.264762,0.000222,16.937408,24.490234,-3.123741,0.005349,14.674011,-313.441406,-2.376648,0.002313
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,Cc1coc(C)n1,0.259491,0.000210,16.647736,-85.855469,-3.140633,0.005458,15.777313,-282.265625,-2.388199,0.001804
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,NC(=S)NC(N)=S,0.174214,0.000035,13.938995,2774.535156,-2.873657,0.002570,11.156555,2440.246094,-2.215225,0.004321
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,FC(F)C(Cl)C(F)F,0.264863,0.000225,17.501740,-293.082031,-3.235023,0.005887,15.673859,-330.972656,-2.338333,0.001065
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265916,0.000236,18.390228,-393.962891,-3.236855,0.005582,16.188568,-607.710938,-2.536102,0.001718
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,NNC(=O)c1ccccc1,0.245410,0.000160,13.474396,1948.876953,-2.936104,0.003740,10.698822,1359.054688,-2.296005,0.005799
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,ClC=CBr,0.269200,0.000226,15.108704,-26.017578,-2.904022,0.005634,14.143646,-62.384766,-2.211403,0.001750
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,CN(C)N=O,0.241709,0.000164,16.514099,402.763672,-3.185638,0.005124,14.571228,241.107422,-2.197723,0.001663
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,c1ccc(C2CCCCC2)cc1,0.275224,0.000238,15.205444,152.994141,-2.916351,0.005646,13.457123,-116.886719,-2.288857,0.002821
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,N#Cc1ccncc1,0.256046,0.000199,17.332703,39.218750,-3.154228,0.004844,15.054840,-251.521484,-2.327583,0.002005
CCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,CN(C)C(=S)Nc1ccccc1,0.237237,0.000153,16.908661,1118.748047,-3.115257,0.003599,11.721710,734.429688,-2.186623,0.003261
