SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.250820,0.000210,19.181946,-504.035156,-3.361519,0.005282,17.495941,-747.990234,-2.647186,0.001085
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,CC(=O)Nc1ccc(C=O)cc1,0.246015,0.000188,18.335327,-261.671875,-3.177147,0.004652,15.297699,-617.371094,-2.368019,0.001692
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,Cc1cccc(CO)c1,0.228619,0.000157,18.788666,-731.451172,-3.170868,0.004472,15.919342,-783.308594,-2.330269,0.000495
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,COC(C)CO,0.244477,0.000191,17.863068,-448.402344,-3.219170,0.005466,17.778137,-643.656250,-2.623756,0.000943
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,Nc1nc(=O)c2ccccc2o1,0.225078,0.000128,17.796722,143.437500,-3.003952,0.003767,9.630249,-439.400391,-1.631905,0.003018
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,CC(Cl)Br,0.246832,0.000188,17.750610,-773.871094,-3.154762,0.005318,19.453766,-648.308594,-2.935760,0.000788
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,CCCOC(F)F,0.260482,0.000216,16.527313,-501.144531,-2.999756,0.005448,17.964142,-537.818359,-2.779228,0.001162
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,COC1CC2CCC1(C)C2(C)C,0.249599,0.000183,15.040649,-287.771484,-2.680000,0.004644,16.013245,-206.294922,-2.624855,0.002234
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,CCC(=O)C1=NCCC1,0.252565,0.000206,17.395599,-563.912109,-3.076172,0.005233,17.807220,-659.492188,-2.683525,0.000790
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,NC(CF)(CF)CF,0.248320,0.000193,16.730865,-327.927734,-3.163376,0.005977,17.964233,-422.632812,-2.548927,0.001018
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,CC(C)CCCC(C)CC=O,0.254773,0.000203,16.277313,-395.501953,-2.934662,0.005246,16.809082,-455.873047,-2.642944,0.001520
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,Cc1coc(C)n1,0.247813,0.000196,17.576599,-542.886719,-3.161476,0.005299,18.286774,-690.662109,-2.722664,0.000932
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,NC(=S)NC(N)=S,0.203456,0.000065,17.902374,-545.656250,-3.055206,0.004741,13.288971,-741.416016,-1.926735,0.002266
