SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.247731,0.000204,18.949707,-525.757812,-3.335693,0.005225,17.865784,-753.023438,-2.665916,0.000943
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,CC(=O)Nc1ccc(C=O)cc1,0.263475,0.000217,16.899719,197.292969,-3.070831,0.004752,14.786133,-259.681641,-2.461449,0.002830
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,Cc1cccc(CO)c1,0.253706,0.000203,16.303314,-74.322266,-3.003464,0.005188,16.063934,-346.458984,-2.566132,0.002042
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,COC(C)CO,0.249590,0.000198,17.053101,-252.285156,-3.125641,0.005314,17.935577,-557.117188,-2.737373,0.001586
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,Nc1nc(=O)c2ccccc2o1,0.252717,0.000185,16.682587,868.746094,-2.961678,0.003292,11.131561,262.306641,-2.110519,0.004470
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,CC(Cl)Br,0.249381,0.000195,17.148102,-743.972656,-3.027466,0.005127,18.944916,-562.738281,-2.886948,0.000632
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,CCCOC(F)F,0.259266,0.000211,15.949402,-435.810547,-2.898537,0.005229,16.998718,-413.775391,-2.636482,0.001178
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,COC1CC2CCC1(C)C2(C)C,0.245254,0.000174,14.370636,-248.716797,-2.581017,0.004552,15.758636,-118.029297,-2.598816,0.002296
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,CCC(=O)C1=NCCC1,0.247529,0.000193,17.026550,-639.865234,-2.939690,0.004833,18.289368,-652.156250,-2.765121,0.000665
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,NC(CF)(CF)CF,0.247495,0.000189,15.853760,-225.113281,-3.100426,0.006293,17.443817,-288.003906,-2.558098,0.001332
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,CC(C)CCCC(C)CC=O,0.248004,0.000189,15.984741,-364.310547,-2.884453,0.005060,16.762543,-410.902344,-2.645508,0.001577
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,Cc1coc(C)n1,0.244822,0.000189,17.067902,-522.980469,-3.092918,0.005238,17.998871,-614.056641,-2.697723,0.000918
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,NC(=S)NC(N)=S,0.214613,0.000103,18.051422,-593.386719,-3.154587,0.004863,17.531342,-661.109375,-2.403358,0.001299
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,FC(F)C(Cl)C(F)F,0.230057,0.000148,18.353455,-799.691406,-3.243225,0.004720,18.882660,-721.707031,-2.699577,0.000690
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.232349,0.000138,11.895081,368.416016,-2.166138,0.004120,13.534943,746.603516,-2.427773,0.002404
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,NNC(=O)c1ccccc1,0.264251,0.000215,16.543671,232.240234,-3.145332,0.005530,15.631531,-227.617188,-2.528633,0.002897
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,ClC=CBr,0.243698,0.000174,16.971252,-833.087891,-2.976257,0.004820,19.201050,-456.115234,-2.926147,0.000937
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,CN(C)N=O,0.242319,0.000186,18.070587,-553.775391,-3.268768,0.005249,18.991943,-620.304688,-2.668846,0.000703
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,c1ccc(C2CCCCC2)cc1,0.254233,0.000193,15.026489,-307.761719,-2.712296,0.004939,15.906677,-179.503906,-2.604324,0.002051
