SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,O=P(Cl)(c1ccccc1)c1ccccc1,0.228225,0.000142,16.661194,-658.371094,-2.804985,0.004278,16.080994,-597.425781,-2.445160,0.001077
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,CC(=O)Nc1ccc(C=O)cc1,0.231789,0.000152,15.726959,-493.697266,-2.731911,0.004600,15.742371,-566.050781,-2.317795,0.000777
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,Cc1cccc(CO)c1,0.237163,0.000155,13.648773,-179.238281,-2.522751,0.004952,15.136017,-78.705078,-2.420288,0.001867
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,COC(C)CO,0.204713,0.000088,16.704010,-860.156250,-2.819847,0.004192,15.998840,-807.455078,-2.290466,0.000731
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,Nc1nc(=O)c2ccccc2o1,0.234693,0.000162,16.888672,-496.402344,-2.915955,0.004707,15.949249,-563.085938,-2.410751,0.001006
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,CC(Cl)Br,0.276557,0.000221,12.298340,-109.220703,-2.464203,0.006086,17.883545,689.238281,-3.136154,0.002717
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,CCCOC(F)F,0.272680,0.000210,11.217682,236.207031,-2.231209,0.005181,16.116547,1037.535156,-3.011307,0.003552
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,COC1CC2CCC1(C)C2(C)C,0.222970,0.000110,9.581085,162.841797,-1.571091,0.002099,15.850037,1260.091797,-2.860703,0.003896
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,CCC(=O)C1=NCCC1,0.216348,0.000100,14.239838,-973.488281,-2.240387,0.002420,18.935852,-4.226562,-2.798615,0.001509
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,NC(CF)(CF)CF,0.212960,0.000111,16.083618,-885.289062,-2.663109,0.003934,16.008789,-698.876953,-2.255684,0.000001
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,CC(C)CCCC(C)CC=O,0.228138,0.000125,12.642822,-342.207031,-2.092072,0.002727,16.422760,331.312500,-2.650345,0.002633
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,Cc1coc(C)n1,0.199575,0.000069,14.853912,-1004.250000,-2.503899,0.003303,14.955994,-479.777344,-2.020828,0.000711
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,NC(=S)NC(N)=S,0.208619,0.000095,18.800110,-915.306641,-3.182640,0.004321,18.666138,-900.886719,-2.697250,0.001152
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,FC(F)C(Cl)C(F)F,0.267204,0.000198,13.406281,-227.517578,-2.615265,0.005696,17.487793,317.007812,-2.939751,0.002627
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.206107,0.000088,6.519562,1470.500000,-1.415482,0.002030,14.162933,2723.468750,-3.124306,0.004514
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,NNC(=O)c1ccccc1,0.217428,0.000131,18.206543,-872.953125,-3.041016,0.004202,17.083893,-859.865234,-2.424522,0.000105
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,ClC=CBr,0.272884,0.000209,11.131317,13.582031,-2.259109,0.005645,17.827118,1022.412109,-3.206757,0.003243
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,CN(C)N=O,0.205243,0.000088,19.148407,-1194.855469,-3.227142,0.004704,19.880066,-881.769531,-2.819977,0.000555
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)no1,c1ccc(C2CCCCC2)cc1,0.232436,0.000133,8.246918,836.800781,-1.648201,0.003068,15.563171,2190.083984,-3.255913,0.004427
