SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.207655,0.000109,18.860748,-1060.802734,-3.175964,0.004792,15.276733,-836.283203,-2.250748,0.000141
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,CC(=O)Nc1ccc(C=O)cc1,0.197737,0.000085,18.379517,-877.279297,-3.076607,0.004143,12.915100,-947.017578,-1.816498,0.000475
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,Cc1cccc(CO)c1,0.215923,0.000128,18.450226,-806.478516,-3.106133,0.004281,15.242676,-849.931641,-2.187675,0.000292
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,COC(C)CO,0.179653,0.000046,20.770752,-1268.248047,-3.326355,0.003875,14.757477,-1270.529297,-2.112427,0.000591
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,Nc1nc(=O)c2ccccc2o1,0.213699,0.000111,16.979309,-405.923828,-2.934998,0.004464,11.142212,-563.494141,-1.698151,0.001481
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,CC(Cl)Br,0.285037,0.000249,12.893799,-3.847656,-2.762062,0.007666,16.664062,766.800781,-2.963066,0.001868
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,CCCOC(F)F,0.280809,0.000241,13.119354,11.970703,-2.713234,0.007033,16.122223,712.062500,-2.882698,0.001962
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,COC1CC2CCC1(C)C2(C)C,0.230886,0.000134,14.602875,-723.376953,-2.506866,0.004597,15.640259,33.869141,-2.461769,0.000995
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,CCC(=O)C1=NCCC1,0.190787,0.000061,18.437408,-1349.609375,-2.881775,0.004087,15.453186,-948.267578,-2.324615,0.000216
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,NC(CF)(CF)CF,0.188317,0.000062,17.469940,-1054.310547,-2.961998,0.004315,11.630341,-874.595703,-1.554207,-0.000574
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,CC(C)CCCC(C)CC=O,0.207596,0.000098,17.862122,-1139.876953,-2.973434,0.004410,16.606018,-721.212891,-2.411095,0.000226
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,Cc1coc(C)n1,0.165125,0.000011,20.474487,-1490.257812,-3.329697,0.004035,13.314148,-1300.824219,-1.832413,-0.000191
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,NC(=S)NC(N)=S,0.239411,0.000151,11.614166,942.154297,-2.731308,0.007299,15.300140,1251.824219,-2.116318,0.001120
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,FC(F)C(Cl)C(F)F,0.277933,0.000236,12.844635,108.250000,-2.763710,0.007527,15.508881,757.292969,-2.679665,0.001529
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.250199,0.000169,8.270355,1426.849609,-1.982292,0.005109,10.935852,2264.656250,-2.489784,0.003874
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,NNC(=O)c1ccccc1,0.200346,0.000086,17.785980,-859.179688,-3.053581,0.004710,13.281769,-922.003906,-1.892288,0.000612
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,ClC=CBr,0.287210,0.000246,11.989075,22.630859,-2.611397,0.007560,16.206482,978.753906,-2.957970,0.002196
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,CN(C)N=O,0.189602,0.000057,19.523102,-1166.912109,-3.338097,0.004808,15.690125,-993.017578,-2.146416,0.000494
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,c1ccc(C2CCCCC2)cc1,0.285287,0.000239,11.731720,216.730469,-2.497299,0.007090,14.882416,1129.386719,-2.868202,0.002872
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,N#Cc1ccncc1,0.183647,0.000051,18.959015,-1274.445312,-3.042389,0.004075,13.958466,-1169.226562,-1.993408,-0.000007
