SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,O=P(Cl)(c1ccccc1)c1ccccc1,0.235668,0.000177,19.259308,-722.488281,-3.234802,0.004645,17.782745,-827.966797,-2.658554,0.000712
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CC(=O)Nc1ccc(C=O)cc1,0.259935,0.000215,16.900696,55.542969,-3.073471,0.004996,15.866760,-374.876953,-2.597397,0.002614
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,Cc1cccc(CO)c1,0.255382,0.000202,15.382019,47.652344,-2.952583,0.005804,15.704712,-179.093750,-2.595909,0.002535
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,COC(C)CO,0.233914,0.000165,18.327698,-543.318359,-3.150230,0.004576,18.599579,-798.894531,-2.832146,0.001429
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,Nc1nc(=O)c2ccccc2o1,0.260519,0.000209,16.795746,847.201172,-3.034126,0.003828,12.752594,211.779297,-2.387039,0.004389
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CC(Cl)Br,0.255223,0.000198,17.656250,-809.523438,-3.025742,0.004869,17.703796,-460.492188,-2.785278,0.001588
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CCCOC(F)F,0.260670,0.000209,16.770721,-578.498047,-2.917473,0.004912,16.549469,-390.607422,-2.601631,0.001729
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,COC1CC2CCC1(C)C2(C)C,0.233884,0.000148,14.346283,-387.898438,-2.438873,0.003171,16.740692,-12.683594,-2.654747,0.002293
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CCC(=O)C1=NCCC1,0.230230,0.000154,17.691956,-905.376953,-2.889458,0.003846,18.757202,-696.492188,-2.781174,0.000403
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,NC(CF)(CF)CF,0.245488,0.000186,17.848846,-491.693359,-3.206528,0.005712,17.294922,-602.435547,-2.567238,0.001291
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CC(C)CCCC(C)CC=O,0.237385,0.000164,17.075500,-603.277344,-2.871162,0.004148,16.875488,-479.814453,-2.645889,0.001569
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,Cc1coc(C)n1,0.234173,0.000161,17.208466,-666.156250,-2.965439,0.004549,17.761353,-684.101562,-2.648865,0.000763
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,NC(=S)NC(N)=S,0.217123,0.000119,20.119354,-634.183594,-3.488747,0.005301,19.986389,-834.712891,-2.872673,0.001776
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,FC(F)C(Cl)C(F)F,0.235460,0.000155,19.103424,-971.076172,-3.283936,0.004557,18.446533,-744.056641,-2.728149,0.001310
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.244214,0.000165,14.127899,-49.382812,-2.394966,0.003556,14.078827,244.400391,-2.414825,0.003171
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,NNC(=O)c1ccccc1,0.255362,0.000207,17.358307,-62.515625,-3.125069,0.005164,16.924133,-510.003906,-2.656853,0.002223
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,ClC=CBr,0.252100,0.000186,16.497955,-745.228516,-2.900848,0.004843,17.515991,-222.783203,-2.726273,0.001873
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CN(C)N=O,0.223026,0.000145,20.138397,-866.074219,-3.421692,0.004616,19.694702,-927.816406,-2.787933,0.000565
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,c1ccc(C2CCCCC2)cc1,0.253189,0.000184,14.349792,-342.390625,-2.528770,0.004249,15.871826,96.847656,-2.596741,0.002607
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,N#Cc1ccncc1,0.245044,0.000189,17.400360,-541.935547,-3.008347,0.004732,17.857269,-707.148438,-2.663567,0.000817
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CN(C)C(=S)Nc1ccccc1,0.229303,0.000162,20.110992,-882.589844,-3.339699,0.004515,18.488556,-898.732422,-2.683357,0.000605
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CCC(N)CC,0.217684,0.000118,15.996155,-580.285156,-2.801384,0.004587,17.240997,-514.412109,-2.626526,0.001480
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,COC(=O)CO,0.246458,0.000196,18.672791,-405.812500,-3.323952,0.005114,17.764374,-673.218750,-2.662819,0.001478
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,Cc1c(N)cccc1Cl,0.243896,0.000184,17.758362,-654.195312,-3.062599,0.004984,17.316193,-667.658203,-2.594009,0.000873
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CC1CCC(C(C)(C)OO)CC1,0.248902,0.000190,15.625946,-106.175781,-2.930161,0.005758,16.345856,-292.865234,-2.624603,0.002138
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CC(F)(Cl)CF,0.254651,0.000203,18.232758,-801.738281,-3.131485,0.005106,17.767487,-531.373047,-2.750755,0.001335
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CCCCC1OC(C)CC(C)(C)O1,0.234255,0.000153,16.354675,-638.359375,-2.673866,0.003324,17.193329,-452.832031,-2.654617,0.001642
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CC(C)(C)OCC1CO1,0.232082,0.000158,18.395233,-821.154297,-3.041397,0.004088,18.179352,-730.833984,-2.736107,0.000942
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,O=P(O)(O)OP(=O)(O)O,0.222003,0.000099,16.677429,249.097656,-2.956444,0.005278,11.413025,-150.929688,-1.873787,0.003924
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CC(=O)Nc1ccc(C)cc1,0.261198,0.000215,16.176575,-114.781250,-2.948059,0.005183,16.092987,-412.984375,-2.583282,0.002163
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.242980,0.000185,19.361298,-524.138672,-3.344688,0.005005,17.921448,-748.886719,-2.643456,0.001138
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CC(C)(O)CCC1CCCCC1,0.245330,0.000176,14.335052,103.906250,-2.726364,0.005192,15.690674,11.427734,-2.670448,0.003011
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,COCC(F)(F)F,0.256110,0.000202,17.023346,-563.496094,-2.931549,0.004598,16.682373,-465.289062,-2.606567,0.001622
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,COCC(O)COC,0.225299,0.000147,20.394379,-808.390625,-3.417656,0.004530,19.328552,-1006.351562,-2.893646,0.001406
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.248073,0.000198,18.436493,172.111328,-3.211281,0.004094,15.883698,-430.232422,-2.659698,0.002951
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.246319,0.000194,18.131683,-202.162109,-3.203079,0.004917,17.506287,-624.958984,-2.694023,0.001855
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CC(C)C(F)F,0.258783,0.000201,15.437073,-532.839844,-2.760597,0.004791,17.170685,-122.187500,-2.727852,0.001966
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,CCCCC1C=C(C)CC(C)O1,0.234656,0.000151,15.209412,-529.267578,-2.538826,0.003253,16.776672,-257.951172,-2.582130,0.001807
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,COc1ccc(C(C)=O)cc1,0.241686,0.000181,17.854126,-632.783203,-3.081718,0.004791,18.029999,-766.751953,-2.694298,0.000842
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,Oc1cc(O)ncn1,0.263197,0.000209,15.042511,911.767578,-2.949593,0.004893,14.405029,182.691406,-2.568710,0.004872
