SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.238145,0.000166,18.633911,355.109375,-3.318489,0.004525,13.038818,157.468750,-2.136848,0.001511
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.238379,0.000151,15.410492,2069.455078,-2.859970,0.001908,9.429901,1389.009766,-2.210777,0.005675
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Cc1cccc(CO)c1,0.270682,0.000220,15.033600,909.669922,-3.030846,0.004567,11.426758,469.960938,-2.194656,0.004616
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,COC(C)CO,0.267983,0.000217,15.839447,403.232422,-3.092941,0.004824,13.997864,-40.771484,-2.279678,0.003436
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.203904,0.000093,14.843811,3118.417969,-2.617844,-0.000642,7.648682,2273.734375,-2.212418,0.007016
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(Cl)Br,0.267609,0.000225,16.208710,-54.988281,-3.050232,0.005527,14.222443,-91.125000,-2.194969,0.001505
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CCCOC(F)F,0.268013,0.000233,17.373840,-272.191406,-3.176460,0.005721,15.681061,-414.289062,-2.422668,0.001319
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.260584,0.000215,16.460541,-197.583984,-3.007385,0.005342,15.361023,-432.742188,-2.411011,0.001772
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CCC(=O)C1=NCCC1,0.260737,0.000210,16.932434,-5.759766,-3.140121,0.005109,15.057861,-290.121094,-2.335953,0.002102
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,NC(CF)(CF)CF,0.263389,0.000207,15.632019,251.203125,-3.122360,0.005809,14.397919,-20.003906,-2.255737,0.002572
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(C)CCCC(C)CC=O,0.264235,0.000221,17.176544,-61.619141,-3.146378,0.005377,14.738129,-354.363281,-2.350082,0.002023
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Cc1coc(C)n1,0.257700,0.000206,16.845367,-102.341797,-3.155464,0.005383,15.770233,-275.212891,-2.373825,0.001685
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,NC(=S)NC(N)=S,0.172685,0.000033,13.764832,2817.091797,-2.851639,0.002566,11.119720,2553.380859,-2.198280,0.004197
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)C(Cl)C(F)F,0.262302,0.000220,17.535126,-295.515625,-3.238716,0.005843,15.630859,-303.439453,-2.302048,0.000882
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.263871,0.000232,18.440277,-385.064453,-3.232262,0.005463,15.964020,-602.386719,-2.499748,0.001690
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,NNC(=O)c1ccccc1,0.240555,0.000152,13.829498,1919.197266,-2.976425,0.003693,10.641205,1397.621094,-2.257286,0.005435
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,ClC=CBr,0.267582,0.000224,15.540741,-86.671875,-2.951057,0.005598,14.397552,-114.705078,-2.226189,0.001525
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CN(C)N=O,0.238389,0.000157,16.667786,450.853516,-3.194847,0.005022,14.279602,316.035156,-2.172729,0.001583
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,c1ccc(C2CCCCC2)cc1,0.275154,0.000240,15.784912,36.837891,-2.972633,0.005658,13.643127,-202.705078,-2.272896,0.002436
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,N#Cc1ccncc1,0.254279,0.000195,17.451782,41.199219,-3.152351,0.004727,14.873413,-223.609375,-2.288780,0.001853
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CN(C)C(=S)Nc1ccccc1,0.233100,0.000147,17.442596,1077.347656,-3.171577,0.003485,11.592804,750.408203,-2.141502,0.002927
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CCC(N)CC,0.254360,0.000202,16.549011,-45.763672,-3.170876,0.005762,16.179443,-331.203125,-2.542992,0.002191
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,COC(=O)CO,0.245662,0.000171,16.031830,724.396484,-3.214035,0.004617,12.997375,557.199219,-2.075249,0.002466
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Cc1c(N)cccc1Cl,0.261366,0.000205,16.083160,515.642578,-3.084045,0.004690,12.806030,135.970703,-2.176201,0.003284
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC1CCC(C(C)(C)OO)CC1,0.275837,0.000235,15.960510,667.003906,-3.065613,0.004562,12.523376,35.763672,-2.328186,0.004490
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(F)(Cl)CF,0.266404,0.000227,17.285858,-239.732422,-3.180054,0.005657,15.129272,-299.712891,-2.287552,0.001143
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CCCCC1OC(C)CC(C)(C)O1,0.262795,0.000219,17.017517,-106.482422,-3.092575,0.005169,15.420654,-472.544922,-2.459496,0.002236
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(C)(C)OCC1CO1,0.263093,0.000218,17.064545,-134.482422,-3.149643,0.005357,15.646973,-379.716797,-2.413918,0.001825
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,O=P(O)(O)OP(=O)(O)O,0.144841,-0.000004,12.825500,4848.228516,-1.961632,-0.002543,6.136627,3771.521484,-2.097198,0.008168
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(=O)Nc1ccc(C)cc1,0.268874,0.000212,15.433533,1275.349609,-2.924889,0.003473,10.686493,668.603516,-2.188950,0.005160
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.193969,0.000071,16.721497,2045.382812,-3.158417,0.002571,10.000702,1800.718750,-2.061043,0.003284
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(C)(O)CCC1CCCCC1,0.276704,0.000236,15.536774,852.650391,-3.045738,0.004661,11.792908,254.570312,-2.315636,0.004877
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,COCC(F)(F)F,0.262327,0.000222,17.476288,-277.621094,-3.209541,0.005520,16.303558,-433.644531,-2.463928,0.001376
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,COCC(O)COC,0.261762,0.000206,16.354645,178.013672,-3.176765,0.005210,14.705719,-130.558594,-2.265755,0.002385
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.222745,0.000125,14.748871,2639.548828,-2.831497,0.000627,9.066132,1688.472656,-2.367691,0.007213
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.218149,0.000116,14.490845,2453.535156,-2.837143,0.000989,9.513245,1657.298828,-2.257973,0.006509
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(C)C(F)F,0.271369,0.000242,17.173981,-314.314453,-3.193886,0.006043,15.913055,-448.083984,-2.464127,0.001433
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CCCCC1C=C(C)CC(C)O1,0.260163,0.000214,16.784424,-168.914062,-3.031044,0.005123,15.359680,-454.996094,-2.416924,0.001895
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,COc1ccc(C(C)=O)cc1,0.257962,0.000199,16.898834,267.826172,-3.173431,0.005218,13.302490,100.453125,-2.153564,0.002011
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Oc1cc(O)ncn1,0.224228,0.000122,12.390717,2747.216797,-2.765022,0.002067,9.897797,1949.996094,-2.377174,0.007386
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,COCCCCl,0.264545,0.000215,15.687714,-68.667969,-2.999939,0.005561,15.125854,-223.681641,-2.329643,0.001861
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CCCOC,0.258423,0.000213,16.629669,-271.189453,-3.119896,0.005554,16.854645,-470.117188,-2.581123,0.001631
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Fc1c(F)c(F)c(F)c(F)c1F,0.271626,0.000245,18.019379,-395.826172,-3.261688,0.006028,15.564117,-542.460938,-2.446709,0.001639
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CCP(CC)CC,0.259397,0.000215,16.916779,-244.986328,-3.072845,0.005311,15.728424,-475.357422,-2.438583,0.001624
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.262842,0.000220,17.447510,-5.380859,-3.159981,0.005064,15.213562,-457.513672,-2.493149,0.002588
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Fc1cc(F)c(F)cc1F,0.267823,0.000236,17.644226,-372.837891,-3.211624,0.005904,15.988098,-527.029297,-2.468529,0.001398
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CCCCc1ccc(C(=O)O)cc1,0.273773,0.000227,15.373779,1001.351562,-3.008774,0.004127,11.301910,378.736328,-2.249535,0.005011
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C=Cc1c(C)cc(C)cc1C,0.272528,0.000237,16.042542,-11.681641,-3.021973,0.005692,14.046417,-211.646484,-2.305588,0.002229
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C=C(C)C(=O)OC(C)(C)C,0.264103,0.000223,17.350922,-170.871094,-3.166489,0.005513,15.204803,-393.509766,-2.380180,0.001640
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC1CCCN1,0.263420,0.000215,16.702789,-48.871094,-3.124069,0.005291,15.299561,-228.724609,-2.301468,0.001741
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CCCCCCCC(=O)NC,0.272683,0.000223,16.418854,915.263672,-2.992500,0.003831,11.240814,257.007812,-2.186378,0.004663
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.272639,0.000248,18.377930,-332.861328,-3.311401,0.006039,15.765137,-579.251953,-2.503708,0.002025
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C1=CC2C=CC1C2,0.270075,0.000232,15.454224,-152.982422,-2.963318,0.006030,14.894623,-241.574219,-2.373589,0.001750
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CCC(C)(O)CCC=C(C)C,0.274944,0.000235,15.884094,639.070312,-3.091850,0.004926,12.338867,98.390625,-2.313194,0.004377
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.254550,0.000194,17.331543,884.181641,-3.114990,0.003543,13.056580,-31.019531,-2.568314,0.004976
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CCC(C)CCF,0.272513,0.000240,16.470398,-213.593750,-3.075996,0.005959,15.420837,-435.501953,-2.432907,0.001754
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C=Cc1cccc(CC)c1,0.272237,0.000237,16.234680,-20.451172,-3.046555,0.005670,14.117584,-232.130859,-2.303154,0.002191
CC(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(C)(C(O)(F)F)C(F)(F)F,0.246955,0.000200,18.740753,-281.732422,-3.318878,0.004893,16.710968,-583.849609,-2.523514,0.001454
