SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.251783,0.000207,18.903473,-377.318359,-3.359344,0.005211,16.772308,-628.767578,-2.556557,0.001359
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,CC(=O)Nc1ccc(C=O)cc1,0.276636,0.000229,15.783478,845.400391,-3.035751,0.004637,11.966736,269.660156,-2.259247,0.004580
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,Cc1cccc(CO)c1,0.267191,0.000221,15.720306,402.867188,-3.117989,0.005718,14.354950,14.341797,-2.523079,0.003637
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,COC(C)CO,0.255025,0.000204,16.627502,-62.884766,-3.192863,0.005584,17.301056,-440.208984,-2.688965,0.002441
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,Nc1nc(=O)c2ccccc2o1,0.246876,0.000169,14.673157,1929.693359,-2.867737,0.002372,10.224670,1225.820312,-2.280037,0.006148
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,CC(Cl)Br,0.257994,0.000215,16.792206,-534.281250,-3.076889,0.005454,17.575500,-566.875000,-2.642944,0.000797
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,CCCOC(F)F,0.264913,0.000223,15.966766,-365.294922,-2.984512,0.005657,16.552521,-436.312500,-2.573257,0.001372
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,COC1CC2CCC1(C)C2(C)C,0.249735,0.000187,15.214722,-311.525391,-2.759354,0.005032,16.069061,-283.144531,-2.592155,0.001940
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,CCC(=O)C1=NCCC1,0.251425,0.000200,17.230133,-546.736328,-3.059235,0.005231,17.870148,-705.523438,-2.695549,0.000991
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,NC(CF)(CF)CF,0.257288,0.000201,15.109650,45.441406,-3.105202,0.006618,16.289001,-36.519531,-2.428436,0.002045
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,CC(C)CCCC(C)CC=O,0.252826,0.000203,16.505432,-369.527344,-3.025261,0.005529,16.856354,-556.771484,-2.630234,0.001507
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,Cc1coc(C)n1,0.247814,0.000192,17.277771,-492.693359,-3.191315,0.005602,18.138214,-611.367188,-2.724106,0.001258
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,NC(=S)NC(N)=S,0.211531,0.000101,13.684082,1160.095703,-3.101257,0.006352,17.090515,1219.419922,-2.450035,0.001782
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,FC(F)C(Cl)C(F)F,0.248856,0.000191,16.713806,-462.384766,-3.109558,0.005520,17.374390,-416.183594,-2.488953,0.000886
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.234817,0.000147,10.848511,954.599609,-2.394936,0.004895,11.931854,1111.175781,-2.242409,0.003489
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,NNC(=O)c1ccccc1,0.271981,0.000217,14.692841,755.550781,-3.111191,0.005843,13.693329,284.400391,-2.356049,0.004190
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,ClC=CBr,0.256198,0.000205,16.193512,-558.289062,-2.943169,0.005219,17.566742,-429.515625,-2.717117,0.001102
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,CN(C)N=O,0.247706,0.000189,17.286499,-322.279297,-3.275024,0.005670,17.983582,-406.820312,-2.528366,0.000992
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,c1ccc(C2CCCCC2)cc1,0.260648,0.000210,15.560455,-313.912109,-2.851700,0.005413,15.952698,-302.044922,-2.591904,0.001909
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,N#Cc1ccncc1,0.250701,0.000197,18.072174,-507.955078,-3.236900,0.004890,18.059326,-707.068359,-2.748558,0.001666
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,CN(C)C(=S)Nc1ccccc1,0.256040,0.000204,17.774017,-166.640625,-3.190689,0.004973,15.824097,-435.843750,-2.423012,0.001698
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,CCC(N)CC,0.245235,0.000179,14.958344,-175.287109,-2.930054,0.006176,17.118256,-337.173828,-2.683952,0.002025
COP(=S)(Oc1ccccc1)Oc1ccc(SC)c(C)c1,COC(=O)CO,0.257969,0.000205,16.173523,82.525391,-3.233490,0.005677,16.085266,-65.271484,-2.383835,0.001990
