SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,O=P(Cl)(c1ccccc1)c1ccccc1,0.245601,0.000197,18.476807,-477.705078,-3.218414,0.005027,17.081543,-569.648438,-2.570679,0.000727
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,CC(=O)Nc1ccc(C=O)cc1,0.240719,0.000173,17.179474,-360.179688,-3.031174,0.004749,14.986389,-627.718750,-2.217308,0.001391
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,Cc1cccc(CO)c1,0.237923,0.000175,18.102081,-606.839844,-3.160339,0.004930,16.685730,-697.351562,-2.429657,0.000562
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,COC(C)CO,0.238468,0.000177,17.842010,-474.962891,-3.187408,0.005146,17.365723,-676.119141,-2.525238,0.000849
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,Nc1nc(=O)c2ccccc2o1,0.232346,0.000147,17.005554,-36.019531,-2.901314,0.003836,12.500305,-377.437500,-1.906059,0.002025
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,CC(Cl)Br,0.267922,0.000222,14.687561,-438.126953,-2.887329,0.007034,18.213409,149.210938,-2.946358,0.000738
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,CCCOC(F)F,0.276886,0.000237,14.129944,-257.195312,-2.797684,0.006694,17.309784,221.283203,-2.902046,0.001507
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,COC1CC2CCC1(C)C2(C)C,0.257219,0.000199,14.831329,-352.361328,-2.679848,0.005208,17.155212,-6.287109,-2.753723,0.001326
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,CCC(=O)C1=NCCC1,0.240142,0.000178,16.859161,-602.753906,-2.912483,0.004777,17.085144,-547.228516,-2.516891,0.000239
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,NC(CF)(CF)CF,0.235302,0.000163,15.995483,-406.378906,-2.986519,0.005377,16.755219,-388.931641,-2.282097,0.000649
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,CC(C)CCCC(C)CC=O,0.258180,0.000211,16.096893,-427.638672,-2.901939,0.005494,17.564880,-294.121094,-2.761253,0.001021
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,Cc1coc(C)n1,0.224351,0.000148,18.743225,-835.648438,-3.161064,0.004457,17.226257,-830.777344,-2.458450,0.000161
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,NC(=S)NC(N)=S,0.209753,0.000068,15.263214,-526.783203,-2.739510,0.005818,13.087250,-352.181641,-1.744804,0.001402
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,FC(F)C(Cl)C(F)F,0.244820,0.000166,16.586884,-664.087891,-3.126724,0.006254,19.073608,-159.560547,-2.903183,0.000881
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.247338,0.000161,11.606537,203.695312,-2.265350,0.005301,14.238983,906.398438,-2.551483,0.002303
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,NNC(=O)c1ccccc1,0.242826,0.000174,16.664154,-205.650391,-3.073532,0.005245,16.154175,-487.927734,-2.332397,0.001570
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,ClC=CBr,0.263810,0.000205,14.720154,-604.267578,-2.841232,0.006667,19.021759,181.007812,-3.113686,0.001092
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,CN(C)N=O,0.245288,0.000184,16.300415,-240.388672,-3.094490,0.005698,16.939880,-214.263672,-2.341560,0.000632
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,c1ccc(C2CCCCC2)cc1,0.278461,0.000235,13.901337,-172.281250,-2.723419,0.006704,16.771606,341.240234,-2.920372,0.002157
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,N#Cc1ccncc1,0.226121,0.000148,18.367981,-801.501953,-3.076195,0.004110,17.770050,-828.740234,-2.587730,0.000478
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,CN(C)C(=S)Nc1ccccc1,0.209584,0.000104,17.682892,-865.814453,-2.894363,0.003907,14.572205,-729.031250,-2.053093,0.000334
C=C1CCC2C(C)(C=O)CCCC2(C)C1CCC(C)=CCO,CCC(N)CC,0.208009,0.000108,17.886414,-880.037109,-2.986328,0.004045,15.754456,-906.753906,-2.243782,0.000254
