SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,O=P(Cl)(c1ccccc1)c1ccccc1,0.239613,0.000186,19.390289,-482.453125,-3.447441,0.005050,17.203247,-459.103516,-2.451294,0.000223
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CC(=O)Nc1ccc(C=O)cc1,0.246378,0.000181,16.913696,263.814453,-3.224396,0.004742,14.838318,120.148438,-2.190231,0.001797
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,Cc1cccc(CO)c1,0.242345,0.000186,17.983276,-356.845703,-3.254189,0.004844,16.850769,-477.960938,-2.443077,0.001066
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,COC(C)CO,0.251056,0.000196,16.169220,-89.660156,-3.208496,0.005662,17.795776,-149.507812,-2.565590,0.001682
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,Nc1nc(=O)c2ccccc2o1,0.210930,0.000103,16.776581,1134.576172,-3.064415,0.002955,10.230164,980.080078,-1.734657,0.002779
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CC(Cl)Br,0.237919,0.000172,18.296600,-841.388672,-3.308777,0.004972,19.755554,-641.837891,-2.831459,0.000529
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CCCOC(F)F,0.254842,0.000210,16.810394,-514.320312,-3.103645,0.005291,17.918274,-497.347656,-2.642662,0.000718
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,COC1CC2CCC1(C)C2(C)C,0.248032,0.000193,16.497437,-506.781250,-2.962708,0.004871,17.364349,-425.224609,-2.722244,0.001244
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CCC(=O)C1=NCCC1,0.245746,0.000193,17.145142,-579.988281,-3.151695,0.005387,18.345245,-503.962891,-2.561493,0.000352
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,NC(CF)(CF)CF,0.225469,0.000147,15.752472,-26.513672,-3.332863,0.006965,18.134399,356.691406,-2.349655,-0.000089
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CC(C)CCCC(C)CC=O,0.249503,0.000204,17.699219,-541.986328,-3.210571,0.005517,17.790588,-577.984375,-2.662888,0.000678
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,Cc1coc(C)n1,0.245561,0.000193,17.357910,-495.207031,-3.269485,0.005542,18.622894,-430.673828,-2.638229,0.000771
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,NC(=S)NC(N)=S,0.181982,0.000032,13.921600,201.498047,-3.075142,0.007204,18.582489,992.117188,-2.150139,-0.000091
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,FC(F)C(Cl)C(F)F,0.209397,0.000105,19.846436,-941.318359,-3.554085,0.004633,20.035553,-661.595703,-2.631470,0.000574
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.221295,0.000119,12.662140,5.941406,-2.441643,0.004805,14.210266,706.466797,-2.320320,0.001235
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,NNC(=O)c1ccccc1,0.239964,0.000162,16.002350,542.060547,-3.244934,0.005648,15.555389,524.394531,-2.288643,0.001703
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,ClC=CBr,0.231131,0.000148,18.650208,-970.408203,-3.318039,0.004937,20.426422,-668.931641,-3.041489,0.000906
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CN(C)N=O,0.212110,0.000115,15.169769,196.923828,-3.273849,0.006408,18.533844,795.759766,-2.445251,-0.000211
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,c1ccc(C2CCCCC2)cc1,0.254462,0.000209,17.270935,-543.914062,-3.090103,0.005169,17.745087,-519.214844,-2.769333,0.001147
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,N#Cc1ccncc1,0.237743,0.000171,17.969910,-578.150391,-3.238106,0.004485,18.275452,-535.515625,-2.592583,0.001027
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CN(C)C(=S)Nc1ccccc1,0.219919,0.000133,18.271881,-463.207031,-3.193161,0.004036,16.713959,-459.429688,-2.283997,0.000557
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CCC(N)CC,0.244596,0.000183,15.514374,-254.199219,-3.098389,0.006398,18.217072,-264.830078,-2.764259,0.001598
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,COC(=O)CO,0.225444,0.000142,15.372498,217.291016,-3.287590,0.006235,17.351532,664.052734,-2.259888,0.000000
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,Cc1c(N)cccc1Cl,0.210385,0.000113,20.223541,-969.605469,-3.468819,0.004119,19.704102,-896.738281,-2.734138,0.000578
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CC1CCC(C(C)(C)OO)CC1,0.220767,0.000146,19.127594,-808.021484,-3.188263,0.004070,17.643982,-830.589844,-2.515221,0.000101
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CC(F)(Cl)CF,0.247841,0.000196,17.438232,-578.199219,-3.227722,0.005389,18.179352,-430.115234,-2.587341,0.000464
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CCCCC1OC(C)CC(C)(C)O1,0.249958,0.000202,17.452759,-517.271484,-3.108009,0.005027,17.592896,-641.240234,-2.668777,0.000987
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CC(C)(C)OCC1CO1,0.253338,0.000208,17.322205,-517.572266,-3.227516,0.005562,18.096954,-498.257812,-2.639946,0.000852
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,O=P(O)(O)OP(=O)(O)O,0.161403,-0.000036,11.968536,-138.943359,-2.931671,0.007343,11.608093,605.238281,-0.661102,0.002077
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CC(=O)Nc1ccc(C)cc1,0.251977,0.000200,17.488556,-164.201172,-3.194008,0.004808,16.396454,-365.031250,-2.470451,0.001551
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.192615,0.000077,16.035400,736.902344,-3.337204,0.005916,16.569550,1347.587891,-2.218803,-0.000280
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CC(C)(O)CCC1CCCCC1,0.250494,0.000201,17.117126,-159.837891,-3.165298,0.005536,16.798218,-422.419922,-2.653282,0.001880
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,COCC(F)(F)F,0.253789,0.000203,15.613983,-346.953125,-3.071114,0.005864,17.055664,-117.269531,-2.399055,0.000579
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,COCC(O)COC,0.247071,0.000190,16.717682,-280.660156,-3.282219,0.006036,17.843262,-180.228516,-2.437103,0.000636
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.246720,0.000187,18.252991,375.511719,-3.176537,0.003477,13.759125,-11.800781,-2.266029,0.002734
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.204944,0.000090,18.418823,-684.132812,-3.240562,0.004060,15.447754,-538.792969,-1.864937,0.000758
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CC(C)C(F)F,0.257465,0.000211,15.905701,-439.824219,-3.042068,0.005704,17.505829,-293.439453,-2.638664,0.000903
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CCCCC1C=C(C)CC(C)O1,0.247155,0.000195,17.071442,-536.123047,-3.029518,0.004866,17.506104,-532.650391,-2.689240,0.000934
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,COc1ccc(C(C)=O)cc1,0.250254,0.000195,17.096527,-306.365234,-3.270981,0.005804,17.197998,-233.925781,-2.487991,0.000962
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,Oc1cc(O)ncn1,0.220768,0.000116,16.217499,38.958984,-3.194359,0.005321,15.281006,47.658203,-1.941368,0.001630
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,COCCCCl,0.254584,0.000206,16.212585,-463.314453,-3.080833,0.005539,17.730194,-417.830078,-2.620277,0.001012
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CCCOC,0.250171,0.000198,16.238037,-515.857422,-3.045525,0.005160,17.873322,-465.568359,-2.757057,0.001223
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,Fc1c(F)c(F)c(F)c(F)c1F,0.250928,0.000188,14.009247,-264.814453,-2.736160,0.005449,15.680969,138.046875,-2.531670,0.001393
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CCP(CC)CC,0.250144,0.000199,16.830719,-546.957031,-3.040726,0.005078,17.491455,-486.523438,-2.685890,0.000947
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.251347,0.000205,17.733765,-441.861328,-3.167961,0.005231,17.393829,-669.906250,-2.637993,0.001182
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,Fc1cc(F)c(F)cc1F,0.238173,0.000167,17.760071,-756.582031,-3.189682,0.004734,18.504608,-591.744141,-2.729271,0.000911
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CCCCc1ccc(C(=O)O)cc1,0.215607,0.000128,19.070190,-922.347656,-3.192123,0.004067,17.284576,-886.132812,-2.380676,0.000088
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,C=Cc1c(C)cc(C)cc1C,0.256322,0.000213,17.199829,-532.851562,-3.112579,0.005240,17.849976,-508.062500,-2.805977,0.001322
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,C=C(C)C(=O)OC(C)(C)C,0.254085,0.000213,17.665710,-511.380859,-3.243439,0.005556,17.785126,-550.884766,-2.665863,0.000795
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,FC1CCCN1,0.247412,0.000193,16.873688,-375.142578,-3.209480,0.005514,18.417572,-307.722656,-2.523720,0.000708
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,CCCCCCCC(=O)NC,0.259153,0.000213,17.312866,18.927734,-3.192863,0.005305,16.398132,-321.076172,-2.590729,0.002170
