SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.251758,0.000195,16.199310,-447.880859,-2.908989,0.005441,18.023132,-361.974609,-2.811157,0.001275
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,CC(=O)Nc1ccc(C=O)cc1,0.240712,0.000178,16.932617,-533.333984,-3.015526,0.005244,16.641724,-595.412109,-2.427048,0.000475
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,Cc1cccc(CO)c1,0.244987,0.000183,15.944061,-458.121094,-2.902817,0.005281,16.566956,-496.486328,-2.502533,0.000918
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,COC(C)CO,0.220924,0.000138,18.002777,-799.375000,-3.026848,0.003982,17.892181,-823.917969,-2.611061,0.000492
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,Nc1nc(=O)c2ccccc2o1,0.236441,0.000163,16.882080,-386.154297,-2.959877,0.004858,15.961273,-619.369141,-2.375656,0.001357
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,CC(Cl)Br,0.282403,0.000234,11.651764,46.787109,-2.480980,0.006752,17.432983,1030.857422,-3.214989,0.002540
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,CCCOC(F)F,0.281289,0.000229,10.906342,268.146484,-2.325806,0.006087,16.322571,1330.224609,-3.164337,0.003094
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,COC1CC2CCC1(C)C2(C)C,0.245353,0.000157,10.431488,7.251953,-1.879654,0.003480,18.546814,1233.074219,-3.294693,0.003241
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,CCC(=O)C1=NCCC1,0.233131,0.000143,14.382019,-794.748047,-2.418045,0.003260,20.818420,160.775391,-3.133255,0.001186
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,NC(CF)(CF)CF,0.230836,0.000151,15.505859,-572.968750,-2.677116,0.004441,16.837524,-490.722656,-2.411232,0.000219
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,CC(C)CCCC(C)CC=O,0.253632,0.000179,12.515656,-229.835938,-2.299736,0.004595,18.279144,624.244141,-3.096954,0.002358
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,Cc1coc(C)n1,0.215185,0.000110,16.291473,-1002.757812,-2.771118,0.003662,18.278931,-495.681641,-2.556824,0.000527
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,NC(=S)NC(N)=S,0.213676,0.000081,15.880859,-803.744141,-2.814491,0.005446,15.911469,-615.193359,-2.274460,0.001628
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,FC(F)C(Cl)C(F)F,0.265691,0.000195,13.390564,-236.410156,-2.725372,0.006398,18.469818,508.517578,-3.069473,0.002302
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.205181,0.000090,5.880920,1552.550781,-1.484818,0.002918,15.273254,3105.125000,-3.223640,0.003495
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,NNC(=O)c1ccccc1,0.245269,0.000187,16.980469,-378.289062,-3.033401,0.004935,17.956116,-634.759766,-2.700729,0.001275
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,ClC=CBr,0.275008,0.000212,10.867401,-7.478516,-2.307419,0.006047,18.387756,1246.796875,-3.352997,0.002851
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,CN(C)N=O,0.230581,0.000145,17.249176,-723.939453,-3.013496,0.004682,19.121979,-593.001953,-2.842499,0.000999
