SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=NO,O=P(Cl)(c1ccccc1)c1ccccc1,0.231330,0.000159,17.767151,-459.115234,-2.894569,0.003982,13.890869,-832.871094,-2.273483,0.001795
C=NO,CC(=O)Nc1ccc(C=O)cc1,0.234965,0.000165,17.697968,-469.476562,-2.963829,0.004399,13.564636,-831.753906,-2.198051,0.001765
C=NO,Cc1cccc(CO)c1,0.248489,0.000189,16.914520,-273.949219,-2.869202,0.004428,13.928589,-660.554688,-2.287209,0.002195
C=NO,COC(C)CO,0.225237,0.000145,18.553375,-612.099609,-2.970657,0.004081,14.479584,-1050.982422,-2.400276,0.002070
C=NO,Nc1nc(=O)c2ccccc2o1,0.228435,0.000152,18.123352,-493.603516,-3.016678,0.004241,13.255585,-908.308594,-2.131256,0.001834
C=NO,CC(Cl)Br,0.284795,0.000245,13.264801,-3.181641,-2.580933,0.006455,15.514465,403.632812,-2.820656,0.002786
C=NO,CCCOC(F)F,0.282205,0.000239,13.557434,-16.330078,-2.516014,0.005682,15.288147,232.564453,-2.808258,0.003255
C=NO,COC1CC2CCC1(C)C2(C)C,0.226220,0.000126,15.055573,-490.792969,-2.377388,0.003428,12.617981,-542.759766,-2.125587,0.002389
C=NO,CCC(=O)C1=NCCC1,0.208137,0.000106,17.970154,-923.599609,-2.731331,0.003434,13.919067,-1054.371094,-2.240646,0.001179
C=NO,NC(CF)(CF)CF,0.216257,0.000122,17.021606,-791.484375,-2.803276,0.004191,13.625641,-986.136719,-2.105606,0.000930
C=NO,CC(C)CCCC(C)CC=O,0.245549,0.000173,15.480164,-276.062500,-2.505180,0.003717,14.367401,-483.648438,-2.435287,0.002612
C=NO,Cc1coc(C)n1,0.206795,0.000104,17.823059,-903.671875,-2.833054,0.003644,13.478027,-1028.617188,-2.061348,0.000821
C=NO,NC(=S)NC(N)=S,0.238186,0.000167,17.133698,-292.652344,-2.823479,0.003829,16.069946,-829.195312,-2.571991,0.002373
C=NO,FC(F)C(Cl)C(F)F,0.281881,0.000247,14.347626,-121.884766,-2.699944,0.006184,16.527222,-45.591797,-2.856537,0.002494
C=NO,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.277204,0.000216,11.854248,745.716797,-2.186691,0.004501,13.412598,662.250000,-2.775002,0.005436
C=NO,NNC(=O)c1ccccc1,0.230261,0.000159,18.356720,-599.671875,-3.040993,0.004329,14.474670,-947.152344,-2.310776,0.001556
C=NO,ClC=CBr,0.285675,0.000242,12.833771,13.726562,-2.520081,0.006539,15.376343,470.529297,-2.808205,0.002939
C=NO,CN(C)N=O,0.214431,0.000124,19.259094,-941.953125,-3.132751,0.004226,15.883606,-1070.349609,-2.450851,0.001054
C=NO,c1ccc(C2CCCCC2)cc1,0.286439,0.000237,12.276337,590.136719,-2.365166,0.005339,13.134857,643.470703,-2.740387,0.005199
C=NO,N#Cc1ccncc1,0.222997,0.000137,17.287781,-786.031250,-2.804001,0.004094,14.301758,-914.978516,-2.227554,0.000964
C=NO,CN(C)C(=S)Nc1ccccc1,0.244636,0.000184,17.301758,-433.951172,-2.876747,0.004226,16.007568,-643.650391,-2.604256,0.001827
C=NO,CCC(N)CC,0.180861,0.000041,17.714508,-1041.341797,-2.912674,0.003966,10.227570,-1199.339844,-1.617287,0.000741
C=NO,COC(=O)CO,0.236230,0.000175,18.855774,-568.378906,-3.135963,0.004344,15.457733,-916.529297,-2.438171,0.001584
C=NO,Cc1c(N)cccc1Cl,0.255618,0.000200,15.968872,-250.457031,-2.740166,0.004663,15.059631,-504.316406,-2.491638,0.002120
C=NO,CC1CCC(C(C)(C)OO)CC1,0.245121,0.000180,16.753662,-89.839844,-2.786240,0.003928,13.400330,-695.257812,-2.291557,0.003123
C=NO,CC(F)(Cl)CF,0.283618,0.000250,14.379700,8.666016,-2.737099,0.006202,15.738647,101.978516,-2.822159,0.002935
C=NO,CCCCC1OC(C)CC(C)(C)O1,0.209822,0.000104,16.737579,-601.896484,-2.475235,0.002796,12.226471,-987.320312,-2.045456,0.002178
C=NO,CC(C)(C)OCC1CO1,0.224412,0.000142,17.778992,-644.769531,-2.746979,0.003385,15.028839,-942.419922,-2.432205,0.001729
C=NO,O=P(O)(O)OP(=O)(O)O,0.181088,0.000039,18.942139,-645.261719,-3.207176,0.004121,8.269989,-1280.933594,-1.465973,0.002401
C=NO,CC(=O)Nc1ccc(C)cc1,0.237150,0.000163,16.756409,-479.746094,-2.816757,0.004489,13.256165,-714.492188,-2.167473,0.001753
C=NO,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.253610,0.000208,18.261627,-140.109375,-3.108437,0.004357,16.342346,-734.566406,-2.692795,0.002780
C=NO,CC(C)(O)CCC1CCCCC1,0.234234,0.000154,16.297913,-193.492188,-2.692062,0.003738,12.088959,-718.000000,-2.064423,0.002818
C=NO,COCC(F)(F)F,0.266149,0.000211,14.552551,-277.634766,-2.563980,0.005144,15.216644,-172.408203,-2.590439,0.002215
C=NO,COCC(O)COC,0.206421,0.000109,19.861969,-960.054688,-3.062477,0.003633,15.086823,-1250.052734,-2.434441,0.001520
C=NO,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.238689,0.000174,18.120300,-108.654297,-3.012009,0.004001,15.303741,-935.775391,-2.645668,0.003490
C=NO,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.243208,0.000186,18.241028,-271.164062,-3.071198,0.004356,15.678802,-779.705078,-2.555511,0.002225
C=NO,CC(C)C(F)F,0.287778,0.000248,13.118073,195.361328,-2.549736,0.006047,14.350708,375.900391,-2.739159,0.003778
C=NO,CCCCC1C=C(C)CC(C)O1,0.219368,0.000116,15.437347,-505.689453,-2.344383,0.002908,12.424835,-611.839844,-2.088013,0.002222
C=NO,COc1ccc(C(C)=O)cc1,0.233124,0.000158,17.367706,-603.261719,-2.822685,0.003999,14.536591,-859.218750,-2.305283,0.001497
C=NO,Oc1cc(O)ncn1,0.241478,0.000177,17.855377,-154.251953,-3.064972,0.004455,14.097809,-823.726562,-2.355522,0.002894
C=NO,COCCCCl,0.242704,0.000166,15.618286,-522.160156,-2.587898,0.004219,14.251068,-604.046875,-2.297089,0.001774
C=NO,CCCOC,0.225990,0.000135,16.123901,-633.369141,-2.594505,0.003781,13.996521,-741.691406,-2.216980,0.001482
C=NO,Fc1c(F)c(F)c(F)c(F)c1F,0.285073,0.000232,12.119690,522.257812,-2.334351,0.005419,13.134430,591.767578,-2.665497,0.004799
C=NO,CCP(CC)CC,0.243152,0.000154,14.094879,-438.402344,-2.277290,0.003901,13.898590,-181.900391,-2.421150,0.002804
C=NO,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.198277,0.000077,17.362366,-666.988281,-2.566063,0.002941,11.044220,-1167.494141,-1.936783,0.002668
C=NO,Fc1cc(F)c(F)cc1F,0.288691,0.000244,12.589111,273.902344,-2.438332,0.005889,14.022034,429.255859,-2.712273,0.004092
C=NO,CCCCc1ccc(C(=O)O)cc1,0.248681,0.000185,16.354523,-69.886719,-2.766663,0.004209,13.789764,-575.326172,-2.349098,0.002784
C=NO,C=Cc1c(C)cc(C)cc1C,0.285106,0.000237,12.593842,497.960938,-2.420807,0.005459,13.290466,544.261719,-2.704712,0.004846
C=NO,C=C(C)C(=O)OC(C)(C)C,0.245964,0.000175,15.802521,-381.593750,-2.601578,0.004094,14.457306,-464.679688,-2.423439,0.002299
C=NO,FC1CCCN1,0.236071,0.000168,18.007660,-652.773438,-2.987518,0.004299,16.810242,-791.484375,-2.627609,0.001296
C=NO,CCCCCCCC(=O)NC,0.212171,0.000110,17.531616,-660.273438,-2.795753,0.003672,12.832886,-1011.050781,-2.099297,0.001968
C=NO,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.284050,0.000230,11.926910,768.267578,-2.291908,0.004969,12.910889,607.798828,-2.708900,0.005537
C=NO,C1=CC2C=CC1C2,0.287517,0.000238,12.038330,314.400391,-2.353874,0.005852,13.726501,673.066406,-2.735748,0.004350
C=NO,CCC(C)(O)CCC=C(C)C,0.229832,0.000145,16.400757,-342.773438,-2.699982,0.003834,12.152069,-780.107422,-2.010254,0.002330
C=NO,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.227898,0.000143,16.798798,911.939453,-2.267456,0.001303,14.190979,-508.349609,-2.952606,0.005709
C=NO,CCC(C)CCF,0.284208,0.000238,13.038574,236.351562,-2.458694,0.005412,14.090851,301.574219,-2.708092,0.004186
C=NO,C=Cc1cccc(CC)c1,0.285774,0.000238,12.603485,433.607422,-2.414200,0.005489,13.492981,513.771484,-2.711655,0.004702
C=NO,CC(C)(C(O)(F)F)C(F)(F)F,0.204657,0.000086,16.843597,-1014.552734,-2.729675,0.004037,12.887512,-878.232422,-2.035286,0.000913
C=NO,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.288977,0.000238,11.885712,452.333984,-2.281769,0.005363,13.572388,617.714844,-2.770248,0.005092
C=NO,CCN(CC)c1ccc(N)cc1,0.231194,0.000155,17.343872,-469.906250,-2.851746,0.004042,14.195038,-846.824219,-2.303139,0.001961
C=NO,FC(F)CC(F)(F)F,0.286579,0.000252,13.802979,104.287109,-2.641144,0.006142,14.874512,207.962891,-2.727867,0.003177
C=NO,N#CCCOCCC#N,0.250297,0.000201,18.195465,-461.503906,-3.065910,0.004634,16.572266,-718.652344,-2.659454,0.001766
C=NO,CCC(C)C(C)C(C)C,0.279308,0.000216,11.173340,690.625000,-2.107742,0.004686,12.524261,947.988281,-2.728691,0.005699
C=NO,Cn1c(=O)ccc2ccccc21,0.195723,0.000080,18.845520,-1087.513672,-3.030525,0.004150,12.830322,-1199.283203,-2.054077,0.000746
C=NO,CCOC(=O)c1ccccc1N,0.250362,0.000191,16.412933,-293.232422,-2.749840,0.004325,14.391022,-581.332031,-2.398079,0.002241
C=NO,ClC1CN2CCC1CC2,0.195858,0.000070,16.589844,-930.976562,-2.660942,0.003785,11.694458,-1011.751953,-1.849548,0.000915
C=NO,CC=CCCCCCCCC#N,0.257881,0.000203,15.705383,-60.382812,-2.674965,0.004260,15.145599,-354.482422,-2.648155,0.003102
C=NO,COCCl,0.269601,0.000229,15.177521,-256.265625,-2.803680,0.006180,16.458923,-2.042969,-2.786011,0.001605
C=NO,NCCc1cccnc1,0.186554,0.000066,20.503784,-1040.037109,-3.174469,0.003764,12.985199,-1477.521484,-2.197655,0.001802
C=NO,Cc1cccc(C(=O)O)c1,0.248524,0.000190,16.899109,-340.423828,-2.867447,0.004514,14.216644,-676.167969,-2.299568,0.001914
C=NO,C=CCNC,0.187733,0.000061,18.194275,-1031.046875,-2.914162,0.003793,11.921936,-1199.695312,-1.883842,0.000811
C=NO,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.263938,0.000190,10.895020,1070.460938,-2.071213,0.003796,12.421082,1031.792969,-2.752998,0.005935
C=NO,CC(CO)C(F)(F)F,0.257298,0.000206,16.638031,-227.898438,-2.884171,0.004812,14.341156,-642.464844,-2.367630,0.002358
C=NO,CC(C)C(=O)C(F)(F)F,0.274788,0.000224,13.874512,62.648438,-2.477325,0.004886,14.660187,100.287109,-2.697388,0.003523
C=NO,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.269051,0.000201,12.271484,819.802734,-2.190224,0.003782,13.260864,517.380859,-2.743462,0.005484
C=NO,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.256740,0.000194,15.282227,365.175781,-2.567009,0.003515,14.740356,-278.556641,-2.814423,0.004960
C=NO,C=CCN(C)CC=C,0.204577,0.000085,15.678223,-784.156250,-2.482452,0.003643,11.147491,-923.218750,-1.786804,0.001250
C=NO,COCC(F)C(F)(F)F,0.266579,0.000211,14.660522,-267.337891,-2.533485,0.004786,14.909058,-306.566406,-2.555153,0.002643
C=NO,CNC(C)(C)C,0.179333,0.000036,17.689728,-1106.466797,-2.829758,0.003882,9.844513,-1209.531250,-1.618004,0.000756
C=NO,C1COCCOCCOCCO1,0.199282,0.000089,19.866760,-955.574219,-2.930367,0.003257,14.524017,-1367.888672,-2.468216,0.002219
C=NO,O=NF,0.255947,0.000209,15.853485,-175.666016,-2.913315,0.005693,16.469879,-61.271484,-2.664986,0.001049
C=NO,CCN(CC)CCN,0.182919,0.000049,19.206635,-1088.826172,-2.948021,0.003715,11.369385,-1442.433594,-1.978973,0.001760
C=NO,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.285218,0.000231,12.004974,651.863281,-2.255753,0.004787,13.231628,591.275391,-2.780884,0.005690
C=NO,CC(=O)Nc1ccc(Br)cc1,0.239441,0.000166,16.492249,-331.332031,-2.775650,0.004371,13.218262,-614.349609,-2.206718,0.001962
