SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CSSC,O=P(Cl)(c1ccccc1)c1ccccc1,0.257811,0.000217,19.293182,-205.085938,-3.295952,0.004833,15.695282,-687.853516,-2.571037,0.002190
CSSC,CC(=O)Nc1ccc(C=O)cc1,0.281492,0.000244,16.481812,967.333984,-3.025574,0.004031,11.549194,32.154297,-2.408028,0.005763
CSSC,Cc1cccc(CO)c1,0.280836,0.000249,16.274811,596.701172,-3.103981,0.004928,12.718567,-137.441406,-2.426216,0.004784
CSSC,COC(C)CO,0.272837,0.000237,16.584045,216.970703,-3.133041,0.005180,15.347351,-483.791016,-2.620148,0.003836
CSSC,Nc1nc(=O)c2ccccc2o1,0.265288,0.000210,16.314941,1769.634766,-2.882561,0.001951,9.771301,619.457031,-2.378014,0.007214
CSSC,CC(Cl)Br,0.266905,0.000235,17.322754,-452.628906,-3.108940,0.005759,16.422089,-580.251953,-2.547112,0.001130
CSSC,CCCOC(F)F,0.275724,0.000245,16.338928,-249.162109,-2.976158,0.005777,15.470367,-476.302734,-2.521973,0.001955
CSSC,COC1CC2CCC1(C)C2(C)C,0.263613,0.000221,16.698395,-224.349609,-2.947258,0.005003,15.831879,-565.687500,-2.602386,0.002365
CSSC,CCC(=O)C1=NCCC1,0.261550,0.000225,18.071747,-303.466797,-3.194130,0.005220,16.915894,-750.015625,-2.705261,0.002151
CSSC,NC(CF)(CF)CF,0.269856,0.000228,16.069794,127.835938,-3.122337,0.005972,15.525543,-417.679688,-2.522186,0.003101
CSSC,CC(C)CCCC(C)CC=O,0.267888,0.000233,17.262329,-158.835938,-3.108192,0.005466,16.085480,-664.523438,-2.645508,0.002560
CSSC,Cc1coc(C)n1,0.263841,0.000228,17.897308,-272.751953,-3.235016,0.005670,16.901794,-691.755859,-2.679710,0.002102
CSSC,NC(=S)NC(N)=S,0.266237,0.000208,16.196259,645.976562,-3.097672,0.005126,13.558655,-80.841797,-2.281151,0.004114
CSSC,FC(F)C(Cl)C(F)F,0.267109,0.000233,17.202423,-288.759766,-3.153091,0.005785,15.829132,-488.320312,-2.462494,0.001586
CSSC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.263670,0.000206,14.138611,667.373047,-2.581856,0.004125,12.716675,91.275391,-2.401711,0.004440
CSSC,NNC(=O)c1ccccc1,0.284910,0.000249,15.856110,803.447266,-3.060623,0.004782,12.127411,-20.304688,-2.364471,0.005303
CSSC,ClC=CBr,0.265275,0.000230,17.085632,-484.095703,-3.058426,0.005639,16.548676,-543.355469,-2.565475,0.001047
CSSC,CN(C)N=O,0.265284,0.000221,17.506805,-79.847656,-3.162529,0.005162,15.967590,-568.142578,-2.538147,0.002509
CSSC,c1ccc(C2CCCCC2)cc1,0.274205,0.000241,16.640106,-213.244141,-2.972496,0.005403,15.275757,-480.931641,-2.568054,0.002540
CSSC,N#Cc1ccncc1,0.260940,0.000224,19.253510,-344.849609,-3.329483,0.005130,16.650726,-792.001953,-2.646233,0.002296
CSSC,CN(C)C(=S)Nc1ccccc1,0.266847,0.000228,18.283386,21.382812,-3.177437,0.004672,14.851349,-545.167969,-2.516647,0.002931
CSSC,CCC(N)CC,0.260546,0.000216,16.700897,-76.869141,-3.162933,0.006133,16.730774,-561.419922,-2.692238,0.002627
CSSC,COC(=O)CO,0.272349,0.000234,16.567810,247.583984,-3.176781,0.004969,14.141022,-309.445312,-2.400688,0.003591
CSSC,Cc1c(N)cccc1Cl,0.266927,0.000232,17.580414,-83.291016,-3.171227,0.005245,15.834137,-666.361328,-2.610680,0.002816
CSSC,CC1CCC(C(C)(C)OO)CC1,0.278644,0.000248,16.090271,623.197266,-3.103615,0.005108,14.056854,-221.851562,-2.652397,0.005137
CSSC,CC(F)(Cl)CF,0.270839,0.000241,17.268585,-328.314453,-3.132942,0.005840,15.823547,-531.921875,-2.491173,0.001578
CSSC,CCCCC1OC(C)CC(C)(C)O1,0.263054,0.000224,17.285492,-179.160156,-3.048279,0.005039,16.384796,-726.783203,-2.701904,0.002661
CSSC,CC(C)(C)OCC1CO1,0.264891,0.000232,18.031189,-272.345703,-3.220490,0.005451,16.854523,-738.892578,-2.713501,0.002257
CSSC,O=P(O)(O)OP(=O)(O)O,0.223303,0.000129,13.580444,3640.839844,-2.239632,-0.001107,7.055634,1999.337891,-2.233749,0.010318
CSSC,CC(=O)Nc1ccc(C)cc1,0.283837,0.000252,16.405457,731.812500,-3.056190,0.004552,12.610413,-104.423828,-2.499428,0.005204
CSSC,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.265409,0.000213,17.756317,317.814453,-3.217407,0.004780,13.178436,-171.238281,-2.262627,0.003147
CSSC,CC(C)(O)CCC1CCCCC1,0.283314,0.000252,15.760437,795.294922,-3.059509,0.005182,13.018219,-51.320312,-2.568443,0.005502
CSSC,COCC(F)(F)F,0.272534,0.000237,16.118591,-155.156250,-2.970566,0.005755,15.259949,-448.271484,-2.457184,0.002057
CSSC,COCC(O)COC,0.266621,0.000230,17.479492,-117.527344,-3.184044,0.005202,16.350586,-711.103516,-2.644806,0.002846
CSSC,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.275816,0.000231,15.678101,1402.095703,-2.961014,0.003194,11.718719,252.458984,-2.611420,0.006971
CSSC,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.269523,0.000222,16.903015,868.074219,-3.125420,0.003726,12.001617,-34.134766,-2.355751,0.005329
CSSC,CC(C)C(F)F,0.275917,0.000247,16.369690,-257.791016,-2.986938,0.005860,15.195862,-454.861328,-2.472450,0.001822
CSSC,CCCCC1C=C(C)CC(C)O1,0.260785,0.000218,16.988647,-206.421875,-2.988991,0.004955,16.136292,-648.539062,-2.645576,0.002393
CSSC,COc1ccc(C(C)=O)cc1,0.268154,0.000234,18.051483,-200.335938,-3.203072,0.005394,15.867310,-670.314453,-2.593712,0.002388
CSSC,Oc1cc(O)ncn1,0.272781,0.000219,14.079895,1765.437500,-2.891838,0.003434,11.010651,634.958984,-2.459267,0.007561
CSSC,COCCCCl,0.268361,0.000233,16.957062,-316.978516,-3.068855,0.005635,16.394348,-641.378906,-2.610924,0.001917
CSSC,CCCOC,0.262106,0.000221,16.996918,-326.634766,-3.048012,0.005371,16.617432,-671.191406,-2.624031,0.001852
CSSC,Fc1c(F)c(F)c(F)c(F)c1F,0.269265,0.000226,15.606659,-70.544922,-2.786842,0.005131,14.392822,-289.742188,-2.446136,0.002405
CSSC,CCP(CC)CC,0.262956,0.000222,16.873810,-264.578125,-3.000458,0.005214,16.037415,-613.150391,-2.585533,0.002061
CSSC,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.264352,0.000229,17.642822,-111.046875,-3.133186,0.005098,16.723541,-768.007812,-2.793594,0.003022
CSSC,Fc1cc(F)c(F)cc1F,0.269692,0.000235,16.545349,-231.544922,-2.989876,0.005604,14.991486,-498.919922,-2.426414,0.001862
CSSC,CCCCc1ccc(C(=O)O)cc1,0.280142,0.000249,16.142426,739.417969,-3.070381,0.004665,13.163666,-135.457031,-2.593170,0.005393
CSSC,C=Cc1c(C)cc(C)cc1C,0.273474,0.000242,16.858856,-242.082031,-3.017433,0.005514,15.468994,-514.472656,-2.569229,0.002383
CSSC,C=C(C)C(=O)OC(C)(C)C,0.266518,0.000234,17.499847,-252.892578,-3.148689,0.005564,16.148285,-650.607422,-2.613731,0.002108
CSSC,FC1CCCN1,0.269551,0.000236,17.052917,-136.693359,-3.149292,0.005624,16.208832,-569.203125,-2.602623,0.002393
CSSC,CCCCCCCC(=O)NC,0.277535,0.000243,16.664764,675.218750,-3.054604,0.004486,13.553467,-211.900391,-2.607933,0.005155
CSSC,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.269310,0.000216,14.087219,503.000000,-2.658516,0.005039,13.531952,78.546875,-2.523308,0.004165
CSSC,C1=CC2C=CC1C2,0.270775,0.000234,16.390411,-311.275391,-2.947601,0.005491,15.620789,-433.888672,-2.546501,0.001925
CSSC,CCC(C)(O)CCC=C(C)C,0.278255,0.000246,16.152710,613.628906,-3.101944,0.005204,13.758270,-199.398438,-2.601585,0.005046
CSSC,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.263682,0.000227,17.205597,269.468750,-3.116432,0.004575,17.373749,-680.292969,-3.154190,0.004521
CSSC,CCC(C)CCF,0.274540,0.000241,16.205292,-232.681641,-2.935478,0.005596,15.277222,-438.724609,-2.523521,0.002166
