SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.248039,0.000203,18.355072,-568.271484,-3.217522,0.005151,18.150665,-735.615234,-2.704079,0.000703
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CC(=O)Nc1ccc(C=O)cc1,0.237808,0.000163,16.352081,-446.890625,-2.844643,0.004576,15.426270,-595.761719,-2.309486,0.001196
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,Cc1cccc(CO)c1,0.210159,0.000107,17.116394,-1004.351562,-2.891487,0.004363,14.919037,-737.568359,-2.059814,-0.000328
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,COC(C)CO,0.232321,0.000160,16.686646,-595.357422,-2.917358,0.004651,17.185455,-618.091797,-2.494469,0.000419
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,Nc1nc(=O)c2ccccc2o1,0.216702,0.000101,16.104797,-136.757812,-2.820656,0.004329,8.133728,-456.056641,-1.396942,0.002424
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CC(Cl)Br,0.251618,0.000185,16.512512,-833.982422,-2.991821,0.005037,20.274628,-370.271484,-3.121170,0.001351
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CCCOC(F)F,0.266403,0.000216,15.189880,-513.562500,-2.749977,0.005098,18.312012,-229.019531,-2.987915,0.001761
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,COC1CC2CCC1(C)C2(C)C,0.246617,0.000167,13.135498,-209.042969,-2.310715,0.003824,17.625702,395.980469,-3.083717,0.003277
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CCC(=O)C1=NCCC1,0.250121,0.000192,16.195770,-664.978516,-2.812805,0.004574,18.455505,-342.351562,-2.853188,0.000921
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,NC(CF)(CF)CF,0.241789,0.000179,15.893036,-336.617188,-2.942024,0.005386,17.379669,-362.679688,-2.500443,0.000725
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CC(C)CCCC(C)CC=O,0.247241,0.000178,14.652527,-381.392578,-2.611359,0.004460,17.310852,-15.181641,-2.850372,0.002129
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,Cc1coc(C)n1,0.245265,0.000186,16.568573,-589.835938,-2.942520,0.004683,17.996094,-536.621094,-2.748856,0.001006
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,NC(=S)NC(N)=S,0.180706,0.000002,17.016846,-1207.580078,-2.863960,0.004223,12.215881,-950.531250,-1.526115,0.001709
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,FC(F)C(Cl)C(F)F,0.225700,0.000125,18.604248,-1043.753906,-3.308281,0.004853,21.362640,-670.484375,-3.102966,0.001250
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.230903,0.000125,11.045563,222.078125,-1.994827,0.003635,15.472229,1082.906250,-2.830879,0.003002
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,NNC(=O)c1ccccc1,0.246199,0.000178,16.623657,41.343750,-2.890228,0.004175,14.847229,-364.916016,-2.355034,0.002183
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,ClC=CBr,0.241093,0.000151,16.774445,-938.302734,-2.989548,0.004681,20.836273,-312.953125,-3.232040,0.001853
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CN(C)N=O,0.250780,0.000194,15.871826,-367.794922,-3.017822,0.005385,18.071259,-400.783203,-2.547958,0.001084
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,c1ccc(C2CCCCC2)cc1,0.259327,0.000192,13.603851,-291.720703,-2.446342,0.004683,17.724548,271.009766,-3.079178,0.002938
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,N#Cc1ccncc1,0.231958,0.000158,18.204803,-866.570312,-3.122849,0.003909,19.183502,-833.886719,-2.770599,0.000646
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CN(C)C(=S)Nc1ccccc1,0.215826,0.000120,17.648346,-1009.115234,-2.891777,0.004024,17.989777,-782.576172,-2.540955,0.000061
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CCC(N)CC,0.243710,0.000170,13.458191,-148.173828,-2.654060,0.005815,17.178711,-79.419922,-2.754463,0.002363
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,COC(=O)CO,0.224852,0.000142,16.544342,-751.589844,-2.941109,0.004827,16.171173,-578.957031,-2.125839,-0.000297
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,Cc1c(N)cccc1Cl,0.197733,0.000078,19.761841,-1307.212891,-3.292389,0.003795,19.390289,-975.876953,-2.608910,0.000099
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CC1CCC(C(C)(C)OO)CC1,0.205979,0.000088,15.968750,-1142.029297,-2.599953,0.003955,15.346252,-507.148438,-2.216202,0.000041
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CC(F)(Cl)CF,0.258490,0.000207,16.515961,-682.052734,-2.992889,0.005384,19.327454,-440.205078,-3.026627,0.001197
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CCCCC1OC(C)CC(C)(C)O1,0.246268,0.000173,14.366638,-270.869141,-2.509514,0.003907,16.686615,-31.492188,-2.798859,0.002701
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CC(C)(C)OCC1CO1,0.249176,0.000189,15.893677,-513.990234,-2.832550,0.004551,17.935089,-308.666016,-2.863350,0.001590
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,O=P(O)(O)OP(=O)(O)O,0.135719,-0.000116,16.348511,-1947.964844,-3.547401,0.008831,0.132843,-1281.064453,-0.134926,0.003158
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CC(=O)Nc1ccc(C)cc1,0.243664,0.000176,15.933990,-606.234375,-2.770195,0.004900,16.668335,-523.355469,-2.503860,0.000711
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.250161,0.000192,17.387482,-138.585938,-3.155968,0.005102,16.220154,-264.566406,-2.340225,0.000960
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CC(C)(O)CCC1CCCCC1,0.238191,0.000153,14.067139,-201.072266,-2.518021,0.004417,14.234558,-52.972656,-2.379395,0.002426
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,COCC(F)(F)F,0.263858,0.000213,15.064392,-441.925781,-2.750099,0.004904,17.740448,-157.158203,-2.872673,0.001554
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,COCC(O)COC,0.239488,0.000178,17.013489,-597.951172,-3.028175,0.005046,18.200623,-640.658203,-2.639320,0.000402
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.221389,0.000142,19.080475,-366.966797,-3.073341,0.003172,14.779541,-673.328125,-2.277763,0.001472
