SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=COC,O=P(Cl)(c1ccccc1)c1ccccc1,0.258290,0.000220,19.677124,-282.908203,-3.313385,0.004728,15.448914,-679.904297,-2.522949,0.001916
C=COC,CC(=O)Nc1ccc(C=O)cc1,0.274369,0.000234,17.603149,771.611328,-3.071892,0.003792,11.916168,-66.652344,-2.412659,0.005003
C=COC,Cc1cccc(CO)c1,0.268058,0.000233,17.852051,156.875000,-3.193115,0.004660,14.103790,-426.330078,-2.466049,0.003365
C=COC,COC(C)CO,0.269223,0.000234,17.294983,57.498047,-3.154419,0.005029,15.702484,-589.830078,-2.634651,0.003419
C=COC,Nc1nc(=O)c2ccccc2o1,0.263856,0.000210,17.884735,1302.652344,-2.967918,0.002268,10.037262,289.101562,-2.251778,0.006061
C=COC,CC(Cl)Br,0.261958,0.000228,17.952240,-508.552734,-3.171555,0.005506,17.011261,-654.537109,-2.612015,0.001054
C=COC,CCCOC(F)F,0.271246,0.000243,17.445374,-363.820312,-3.121262,0.005708,16.309875,-626.458984,-2.608665,0.001735
C=COC,COC1CC2CCC1(C)C2(C)C,0.264433,0.000226,17.000946,-210.039062,-2.992142,0.005044,15.760620,-637.605469,-2.600998,0.002386
C=COC,CCC(=O)C1=NCCC1,0.263457,0.000230,18.364563,-312.308594,-3.212288,0.005179,16.552521,-745.533203,-2.675362,0.002202
C=COC,NC(CF)(CF)CF,0.265948,0.000226,17.140289,-46.117188,-3.165527,0.005535,15.745514,-567.476562,-2.553612,0.002721
C=COC,CC(C)CCCC(C)CC=O,0.267487,0.000236,17.691986,-184.796875,-3.144524,0.005336,16.109039,-685.482422,-2.669144,0.002545
C=COC,Cc1coc(C)n1,0.262431,0.000227,18.275055,-314.728516,-3.248711,0.005455,16.811005,-720.623047,-2.665642,0.002043
C=COC,NC(=S)NC(N)=S,0.241648,0.000171,18.330078,266.386719,-3.098694,0.003973,15.139069,-476.115234,-2.441757,0.003122
C=COC,FC(F)C(Cl)C(F)F,0.255734,0.000219,18.821991,-589.837891,-3.262184,0.005372,17.574677,-753.314453,-2.694611,0.000970
C=COC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.254445,0.000200,16.327576,72.148438,-2.759964,0.004134,14.895966,-453.896484,-2.562439,0.002803
C=COC,NNC(=O)c1ccccc1,0.276803,0.000235,16.754913,755.287109,-3.124550,0.004560,12.075256,-15.193359,-2.325180,0.004915
C=COC,ClC=CBr,0.260377,0.000223,17.634308,-519.585938,-3.124008,0.005510,16.976898,-651.376953,-2.603355,0.000993
C=COC,CN(C)N=O,0.262854,0.000219,18.158997,-114.130859,-3.180267,0.004970,15.184540,-587.185547,-2.444183,0.002444
C=COC,c1ccc(C2CCCCC2)cc1,0.273704,0.000242,16.686615,-172.021484,-2.985893,0.005414,15.495941,-543.416016,-2.610329,0.002575
C=COC,N#Cc1ccncc1,0.259123,0.000221,19.016663,-308.841797,-3.262344,0.004881,16.512451,-764.837891,-2.639191,0.002153
C=COC,CN(C)C(=S)Nc1ccccc1,0.250670,0.000206,20.030548,-233.382812,-3.289665,0.004106,15.402679,-691.091797,-2.493919,0.001990
C=COC,CCC(N)CC,0.261085,0.000218,16.964050,-105.222656,-3.141731,0.005845,16.474121,-589.826172,-2.665337,0.002602
C=COC,COC(=O)CO,0.266335,0.000228,17.665771,1.925781,-3.193336,0.004837,15.016785,-479.039062,-2.467094,0.002789
C=COC,Cc1c(N)cccc1Cl,0.257840,0.000220,18.794830,-268.378906,-3.259865,0.004910,16.269196,-744.832031,-2.618240,0.002239
C=COC,CC1CCC(C(C)(C)OO)CC1,0.265343,0.000234,18.024200,93.582031,-3.179550,0.004534,15.553009,-576.257812,-2.696159,0.003566
C=COC,CC(F)(Cl)CF,0.264683,0.000235,18.418488,-457.939453,-3.260155,0.005616,16.948212,-685.593750,-2.629669,0.001379
