SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC#CC,O=P(Cl)(c1ccccc1)c1ccccc1,0.260471,0.000219,19.294312,-89.597656,-3.260330,0.004693,14.657410,-603.171875,-2.490974,0.002447
CC#CC,CC(=O)Nc1ccc(C=O)cc1,0.276543,0.000230,16.236084,1362.470703,-2.974121,0.003253,10.179474,332.708984,-2.343132,0.006533
CC#CC,Cc1cccc(CO)c1,0.278340,0.000243,16.589661,602.703125,-3.138885,0.004705,12.111511,-155.833984,-2.336487,0.004782
CC#CC,COC(C)CO,0.273885,0.000238,16.855133,259.720703,-3.146660,0.004909,14.430969,-449.185547,-2.521851,0.003971
CC#CC,Nc1nc(=O)c2ccccc2o1,0.259127,0.000194,15.400909,2316.273438,-2.744682,0.001007,8.206390,1073.402344,-2.284019,0.008353
CC#CC,CC(Cl)Br,0.267985,0.000238,17.716217,-408.474609,-3.171524,0.005715,15.996643,-583.929688,-2.501450,0.001364
CC#CC,CCCOC(F)F,0.272848,0.000246,17.459564,-343.769531,-3.138824,0.005811,15.773376,-591.033203,-2.536736,0.001759
CC#CC,COC1CC2CCC1(C)C2(C)C,0.265252,0.000229,17.360199,-228.150391,-3.078423,0.005263,15.694122,-659.935547,-2.576027,0.002327
CC#CC,CCC(=O)C1=NCCC1,0.265670,0.000231,18.100647,-181.865234,-3.211250,0.005219,15.643646,-695.285156,-2.573410,0.002598
CC#CC,NC(CF)(CF)CF,0.270732,0.000228,16.321655,222.101562,-3.138756,0.005657,14.658661,-358.728516,-2.477798,0.003376
CC#CC,CC(C)CCCC(C)CC=O,0.267028,0.000235,18.002777,-170.486328,-3.198357,0.005357,15.726288,-694.083984,-2.613953,0.002653
CC#CC,Cc1coc(C)n1,0.264845,0.000228,18.009277,-213.458984,-3.229630,0.005434,15.955597,-668.044922,-2.575073,0.002307
CC#CC,NC(=S)NC(N)=S,0.260903,0.000189,15.482117,1099.677734,-3.073639,0.005041,12.083282,312.154297,-2.146393,0.004842
CC#CC,FC(F)C(Cl)C(F)F,0.264874,0.000233,18.304657,-412.628906,-3.270844,0.005615,16.375671,-630.154297,-2.535858,0.001431
CC#CC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.264039,0.000219,16.081146,229.031250,-2.845993,0.004528,13.958954,-357.435547,-2.476105,0.003374
CC#CC,NNC(=O)c1ccccc1,0.280620,0.000235,15.305023,1182.789062,-3.035339,0.004426,11.122772,306.121094,-2.331779,0.006060
CC#CC,ClC=CBr,0.266774,0.000235,17.581757,-446.304688,-3.146072,0.005737,16.175018,-585.759766,-2.521683,0.001194
CC#CC,CN(C)N=O,0.268668,0.000223,17.350098,81.333984,-3.127411,0.005023,14.103455,-433.980469,-2.326622,0.002888
CC#CC,c1ccc(C2CCCCC2)cc1,0.277567,0.000253,17.088287,-183.617188,-3.080185,0.005752,14.966553,-545.251953,-2.528542,0.002494
CC#CC,N#Cc1ccncc1,0.263607,0.000221,18.459137,-78.162109,-3.199265,0.004847,15.087646,-617.517578,-2.505623,0.002609
CC#CC,CN(C)C(=S)Nc1ccccc1,0.262795,0.000216,18.612030,205.896484,-3.205559,0.004219,13.304932,-377.494141,-2.337524,0.003196
CC#CC,CCC(N)CC,0.261320,0.000219,16.998596,-68.019531,-3.183830,0.005902,16.141205,-578.787109,-2.633194,0.002782
CC#CC,COC(=O)CO,0.271598,0.000231,16.753540,275.955078,-3.192902,0.004823,13.623230,-248.865234,-2.330078,0.003582
CC#CC,Cc1c(N)cccc1Cl,0.266928,0.000225,17.332306,191.228516,-3.180054,0.004986,14.338623,-457.332031,-2.479874,0.003463
CC#CC,CC1CCC(C(C)(C)OO)CC1,0.275029,0.000242,16.833191,460.814453,-3.152084,0.004778,13.996643,-356.906250,-2.602127,0.004724
CC#CC,CC(F)(Cl)CF,0.268906,0.000241,18.165802,-401.425781,-3.246704,0.005754,16.060394,-613.056641,-2.521713,0.001481
CC#CC,CCCCC1OC(C)CC(C)(C)O1,0.264528,0.000230,17.908203,-175.343750,-3.143433,0.005063,16.101776,-750.181641,-2.690941,0.002825
CC#CC,CC(C)(C)OCC1CO1,0.267624,0.000236,18.051636,-242.171875,-3.218414,0.005411,16.214935,-737.179688,-2.651749,0.002543
CC#CC,O=P(O)(O)OP(=O)(O)O,0.222142,0.000124,13.066223,3666.798828,-2.239288,-0.000925,7.691406,1942.220703,-2.301567,0.010564
CC#CC,CC(=O)Nc1ccc(C)cc1,0.282636,0.000247,16.724670,862.794922,-3.070709,0.004210,11.478668,-7.564453,-2.385422,0.005450
CC#CC,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.262912,0.000203,17.677063,677.681641,-3.246429,0.004342,11.434357,93.085938,-2.129929,0.003941
CC#CC,CC(C)(O)CCC1CCCCC1,0.279845,0.000247,16.550446,696.675781,-3.114716,0.004750,12.550232,-127.283203,-2.489792,0.005201
CC#CC,COCC(F)(F)F,0.270237,0.000238,17.299896,-263.812500,-3.116249,0.005579,15.730225,-588.201172,-2.525589,0.002000
CC#CC,COCC(O)COC,0.268917,0.000231,17.464844,-41.615234,-3.186127,0.005098,15.399536,-631.408203,-2.543266,0.002999
CC#CC,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.268696,0.000214,15.659393,1670.431641,-2.951500,0.002552,10.725952,463.175781,-2.524719,0.007429
CC#CC,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.264345,0.000205,15.445007,1520.175781,-2.995285,0.002791,10.345154,480.033203,-2.292015,0.006841
CC#CC,CC(C)C(F)F,0.276022,0.000252,17.267731,-322.312500,-3.148689,0.006059,15.602875,-561.218750,-2.518166,0.001770
CC#CC,CCCCC1C=C(C)CC(C)O1,0.262886,0.000225,17.621735,-210.281250,-3.086006,0.005027,15.845825,-702.929688,-2.626678,0.002519
CC#CC,COc1ccc(C(C)=O)cc1,0.268519,0.000231,18.264038,-82.451172,-3.189171,0.005052,14.468964,-575.382812,-2.440239,0.002580
CC#CC,Oc1cc(O)ncn1,0.268333,0.000208,13.631958,2015.900391,-2.844826,0.003004,10.257050,818.902344,-2.397781,0.008120
CC#CC,COCCCCl,0.269640,0.000235,17.154144,-278.660156,-3.094513,0.005555,15.826874,-636.835938,-2.552101,0.002153
CC#CC,CCCOC,0.263991,0.000227,17.473694,-318.552734,-3.122208,0.005391,16.338196,-686.308594,-2.608345,0.002000
CC#CC,Fc1c(F)c(F)c(F)c(F)c1F,0.275025,0.000244,16.518250,-186.373047,-2.977615,0.005598,14.825165,-476.589844,-2.488045,0.002335
CC#CC,CCP(CC)CC,0.264903,0.000228,17.293152,-240.177734,-3.067345,0.005280,15.629761,-642.339844,-2.553955,0.002213
CC#CC,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.264615,0.000232,18.147186,-130.925781,-3.197662,0.005038,16.572998,-803.267578,-2.785995,0.003127
CC#CC,Fc1cc(F)c(F)cc1F,0.271225,0.000243,17.509644,-292.066406,-3.147446,0.005762,15.453094,-594.460938,-2.504936,0.001938
