SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCI,O=P(Cl)(c1ccccc1)c1ccccc1,0.259500,0.000216,19.486115,-193.205078,-3.296486,0.004717,14.251709,-527.871094,-2.328613,0.001828
CCCCI,CC(=O)Nc1ccc(C=O)cc1,0.278677,0.000233,16.047852,1308.708984,-2.950699,0.003328,9.934814,441.859375,-2.228622,0.006135
CCCCI,Cc1cccc(CO)c1,0.281645,0.000249,16.220093,586.837891,-3.114388,0.004936,12.292908,-42.906250,-2.328011,0.004565
CCCCI,COC(C)CO,0.270462,0.000230,16.627686,210.906250,-3.157562,0.005163,15.035156,-366.595703,-2.522400,0.003500
CCCCI,Nc1nc(=O)c2ccccc2o1,0.262014,0.000202,15.643005,2036.408203,-2.812637,0.001323,8.425262,936.792969,-2.182159,0.007753
CCCCI,CC(Cl)Br,0.268136,0.000239,17.628479,-448.783203,-3.177170,0.005901,16.326782,-556.974609,-2.522209,0.001056
CCCCI,CCCOC(F)F,0.273913,0.000246,16.869629,-295.441406,-3.070114,0.005866,15.604156,-499.003906,-2.486565,0.001608
CCCCI,COC1CC2CCC1(C)C2(C)C,0.259961,0.000221,17.612579,-348.035156,-3.110626,0.005247,16.340149,-660.519531,-2.591873,0.001696
CCCCI,CCC(=O)C1=NCCC1,0.261266,0.000224,18.199097,-294.623047,-3.242432,0.005269,16.711578,-715.701172,-2.639389,0.002128
CCCCI,NC(CF)(CF)CF,0.271688,0.000227,15.718079,236.689453,-3.127571,0.006057,14.606201,-202.609375,-2.379120,0.003148
CCCCI,CC(C)CCCC(C)CC=O,0.264952,0.000232,18.160645,-284.531250,-3.236404,0.005480,16.296417,-695.734375,-2.617088,0.002114
CCCCI,Cc1coc(C)n1,0.261082,0.000222,17.977783,-295.267578,-3.263680,0.005636,16.709198,-617.595703,-2.604095,0.001808
CCCCI,NC(=S)NC(N)=S,0.246864,0.000162,15.653046,1286.908203,-3.130211,0.005034,11.695923,711.373047,-2.107277,0.004228
CCCCI,FC(F)C(Cl)C(F)F,0.268478,0.000235,17.342987,-264.148438,-3.216400,0.005980,15.555542,-378.974609,-2.396439,0.001422
CCCCI,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.267486,0.000219,14.724609,563.160156,-2.778671,0.004815,12.567505,87.824219,-2.299126,0.003903
CCCCI,NNC(=O)c1ccccc1,0.283885,0.000242,15.366089,1008.136719,-3.051224,0.004641,10.953613,256.628906,-2.180420,0.005556
CCCCI,ClC=CBr,0.267129,0.000236,17.396637,-493.494141,-3.148178,0.005946,16.703186,-550.939453,-2.566483,0.000933
CCCCI,CN(C)N=O,0.263576,0.000213,17.196320,14.445312,-3.145691,0.005050,14.941132,-360.574219,-2.317688,0.002388
CCCCI,c1ccc(C2CCCCC2)cc1,0.276048,0.000251,17.065704,-255.562500,-3.105148,0.005944,15.362854,-544.683594,-2.523308,0.002010
CCCCI,N#Cc1ccncc1,0.260513,0.000219,19.051758,-261.929688,-3.303650,0.004958,15.669830,-642.556641,-2.487328,0.002120
CCCCI,CN(C)C(=S)Nc1ccccc1,0.266897,0.000222,18.185486,210.900391,-3.168633,0.004334,13.155060,-277.388672,-2.277489,0.003118
CCCCI,CCC(N)CC,0.259791,0.000217,17.123291,-141.343750,-3.218254,0.006040,16.828186,-558.294922,-2.666229,0.002348
CCCCI,COC(=O)CO,0.270077,0.000225,16.345825,308.742188,-3.161209,0.004864,13.675781,-105.369141,-2.259125,0.003316
CCCCI,Cc1c(N)cccc1Cl,0.266072,0.000226,17.556274,-12.638672,-3.188721,0.005100,14.940643,-503.820312,-2.463943,0.002743
CCCCI,CC1CCC(C(C)(C)OO)CC1,0.276929,0.000247,16.775543,393.269531,-3.146454,0.004911,14.005951,-294.195312,-2.557892,0.004321
CCCCI,CC(F)(Cl)CF,0.271759,0.000242,17.284180,-300.476562,-3.186981,0.005954,15.622894,-448.208984,-2.433197,0.001493
CCCCI,CCCCC1OC(C)CC(C)(C)O1,0.260904,0.000224,18.001740,-312.857422,-3.157227,0.005106,16.653656,-743.294922,-2.685265,0.002142
CCCCI,CC(C)(C)OCC1CO1,0.263094,0.000229,18.239807,-327.335938,-3.248665,0.005419,16.751404,-718.431641,-2.653145,0.001980
CCCCI,O=P(O)(O)OP(=O)(O)O,0.195716,0.000080,13.882507,4070.185547,-2.182518,-0.001723,6.040863,2649.544922,-2.120018,0.009590
CCCCI,CC(=O)Nc1ccc(C)cc1,0.286008,0.000253,16.464294,809.091797,-3.037094,0.004338,11.439880,51.117188,-2.323105,0.005186
CCCCI,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.251095,0.000178,17.740295,746.294922,-3.322342,0.004766,11.572906,377.812500,-2.074448,0.002943
CCCCI,CC(C)(O)CCC1CCCCC1,0.283033,0.000255,16.342804,590.591797,-3.102440,0.005090,12.751984,-101.007812,-2.460312,0.004782
CCCCI,COCC(F)(F)F,0.270642,0.000234,16.247986,-163.357422,-3.028618,0.005777,15.392578,-391.587891,-2.426781,0.001919
CCCCI,COCC(O)COC,0.264889,0.000223,17.329315,-109.652344,-3.199059,0.005286,15.910309,-564.113281,-2.516991,0.002483
CCCCI,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.271652,0.000221,15.386871,1690.996094,-2.913269,0.002376,10.057159,609.425781,-2.409111,0.007370
CCCCI,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.265291,0.000208,15.823486,1403.611328,-3.007858,0.002795,10.071167,490.556641,-2.189110,0.006363
