SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
COC=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.253646,0.000215,19.332153,-152.812500,-3.294464,0.004781,16.659821,-767.519531,-2.776001,0.002648
COC=O,CC(=O)Nc1ccc(C=O)cc1,0.263020,0.000228,18.438202,227.714844,-3.162285,0.004301,14.922852,-518.906250,-2.678284,0.003854
COC=O,Cc1cccc(CO)c1,0.261546,0.000225,17.868469,0.814453,-3.126457,0.004753,15.063263,-570.468750,-2.557472,0.003000
COC=O,COC(C)CO,0.265286,0.000228,17.353241,20.808594,-3.124886,0.005178,15.992126,-606.931641,-2.679306,0.003225
COC=O,Nc1nc(=O)c2ccccc2o1,0.254070,0.000203,18.991119,618.859375,-3.120346,0.003114,12.756012,-299.947266,-2.514496,0.004876
COC=O,CC(Cl)Br,0.256925,0.000213,17.274475,-492.808594,-2.988388,0.005032,16.840912,-655.011719,-2.646233,0.001286
COC=O,CCCOC(F)F,0.268844,0.000230,16.590363,-302.273438,-2.896255,0.005035,15.547363,-524.166016,-2.582466,0.002325
COC=O,COC1CC2CCC1(C)C2(C)C,0.257828,0.000199,15.758484,103.787109,-2.627495,0.003880,14.281555,-353.570312,-2.564026,0.003687
COC=O,CCC(=O)C1=NCCC1,0.260593,0.000220,17.405396,-226.443359,-2.980667,0.004735,15.819214,-659.220703,-2.629211,0.002407
COC=O,NC(CF)(CF)CF,0.257995,0.000219,18.101929,-279.060547,-3.209564,0.005379,16.908112,-713.216797,-2.695755,0.002070
COC=O,CC(C)CCCC(C)CC=O,0.261259,0.000210,16.167755,197.896484,-2.819267,0.004569,14.863983,-444.144531,-2.669449,0.003803
COC=O,Cc1coc(C)n1,0.261799,0.000222,17.309113,-246.132812,-3.055931,0.005283,15.946564,-642.517578,-2.583824,0.002155
COC=O,NC(=S)NC(N)=S,0.198964,0.000097,22.295074,-875.765625,-3.406487,0.003106,18.375000,-1333.949219,-2.934975,0.002180
COC=O,FC(F)C(Cl)C(F)F,0.243099,0.000188,19.003632,-767.121094,-3.180244,0.004747,18.292572,-881.720703,-2.833138,0.001000
COC=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.245822,0.000175,15.690369,101.695312,-2.491417,0.003287,15.241211,-416.167969,-2.714439,0.003424
COC=O,NNC(=O)c1ccccc1,0.265771,0.000230,17.824280,285.490234,-3.174522,0.004697,14.927643,-480.294922,-2.655235,0.003985
COC=O,ClC=CBr,0.256300,0.000205,16.705719,-479.433594,-2.892319,0.004971,16.684967,-557.296875,-2.662483,0.001577
COC=O,CN(C)N=O,0.263731,0.000229,18.305145,-231.082031,-3.222862,0.005227,16.525848,-751.320312,-2.664536,0.002470
COC=O,c1ccc(C2CCCCC2)cc1,0.264117,0.000211,15.853638,114.484375,-2.692421,0.004243,14.441406,-337.587891,-2.623291,0.003747
COC=O,N#Cc1ccncc1,0.254125,0.000216,18.901489,-468.236328,-3.216759,0.004837,17.317932,-837.054688,-2.737236,0.001744
COC=O,CN(C)C(=S)Nc1ccccc1,0.228098,0.000168,20.585083,-729.746094,-3.292755,0.003842,17.298401,-1036.595703,-2.692490,0.001314
COC=O,CCC(N)CC,0.253214,0.000199,15.955383,-30.939453,-2.939087,0.005733,16.133972,-461.085938,-2.651405,0.002613
COC=O,COC(=O)CO,0.261845,0.000229,18.453339,-205.427734,-3.232109,0.004990,16.254913,-717.734375,-2.639458,0.002426
COC=O,Cc1c(N)cccc1Cl,0.242074,0.000190,19.080414,-518.876953,-3.172768,0.004439,17.132477,-848.685547,-2.732254,0.001609
COC=O,CC1CCC(C(C)(C)OO)CC1,0.250241,0.000201,17.679169,22.841797,-2.963982,0.003954,14.771149,-591.820312,-2.558716,0.003114
COC=O,CC(F)(Cl)CF,0.261322,0.000226,17.872894,-463.238281,-3.120972,0.005320,16.944122,-715.199219,-2.680206,0.001470
COC=O,CCCCC1OC(C)CC(C)(C)O1,0.255164,0.000199,16.505524,106.078125,-2.751892,0.003900,15.062744,-502.787109,-2.684280,0.003736
COC=O,CC(C)(C)OCC1CO1,0.265846,0.000230,17.278839,-181.304688,-3.020889,0.005017,15.817352,-682.421875,-2.639595,0.002702
COC=O,O=P(O)(O)OP(=O)(O)O,0.173963,0.000023,20.411743,-688.453125,-3.079971,0.003257,7.692749,-1367.193359,-1.596466,0.003501
COC=O,CC(=O)Nc1ccc(C)cc1,0.261403,0.000224,17.945740,67.412109,-3.074669,0.004388,14.874969,-536.156250,-2.615829,0.003307
COC=O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.262203,0.000222,18.817627,-37.810547,-3.225662,0.004739,15.354980,-640.716797,-2.590271,0.002880
COC=O,CC(C)(O)CCC1CCCCC1,0.262525,0.000216,16.169647,577.308594,-2.910194,0.004541,13.982086,-219.824219,-2.636734,0.004726
COC=O,COCC(F)(F)F,0.265627,0.000230,17.320435,-331.591797,-3.041641,0.005217,16.337494,-623.955078,-2.646889,0.001989
COC=O,COCC(O)COC,0.261689,0.000229,18.542938,-226.974609,-3.257660,0.005334,16.936218,-770.095703,-2.752625,0.002523
COC=O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.258412,0.000217,18.409302,563.712891,-3.164001,0.003541,15.210266,-453.697266,-2.890388,0.005003
COC=O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.224466,0.000156,20.777191,-547.765625,-3.331497,0.003648,16.777893,-1078.880859,-2.690956,0.002225
COC=O,CC(C)C(F)F,0.271547,0.000232,16.090973,-236.552734,-2.836105,0.005074,15.124573,-467.490234,-2.547089,0.002577
