SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CON=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.255377,0.000213,19.616119,-180.232422,-3.315613,0.004705,15.537170,-696.417969,-2.596283,0.002419
CON=O,CC(=O)Nc1ccc(C=O)cc1,0.278981,0.000242,17.206390,806.562500,-3.060272,0.004011,11.697174,-7.386719,-2.430977,0.005134
CON=O,Cc1cccc(CO)c1,0.278963,0.000247,16.722870,489.251953,-3.128906,0.004901,12.760956,-188.564453,-2.428261,0.004466
CON=O,COC(C)CO,0.267617,0.000231,17.445068,78.855469,-3.153267,0.004739,15.706604,-583.298828,-2.672478,0.003468
CON=O,Nc1nc(=O)c2ccccc2o1,0.266377,0.000215,17.315094,1598.109375,-2.889603,0.001931,9.300995,585.791016,-2.310913,0.006561
CON=O,CC(Cl)Br,0.266892,0.000236,17.848511,-422.380859,-3.185593,0.005671,16.499817,-632.443359,-2.601135,0.001599
CON=O,CCCOC(F)F,0.275089,0.000249,17.256500,-294.279297,-3.107475,0.005809,15.625885,-579.662109,-2.549950,0.002112
CON=O,COC1CC2CCC1(C)C2(C)C,0.261296,0.000218,16.801453,-111.664062,-2.946091,0.004794,15.559082,-651.765625,-2.601959,0.002749
CON=O,CCC(=O)C1=NCCC1,0.260040,0.000224,18.370331,-341.841797,-3.196671,0.005042,16.935608,-775.677734,-2.739601,0.002124
CON=O,NC(CF)(CF)CF,0.266824,0.000230,17.527283,-108.845703,-3.188835,0.005573,16.003235,-639.873047,-2.623543,0.002790
CON=O,CC(C)CCCC(C)CC=O,0.264319,0.000227,17.650513,-70.234375,-3.130272,0.005121,15.849243,-678.087891,-2.678375,0.003046
CON=O,Cc1coc(C)n1,0.263360,0.000229,18.198914,-264.652344,-3.214218,0.005243,16.343018,-711.265625,-2.644249,0.002319
CON=O,NC(=S)NC(N)=S,0.255590,0.000194,18.098633,262.052734,-3.133209,0.004511,14.334869,-396.740234,-2.348946,0.003107
CON=O,FC(F)C(Cl)C(F)F,0.263061,0.000230,18.572510,-484.400391,-3.264915,0.005617,17.033600,-715.931641,-2.692062,0.001592
CON=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.264936,0.000220,16.299316,181.996094,-2.828247,0.004450,14.065155,-372.279297,-2.501602,0.003538
CON=O,NNC(=O)c1ccccc1,0.277860,0.000239,16.953491,710.154297,-3.103844,0.004321,12.065033,-115.246094,-2.378792,0.004991
CON=O,ClC=CBr,0.263178,0.000225,17.265594,-431.671875,-3.069061,0.005569,16.274261,-591.494141,-2.568558,0.001459
CON=O,CN(C)N=O,0.259008,0.000217,18.865143,-281.498047,-3.254822,0.004955,16.208649,-711.066406,-2.566490,0.002039
CON=O,c1ccc(C2CCCCC2)cc1,0.274667,0.000241,16.663208,54.371094,-2.959000,0.005228,14.026855,-443.867188,-2.493286,0.003505
CON=O,N#Cc1ccncc1,0.262347,0.000227,19.021851,-277.363281,-3.278008,0.004993,15.984955,-729.925781,-2.598396,0.002311
CON=O,CN(C)C(=S)Nc1ccccc1,0.251599,0.000207,19.978363,-262.669922,-3.284515,0.004195,15.646759,-725.259766,-2.575478,0.002125
CON=O,CCC(N)CC,0.259212,0.000215,17.089630,-110.169922,-3.133896,0.005497,16.835205,-669.396484,-2.728462,0.002690
CON=O,COC(=O)CO,0.271662,0.000235,17.406372,110.343750,-3.183922,0.004852,14.370026,-421.398438,-2.458374,0.003230
CON=O,Cc1c(N)cccc1Cl,0.264612,0.000231,18.309326,-152.240234,-3.216019,0.005134,15.600891,-691.937500,-2.593941,0.002776
CON=O,CC1CCC(C(C)(C)OO)CC1,0.274964,0.000247,17.506531,364.914062,-3.157677,0.004541,14.044586,-386.470703,-2.619415,0.004643
CON=O,CC(F)(Cl)CF,0.270388,0.000244,18.277344,-368.886719,-3.269928,0.005808,16.255859,-647.298828,-2.589630,0.001904
CON=O,CCCCC1OC(C)CC(C)(C)O1,0.258326,0.000217,17.718567,-169.421875,-3.059586,0.004674,16.541992,-776.707031,-2.773018,0.002868
CON=O,CC(C)(C)OCC1CO1,0.262054,0.000229,18.509186,-303.250000,-3.255516,0.005221,17.182465,-795.966797,-2.785706,0.002355
CON=O,O=P(O)(O)OP(=O)(O)O,0.257106,0.000189,15.685730,1986.052734,-2.689461,0.001842,9.576569,678.236328,-2.172997,0.007671
CON=O,CC(=O)Nc1ccc(C)cc1,0.279911,0.000249,17.361664,574.589844,-3.113190,0.004422,12.513916,-148.080078,-2.475067,0.004730
CON=O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.268271,0.000220,18.169922,269.259766,-3.149246,0.004448,13.185394,-262.951172,-2.334579,0.003155
CON=O,CC(C)(O)CCC1CCCCC1,0.277562,0.000246,16.529877,555.500000,-3.075142,0.004759,13.653870,-251.896484,-2.620651,0.004961
CON=O,COCC(F)(F)F,0.270713,0.000240,17.501251,-260.626953,-3.136688,0.005582,15.970612,-613.144531,-2.588234,0.002211
CON=O,COCC(O)COC,0.260797,0.000221,18.417816,-257.179688,-3.202805,0.004907,16.829376,-789.955078,-2.750023,0.002501
CON=O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.273628,0.000229,17.158081,1244.033203,-2.978340,0.002923,11.284912,110.798828,-2.558044,0.006379
CON=O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.266877,0.000221,17.796906,658.722656,-3.141182,0.003610,12.130981,-149.490234,-2.361656,0.004700
CON=O,CC(C)C(F)F,0.276343,0.000248,16.703949,-252.025391,-3.041435,0.005893,15.321289,-548.312500,-2.515495,0.002195
CON=O,CCCCC1C=C(C)CC(C)O1,0.257726,0.000212,17.248657,-117.406250,-2.979591,0.004627,15.804779,-668.195312,-2.648705,0.002783
CON=O,COc1ccc(C(C)=O)cc1,0.266405,0.000233,18.330597,-203.566406,-3.206398,0.005127,15.785431,-683.634766,-2.617188,0.002441
CON=O,Oc1cc(O)ncn1,0.277939,0.000234,15.316193,1430.943359,-2.927338,0.003457,10.494141,435.888672,-2.343422,0.006758
CON=O,COCCCCl,0.270575,0.000238,17.301361,-283.386719,-3.117905,0.005589,16.378784,-679.541016,-2.662346,0.002365
CON=O,CCCOC,0.261660,0.000221,17.178833,-289.535156,-3.054420,0.005187,16.526154,-693.191406,-2.656891,0.002127
CON=O,Fc1c(F)c(F)c(F)c(F)c1F,0.270318,0.000229,16.195129,-20.478516,-2.884567,0.005224,14.166840,-386.576172,-2.447838,0.002994
CON=O,CCP(CC)CC,0.259555,0.000215,16.805603,-236.625000,-2.951141,0.004885,15.785065,-648.960938,-2.575134,0.002251
CON=O,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.256080,0.000214,18.428070,-27.107422,-3.180557,0.004591,16.910919,-856.849609,-2.911407,0.003697
CON=O,Fc1cc(F)c(F)cc1F,0.271501,0.000238,16.728821,-201.001953,-3.000519,0.005542,14.825745,-546.951172,-2.452217,0.002372
CON=O,CCCCc1ccc(C(=O)O)cc1,0.277031,0.000245,16.912018,605.835938,-3.135712,0.004603,13.074921,-204.984375,-2.558456,0.005136
CON=O,C=Cc1c(C)cc(C)cc1C,0.275071,0.000245,17.004608,3.962891,-3.035263,0.005469,14.283234,-532.550781,-2.485947,0.003281
CON=O,C=C(C)C(=O)OC(C)(C)C,0.265417,0.000232,17.965393,-148.388672,-3.179573,0.005234,15.597443,-683.681641,-2.609093,0.002792
CON=O,FC1CCCN1,0.265157,0.000230,17.920197,-204.359375,-3.189537,0.005278,16.333771,-681.746094,-2.654999,0.002402
CON=O,CCCCCCCC(=O)NC,0.269998,0.000234,17.560516,448.408203,-3.066002,0.004058,14.486359,-406.748047,-2.706642,0.004609
CON=O,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.275124,0.000238,16.219269,216.912109,-2.940819,0.005438,13.958862,-408.080078,-2.498619,0.003861
CON=O,C1=CC2C=CC1C2,0.276811,0.000245,16.341949,-133.130859,-2.946495,0.005570,14.306702,-462.761719,-2.435127,0.002762
CON=O,CCC(C)(O)CCC=C(C)C,0.272695,0.000240,16.837921,431.857422,-3.109688,0.004776,14.172302,-354.621094,-2.635292,0.004617
CON=O,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.252603,0.000208,18.869507,510.005859,-2.995720,0.003188,16.815796,-756.564453,-3.330421,0.005607
CON=O,CCC(C)CCF,0.276058,0.000244,16.575897,-161.482422,-2.997467,0.005664,14.674011,-531.683594,-2.468338,0.002792
CON=O,C=Cc1cccc(CC)c1,0.276244,0.000246,16.635376,0.683594,-2.989441,0.005539,14.348999,-509.023438,-2.489967,0.003137
CON=O,CC(C)(C(O)(F)F)C(F)(F)F,0.229402,0.000165,20.447205,-705.941406,-3.311798,0.003956,16.680511,-939.892578,-2.574066,0.001486
CON=O,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.276060,0.000242,16.907867,-213.843750,-3.017494,0.005456,14.775330,-569.574219,-2.506035,0.003176
CON=O,CCN(CC)c1ccc(N)cc1,0.263227,0.000222,17.857422,138.132812,-3.160652,0.004695,15.702240,-610.345703,-2.730186,0.003583
