SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],O=P(Cl)(c1ccccc1)c1ccccc1,0.240176,0.000177,17.210938,-643.992188,-3.004761,0.005110,17.321350,-600.449219,-2.607437,0.000631
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],CC(=O)Nc1ccc(C=O)cc1,0.241602,0.000174,16.578796,-420.443359,-2.926460,0.004879,15.757202,-568.361328,-2.386765,0.001248
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],Cc1cccc(CO)c1,0.229433,0.000151,16.659271,-598.835938,-2.935852,0.004854,15.835602,-573.408203,-2.346085,0.000675
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],COC(C)CO,0.222784,0.000136,17.004852,-707.013672,-2.962013,0.004709,16.599518,-742.939453,-2.407455,0.000598
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],Nc1nc(=O)c2ccccc2o1,0.232070,0.000145,16.320587,-192.472656,-2.892014,0.004587,13.233063,-413.117188,-2.124870,0.002296
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],CC(Cl)Br,0.260516,0.000200,14.800140,-663.314453,-2.733986,0.005687,19.718567,72.283203,-3.203773,0.001361
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],CCCOC(F)F,0.270752,0.000217,13.346039,-313.697266,-2.546219,0.005592,18.505493,333.324219,-3.123611,0.002118
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],COC1CC2CCC1(C)C2(C)C,0.241420,0.000153,12.058472,-206.800781,-2.118835,0.003842,17.512787,674.439453,-3.007240,0.002847
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],CCC(=O)C1=NCCC1,0.230997,0.000145,15.824707,-908.201172,-2.696869,0.004144,18.853485,-322.619141,-2.783989,0.000788
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],NC(CF)(CF)CF,0.229623,0.000153,16.828400,-670.910156,-2.942047,0.004873,17.085785,-592.035156,-2.453415,0.000215
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],CC(C)CCCC(C)CC=O,0.242202,0.000163,14.405151,-514.169922,-2.540680,0.004271,17.097137,-40.628906,-2.676048,0.001790
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],Cc1coc(C)n1,0.211299,0.000109,17.447510,-1048.078125,-2.961525,0.004565,16.457306,-832.447266,-2.308952,-0.000062
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],NC(=S)NC(N)=S,0.205734,0.000066,17.191223,-1005.736328,-2.908195,0.004404,16.508789,-679.556641,-2.342094,0.001602
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],FC(F)C(Cl)C(F)F,0.238444,0.000145,16.849091,-895.734375,-3.046036,0.005279,20.575439,-283.894531,-3.175156,0.001477
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.218334,0.000108,8.956726,686.433594,-1.744484,0.003067,16.018341,1888.853516,-3.073341,0.003418
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],NNC(=O)c1ccccc1,0.241086,0.000174,16.849915,-372.070312,-3.016983,0.005280,16.465149,-601.119141,-2.485001,0.001407
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],ClC=CBr,0.251657,0.000173,14.673096,-754.074219,-2.692719,0.004843,20.981689,136.107422,-3.336540,0.001995
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],CN(C)N=O,0.226043,0.000142,17.878265,-875.267578,-3.106216,0.004911,18.570831,-695.732422,-2.645149,0.000373
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],c1ccc(C2CCCCC2)cc1,0.265545,0.000197,11.791107,-18.158203,-2.234550,0.004784,17.794037,853.197266,-3.202599,0.003637
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],N#Cc1ccncc1,0.211560,0.000109,18.624847,-1191.972656,-3.081635,0.004080,18.348297,-923.023438,-2.656479,0.000240
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],CN(C)C(=S)Nc1ccccc1,0.239502,0.000169,16.576019,-692.111328,-2.856789,0.004798,18.437653,-487.367188,-2.782150,0.000717
