SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCC(CC)(c1ccc(C(C)(C)C)cc1)C(CC)(CCC)c1ccc(C(C)(C)C)cc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.234850,0.000162,18.498047,33.994141,-3.392601,0.005143,14.883484,21.505859,-2.219131,0.000446
CCCC(CC)(c1ccc(C(C)(C)C)cc1)C(CC)(CCC)c1ccc(C(C)(C)C)cc1,CC(=O)Nc1ccc(C=O)cc1,0.230011,0.000135,14.920319,1965.208984,-2.909721,0.002534,10.365845,1517.537109,-2.164421,0.004710
CCCC(CC)(c1ccc(C(C)(C)C)cc1)C(CC)(CCC)c1ccc(C(C)(C)C)cc1,Cc1cccc(CO)c1,0.272472,0.000223,15.123688,654.865234,-3.055885,0.004992,12.943207,289.658203,-2.206375,0.003815
CCCC(CC)(c1ccc(C(C)(C)C)cc1)C(CC)(CCC)c1ccc(C(C)(C)C)cc1,COC(C)CO,0.260566,0.000203,15.188446,319.146484,-3.133720,0.005548,16.143463,61.787109,-2.399124,0.002687
CCCC(CC)(c1ccc(C(C)(C)C)cc1)C(CC)(CCC)c1ccc(C(C)(C)C)cc1,Nc1nc(=O)c2ccccc2o1,0.186337,0.000061,13.414093,3245.089844,-2.538826,0.000067,8.165161,2780.433594,-2.095352,0.006020
CCCC(CC)(c1ccc(C(C)(C)C)cc1)C(CC)(CCC)c1ccc(C(C)(C)C)cc1,CC(Cl)Br,0.262151,0.000221,16.501648,-386.517578,-3.158691,0.005856,16.936218,-271.527344,-2.443817,0.000692
CCCC(CC)(c1ccc(C(C)(C)C)cc1)C(CC)(CCC)c1ccc(C(C)(C)C)cc1,CCCOC(F)F,0.268517,0.000232,16.251404,-342.460938,-3.101395,0.005857,16.518341,-303.671875,-2.465645,0.001081
CCCC(CC)(c1ccc(C(C)(C)C)cc1)C(CC)(CCC)c1ccc(C(C)(C)C)cc1,COC1CC2CCC1(C)C2(C)C,0.255964,0.000214,17.547058,-535.990234,-3.155441,0.005313,17.873627,-670.769531,-2.700890,0.000940
CCCC(CC)(c1ccc(C(C)(C)C)cc1)C(CC)(CCC)c1ccc(C(C)(C)C)cc1,CCC(=O)C1=NCCC1,0.257247,0.000205,16.185150,-243.634766,-3.116020,0.005632,16.909332,-323.498047,-2.406982,0.001315
CCCC(CC)(c1ccc(C(C)(C)C)cc1)C(CC)(CCC)c1ccc(C(C)(C)C)cc1,NC(CF)(CF)CF,0.232588,0.000146,14.283783,704.761719,-3.199684,0.006610,15.110718,957.599609,-2.177963,0.001487
CCCC(CC)(c1ccc(C(C)(C)C)cc1)C(CC)(CCC)c1ccc(C(C)(C)C)cc1,CC(C)CCCC(C)CC=O,0.257007,0.000216,17.985565,-455.023438,-3.276283,0.005683,17.531433,-607.003906,-2.614769,0.000983
CCCC(CC)(c1ccc(C(C)(C)C)cc1)C(CC)(CCC)c1ccc(C(C)(C)C)cc1,Cc1coc(C)n1,0.252212,0.000198,16.881470,-294.435547,-3.247902,0.005626,17.714661,-351.332031,-2.506050,0.001095
CCCC(CC)(c1ccc(C(C)(C)C)cc1)C(CC)(CCC)c1ccc(C(C)(C)C)cc1,NC(=S)NC(N)=S,0.144686,-0.000009,8.382385,3135.474609,-2.498520,0.005416,15.261230,3931.923828,-2.267708,0.002235
CCCC(CC)(c1ccc(C(C)(C)C)cc1)C(CC)(CCC)c1ccc(C(C)(C)C)cc1,FC(F)C(Cl)C(F)F,0.239387,0.000170,15.839539,48.316406,-3.317284,0.006867,16.492157,453.978516,-2.233070,-0.000212
CCCC(CC)(c1ccc(C(C)(C)C)cc1)C(CC)(CCC)c1ccc(C(C)(C)C)cc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.245289,0.000172,12.225006,640.476562,-2.681038,0.005969,11.755310,1022.644531,-1.908875,0.001927
