SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C#CCCO,O=P(Cl)(c1ccccc1)c1ccccc1,0.250590,0.000196,16.999969,-329.003906,-2.887413,0.004504,14.650177,-615.203125,-2.363472,0.001766
C#CCCO,CC(=O)Nc1ccc(C=O)cc1,0.245644,0.000188,17.734100,-432.072266,-3.009094,0.004597,14.675812,-703.443359,-2.321663,0.001531
C#CCCO,Cc1cccc(CO)c1,0.252315,0.000202,17.179688,-342.056641,-2.985222,0.004884,15.490845,-638.171875,-2.458000,0.001611
C#CCCO,COC(C)CO,0.230531,0.000161,18.499176,-630.591797,-3.047302,0.004132,15.938782,-905.714844,-2.453285,0.001263
C#CCCO,Nc1nc(=O)c2ccccc2o1,0.244589,0.000184,17.646545,-306.673828,-2.954536,0.004190,14.140350,-670.781250,-2.273994,0.002018
C#CCCO,CC(Cl)Br,0.287371,0.000252,13.118744,32.023438,-2.658882,0.007017,15.359772,496.257812,-2.743324,0.002330
C#CCCO,CCCOC(F)F,0.288774,0.000252,13.324432,73.480469,-2.603111,0.006300,15.040314,341.734375,-2.755859,0.003149
C#CCCO,COC1CC2CCC1(C)C2(C)C,0.252108,0.000175,13.949890,-187.667969,-2.276245,0.003588,13.802551,-114.625000,-2.404945,0.002982
C#CCCO,CCC(=O)C1=NCCC1,0.233583,0.000157,16.432281,-674.931641,-2.623947,0.003738,15.217224,-654.066406,-2.356216,0.000895
C#CCCO,NC(CF)(CF)CF,0.231988,0.000156,16.927521,-663.800781,-2.833603,0.004290,14.910553,-766.304688,-2.235374,0.000755
C#CCCO,CC(C)CCCC(C)CC=O,0.256343,0.000194,14.882996,-149.767578,-2.489616,0.003910,14.703827,-283.583984,-2.510399,0.002659
C#CCCO,Cc1coc(C)n1,0.219197,0.000131,17.477692,-829.492188,-2.846321,0.003912,14.601715,-857.708984,-2.162514,0.000445
C#CCCO,NC(=S)NC(N)=S,0.233937,0.000155,16.899414,-309.236328,-2.825737,0.004069,15.804779,-729.783203,-2.419945,0.001903
