SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.259656,0.000222,18.520508,-63.365234,-3.219482,0.004979,15.810089,-671.888672,-2.649620,0.002802
CC(F)F,CC(=O)Nc1ccc(C=O)cc1,0.279873,0.000243,16.225067,1103.187500,-2.988609,0.003989,11.528320,157.789062,-2.497574,0.006101
CC(F)F,Cc1cccc(CO)c1,0.282399,0.000254,15.986084,608.113281,-3.089882,0.005319,13.002991,-128.796875,-2.490181,0.004974
CC(F)F,COC(C)CO,0.274555,0.000243,16.731567,197.421875,-3.139091,0.005439,15.428436,-495.294922,-2.669945,0.003953
CC(F)F,Nc1nc(=O)c2ccccc2o1,0.264970,0.000212,15.839539,1848.966797,-2.883598,0.002168,9.821747,734.550781,-2.454193,0.007550
CC(F)F,CC(Cl)Br,0.270363,0.000237,16.605835,-263.427734,-2.974884,0.005552,15.157776,-501.064453,-2.448013,0.001743
CC(F)F,CCCOC(F)F,0.275135,0.000246,16.757690,-287.849609,-3.022972,0.005723,15.719482,-538.025391,-2.584053,0.002096
CC(F)F,COC1CC2CCC1(C)C2(C)C,0.266374,0.000221,16.079193,-20.806641,-2.796875,0.004683,14.696198,-425.203125,-2.557388,0.003078
CC(F)F,CCC(=O)C1=NCCC1,0.266756,0.000233,17.418762,-193.671875,-3.080978,0.005215,15.817017,-660.378906,-2.614632,0.002468
CC(F)F,NC(CF)(CF)CF,0.271619,0.000240,17.007599,-93.214844,-3.166626,0.006157,16.176788,-575.947266,-2.642570,0.002604
CC(F)F,CC(C)CCCC(C)CC=O,0.268762,0.000233,16.829590,43.003906,-3.001854,0.005224,15.084076,-549.421875,-2.607239,0.003108
CC(F)F,Cc1coc(C)n1,0.266148,0.000231,17.456116,-247.369141,-3.146484,0.005670,16.322571,-650.125000,-2.632919,0.002174
CC(F)F,NC(=S)NC(N)=S,0.263327,0.000204,16.012573,764.988281,-3.115509,0.005343,13.341919,7.396484,-2.328278,0.004428
CC(F)F,FC(F)C(Cl)C(F)F,0.262373,0.000233,18.629822,-516.429688,-3.274002,0.005590,17.012238,-704.296875,-2.638962,0.001168
CC(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265605,0.000220,16.110565,2.308594,-2.772865,0.004533,14.748169,-461.867188,-2.567474,0.003167
CC(F)F,NNC(=O)c1ccccc1,0.285809,0.000253,15.532990,870.505859,-3.059372,0.005221,12.283997,28.103516,-2.446541,0.005627
CC(F)F,ClC=CBr,0.269212,0.000233,16.311859,-262.519531,-2.919090,0.005454,15.137726,-456.890625,-2.448723,0.001748
CC(F)F,CN(C)N=O,0.266845,0.000229,17.657684,-105.609375,-3.150513,0.005281,15.838257,-673.099609,-2.571899,0.002774
CC(F)F,c1ccc(C2CCCCC2)cc1,0.277123,0.000240,15.728333,200.578125,-2.819405,0.004989,13.880127,-247.542969,-2.562103,0.003831
CC(F)F,N#Cc1ccncc1,0.263823,0.000230,18.270752,-265.564453,-3.201088,0.005172,16.447205,-747.367188,-2.663628,0.002394
CC(F)F,CN(C)C(=S)Nc1ccccc1,0.263092,0.000223,18.425049,94.929688,-3.187111,0.004639,14.846588,-521.324219,-2.584236,0.003142
CC(F)F,CCC(N)CC,0.262917,0.000218,16.130981,-37.912109,-3.022812,0.006048,15.882629,-474.128906,-2.615639,0.002675
CC(F)F,COC(=O)CO,0.273998,0.000242,17.021301,130.603516,-3.184929,0.005229,14.590546,-428.589844,-2.503769,0.003498
CC(F)F,Cc1c(N)cccc1Cl,0.268818,0.000231,16.739655,226.244141,-3.068665,0.005169,14.850983,-436.906250,-2.614906,0.003618
CC(F)F,CC1CCC(C(C)(C)OO)CC1,0.279271,0.000250,15.983002,640.353516,-3.052246,0.005073,13.933746,-208.128906,-2.675041,0.005285
CC(F)F,CC(F)(Cl)CF,0.270339,0.000244,17.750763,-359.353516,-3.175400,0.005773,16.211884,-618.570312,-2.587112,0.001657
CC(F)F,CCCCC1OC(C)CC(C)(C)O1,0.265305,0.000224,16.685516,-9.636719,-2.896080,0.004762,15.319733,-575.228516,-2.655815,0.003152
CC(F)F,CC(C)(C)OCC1CO1,0.269155,0.000239,17.513184,-189.640625,-3.115257,0.005390,16.079956,-690.966797,-2.663994,0.002573
CC(F)F,O=P(O)(O)OP(=O)(O)O,0.231276,0.000147,13.428528,3318.462891,-2.407867,-0.000148,8.854095,1596.767578,-2.459862,0.010608
CC(F)F,CC(=O)Nc1ccc(C)cc1,0.285385,0.000258,16.246521,821.537109,-3.013779,0.004542,12.228180,-25.044922,-2.523682,0.005585
CC(F)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.268677,0.000221,17.448975,433.384766,-3.197769,0.004929,13.145966,-156.642578,-2.360817,0.003793
CC(F)F,CC(C)(O)CCC1CCCCC1,0.280532,0.000248,15.484680,838.642578,-2.989975,0.005110,12.955353,-20.705078,-2.592705,0.005724
CC(F)F,COCC(F)(F)F,0.270860,0.000242,17.262085,-332.205078,-3.099075,0.005720,16.366241,-618.476562,-2.630371,0.001821
CC(F)F,COCC(O)COC,0.269390,0.000238,17.656189,-176.115234,-3.193260,0.005589,16.593292,-720.183594,-2.711517,0.002735
CC(F)F,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.273863,0.000230,15.494080,1487.628906,-2.958488,0.003283,11.756256,336.060547,-2.687149,0.007228
CC(F)F,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.270495,0.000225,16.093842,1092.273438,-3.058769,0.003791,11.778778,108.738281,-2.449181,0.006075
CC(F)F,CC(C)C(F)F,0.277954,0.000249,16.435577,-227.128906,-2.986488,0.005786,15.256134,-476.275391,-2.538834,0.002313
CC(F)F,CCCCC1C=C(C)CC(C)O1,0.264554,0.000219,16.312531,21.035156,-2.825317,0.004577,14.943207,-456.265625,-2.617371,0.003195
CC(F)F,COc1ccc(C(C)=O)cc1,0.271061,0.000242,17.771088,-133.623047,-3.175644,0.005497,15.469971,-637.400391,-2.586304,0.002715
CC(F)F,Oc1cc(O)ncn1,0.273589,0.000225,13.741852,1874.673828,-2.853409,0.003543,11.048645,688.169922,-2.570656,0.008050
CC(F)F,COCCCCl,0.274039,0.000240,16.269714,-207.500000,-2.942368,0.005578,15.446320,-560.394531,-2.551888,0.002360
CC(F)F,CCCOC,0.267300,0.000228,16.482697,-242.519531,-2.944633,0.005307,15.780243,-587.402344,-2.577904,0.002243
CC(F)F,Fc1c(F)c(F)c(F)c(F)c1F,0.274221,0.000238,16.435028,-155.660156,-2.921921,0.005297,14.380280,-454.148438,-2.457687,0.002927
CC(F)F,CCP(CC)CC,0.268402,0.000226,16.092407,-126.689453,-2.830162,0.004911,14.692200,-470.308594,-2.498337,0.002790
CC(F)F,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.265696,0.000228,17.081604,147.574219,-3.002701,0.004811,15.613678,-621.400391,-2.758926,0.003719
CC(F)F,Fc1cc(F)c(F)cc1F,0.271374,0.000239,17.076599,-271.363281,-3.052048,0.005583,15.204376,-553.781250,-2.506668,0.002249
CC(F)F,CCCCc1ccc(C(=O)O)cc1,0.280665,0.000251,15.644104,784.613281,-3.018105,0.004975,13.280579,-80.158203,-2.643837,0.005601
CC(F)F,C=Cc1c(C)cc(C)cc1C,0.273867,0.000237,16.142242,46.900391,-2.876907,0.005092,14.350677,-371.355469,-2.546730,0.003261
CC(F)F,C=C(C)C(=O)OC(C)(C)C,0.267377,0.000234,17.199585,-116.861328,-3.063652,0.005325,15.261963,-601.820312,-2.560173,0.002572
CC(F)F,FC1CCCN1,0.270775,0.000242,17.552917,-171.263672,-3.180435,0.005781,16.087341,-597.115234,-2.628967,0.002337
CC(F)F,CCCCCCCC(=O)NC,0.275844,0.000244,16.740723,678.562500,-3.024384,0.004454,13.561676,-202.626953,-2.648361,0.005308
CC(F)F,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.272790,0.000234,16.104645,18.753906,-2.871552,0.005205,14.696930,-457.583984,-2.558479,0.003353
CC(F)F,C1=CC2C=CC1C2,0.277553,0.000241,15.596222,-69.673828,-2.812195,0.005308,14.281464,-320.257812,-2.474922,0.002999
CC(F)F,CCC(C)(O)CCC=C(C)C,0.277910,0.000245,15.801270,644.648438,-3.015938,0.005199,13.509583,-144.318359,-2.603027,0.005121
CC(F)F,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.262041,0.000221,16.904449,895.640625,-3.029427,0.003807,15.336060,-353.349609,-3.116447,0.006415
