SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(O)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.220726,0.000135,17.807129,-530.072266,-2.908012,0.003923,13.053253,-816.498047,-2.092712,0.001399
CC(O)F,CC(=O)Nc1ccc(C=O)cc1,0.224251,0.000143,18.146393,-580.873047,-3.022346,0.004223,13.246826,-872.841797,-2.086739,0.001401
CC(O)F,Cc1cccc(CO)c1,0.240494,0.000175,17.262756,-416.158203,-2.910370,0.004372,13.972961,-706.091797,-2.214905,0.001617
CC(O)F,COC(C)CO,0.207844,0.000107,19.091858,-850.556641,-3.001236,0.003820,13.910126,-1167.976562,-2.249222,0.001659
CC(O)F,Nc1nc(=O)c2ccccc2o1,0.217683,0.000134,18.708832,-600.412109,-3.089745,0.004028,13.372223,-917.386719,-2.062950,0.001286
CC(O)F,CC(Cl)Br,0.279606,0.000238,13.485657,37.416016,-2.623085,0.006387,14.880524,405.263672,-2.672180,0.002399
CC(O)F,CCCOC(F)F,0.274415,0.000228,14.058502,-105.791016,-2.565361,0.005489,15.541840,131.812500,-2.754173,0.002682
CC(O)F,COC1CC2CCC1(C)C2(C)C,0.225308,0.000123,14.525879,-463.453125,-2.292839,0.003414,12.240204,-411.679688,-2.051903,0.002140
CC(O)F,CCC(=O)C1=NCCC1,0.199856,0.000087,17.770355,-1007.517578,-2.698151,0.003329,13.020905,-1038.773438,-2.041359,0.000792
CC(O)F,NC(CF)(CF)CF,0.202830,0.000094,17.578888,-976.673828,-2.858994,0.004041,13.063934,-1025.144531,-1.937218,0.000392
CC(O)F,CC(C)CCCC(C)CC=O,0.233084,0.000150,15.791809,-416.361328,-2.516449,0.003572,13.909454,-554.093750,-2.269569,0.001836
CC(O)F,Cc1coc(C)n1,0.186850,0.000062,18.647919,-1161.835938,-2.939232,0.003607,12.517731,-1155.439453,-1.872841,0.000277
CC(O)F,NC(=S)NC(N)=S,0.240794,0.000180,17.536285,-181.847656,-3.014160,0.004505,17.696960,-678.798828,-2.745758,0.002066
CC(O)F,FC(F)C(Cl)C(F)F,0.273906,0.000236,15.003906,-184.181641,-2.786850,0.006014,16.347961,-112.515625,-2.739967,0.001891
CC(O)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.270155,0.000205,12.254364,724.228516,-2.219986,0.004264,13.201691,614.396484,-2.685028,0.005025
CC(O)F,NNC(=O)c1ccccc1,0.215667,0.000128,18.975525,-729.806641,-3.142868,0.004258,13.844147,-1017.339844,-2.149673,0.001256
CC(O)F,ClC=CBr,0.282792,0.000238,12.850922,69.001953,-2.520493,0.006372,14.467133,513.630859,-2.646843,0.002766
CC(O)F,CN(C)N=O,0.202349,0.000096,19.263794,-1045.361328,-3.109993,0.003983,15.028900,-1091.865234,-2.252197,0.000709
CC(O)F,c1ccc(C2CCCCC2)cc1,0.279649,0.000226,12.326691,578.730469,-2.337967,0.005153,12.761719,755.568359,-2.650864,0.004757
CC(O)F,N#Cc1ccncc1,0.208862,0.000110,18.367065,-998.154297,-2.928391,0.003870,14.570892,-1030.900391,-2.198441,0.000454
CC(O)F,CN(C)C(=S)Nc1ccccc1,0.238564,0.000178,17.969788,-364.722656,-2.957565,0.003769,15.761688,-648.492188,-2.510262,0.001596
CC(O)F,CCC(N)CC,0.168939,0.000013,17.848206,-1213.058594,-2.939713,0.003984,8.847778,-1205.720703,-1.366272,0.000197
CC(O)F,COC(=O)CO,0.226108,0.000155,19.412781,-720.412109,-3.186745,0.004107,15.800262,-962.675781,-2.409332,0.001119
CC(O)F,Cc1c(N)cccc1Cl,0.244557,0.000183,16.579407,-333.517578,-2.772598,0.004207,14.918121,-591.816406,-2.388672,0.001553
CC(O)F,CC1CCC(C(C)(C)OO)CC1,0.241234,0.000174,16.764099,-122.554688,-2.778740,0.003705,13.662659,-622.615234,-2.303665,0.002753
CC(O)F,CC(F)(Cl)CF,0.278816,0.000243,14.539612,-16.261719,-2.774788,0.006245,15.537689,137.703125,-2.732964,0.002439
CC(O)F,CCCCC1OC(C)CC(C)(C)O1,0.207548,0.000096,15.946167,-631.730469,-2.412613,0.002996,11.761627,-880.861328,-1.913368,0.001728
CC(O)F,CC(C)(C)OCC1CO1,0.212233,0.000114,17.597046,-786.822266,-2.712982,0.003308,13.916962,-956.472656,-2.189049,0.001188
