SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC=NCF,O=P(Cl)(c1ccccc1)c1ccccc1,0.254524,0.000220,19.331726,-354.623047,-3.316116,0.004907,16.882446,-786.035156,-2.712715,0.001947
CC=NCF,CC(=O)Nc1ccc(C=O)cc1,0.245321,0.000188,18.227753,-129.785156,-3.037766,0.003922,13.991821,-640.925781,-2.373383,0.002749
CC=NCF,Cc1cccc(CO)c1,0.238136,0.000178,18.328857,-478.230469,-3.045189,0.004200,14.639923,-728.466797,-2.303223,0.001347
CC=NCF,COC(C)CO,0.252537,0.000204,17.705078,-240.755859,-3.086227,0.004781,15.918304,-667.142578,-2.570770,0.002181
CC=NCF,Nc1nc(=O)c2ccccc2o1,0.235021,0.000163,19.928192,372.851562,-3.101295,0.002522,11.223022,-410.873047,-2.129570,0.003968
CC=NCF,CC(Cl)Br,0.252840,0.000208,17.476868,-599.710938,-3.018127,0.005091,17.546967,-675.056641,-2.700356,0.000786
CC=NCF,CCCOC(F)F,0.263663,0.000224,16.931488,-443.904297,-2.957878,0.005063,16.710510,-585.259766,-2.675484,0.001622
CC=NCF,COC1CC2CCC1(C)C2(C)C,0.262698,0.000210,15.793701,-139.468750,-2.679741,0.004153,14.776794,-406.314453,-2.544991,0.003062
CC=NCF,CCC(=O)C1=NCCC1,0.256550,0.000215,17.695862,-418.255859,-3.033417,0.004776,16.549957,-679.812500,-2.649574,0.001673
CC=NCF,NC(CF)(CF)CF,0.250096,0.000206,18.523193,-401.759766,-3.223763,0.005055,17.379364,-729.263672,-2.707344,0.001540
CC=NCF,CC(C)CCCC(C)CC=O,0.263591,0.000218,16.364075,-121.445312,-2.837975,0.004611,15.428833,-517.654297,-2.637192,0.002892
CC=NCF,Cc1coc(C)n1,0.256968,0.000216,17.754700,-385.351562,-3.120613,0.005271,16.734772,-679.294922,-2.640358,0.001608
CC=NCF,NC(=S)NC(N)=S,0.192198,0.000068,21.715332,-909.154297,-3.248886,0.002744,15.409576,-1274.306641,-2.425262,0.002402
CC=NCF,FC(F)C(Cl)C(F)F,0.232322,0.000164,20.006470,-961.148438,-3.352333,0.004514,19.283661,-938.207031,-2.830475,0.000559
CC=NCF,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.238944,0.000170,16.731873,-266.205078,-2.674309,0.003498,16.231476,-616.718750,-2.711754,0.002186
CC=NCF,NNC(=O)c1ccccc1,0.259750,0.000220,18.826782,116.837891,-3.183945,0.004159,14.968048,-540.007812,-2.580902,0.003239
CC=NCF,ClC=CBr,0.250660,0.000196,17.317780,-642.761719,-2.976448,0.004963,17.532745,-626.394531,-2.726974,0.001069
CC=NCF,CN(C)N=O,0.259760,0.000220,18.138489,-278.001953,-3.232788,0.005227,16.951630,-706.857422,-2.652641,0.002168
CC=NCF,c1ccc(C2CCCCC2)cc1,0.267603,0.000220,15.763641,-92.343750,-2.726402,0.004513,14.862091,-386.703125,-2.593285,0.003094
CC=NCF,N#Cc1ccncc1,0.249573,0.000208,19.039886,-582.849609,-3.209801,0.004700,17.561676,-827.599609,-2.718826,0.001225
CC=NCF,CN(C)C(=S)Nc1ccccc1,0.219030,0.000141,19.649933,-828.050781,-3.111954,0.003579,15.801575,-975.958984,-2.376564,0.000835
CC=NCF,CCC(N)CC,0.251844,0.000199,16.341949,-184.677734,-3.005951,0.005786,16.900208,-521.521484,-2.707649,0.002124
CC=NCF,COC(=O)CO,0.244321,0.000191,18.614685,-465.636719,-3.171249,0.004542,15.785065,-765.939453,-2.446838,0.001483
CC=NCF,Cc1c(N)cccc1Cl,0.226095,0.000158,20.025238,-786.527344,-3.236130,0.003855,17.534668,-959.218750,-2.687431,0.001006
CC=NCF,CC1CCC(C(C)(C)OO)CC1,0.219865,0.000141,18.528534,-655.660156,-2.946404,0.003476,14.376404,-858.935547,-2.212326,0.001024
CC=NCF,CC(F)(Cl)CF,0.255025,0.000215,18.096558,-566.935547,-3.143211,0.005215,17.676941,-739.425781,-2.731392,0.001000
CC=NCF,CCCCC1OC(C)CC(C)(C)O1,0.259735,0.000210,16.493103,-149.605469,-2.801285,0.004228,15.438446,-558.148438,-2.632202,0.003025
CC=NCF,CC(C)(C)OCC1CO1,0.259642,0.000221,17.633026,-356.992188,-3.067764,0.004957,16.809937,-691.156250,-2.710953,0.001964
CC=NCF,O=P(O)(O)OP(=O)(O)O,0.138555,-0.000060,22.472900,-1125.097656,-3.330025,0.003976,4.014160,-1586.572266,-1.063828,0.003319
CC=NCF,CC(=O)Nc1ccc(C)cc1,0.247497,0.000193,17.879578,-325.746094,-2.981339,0.004177,14.373566,-684.408203,-2.369591,0.002100
CC=NCF,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.255227,0.000208,19.177887,-99.718750,-3.226723,0.004315,15.194427,-563.281250,-2.478767,0.002211
CC=NCF,CC(C)(O)CCC1CCCCC1,0.249725,0.000193,16.723389,-79.021484,-2.885849,0.004371,13.891632,-491.923828,-2.375748,0.002690
CC=NCF,COCC(F)(F)F,0.260517,0.000223,17.586243,-480.345703,-3.074425,0.005180,17.250519,-637.535156,-2.706734,0.001290
CC=NCF,COCC(O)COC,0.250247,0.000207,18.605927,-404.621094,-3.204773,0.004810,17.311157,-789.214844,-2.720612,0.001723
CC=NCF,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.239215,0.000185,20.099976,170.105469,-3.179375,0.002616,14.270172,-643.888672,-2.603058,0.003867
CC=NCF,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.191260,0.000084,21.578552,-931.771484,-3.329109,0.003033,14.741638,-1241.265625,-2.248657,0.001384
CC=NCF,CC(C)C(F)F,0.268539,0.000229,16.395966,-356.447266,-2.899109,0.005174,16.070618,-492.023438,-2.624626,0.002009
CC=NCF,CCCCC1C=C(C)CC(C)O1,0.259435,0.000206,16.091644,-107.367188,-2.708740,0.004035,15.109131,-442.240234,-2.612808,0.003104
CC=NCF,COc1ccc(C(C)=O)cc1,0.261403,0.000227,18.198517,-333.056641,-3.193741,0.005241,16.615875,-722.613281,-2.676529,0.002006
CC=NCF,Oc1cc(O)ncn1,0.198860,0.000088,18.928192,-583.798828,-3.001259,0.003098,11.208832,-1006.513672,-1.762375,0.002020
CC=NCF,COCCCCl,0.265677,0.000225,16.591034,-396.982422,-2.930328,0.005131,16.562866,-550.447266,-2.675156,0.001877
CC=NCF,CCCOC,0.259511,0.000208,15.908752,-297.574219,-2.809715,0.004843,15.992706,-427.324219,-2.645096,0.002324
