SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC=CS,O=P(Cl)(c1ccccc1)c1ccccc1,0.244448,0.000198,20.592804,-446.144531,-3.387772,0.004325,16.327667,-796.283203,-2.577377,0.001417
CCC=CS,CC(=O)Nc1ccc(C=O)cc1,0.269811,0.000223,17.562683,788.412109,-3.080933,0.003641,11.992676,-74.667969,-2.370018,0.004987
CCC=CS,Cc1cccc(CO)c1,0.271377,0.000235,17.179016,340.724609,-3.158012,0.004718,13.820038,-319.232422,-2.478302,0.003970
CCC=CS,COC(C)CO,0.256700,0.000214,18.190979,-131.046875,-3.206726,0.004645,16.770630,-724.787109,-2.702019,0.002719
CCC=CS,Nc1nc(=O)c2ccccc2o1,0.257530,0.000197,17.062775,1630.679688,-2.926773,0.001645,9.945801,587.603516,-2.308830,0.006699
CCC=CS,CC(Cl)Br,0.265685,0.000235,17.910492,-452.130859,-3.202446,0.005737,16.596008,-605.394531,-2.565224,0.001151
CCC=CS,CCCOC(F)F,0.265999,0.000233,17.554443,-409.730469,-3.120842,0.005539,16.401306,-603.060547,-2.576569,0.001368
CCC=CS,COC1CC2CCC1(C)C2(C)C,0.247083,0.000199,18.170959,-498.390625,-3.097687,0.004605,17.089325,-753.529297,-2.645691,0.001246
CCC=CS,CCC(=O)C1=NCCC1,0.245837,0.000199,19.117096,-548.224609,-3.236519,0.004686,17.760742,-865.841797,-2.749054,0.001395
CCC=CS,NC(CF)(CF)CF,0.258395,0.000210,17.328339,-80.615234,-3.172028,0.005315,16.176025,-567.464844,-2.538910,0.002423
CCC=CS,CC(C)CCCC(C)CC=O,0.252746,0.000213,18.905151,-450.369141,-3.265175,0.004982,17.307312,-809.880859,-2.715317,0.001647
CCC=CS,Cc1coc(C)n1,0.244125,0.000196,19.378174,-553.507812,-3.306183,0.004758,17.998260,-863.097656,-2.743141,0.001298
CCC=CS,NC(=S)NC(N)=S,0.256091,0.000182,16.031311,907.771484,-3.111992,0.005245,12.965027,282.845703,-2.194061,0.003977
CCC=CS,FC(F)C(Cl)C(F)F,0.264775,0.000230,17.816040,-315.136719,-3.243645,0.005737,16.110474,-497.673828,-2.489342,0.001441
CCC=CS,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.262874,0.000211,15.102081,468.458984,-2.739510,0.004387,13.116516,-59.066406,-2.377769,0.003754
CCC=CS,NNC(=O)c1ccccc1,0.274047,0.000231,16.729279,590.837891,-3.139534,0.004633,12.874725,-111.324219,-2.337898,0.004468
CCC=CS,ClC=CBr,0.265189,0.000232,17.517670,-462.359375,-3.137550,0.005714,16.626587,-596.708984,-2.564255,0.001089
CCC=CS,CN(C)N=O,0.247286,0.000192,18.937256,-265.705078,-3.250717,0.004526,16.517090,-676.197266,-2.549820,0.001806
CCC=CS,c1ccc(C2CCCCC2)cc1,0.267465,0.000236,17.504272,-324.507812,-3.100525,0.005417,15.961578,-618.005859,-2.594322,0.001897
CCC=CS,N#Cc1ccncc1,0.246241,0.000197,19.704407,-465.378906,-3.292915,0.004529,17.340210,-851.291016,-2.701950,0.001595
CCC=CS,CN(C)C(=S)Nc1ccccc1,0.256870,0.000211,19.131134,-118.429688,-3.241821,0.004390,15.035675,-574.500000,-2.454170,0.002238
CCC=CS,CCC(N)CC,0.240236,0.000184,18.832977,-457.671875,-3.244644,0.004768,17.457520,-835.406250,-2.685242,0.001621
CCC=CS,COC(=O)CO,0.257825,0.000211,17.902527,-12.607422,-3.244667,0.004592,15.303894,-444.375000,-2.442261,0.002513
CCC=CS,Cc1c(N)cccc1Cl,0.261753,0.000222,17.962463,-126.173828,-3.201401,0.005050,15.934967,-657.851562,-2.580498,0.002552
CCC=CS,CC1CCC(C(C)(C)OO)CC1,0.271519,0.000238,17.078033,319.287109,-3.145645,0.004691,14.911987,-434.794922,-2.669121,0.004271
CCC=CS,CC(F)(Cl)CF,0.265741,0.000234,17.971161,-407.474609,-3.215775,0.005663,16.308105,-582.632812,-2.519241,0.001316
CCC=CS,CCCCC1OC(C)CC(C)(C)O1,0.247405,0.000201,18.663940,-478.712891,-3.150078,0.004511,17.523804,-858.683594,-2.766357,0.001702
CCC=CS,CC(C)(C)OCC1CO1,0.249853,0.000208,19.169739,-503.601562,-3.283821,0.004889,17.807434,-851.669922,-2.770271,0.001523
